Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-07-23,15:35:00,14.13,14.14,14.125,14.13,101583,0
2015-07-23,15:40:00,14.13,14.14,14.12,14.13,74115,0
2015-07-23,15:45:00,14.14,14.15,14.12,14.12,54241,0
2015-07-23,15:50:00,14.125,14.13,14.1132,14.1205,51360,0
2015-07-23,15:55:00,14.129,14.15,14.12,14.15,43287,0
2015-07-23,16:00:00,14.14,14.1499,14.13,14.13,46096,0
2015-07-23,16:05:00,14.135,14.1492,14.13,14.135,42996,0
2015-07-23,16:10:00,14.135,14.14,14.11,14.1199,46451,0
2015-07-23,16:15:00,14.1127,14.12,14.06,14.08,157531,0
2015-07-23,16:20:00,14.09,14.12,14.08,14.1025,113126,0
2015-07-23,16:25:00,14.105,14.12,14.1,14.1101,26957,0
2015-07-23,16:30:00,14.115,14.13,14.11,14.12,40057,0
2015-07-23,16:35:00,14.125,14.14,14.1101,14.115,40908,0
2015-07-23,16:40:00,14.115,14.12,14.1,14.1199,23722,0
2015-07-23,16:45:00,14.115,14.115,14.09,14.09,20513,0
2015-07-23,16:50:00,14.095,14.0999,14.07,14.09,61336,0
2015-07-23,16:55:00,14.1,14.11,14.09,14.0901,31459,0
2015-07-23,17:00:00,14.09,14.095,14.05,14.075,140692,0
2015-07-23,17:05:00,14.075,14.1,14.075,14.09,62359,0
2015-07-23,17:10:00,14.095,14.1,14.08,14.1,52584,0
2015-07-23,17:15:00,14.105,14.11,14.08,14.09,38887,0
2015-07-23,17:20:00,14.09,14.1164,14.085,14.105,54074,0
2015-07-23,17:25:00,14.1,14.12,14.1,14.105,29595,0
2015-07-23,17:30:00,14.1001,14.11,14.09,14.09,14219,0
2015-07-23,17:35:00,14.09,14.11,14.09,14.1,21227,0
2015-07-23,17:40:00,14.109,14.1099,14.08,14.085,28921,0
2015-07-23,17:45:00,14.085,14.096,14.07,14.0799,23137,0
2015-07-23,17:50:00,14.0768,14.08,14.07,14.075,7409,0
2015-07-23,17:55:00,14.075,14.09,14.07,14.08,66150,0
2015-07-23,18:00:00,14.0851,14.09,14.0741,14.0862,28631,0
2015-07-23,18:05:00,14.08,14.09,14.0701,14.075,31821,0
2015-07-23,18:10:00,14.0715,14.095,14.07,14.0886,64481,0
2015-07-23,18:15:00,14.085,14.095,14.08,14.095,33588,0
2015-07-23,18:20:00,14.095,14.0999,14.09,14.0967,13168,0
2015-07-23,18:25:00,14.09,14.11,14.09,14.1088,60459,0
2015-07-23,18:30:00,14.1,14.11,14.1,14.1,67428,0
2015-07-23,18:35:00,14.11,14.115,14.1,14.115,10160,0
2015-07-23,18:40:00,14.114,14.1171,14.1,14.1,29913,0
2015-07-23,18:45:00,14.09,14.1,14.09,14.0949,10458,0
2015-07-23,18:50:00,14.0949,14.1,14.08,14.085,29105,0
2015-07-23,18:55:00,14.09,14.09,14.08,14.0845,27990,0
2015-07-23,19:00:00,14.0899,14.0999,14.08,14.09,14555,0
2015-07-23,19:05:00,14.095,14.1,14.09,14.09,9045,0
2015-07-23,19:10:00,14.0903,14.1,14.09,14.095,19642,0
2015-07-23,19:15:00,14.1,14.1,14.09,14.1,29388,0
2015-07-23,19:20:00,14.1043,14.11,14.09,14.0966,16699,0
2015-07-23,19:25:00,14.0943,14.0943,14.08,14.09,18869,0
2015-07-23,19:30:00,14.085,14.09,14.0762,14.09,33827,0
2015-07-23,19:35:00,14.085,14.0899,14.08,14.0851,7441,0
2015-07-23,19:40:00,14.08,14.085,14.06,14.07,43596,0
2015-07-23,19:45:00,14.06,14.06,14.03,14.046,206821,0
2015-07-23,19:50:00,14.045,14.051,14.03,14.045,28129,0
2015-07-23,19:55:00,14.045,14.06,14.0446,14.055,27781,0
2015-07-23,20:00:00,14.0599,14.06,14.05,14.05,27742,0
2015-07-23,20:05:00,14.051,14.051,14.01,14.015,55863,0
2015-07-23,20:10:00,14.015,14.02,14,14.02,69789,0
2015-07-23,20:15:00,14.0255,14.0399,14.015,14.0212,64322,0
2015-07-23,20:20:00,14.025,14.03,14.02,14.02,31969,0
2015-07-23,20:25:00,14.025,14.03,14.01,14.01,25464,0
2015-07-23,20:30:00,14.019,14.03,14.01,14.0299,49245,0
2015-07-23,20:35:00,14.0299,14.03,14.02,14.025,77053,0
2015-07-23,20:40:00,14.0265,14.03,14.02,14.0249,14042,0
2015-07-23,20:45:00,14.029,14.03,14.01,14.01,39794,0
2015-07-23,20:50:00,14.0101,14.02,14,14.001,35761,0
2015-07-23,20:55:00,14.0001,14.0099,13.99,14,154289,0
2015-07-23,21:00:00,14,14,13.99,13.999,42221,0
2015-07-23,21:05:00,14,14,13.98,13.99,59537,0
2015-07-23,21:10:00,13.9948,14.01,13.99,14,59881,0
2015-07-23,21:15:00,14.0099,14.01,14,14.0048,33981,0
2015-07-23,21:20:00,14,14,13.99,13.99,72007,0
2015-07-23,21:25:00,13.985,13.99,13.95,13.955,85189,0
2015-07-23,21:30:00,13.95,13.96,13.94,13.955,147397,0
2015-07-23,21:35:00,13.955,13.96,13.935,13.935,89934,0
2015-07-23,21:40:00,13.94,13.9564,13.93,13.935,74498,0
2015-07-23,21:45:00,13.93,13.96,13.93,13.95,47406,0
2015-07-23,21:50:00,13.9599,13.9599,13.94,13.95,57175,0
2015-07-23,21:55:00,13.945,13.9599,13.94,13.955,93914,0
2015-07-23,22:00:00,13.96,14,13.95,14,520346,0
2015-07-24,15:35:00,13.81,13.83,13.78,13.81,294396,0
2015-07-24,15:40:00,13.811,13.83,13.79,13.795,98831,0
2015-07-24,15:45:00,13.795,13.8099,13.78,13.8099,71631,0
2015-07-24,15:50:00,13.8,13.8,13.78,13.795,121496,0
2015-07-24,15:55:00,13.79,13.79,13.73,13.745,330633,0
2015-07-24,16:00:00,13.746,13.7791,13.7301,13.7628,231077,0
2015-07-24,16:05:00,13.77,13.85,13.77,13.835,188809,0
2015-07-24,16:10:00,13.835,13.84,13.79,13.81,124934,0
2015-07-24,16:15:00,13.815,13.815,13.79,13.79,44163,0
2015-07-24,16:20:00,13.79,13.8,13.76,13.76,58675,0
2015-07-24,16:25:00,13.77,13.79,13.75,13.7821,78217,0
2015-07-24,16:30:00,13.785,13.785,13.76,13.783,68640,0
2015-07-24,16:35:00,13.78,13.78,13.77,13.775,49944,0
2015-07-24,16:40:00,13.771,13.8,13.77,13.786,70460,0
2015-07-24,16:45:00,13.79,13.8,13.78,13.79,134723,0
2015-07-24,16:50:00,13.79,13.8,13.78,13.79,73698,0
2015-07-24,16:55:00,13.7862,13.8,13.78,13.8,18931,0
2015-07-24,17:00:00,13.799,13.8049,13.78,13.8049,65893,0
2015-07-24,17:05:00,13.81,13.82,13.8,13.81,51746,0
2015-07-24,17:10:00,13.804,13.82,13.79,13.8,66223,0
2015-07-24,17:15:00,13.8038,13.8399,13.8,13.835,43099,0
2015-07-24,17:20:00,13.835,13.8468,13.81,13.8399,92968,0
2015-07-24,17:25:00,13.83,13.92,13.8201,13.92,207762,0
2015-07-24,17:30:00,13.9199,13.935,13.89,13.8903,140680,0
2015-07-24,17:35:00,13.9,13.91,13.876,13.876,64748,0
2015-07-24,17:40:00,13.88,13.8999,13.875,13.88,40190,0
2015-07-24,17:45:00,13.8836,13.89,13.87,13.8801,50989,0
2015-07-24,17:50:00,13.885,13.895,13.88,13.8899,29493,0
2015-07-24,17:55:00,13.89,13.89,13.87,13.88,51392,0
2015-07-24,18:00:00,13.8701,13.89,13.87,13.88,58574,0
2015-07-24,18:05:00,13.89,13.93,13.88,13.8994,134225,0
2015-07-24,18:10:00,13.89,13.891,13.87,13.87,81053,0
2015-07-24,18:15:00,13.8755,13.88,13.85,13.861,36779,0
2015-07-24,18:20:00,13.8601,13.88,13.84,13.8532,52074,0
2015-07-24,18:25:00,13.855,13.86,13.85,13.85,22934,0
2015-07-24,18:30:00,13.855,13.86,13.85,13.86,44304,0
2015-07-24,18:35:00,13.855,13.86,13.84,13.85,19381,0
2015-07-24,18:40:00,13.85,13.88,13.85,13.87,48298,0
2015-07-24,18:45:00,13.88,13.88,13.87,13.8799,13739,0
2015-07-24,18:50:00,13.8762,13.9,13.87,13.89,28388,0
2015-07-24,18:55:00,13.891,13.8914,13.87,13.879,34608,0
2015-07-24,19:00:00,13.87,13.8801,13.87,13.88,41229,0
2015-07-24,19:05:00,13.88,13.91,13.87,13.9035,155332,0
2015-07-24,19:10:00,13.9,13.909,13.88,13.88,52222,0
2015-07-24,19:15:00,13.885,13.89,13.87,13.88,37449,0
2015-07-24,19:20:00,13.88,13.89,13.87,13.882,18190,0
2015-07-24,19:25:00,13.88,13.8999,13.87,13.875,54279,0
2015-07-24,19:30:00,13.87,13.8899,13.87,13.88,35747,0
2015-07-24,19:35:00,13.88,13.91,13.8721,13.9,54121,0
2015-07-24,19:40:00,13.9,13.9076,13.9,13.9,9125,0
2015-07-24,19:45:00,13.9,13.91,13.89,13.9005,41075,0
2015-07-24,19:50:00,13.9099,13.9099,13.88,13.8821,48191,0
2015-07-24,19:55:00,13.885,13.93,13.885,13.9149,109803,0
2015-07-24,20:00:00,13.92,13.97,13.92,13.935,190573,0
2015-07-24,20:05:00,13.93,13.99,13.93,13.9899,202017,0
2015-07-24,20:10:00,13.985,14,13.945,13.9501,97006,0
2015-07-24,20:15:00,13.955,13.96,13.93,13.93,141790,0
2015-07-24,20:20:00,13.935,13.99,13.93,13.965,77224,0
2015-07-24,20:25:00,13.97,14,13.96,13.99,187464,0
2015-07-24,20:30:00,13.9899,14.03,13.98,14.023,87791,0
2015-07-24,20:35:00,14.025,14.0299,13.9701,13.99,187308,0
2015-07-24,20:40:00,13.98,14,13.97,13.9999,52024,0
2015-07-24,20:45:00,13.99,14,13.97,13.98,46311,0
2015-07-24,20:50:00,13.98,14.01,13.97,14.01,80433,0
2015-07-24,20:55:00,14,14.0201,14,14.019,43046,0
2015-07-24,21:00:00,14.02,14.03,13.99,14,161695,0
2015-07-24,21:05:00,14.01,14.01,13.99,13.99,27806,0
2015-07-24,21:10:00,13.995,14.01,13.99,14,40465,0
2015-07-24,21:15:00,14,14.03,14,14.02,65884,0
2015-07-24,21:20:00,14.01,14.04,14.01,14.035,68925,0
2015-07-24,21:25:00,14.04,14.07,14.039,14.0668,110006,0
2015-07-24,21:30:00,14.065,14.07,14.04,14.0455,97578,0
2015-07-24,21:35:00,14.045,14.07,14.04,14.06,97943,0
