Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-02-11,15:55:00,50.561,50.561,50.561,50.561,1808,0
2015-02-11,17:30:00,50.621,50.621,50.621,50.621,603,0
2015-02-11,20:55:00,50.631,50.631,50.631,50.631,201,0
2015-02-11,21:10:00,50.621,50.621,50.581,50.581,402,0
2015-02-11,21:20:00,50.631,50.631,50.631,50.631,402,0
2015-02-11,21:25:00,50.621,50.681,50.621,50.681,1808,0
2015-02-11,21:35:00,50.671,50.671,50.671,50.671,201,0
2015-02-11,21:45:00,50.701,50.701,50.681,50.681,402,0
2015-02-11,21:50:00,50.651,50.661,50.611,50.661,502,0
2015-02-11,21:55:00,50.631,50.631,50.631,50.631,799,0
2015-02-11,22:00:00,50.631,50.631,50.631,50.631,1000,0
2015-02-12,15:55:00,50.929,50.929,50.929,50.929,402,0
2015-02-12,16:55:00,50.989,50.989,50.989,50.989,100,0
2015-02-12,17:05:00,50.939,50.939,50.939,50.939,1306,0
2015-02-12,17:25:00,50.959,50.959,50.959,50.959,502,0
2015-02-12,17:35:00,50.999,50.999,50.999,50.999,312,0
2015-02-12,19:15:00,51.128,51.128,51.128,51.128,302,0
2015-02-12,20:10:00,51.128,51.128,51.128,51.128,502,0
2015-02-12,20:20:00,51.128,51.128,51.128,51.128,502,0
2015-02-13,15:35:00,51.756,51.756,51.756,51.756,150,0
2015-02-13,16:10:00,51.328,51.328,51.328,51.328,804,0
2015-02-13,17:50:00,51.378,51.378,51.378,51.378,352,0
2015-02-13,20:45:00,51.378,51.378,51.378,51.378,100,0
2015-02-13,21:05:00,51.428,51.428,51.428,51.428,302,0
2015-02-13,21:45:00,51.486,51.486,51.486,51.486,502,0
2015-02-17,17:10:00,51.318,51.318,51.318,51.318,2010,0
2015-02-17,19:00:00,51.496,51.496,51.496,51.496,196,0
2015-02-17,19:40:00,51.566,51.566,51.566,51.566,100,0
2015-02-17,19:45:00,51.596,51.596,51.596,51.596,603,0
2015-02-17,20:30:00,51.566,51.566,51.566,51.566,753,0
2015-02-17,20:40:00,51.536,51.586,51.536,51.586,201,0
2015-02-17,21:45:00,51.506,51.506,51.506,51.506,201,0
2015-02-18,17:20:00,51.368,51.368,51.368,51.368,1363,0
2015-02-18,19:00:00,51.328,51.328,51.328,51.328,1005,0
