Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-06-24,15:35:00,67.394,67.394,67.394,67.394,2324,0
2015-06-24,16:05:00,67.51,67.51,67.51,67.51,876,0
2015-06-24,16:20:00,67.374,67.415,67.374,67.415,247,0
2015-06-24,16:35:00,67.315,67.315,67.315,67.315,200,0
2015-06-24,16:40:00,67.225,67.295,67.225,67.295,1306,0
2015-06-24,16:50:00,67.275,67.285,67.275,67.285,403,0
2015-06-24,16:55:00,67.305,67.305,67.305,67.305,171,0
2015-06-24,17:00:00,67.354,67.354,67.354,67.354,200,0
2015-06-24,17:05:00,67.414,67.426,67.404,67.426,1004,0
2015-06-24,17:15:00,67.404,67.404,67.404,67.404,100,0
2015-06-24,17:35:00,67.434,67.434,67.404,67.404,200,0
2015-06-24,17:45:00,67.444,67.444,67.444,67.444,200,0
2015-06-24,17:55:00,67.344,67.344,67.344,67.344,164,0
2015-06-24,18:10:00,67.374,67.384,67.374,67.384,200,0
2015-06-24,18:35:00,67.434,67.444,67.424,67.444,1206,0
2015-06-24,18:40:00,67.454,67.454,67.444,67.444,302,0
2015-06-24,18:50:00,67.584,67.584,67.574,67.574,224,0
2015-06-24,19:00:00,67.48,67.48,67.48,67.48,177,0
2015-06-24,19:20:00,67.535,67.535,67.535,67.535,190,0
2015-06-24,19:25:00,67.501,67.501,67.501,67.501,222,0
2015-06-24,19:50:00,67.604,67.604,67.604,67.604,144,0
2015-06-24,20:05:00,67.649,67.649,67.594,67.594,200,0
2015-06-24,20:15:00,67.644,67.653,67.644,67.653,223,0
2015-06-24,20:25:00,67.743,67.743,67.703,67.703,436,0
2015-06-24,20:30:00,67.802,67.802,67.802,67.802,100,0
2015-06-24,20:40:00,67.773,67.783,67.733,67.733,703,0
2015-06-24,20:45:00,67.675,67.793,67.675,67.744,2982,0
2015-06-24,20:50:00,67.694,67.773,67.694,67.773,3209,0
2015-06-24,20:55:00,67.723,67.733,67.723,67.733,502,0
2015-06-24,21:00:00,67.664,67.664,67.664,67.664,267,0
2015-06-24,21:05:00,67.743,67.743,67.743,67.743,200,0
2015-06-24,21:10:00,67.703,67.703,67.703,67.703,302,0
2015-06-24,21:15:00,67.653,67.653,67.653,67.653,302,0
2015-06-24,21:30:00,67.693,67.693,67.693,67.693,215,0
2015-06-24,21:35:00,67.644,67.653,67.644,67.644,955,0
2015-06-24,21:40:00,67.653,67.678,67.653,67.678,582,0
2015-06-24,21:50:00,67.614,67.614,67.614,67.614,100,0
2015-06-24,22:00:00,67.634,67.634,67.634,67.634,100,0
2015-06-25,15:35:00,67.404,67.404,67.404,67.404,1603,0
2015-06-25,15:40:00,67.522,67.522,67.522,67.522,147,0
2015-06-25,15:55:00,67.604,67.604,67.604,67.604,1004,0
2015-06-25,16:05:00,67.595,67.595,67.595,67.595,2079,0
2015-06-25,16:10:00,67.615,67.615,67.525,67.525,1320,0
2015-06-25,16:15:00,67.525,67.564,67.465,67.495,804,0
2015-06-25,16:20:00,67.475,67.475,67.475,67.475,714,0
2015-06-25,16:25:00,67.474,67.514,67.425,67.514,1557,0
2015-06-25,16:30:00,67.434,67.434,67.434,67.434,145,0
2015-06-25,16:40:00,67.555,67.574,67.555,67.574,859,0
2015-06-25,17:15:00,67.305,67.305,67.305,67.305,100,0
2015-06-25,17:20:00,67.315,67.315,67.315,67.315,602,0
2015-06-25,17:50:00,67.285,67.334,67.285,67.334,2048,0
2015-06-25,18:00:00,67.305,67.305,67.305,67.305,414,0
2015-06-25,18:10:00,67.315,67.315,67.315,67.315,217,0
2015-06-25,18:20:00,67.295,67.295,67.295,67.295,100,0
2015-06-25,18:25:00,67.319,67.319,67.319,67.319,302,0
2015-06-25,18:30:00,67.354,67.354,67.354,67.354,262,0
2015-06-25,19:15:00,67.524,67.524,67.524,67.524,170,0
2015-06-25,19:20:00,67.574,67.574,67.574,67.574,170,0
2015-06-25,19:30:00,67.644,67.644,67.644,67.644,402,0
2015-06-25,19:40:00,67.663,67.663,67.663,67.663,165,0
2015-06-25,20:00:00,67.608,67.608,67.608,67.608,200,0
2015-06-25,20:10:00,67.604,67.604,67.604,67.604,200,0
2015-06-25,20:20:00,67.531,67.531,67.531,67.531,200,0
2015-06-25,20:25:00,67.474,67.554,67.474,67.554,302,0
2015-06-25,20:35:00,67.596,67.596,67.596,67.596,200,0
2015-06-25,20:40:00,67.618,67.618,67.618,67.618,200,0
2015-06-25,20:55:00,67.543,67.548,67.485,67.548,703,0
2015-06-25,21:00:00,67.653,67.653,67.653,67.653,200,0
2015-06-25,21:05:00,67.594,67.594,67.594,67.594,200,0
2015-06-25,21:15:00,67.562,67.562,67.562,67.562,125,0
2015-06-25,21:20:00,67.608,67.608,67.608,67.608,140,0
2015-06-25,21:30:00,67.574,67.574,67.574,67.574,632,0
2015-06-25,21:40:00,67.539,67.539,67.539,67.539,150,0
2015-06-25,21:45:00,67.544,67.544,67.484,67.484,836,0
2015-06-25,21:50:00,67.495,67.495,67.495,67.495,149,0
2015-06-25,22:00:00,67.444,67.444,67.408,67.414,2254,0
2015-06-26,15:35:00,66.906,66.986,66.906,66.906,1812,0
2015-06-26,15:55:00,66.976,66.976,66.976,66.976,100,0
2015-06-26,16:00:00,67.043,67.043,67.01,67.01,709,0
2015-06-26,16:15:00,66.906,66.926,66.906,66.926,1382,0
2015-06-26,16:25:00,66.827,66.906,66.827,66.906,974,0
2015-06-26,16:30:00,67.006,67.006,67.006,67.006,434,0
2015-06-26,16:45:00,66.886,66.886,66.886,66.886,100,0
2015-06-26,16:50:00,66.906,66.906,66.896,66.896,302,0
2015-06-26,16:55:00,66.956,66.956,66.956,66.956,337,0
2015-06-26,17:05:00,66.906,66.906,66.906,66.906,1104,0
2015-06-26,17:20:00,66.946,66.946,66.938,66.938,247,0
2015-06-26,17:40:00,66.866,66.866,66.807,66.807,841,0
2015-06-26,17:45:00,66.807,66.807,66.807,66.807,100,0
2015-06-26,17:50:00,66.777,66.777,66.777,66.777,199,0
2015-06-26,17:55:00,66.763,66.817,66.763,66.817,200,0
2015-06-26,18:20:00,66.708,66.708,66.708,66.708,100,0
2015-06-26,18:30:00,66.578,66.578,66.578,66.578,100,0
2015-06-26,18:40:00,66.718,66.718,66.718,66.718,1406,0
2015-06-26,18:50:00,66.777,66.787,66.738,66.777,155814,0
2015-06-26,19:10:00,66.688,66.688,66.688,66.688,197,0
2015-06-26,19:15:00,66.638,66.638,66.638,66.638,1004,0
2015-06-26,19:20:00,66.648,66.648,66.648,66.648,100,0
2015-06-26,19:25:00,66.568,66.648,66.568,66.648,2637,0
2015-06-26,19:35:00,66.598,66.598,66.498,66.498,356,0
2015-06-26,19:45:00,66.558,66.558,66.558,66.558,4267,0
2015-06-26,19:50:00,66.639,66.648,66.625,66.625,1034,0
2015-06-26,19:55:00,66.618,66.698,66.618,66.698,502,0
2015-06-26,20:00:00,66.698,66.698,66.638,66.638,507,0
2015-06-26,20:05:00,66.706,66.706,66.706,66.706,296,0
2015-06-26,20:10:00,66.728,66.728,66.728,66.728,100,0
2015-06-26,20:25:00,66.668,66.668,66.668,66.668,100,0
2015-06-26,20:50:00,66.7,66.7,66.7,66.7,125,0
2015-06-26,21:10:00,66.648,66.648,66.648,66.648,100,0
2015-06-26,21:20:00,66.538,66.617,66.538,66.617,277,0
2015-06-26,21:30:00,66.608,66.608,66.608,66.608,134,0
2015-06-26,21:35:00,66.598,66.628,66.584,66.628,576,0
2015-06-26,21:45:00,66.696,66.696,66.658,66.658,1157,0
2015-06-26,21:50:00,66.678,66.688,66.678,66.688,262,0
2015-06-26,21:55:00,66.648,66.718,66.648,66.692,797,0
2015-06-26,22:00:00,66.688,66.728,66.688,66.728,738,0
2015-06-29,15:35:00,67.802,67.802,67.579,67.584,5612,0
2015-06-29,15:40:00,67.584,67.594,67.584,67.584,590,0
2015-06-29,16:05:00,67.574,67.574,67.574,67.574,402,0
2015-06-29,16:15:00,67.614,67.614,67.614,67.614,100,0
2015-06-29,16:25:00,67.614,67.673,67.614,67.644,502,0
2015-06-29,16:35:00,67.812,67.812,67.753,67.802,1104,0
2015-06-29,16:45:00,67.673,67.673,67.653,67.653,672,0
2015-06-29,16:50:00,67.673,67.683,67.673,67.683,402,0
2015-06-29,17:05:00,67.801,67.801,67.801,67.801,158,0
2015-06-29,17:10:00,67.902,67.902,67.902,67.902,100,0
2015-06-29,17:15:00,67.912,67.952,67.912,67.952,402,0
2015-06-29,17:20:00,67.893,67.893,67.893,67.893,147,0
2015-06-29,17:30:00,67.818,67.818,67.818,67.818,146,0
2015-06-29,17:35:00,67.797,67.842,67.793,67.793,304,0
2015-06-29,17:40:00,67.872,67.894,67.814,67.814,720,0
2015-06-29,17:55:00,67.862,67.862,67.862,67.862,123,0
2015-06-29,18:00:00,67.872,67.872,67.872,67.872,35405,0
2015-06-29,18:25:00,68.012,68.012,68.012,68.012,302,0
2015-06-29,18:30:00,68.052,68.062,68.052,68.062,402,0
2015-06-29,19:05:00,68.002,68.002,68.002,68.002,109,0
2015-06-29,19:20:00,67.912,67.922,67.912,67.922,200,0
2015-06-29,19:35:00,68.002,68.002,68.002,68.002,577,0
2015-06-29,19:50:00,68.022,68.072,68.022,68.071,890,0
2015-06-29,19:55:00,67.991,68.115,67.991,68.115,1987,0
2015-06-29,20:15:00,68.141,68.141,68.141,68.141,100,0
2015-06-29,20:20:00,68.151,68.181,68.121,68.121,302,0
2015-06-29,20:25:00,68.201,68.201,68.201,68.201,302,0
2015-06-29,20:30:00,68.131,68.131,68.131,68.131,100,0
2015-06-29,20:35:00,68.055,68.191,68.055,68.191,757,0
2015-06-29,20:45:00,68.251,68.261,68.25,68.25,1200,0
2015-06-29,20:55:00,68.261,68.261,68.261,68.261,100,0
2015-06-29,21:00:00,68.251,68.251,68.201,68.201,1758,0
2015-06-29,21:05:00,68.261,68.261,68.261,68.261,100,0
2015-06-29,21:15:00,68.26,68.261,68.196,68.236,7724,0
2015-06-29,21:20:00,68.251,68.38,68.251,68.345,1406,0
2015-06-29,21:25:00,68.37,68.37,68.37,68.37,402,0
2015-06-29,21:30:00,68.38,68.41,68.35,68.37,2310,0
2015-06-29,21:35:00,68.41,68.43,68.39,68.43,2192,0
2015-06-29,21:40:00,68.46,68.5,68.428,68.49,1627,0
2015-06-29,21:45:00,68.49,68.53,68.49,68.53,1607,0
2015-06-29,21:50:00,68.53,68.599,68.52,68.525,2847,0
2015-06-29,21:55:00,68.52,68.53,68.389,68.389,3378,0
2015-06-29,22:00:00,68.383,68.4,68.35,68.35,2763,0
2015-06-30,15:35:00,67.882,67.902,67.882,67.902,2092,0
2015-06-30,15:45:00,68.101,68.181,68.101,68.181,351,0
2015-06-30,15:50:00,68.101,68.141,68.064,68.141,2362,0
2015-06-30,15:55:00,68.221,68.261,68.221,68.261,821,0
2015-06-30,16:00:00,68.29,68.29,68.27,68.27,402,0
2015-06-30,16:05:00,68.232,68.299,68.196,68.299,624,0
2015-06-30,16:20:00,68.241,68.251,68.241,68.251,2109,0
2015-06-30,16:25:00,68.251,68.285,68.251,68.28,5725,0
2015-06-30,16:30:00,68.171,68.201,68.171,68.201,1495,0
2015-06-30,16:35:00,68.181,68.191,68.151,68.181,4425,0
