Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-23,15:35:00,96.512,96.512,96.512,96.512,200,0
2015-01-23,15:45:00,97.661,97.661,97.661,97.661,1001,0
2015-01-23,16:15:00,96.911,96.921,96.911,96.921,400,0
2015-01-23,17:50:00,97.661,97.661,97.661,97.661,105,0
2015-01-23,18:00:00,97.421,97.421,97.421,97.421,400,0
2015-01-23,19:40:00,98.011,98.011,98.011,98.011,1201,0
2015-01-26,15:35:00,97.921,97.921,97.301,97.301,4263,0
2015-01-26,17:30:00,98.091,98.091,98.091,98.091,400,0
2015-01-26,18:25:00,98.021,98.021,98.021,98.021,300,0
2015-01-26,18:50:00,98.121,98.121,98.121,98.121,400,0
2015-01-26,19:40:00,97.421,97.421,97.421,97.421,300,0
2015-01-26,19:55:00,97.611,97.611,97.611,97.611,200,0
2015-01-26,20:45:00,99.35,99.35,99.35,99.35,500,0
2015-01-26,21:25:00,99.31,99.31,99.31,99.31,200,0
2015-01-27,15:35:00,97.421,97.421,96.971,96.971,1401,0
2015-01-27,16:35:00,97.831,97.831,97.831,97.831,240,0
2015-01-27,18:50:00,97.461,97.461,97.461,97.461,300,0
2015-01-27,19:20:00,98.361,98.361,98.361,98.361,100,0
2015-01-27,19:40:00,98.401,98.411,97.191,97.191,1021,0
2015-01-27,19:45:00,98.421,98.421,98.421,98.421,600,0
2015-01-28,16:15:00,97.311,97.311,97.311,97.311,600,0
2015-01-28,16:20:00,97.321,97.321,97.321,97.321,800,0
2015-01-28,19:10:00,96.921,96.921,96.921,96.921,200,0
2015-01-28,20:35:00,95.922,95.922,95.922,95.922,250,0
2015-01-28,22:00:00,93.814,93.814,93.814,93.814,100,0
2015-01-29,15:40:00,94.764,94.764,94.764,94.764,200,0
2015-01-29,16:10:00,94.324,94.324,94.324,94.324,824,0
2015-01-29,16:45:00,93.954,93.954,93.954,93.954,901,0
2015-01-30,15:45:00,96.122,96.122,96.122,96.122,300,0
2015-01-30,15:55:00,95.922,95.922,95.922,95.922,100,0
2015-01-30,16:35:00,94.634,94.634,94.634,94.634,901,0
2015-01-30,17:10:00,94.584,94.584,94.584,94.584,200,0
2015-01-30,18:15:00,95.972,95.972,95.972,95.972,820,0
2015-01-30,20:50:00,95.423,95.423,95.423,95.423,100,0
2015-01-30,21:40:00,94.514,94.514,94.514,94.514,130,0
2015-01-30,21:55:00,94.034,94.034,94.034,94.034,100,0
2015-02-02,15:45:00,91.785,91.785,91.785,91.785,1066,0
2015-02-02,16:10:00,90.657,91.397,90.657,91.397,400,0
2015-02-02,16:20:00,90.927,90.927,90.927,90.927,300,0
2015-02-02,16:35:00,90.967,90.967,90.967,90.967,400,0
2015-02-02,17:50:00,93.604,93.604,93.604,93.604,300,0
2015-02-02,18:05:00,93.494,93.494,93.494,93.494,100,0
2015-02-02,19:55:00,92.435,92.435,92.425,92.425,700,0
2015-02-02,20:50:00,93.005,93.005,93.005,93.005,1763,0
2015-02-03,15:35:00,95.722,95.722,95.722,95.722,520,0
2015-02-03,17:55:00,96.342,96.342,96.342,96.342,100,0
2015-02-03,19:20:00,96.951,96.951,96.951,96.951,300,0
2015-02-03,22:00:00,97.511,97.511,97.511,97.511,100,0
2015-02-04,15:35:00,97.731,98.92,97.731,98.92,1001,0
2015-02-04,15:40:00,99.04,99.04,99.04,99.04,100,0
2015-02-04,15:45:00,98.79,99.41,98.79,99.41,300,0
