Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-07-23,15:35:00,78.67,78.71,78.56,78.62,76879,0
2015-07-23,15:40:00,78.635,78.635,78.33,78.37,28759,0
2015-07-23,15:45:00,78.39,78.43,78.23,78.24,28900,0
2015-07-23,15:50:00,78.26,78.35,78.17,78.19,54829,0
2015-07-23,15:55:00,78.19,78.19,78.01,78.04,105280,0
2015-07-23,16:00:00,78.05,78.06,77.92,78.06,31802,0
2015-07-23,16:05:00,78.0501,78.21,78,78.21,31993,0
2015-07-23,16:10:00,78.19,78.19,78.07,78.11,38314,0
2015-07-23,16:15:00,78.11,78.11,77.98,78.01,25543,0
2015-07-23,16:20:00,78.02,78.05,77.94,77.95,30898,0
2015-07-23,16:25:00,77.94,77.98,77.9,77.92,29041,0
2015-07-23,16:30:00,77.91,77.92,77.79,77.85,26821,0
2015-07-23,16:35:00,77.85,77.92,77.84,77.91,17441,0
2015-07-23,16:40:00,77.92,77.96,77.84,77.8463,45904,0
2015-07-23,16:45:00,77.85,77.92,77.84,77.92,16505,0
2015-07-23,16:50:00,77.94,78,77.83,77.85,38876,0
2015-07-23,16:55:00,77.86,77.96,77.84,77.96,18366,0
2015-07-23,17:00:00,77.96,78.03,77.9501,78.03,11469,0
2015-07-23,17:05:00,78.01,78.02,77.9151,77.9659,27387,0
2015-07-23,17:10:00,77.94,77.98,77.9,77.97,14822,0
2015-07-23,17:15:00,77.97,77.99,77.94,77.972,9132,0
2015-07-23,17:20:00,77.98,78.01,77.95,77.95,12546,0
2015-07-23,17:25:00,77.9499,77.95,77.84,77.93,14215,0
2015-07-23,17:30:00,77.92,77.9251,77.8,77.8062,13216,0
2015-07-23,17:35:00,77.81,77.8125,77.66,77.66,21754,0
2015-07-23,17:40:00,77.66,77.68,77.5751,77.59,14491,0
2015-07-23,17:45:00,77.585,77.66,77.58,77.66,31484,0
2015-07-23,17:50:00,77.65,77.78,77.65,77.78,30685,0
2015-07-23,17:55:00,77.79,77.85,77.75,77.77,15489,0
2015-07-23,18:00:00,77.77,77.85,77.77,77.815,18947,0
2015-07-23,18:05:00,77.81,77.82,77.725,77.74,33318,0
2015-07-23,18:10:00,77.73,77.75,77.71,77.73,17152,0
2015-07-23,18:15:00,77.72,77.72,77.58,77.59,15075,0
2015-07-23,18:20:00,77.59,77.6,77.47,77.5,13941,0
2015-07-23,18:25:00,77.49,77.53,77.39,77.39,14810,0
2015-07-23,18:30:00,77.37,77.425,77.35,77.3549,29300,0
2015-07-23,18:35:00,77.35,77.435,77.31,77.43,17227,0
2015-07-23,18:40:00,77.43,77.57,77.42,77.57,25268,0
2015-07-23,18:45:00,77.57,77.58,77.5101,77.5262,36753,0
2015-07-23,18:50:00,77.52,77.53,77.45,77.5249,24005,0
2015-07-23,18:55:00,77.53,77.65,77.5238,77.63,52373,0
2015-07-23,19:00:00,77.63,77.6499,77.59,77.6095,45236,0
2015-07-23,19:05:00,77.605,77.62,77.53,77.55,29681,0
2015-07-23,19:10:00,77.55,77.605,77.55,77.57,12191,0
2015-07-23,19:15:00,77.5699,77.57,77.45,77.505,18800,0
2015-07-23,19:20:00,77.51,77.66,77.51,77.559,22344,0
2015-07-23,19:25:00,77.55,77.5839,77.51,77.5738,7594,0
2015-07-23,19:30:00,77.5799,77.5799,77.49,77.51,13137,0
2015-07-23,19:35:00,77.5099,77.52,77.44,77.455,16851,0
2015-07-23,19:40:00,77.45,77.52,77.44,77.51,11216,0
2015-07-23,19:45:00,77.515,77.53,77.5,77.5291,9338,0
2015-07-23,19:50:00,77.527,77.545,77.49,77.53,19565,0
2015-07-23,19:55:00,77.525,77.57,77.51,77.56,16074,0
2015-07-23,20:00:00,77.57,77.616,77.57,77.6032,13709,0
2015-07-23,20:05:00,77.6099,77.7,77.605,77.66,25298,0
2015-07-23,20:10:00,77.66,77.6891,77.64,77.68,12108,0
2015-07-23,20:15:00,77.6751,77.69,77.57,77.5789,18538,0
2015-07-23,20:20:00,77.57,77.6,77.56,77.5763,9316,0
2015-07-23,20:25:00,77.58,77.596,77.52,77.55,11212,0
2015-07-23,20:30:00,77.55,77.55,77.5,77.52,12639,0
2015-07-23,20:35:00,77.52,77.581,77.4738,77.4749,23977,0
2015-07-23,20:40:00,77.47,77.5,77.45,77.49,14455,0
2015-07-23,20:45:00,77.4959,77.59,77.4959,77.56,8374,0
2015-07-23,20:50:00,77.566,77.5699,77.52,77.54,17252,0
2015-07-23,20:55:00,77.53,77.53,77.3401,77.3642,48600,0
2015-07-23,21:00:00,77.3641,77.4,77.34,77.38,25564,0
2015-07-23,21:05:00,77.38,77.38,77.3,77.31,22136,0
2015-07-23,21:10:00,77.315,77.37,77.305,77.3599,16586,0
2015-07-23,21:15:00,77.35,77.35,77.2699,77.29,30529,0
2015-07-23,21:20:00,77.29,77.34,77.27,77.3,51029,0
2015-07-23,21:25:00,77.3049,77.3099,77.27,77.2801,21435,0
2015-07-23,21:30:00,77.29,77.36,77.29,77.313,28864,0
2015-07-23,21:35:00,77.3135,77.56,77.31,77.52,51122,0
2015-07-23,21:40:00,77.52,77.63,77.49,77.59,75372,0
2015-07-23,21:45:00,77.59,77.71,77.58,77.6,60782,0
2015-07-23,21:50:00,77.61,77.64,77.59,77.6051,34877,0
2015-07-23,21:55:00,77.61,77.6285,77.59,77.6,79470,0
2015-07-23,22:00:00,77.6,77.77,77.6,77.74,164665,0
2015-07-24,15:35:00,77.77,77.99,77.65,77.88,126484,0
2015-07-24,15:40:00,77.959,77.96,77.55,77.55,42635,0
2015-07-24,15:45:00,77.53,77.84,77.53,77.71,49325,0
2015-07-24,15:50:00,77.71,77.79,77.68,77.73,57169,0
2015-07-24,15:55:00,77.73,77.86,77.72,77.81,99724,0
2015-07-24,16:00:00,77.83,78.01,77.83,77.95,38327,0
2015-07-24,16:05:00,78,78,77.77,77.85,102527,0
2015-07-24,16:10:00,77.85,77.92,77.83,77.85,67530,0
