Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-07-23,15:35:00,111.25,111.25,111.05,111.1317,22839,0
2015-07-23,15:40:00,111.12,111.12,111.0499,111.0499,1122,0
2015-07-23,15:45:00,111.01,111.01,110.85,110.85,3860,0
2015-07-23,15:50:00,110.886,110.92,110.886,110.92,2624,0
2015-07-23,15:55:00,110.9026,110.9026,110.81,110.88,2462,0
2015-07-23,16:00:00,110.8647,110.8647,110.7408,110.7408,4421,0
2015-07-23,16:05:00,110.82,110.91,110.8005,110.86,4138,0
2015-07-23,16:10:00,110.81,110.9102,110.79,110.9102,4699,0
2015-07-23,16:15:00,110.9,110.954,110.9,110.954,3147,0
2015-07-23,16:20:00,110.9509,110.98,110.94,110.95,2730,0
2015-07-23,16:25:00,110.97,111.01,110.97,110.9999,6744,0
2015-07-23,16:30:00,110.97,111.02,110.97,111.02,5459,0
2015-07-23,16:35:00,111.06,111.06,111,111.03,2051,0
2015-07-23,16:40:00,111.0335,111.09,111,111.04,4280,0
2015-07-23,16:45:00,111.04,111.08,111.018,111.018,2912,0
2015-07-23,16:50:00,111.03,111.03,110.99,111,1531,0
2015-07-23,16:55:00,110.98,111.02,110.9701,111.02,1898,0
2015-07-23,17:00:00,111.0201,111.06,111.0201,111.0444,3392,0
2015-07-23,17:05:00,111.07,111.076,111.035,111.076,9202,0
2015-07-23,17:10:00,111.07,111.0799,111.04,111.05,6002,0
2015-07-23,17:15:00,111.0414,111.05,111,111.01,2140,0
2015-07-23,17:20:00,110.96,110.965,110.9,110.9,4410,0
2015-07-23,17:25:00,110.9,110.9199,110.881,110.91,4626,0
2015-07-23,17:30:00,110.89,110.89,110.8199,110.8199,599,0
2015-07-23,17:35:00,110.79,110.81,110.7799,110.78,2856,0
2015-07-23,17:40:00,110.7601,110.7601,110.6799,110.69,6278,0
2015-07-23,17:45:00,110.69,110.71,110.661,110.71,1694,0
2015-07-23,17:50:00,110.72,110.72,110.65,110.665,2418,0
2015-07-23,17:55:00,110.675,110.675,110.5499,110.565,9646,0
2015-07-23,18:00:00,110.57,110.58,110.53,110.5699,9512,0
2015-07-23,18:05:00,110.54,110.55,110.42,110.46,7759,0
2015-07-23,18:10:00,110.42,110.46,110.39,110.46,4128,0
2015-07-23,18:15:00,110.44,110.45,110.36,110.39,6671,0
2015-07-23,18:20:00,110.39,110.39,110.31,110.32,5720,0
2015-07-23,18:25:00,110.3,110.37,110.28,110.35,8427,0
2015-07-23,18:30:00,110.31,110.38,110.31,110.36,66938,0
2015-07-23,18:35:00,110.34,110.38,110.32,110.36,2978,0
2015-07-23,18:40:00,110.37,110.408,110.3641,110.4,2511,0
2015-07-23,18:45:00,110.41,110.42,110.4,110.41,3327,0
2015-07-23,18:50:00,110.4199,110.4199,110.3299,110.3299,3285,0
2015-07-23,18:55:00,110.3199,110.36,110.29,110.34,3610,0
2015-07-23,19:00:00,110.34,110.4099,110.34,110.4099,3769,0
2015-07-23,19:05:00,110.37,110.39,110.35,110.37,2164,0
