Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-12-09,16:10:00,35.06,35.06,35.06,35.06,100,0
2014-12-09,16:15:00,35.08,35.09,35.08,35.09,200,0
2014-12-09,16:20:00,35.15,35.17,35.15,35.17,4550,0
2014-12-09,16:50:00,35.17,35.18,35.17,35.18,700,0
2014-12-09,18:25:00,35.04,35.04,35.04,35.04,200,0
2014-12-09,19:30:00,35.2,35.23,35.16,35.23,4525,0
2014-12-09,19:55:00,35.18,35.18,35.18,35.18,300,0
2014-12-09,21:25:00,35.08,35.08,35.08,35.08,100,0
2014-12-09,21:40:00,35.07,35.08,35.07,35.08,2375,0
2014-12-10,18:00:00,35.17,35.17,35.17,35.17,200,0
2014-12-10,19:45:00,35.17,35.17,35.17,35.17,100,0
2014-12-10,20:40:00,35.26,35.26,35.26,35.26,1349,0
2014-12-11,17:05:00,35.12,35.14,35.12,35.14,500,0
2014-12-11,17:10:00,35.18,35.18,35.18,35.18,700,0
2014-12-12,19:20:00,35.0,35.0,35.0,35.0,100,0
2014-12-12,19:30:00,34.95,34.95,34.95,34.95,200,0
2014-12-12,20:35:00,34.96,34.96,34.96,34.96,100,0
2014-12-15,15:35:00,34.69,34.69,34.69,34.69,180,0
2014-12-15,16:25:00,34.64,34.64,34.64,34.64,200,0
2014-12-15,18:45:00,34.31,34.31,34.31,34.31,300,0
2014-12-15,19:35:00,34.29,34.29,34.29,34.29,700,0
2014-12-16,15:55:00,33.82,33.82,33.82,33.82,420,0
2014-12-16,16:55:00,33.02,33.02,33.01,33.01,5170,0
2014-12-16,20:00:00,33.17,33.17,33.17,33.17,600,0
2014-12-16,21:00:00,33.17,33.17,33.17,33.17,100,0
2014-12-16,21:30:00,33.16,33.16,33.16,33.16,185,0
2014-12-16,21:35:00,33.1,33.11,33.1,33.11,1449,0
2014-12-17,16:50:00,33.14,33.14,33.14,33.14,146,0
2014-12-17,17:50:00,33.15,33.15,33.15,33.15,200,0
2014-12-17,20:05:00,33.36,33.36,33.31,33.31,255,0
2014-12-17,20:25:00,33.42,33.42,33.42,33.42,1000,0
2014-12-17,21:10:00,33.12,33.12,33.12,33.12,400,0
2014-12-18,15:40:00,33.6,33.6,33.6,33.6,200,0
2014-12-18,19:05:00,33.39,33.39,33.39,33.39,1000,0
2014-12-18,21:45:00,33.46,33.46,33.46,33.46,100,0
2014-12-19,15:35:00,33.38,33.38,33.38,33.38,400,0
2014-12-19,16:10:00,33.44,33.44,33.44,33.44,100,0
2014-12-19,16:25:00,33.5,33.5,33.5,33.5,400,0
2014-12-19,18:05:00,33.55,33.55,33.55,33.55,500,0
2014-12-19,19:25:00,33.58,33.58,33.58,33.58,300,0
2014-12-19,20:55:00,33.64,33.64,33.64,33.64,400,0
2014-12-19,21:45:00,33.66,33.66,33.66,33.66,185,0
2014-12-22,15:40:00,33.57,33.57,33.57,33.57,300,0
2014-12-22,15:55:00,33.57,33.57,33.56,33.56,400,0
2014-12-22,16:00:00,33.57,33.57,33.47,33.47,500,0
2014-12-22,16:05:00,33.57,33.57,33.55,33.57,400,0
2014-12-22,16:10:00,33.57,33.58,33.57,33.58,300,0
2014-12-22,16:15:00,33.58,33.58,33.57,33.58,800,0
2014-12-22,16:20:00,33.59,33.59,33.56,33.56,600,0
2014-12-22,16:25:00,33.56,33.56,33.54,33.54,600,0
2014-12-22,16:30:00,33.53,33.53,33.52,33.52,600,0
2014-12-22,16:35:00,33.52,33.53,33.52,33.53,800,0
2014-12-22,16:40:00,33.53,33.6,33.44,33.44,2350,0
2014-12-22,16:45:00,33.42,33.45,33.37,33.37,700,0
2014-12-22,16:50:00,33.41,33.42,33.38,33.41,800,0
2014-12-22,16:55:00,33.42,33.43,33.41,33.43,1100,0
2014-12-22,17:00:00,33.4,33.42,33.4,33.41,300,0
2014-12-22,17:05:00,33.42,33.42,33.29,33.31,600,0
2014-12-22,17:10:00,33.32,33.32,33.17,33.17,800,0
2014-12-22,17:15:00,33.16,33.17,33.15,33.17,500,0
2014-12-22,17:20:00,33.17,33.17,33.16,33.16,900,0
2014-12-22,17:25:00,33.16,33.16,33.13,33.13,400,0
2014-12-22,17:30:00,33.14,33.14,33.09,33.12,600,0
2014-12-22,17:35:00,33.11,33.11,33.08,33.08,6353,0
2014-12-22,17:45:00,33.04,33.04,33.04,33.04,200,0
2014-12-22,17:50:00,33.01,33.05,32.99,33.05,600,0
2014-12-22,17:55:00,33.07,33.09,33.06,33.09,600,0
2014-12-22,18:00:00,33.09,33.09,33.05,33.05,700,0
2014-12-22,18:05:00,33.05,33.07,33.04,33.04,700,0
2014-12-22,18:10:00,33.05,33.07,33.05,33.07,600,0
2014-12-22,18:15:00,33.08,33.08,33.03,33.03,800,0
2014-12-22,18:20:00,33.02,33.07,33.02,33.07,1100,0
2014-12-22,18:25:00,33.07,33.07,33.07,33.07,900,0
2014-12-22,18:35:00,33.08,33.14,33.06,33.06,3600,0
2014-12-22,18:40:00,33.03,33.03,33.03,33.03,200,0
2014-12-22,18:45:00,33.02,33.02,33.0,33.0,600,0
2014-12-22,18:50:00,33.03,33.09,33.02,33.09,2000,0
2014-12-22,18:55:00,33.12,33.12,33.12,33.12,700,0
2014-12-22,19:05:00,33.13,33.13,33.12,33.12,200,0
2014-12-22,19:10:00,33.15,33.15,33.11,33.11,1061,0
2014-12-22,19:15:00,33.12,33.12,33.12,33.12,200,0
2014-12-22,19:20:00,33.13,33.15,33.09,33.09,800,0
2014-12-22,19:25:00,33.09,33.14,33.09,33.14,600,0
2014-12-22,19:30:00,33.14,33.17,33.14,33.14,700,0
2014-12-22,19:35:00,33.14,33.14,33.13,33.13,900,0
2014-12-22,19:40:00,33.12,33.12,33.11,33.11,400,0
2014-12-22,19:45:00,33.1,33.1,33.06,33.06,700,0
2014-12-22,19:50:00,33.06,33.08,33.04,33.04,700,0
2014-12-22,19:55:00,33.02,33.04,33.02,33.04,600,0
2014-12-22,20:00:00,33.04,33.06,33.04,33.06,700,0
2014-12-22,20:05:00,33.08,33.08,33.05,33.06,1500,0
2014-12-22,20:10:00,33.05,33.09,33.05,33.07,1200,0
2014-12-22,20:15:00,33.07,33.07,33.06,33.07,700,0
2014-12-22,20:20:00,33.06,33.07,33.06,33.07,600,0
2014-12-22,20:25:00,33.05,33.05,33.04,33.05,800,0
2014-12-22,20:30:00,33.04,33.05,33.04,33.05,500,0
2014-12-22,21:15:00,33.05,33.05,33.05,33.05,200,0
2014-12-22,21:50:00,33.05,33.05,33.05,33.05,600,0
2014-12-23,16:50:00,33.44,33.44,33.44,33.44,435,0
2014-12-23,17:50:00,33.41,33.41,33.38,33.38,200,0
2014-12-23,18:20:00,33.33,33.33,33.33,33.33,600,0
2014-12-23,21:00:00,33.3,33.3,33.3,33.3,400,0
2014-12-23,21:25:00,33.19,33.19,33.19,33.19,200,0
2014-12-23,21:30:00,33.27,33.27,33.27,33.27,240,0
2014-12-24,15:45:00,33.22,33.22,33.22,33.22,450,0
2014-12-24,17:25:00,33.26,33.26,33.26,33.26,100,0
2014-12-24,18:00:00,33.22,33.22,33.22,33.22,330,0
2014-12-26,16:45:00,33.9,33.9,33.9,33.9,500,0
2014-12-26,21:45:00,33.96,33.96,33.86,33.86,352,0
2014-12-29,17:00:00,33.52,33.52,33.52,33.52,500,0
2014-12-29,17:15:00,33.54,33.54,33.54,33.54,200,0
2014-12-29,18:00:00,33.52,33.52,33.52,33.52,1100,0
2014-12-29,18:05:00,33.5,33.52,33.45,33.45,8925,0
2014-12-29,18:15:00,33.43,33.43,33.42,33.42,800,0
2014-12-29,18:20:00,33.43,33.45,33.43,33.45,1200,0
2014-12-29,18:35:00,33.45,33.47,33.45,33.47,300,0
2014-12-29,18:40:00,33.47,33.47,33.47,33.47,200,0
2014-12-29,18:45:00,33.45,33.45,33.45,33.45,100,0
2014-12-29,18:50:00,33.47,33.47,33.47,33.47,200,0
2014-12-29,19:05:00,33.45,33.45,33.45,33.45,1200,0
2014-12-29,19:10:00,33.42,33.42,33.4,33.4,2000,0
2014-12-29,19:20:00,33.41,33.41,33.41,33.41,100,0
2014-12-29,19:25:00,33.44,33.44,33.44,33.44,100,0
2014-12-29,19:30:00,33.48,33.49,33.41,33.41,1000,0
2014-12-29,19:35:00,33.49,33.49,33.49,33.49,400,0
2014-12-29,21:25:00,33.43,33.43,33.43,33.43,1200,0
2014-12-29,21:30:00,33.45,33.45,33.45,33.45,1900,0
2014-12-29,22:00:00,33.45,33.46,33.45,33.46,200,0
2014-12-30,15:35:00,33.75,33.75,33.75,33.75,200,0
2014-12-30,15:40:00,33.69,33.69,33.69,33.69,100,0
2014-12-30,15:50:00,33.77,33.78,33.77,33.78,1800,0
2014-12-30,16:00:00,34.24,34.24,34.24,34.24,200,0
2014-12-30,16:05:00,34.13,34.13,34.13,34.13,200,0
2014-12-30,16:10:00,34.11,34.11,34.07,34.07,600,0
2014-12-30,16:15:00,34.13,34.13,34.13,34.13,200,0
2014-12-30,16:20:00,34.1,34.21,34.1,34.21,700,0
2014-12-30,16:25:00,34.15,34.15,34.15,34.15,600,0
2014-12-30,16:40:00,34.14,34.14,34.14,34.14,350,0
2014-12-30,17:10:00,34.23,34.23,34.23,34.23,400,0
2014-12-30,17:30:00,34.01,34.01,34.01,34.01,900,0
2014-12-30,17:55:00,33.98,33.98,33.98,33.98,100,0
2014-12-30,18:05:00,34.06,34.06,34.06,34.06,3000,0
2014-12-30,18:35:00,34.03,34.03,34.03,34.03,300,0
2014-12-30,18:40:00,34.06,34.06,34.06,34.06,150,0
2014-12-30,18:50:00,34.02,34.02,33.99,33.99,4800,0
2014-12-30,19:00:00,34.02,34.02,34.01,34.01,3500,0
2014-12-30,19:05:00,33.98,33.99,33.94,33.99,1222,0
2014-12-30,19:10:00,34.07,34.07,34.07,34.07,200,0
2014-12-30,19:20:00,34.09,34.09,34.09,34.09,500,0
