Date,Time,Open,High,Low,Close,Volume,OpenInt
2013-07-09,21:00:00,15.15,15.15,15.15,15.15,100,0
2013-07-12,17:00:00,14.77,14.77,14.77,14.77,200,0
2013-07-12,18:00:00,14.92,14.92,14.92,14.92,250,0
2013-07-15,16:00:00,13.52,13.52,13.52,13.52,400,0
2013-07-15,17:00:00,16.36,16.36,16.0,16.0,800,0
2013-07-15,19:00:00,14.73,14.73,14.73,14.73,100,0
2013-07-16,21:00:00,14.95,14.95,14.66,14.72,600,0
2013-07-22,19:00:00,14.75,14.8,14.75,14.8,500,0
2013-07-25,17:00:00,14.44,14.44,14.44,14.44,100,0
2013-07-25,20:00:00,14.44,14.44,14.44,14.44,100,0
2013-07-29,20:00:00,13.53,13.64,13.53,13.53,500,0
2013-07-29,21:00:00,14.17,14.21,14.0,14.03,900,0
2013-07-30,17:00:00,13.7,13.7,13.7,13.7,300,0
2013-07-30,20:00:00,13.53,13.53,13.53,13.53,125,0
2013-07-31,17:00:00,13.9,13.9,13.9,13.9,383,0
2013-07-31,22:00:00,14.05,14.05,13.97,13.97,1400,0
2013-08-01,18:00:00,13.75,13.75,13.75,13.75,100,0
2013-08-01,19:00:00,14.91,14.91,14.45,14.45,631,0
2013-08-01,20:00:00,14.2,14.5,13.95,13.98,2100,0
2013-08-07,16:00:00,13.91,13.91,13.6,13.9,700,0
2013-08-08,20:00:00,14.55,14.55,14.55,14.55,100,0
2013-08-08,22:00:00,13.61,13.85,13.61,13.85,600,0
2013-08-09,16:00:00,14.9,14.9,13.95,13.95,300,0
2013-08-09,17:00:00,13.9,13.9,13.9,13.9,100,0
2013-08-09,19:00:00,13.94,13.94,13.94,13.94,100,0
2013-08-13,18:00:00,13.6,13.6,13.6,13.6,575,0
2013-08-13,19:00:00,13.6,13.6,13.6,13.6,250,0
2013-08-15,18:00:00,14.0,14.0,14.0,14.0,101,0
2013-08-16,21:00:00,12.67,12.67,12.67,12.67,100,0
2013-08-19,17:00:00,13.65,14.16,13.65,14.14,1218,0
2013-08-19,18:00:00,14.15,15.3,14.15,15.3,350,0
2013-08-20,16:00:00,14.92,15.25,14.52,14.52,487,0
2013-08-21,17:00:00,13.63,13.63,13.63,13.63,100,0
2013-08-21,20:00:00,14.6,15.1,14.49,14.95,4600,0
2013-08-21,21:00:00,14.69,14.96,14.69,14.9,21508,0
2013-08-21,22:00:00,14.78,14.94,14.78,14.8,31100,0
2013-08-22,16:00:00,14.65,15.0,14.65,15.0,4800,0
2013-08-22,18:00:00,14.68,15.1,14.68,15.1,5800,0
2013-08-22,19:00:00,14.65,14.97,14.65,14.97,6100,0
2013-08-22,20:00:00,14.73,14.98,14.73,14.93,4700,0
2013-08-22,21:00:00,14.75,14.99,14.75,14.81,9800,0
2013-08-22,22:00:00,14.9,14.98,14.8,14.93,20000,0
2013-08-23,16:00:00,14.6,14.95,14.6,14.89,6200,0
2013-08-23,17:00:00,14.7,15.85,14.7,15.11,23430,0
2013-08-23,18:00:00,15.16,15.55,15.16,15.53,9300,0
2013-08-23,19:00:00,15.27,15.46,15.27,15.38,12200,0
2013-08-23,20:00:00,15.38,15.57,15.27,15.38,8500,0
2013-08-23,21:00:00,15.35,15.58,15.35,15.5,6500,0
