Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-10-22,17:00:00,19.609,19.739,19.609,19.719,2110,0
2014-10-22,18:00:00,19.769,19.799,19.719,19.769,3767,0
2014-10-22,19:00:00,19.749,19.749,19.689,19.699,1507,0
2014-10-22,22:00:00,19.49,19.49,19.41,19.41,1060,0
2014-10-23,16:00:00,19.57,19.57,19.57,19.57,2113,0
2014-10-23,17:00:00,19.679,19.679,19.679,19.679,227,0
2014-10-23,18:00:00,19.719,19.719,19.669,19.679,1206,0
2014-10-23,22:00:00,19.669,19.669,19.639,19.669,1143,0
2014-10-24,18:00:00,19.739,19.759,19.739,19.759,599,0
2014-10-24,19:00:00,19.818,19.818,19.818,19.818,2009,0
2014-10-24,22:00:00,19.838,19.848,19.838,19.848,1909,0
2014-10-27,15:00:00,19.52,19.52,19.281,19.351,1811,0
2014-10-27,16:00:00,19.321,19.351,19.321,19.351,301,0
2014-10-27,17:00:00,19.49,19.59,19.43,19.43,5884,0
2014-10-27,18:00:00,19.599,19.599,19.55,19.55,553,0
2014-10-27,19:00:00,19.52,19.52,19.5,19.5,2712,0
2014-10-27,20:00:00,19.52,19.52,19.52,19.52,1005,0
2014-10-27,21:00:00,19.659,19.659,19.659,19.659,616,0
2014-10-28,15:00:00,19.858,19.858,19.818,19.818,603,0
2014-10-28,18:00:00,19.868,19.868,19.868,19.868,201,0
2014-10-28,19:00:00,19.868,19.878,19.868,19.878,480,0
2014-10-28,20:00:00,19.958,20.027,19.958,20.027,301,0
2014-10-28,21:00:00,19.968,20.037,19.968,20.018,1808,0
2014-10-29,16:00:00,19.878,19.918,19.848,19.848,1055,0
2014-10-29,17:00:00,19.858,19.928,19.848,19.928,1220,0
2014-10-29,18:00:00,19.908,19.908,19.908,19.908,554,0
2014-10-29,19:00:00,19.878,19.878,19.799,19.809,603,0
2014-10-29,20:00:00,19.679,19.739,19.649,19.739,402,0
2014-10-29,21:00:00,19.649,19.649,19.649,19.649,301,0
2014-10-30,15:00:00,19.639,19.679,19.639,19.679,854,0
2014-10-30,17:00:00,19.888,19.888,19.888,19.888,402,0
2014-10-30,18:00:00,19.888,19.908,19.888,19.908,402,0
2014-10-30,19:00:00,19.978,19.978,19.888,19.938,1696,0
2014-10-30,20:00:00,20.008,20.097,19.948,20.097,8188,0
2014-10-30,21:00:00,19.958,20.047,19.958,20.047,904,0
2014-10-31,15:00:00,20.655,20.655,20.655,20.655,301,0
2014-10-31,16:00:00,20.655,20.704,20.635,20.704,4621,0
2014-10-31,17:00:00,20.684,20.784,20.684,20.774,1452,0
2014-10-31,18:00:00,20.764,20.824,20.764,20.824,3762,0
2014-10-31,20:00:00,20.943,20.993,20.943,20.993,1859,0
2014-10-31,21:00:00,21.112,21.112,21.023,21.023,2331,0
2014-11-03,16:00:00,21.013,21.053,20.943,21.053,3374,0
2014-11-03,17:00:00,21.063,21.063,20.933,20.933,653,0
2014-11-03,18:00:00,21.083,21.262,21.083,21.262,31419,0
2014-11-03,19:00:00,21.222,21.242,21.182,21.182,1406,0
2014-11-03,20:00:00,21.252,21.282,21.242,21.282,3446,0
2014-11-03,21:00:00,21.282,21.282,21.112,21.172,1549,0
2014-11-04,18:00:00,20.704,20.704,20.704,20.704,100,0
2014-11-04,19:00:00,20.754,20.754,20.724,20.724,3416,0
2014-11-04,20:00:00,20.764,20.854,20.665,20.854,2299,0
2014-11-04,21:00:00,20.874,20.933,20.834,20.923,5158,0
2014-11-04,22:00:00,20.884,20.884,20.724,20.744,964,0
2014-11-05,17:00:00,20.684,20.864,20.684,20.864,3355,0
2014-11-05,18:00:00,20.874,20.874,20.684,20.684,201,0
2014-11-05,19:00:00,20.794,20.824,20.774,20.804,11137,0
2014-11-05,20:00:00,20.794,20.794,20.774,20.784,1607,0
2014-11-05,21:00:00,20.834,20.903,20.774,20.903,9166,0
2014-11-05,22:00:00,20.794,20.794,20.794,20.794,301,0
2014-11-06,17:00:00,20.535,20.535,20.326,20.456,3416,0
2014-11-06,19:00:00,20.505,20.595,20.505,20.595,1201,0
2014-11-06,20:00:00,20.595,20.635,20.595,20.595,1752,0
2014-11-06,22:00:00,20.645,20.675,20.635,20.645,2411,0
2014-11-07,16:00:00,20.605,20.684,20.525,20.645,5827,0
2014-11-07,20:00:00,20.923,20.923,20.923,20.923,191,0
2014-11-07,21:00:00,20.874,20.874,20.814,20.814,3111,0
2014-11-10,17:00:00,20.814,20.854,20.814,20.854,856,0
2014-11-10,18:00:00,20.804,20.864,20.784,20.834,2311,0
2014-11-10,20:00:00,20.834,20.834,20.834,20.834,1909,0
2014-11-10,21:00:00,20.834,20.834,20.774,20.794,3416,0
2014-11-10,22:00:00,20.675,20.675,20.655,20.655,804,0
2014-11-11,17:00:00,20.605,20.605,20.605,20.605,301,0
2014-11-11,18:00:00,20.684,20.684,20.675,20.675,12357,0
2014-11-11,21:00:00,20.625,20.625,20.625,20.625,100,0
2014-11-12,17:00:00,20.764,20.764,20.764,20.764,201,0
2014-11-12,18:00:00,20.694,20.774,20.694,20.744,4127,0
2014-11-12,19:00:00,20.655,20.655,20.625,20.625,3519,0
2014-11-12,20:00:00,20.605,20.615,20.605,20.615,3355,0
