Date,Time,Open,High,Low,Close,Volume,OpenInt
2013-05-15,16:00:00,14.067,14.067,14.067,14.067,1408,0
2013-05-15,17:00:00,14.067,14.067,14.067,14.067,599,0
2013-05-15,18:00:00,14.105,14.124,14.086,14.124,1375,0
2013-05-15,19:00:00,14.133,14.133,14.133,14.133,423,0
2013-05-15,20:00:00,14.124,14.124,14.124,14.124,263,0
2013-05-15,22:00:00,14.114,14.114,14.114,14.114,106,0
2013-05-16,16:00:00,13.689,13.689,13.689,13.689,529,0
2013-05-16,20:00:00,13.944,13.944,13.878,13.944,423,0
2013-05-16,21:00:00,13.963,13.963,13.925,13.925,1798,0
2013-05-17,19:00:00,13.736,13.736,13.736,13.736,1786,0
2013-05-17,20:00:00,13.708,13.708,13.708,13.708,159,0
2013-05-17,21:00:00,13.727,13.727,13.727,13.727,2116,0
2013-05-20,16:00:00,13.689,13.746,13.689,13.746,318,0
2013-05-20,22:00:00,13.755,13.755,13.755,13.755,318,0
2013-05-21,19:00:00,13.774,13.774,13.774,13.774,1058,0
2013-05-22,16:00:00,13.746,13.746,13.746,13.746,423,0
2013-05-22,21:00:00,13.651,13.651,13.642,13.642,318,0
2013-05-23,16:00:00,13.49,13.49,13.49,13.49,106,0
2013-05-23,20:00:00,13.698,13.698,13.698,13.698,106,0
2013-05-23,21:00:00,13.481,13.481,13.481,13.481,200,0
2013-05-29,17:00:00,13.519,13.519,13.519,13.519,318,0
2013-05-29,20:00:00,13.519,13.519,13.519,13.519,106,0
2013-05-30,20:00:00,13.623,13.623,13.623,13.623,106,0
2013-05-31,17:00:00,13.623,13.661,13.623,13.661,790,0
2013-05-31,18:00:00,13.604,13.613,13.519,13.519,941,0
2013-05-31,19:00:00,13.594,13.594,13.576,13.576,305,0
2013-05-31,20:00:00,13.538,13.538,13.538,13.538,106,0
2013-05-31,21:00:00,13.519,13.519,13.481,13.481,720,0
2013-05-31,22:00:00,13.5,13.5,13.5,13.5,106,0
2013-06-03,17:00:00,13.566,13.566,13.566,13.566,740,0
2013-06-03,20:00:00,13.538,13.538,13.538,13.538,181,0
2013-06-06,17:00:00,13.405,13.405,13.405,13.405,211,0
2013-06-06,19:00:00,13.424,13.424,13.424,13.424,529,0
2013-06-07,22:00:00,13.472,13.472,13.472,13.472,414,0
2013-06-10,18:00:00,13.349,13.349,13.349,13.349,106,0
2013-06-11,16:00:00,13.273,13.273,13.235,13.235,211,0
2013-06-11,17:00:00,13.226,13.226,13.216,13.216,847,0
2013-06-11,19:00:00,13.254,13.254,13.254,13.254,106,0
2013-06-11,21:00:00,13.207,13.207,13.207,13.207,154,0
2013-06-13,21:00:00,13.056,13.056,13.056,13.056,191,0
2013-06-17,19:00:00,13.245,13.245,13.245,13.245,688,0
2013-06-18,22:00:00,13.301,13.301,13.301,13.301,119,0
2013-06-19,16:00:00,13.15,13.15,13.15,13.15,567,0
2013-06-19,18:00:00,13.084,13.084,13.084,13.084,106,0
2013-06-19,21:00:00,13.046,13.046,12.999,12.999,783,0
2013-06-20,16:00:00,12.677,12.687,12.677,12.687,211,0
2013-06-21,18:00:00,12.384,12.384,12.384,12.384,437,0
2013-06-24,17:00:00,12.148,12.148,12.148,12.148,211,0
2013-06-25,19:00:00,11.959,11.959,11.959,11.959,211,0
2013-06-25,20:00:00,11.95,11.95,11.95,11.95,296,0
2013-06-26,18:00:00,12.101,12.101,12.101,12.101,106,0
2013-06-26,19:00:00,11.931,12.176,11.931,12.12,2209,0
2013-06-27,20:00:00,12.082,12.082,12.082,12.082,211,0
2013-06-27,21:00:00,12.082,12.082,12.082,12.082,106,0
2013-07-03,17:00:00,12.044,12.044,12.044,12.044,159,0
2013-07-05,20:00:00,12.63,12.63,12.63,12.63,291,0
2013-07-05,21:00:00,12.29,12.29,12.224,12.224,529,0
2013-07-08,16:00:00,12.243,12.243,12.243,12.243,159,0
