Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-03-18,17:00:00,14.1,14.1,14.1,14.1,1029,0
2014-03-18,18:00:00,14.091,14.091,14.091,14.091,1551,0
2014-03-18,21:00:00,14.227,14.236,14.227,14.236,412,0
2014-03-19,17:00:00,14.314,14.314,14.295,14.295,1317,0
2014-03-19,19:00:00,14.343,14.401,14.343,14.392,3080,0
2014-03-20,16:00:00,14.392,14.392,14.392,14.392,103,0
2014-03-20,18:00:00,14.401,14.421,14.401,14.411,527,0
2014-03-20,19:00:00,14.363,14.363,14.363,14.363,370,0
2014-03-20,21:00:00,14.479,14.479,14.479,14.479,103,0
2014-03-21,16:00:00,14.44,14.46,14.44,14.46,515,0
2014-03-21,17:00:00,14.528,14.528,14.528,14.528,978,0
2014-03-21,18:00:00,14.547,14.547,14.547,14.547,926,0
2014-03-21,19:00:00,14.489,14.489,14.489,14.489,212,0
2014-03-24,16:00:00,14.421,14.421,14.421,14.421,823,0
2014-03-25,15:00:00,14.557,14.674,14.557,14.674,1696,0
2014-03-25,17:00:00,14.664,14.693,14.664,14.693,1235,0
2014-03-25,18:00:00,14.615,14.615,14.615,14.615,103,0
2014-03-26,16:00:00,14.712,14.712,14.703,14.703,702,0
2014-03-26,18:00:00,14.761,14.761,14.761,14.761,1636,0
2014-03-26,20:00:00,14.538,14.538,14.538,14.538,540,0
2014-03-26,21:00:00,14.606,14.606,14.547,14.547,746,0
2014-03-27,15:00:00,14.839,14.839,14.839,14.839,720,0
2014-03-27,16:00:00,14.936,14.936,14.936,14.936,936,0
2014-03-27,18:00:00,15.091,15.091,15.091,15.091,116,0
2014-03-27,21:00:00,15.208,15.208,15.208,15.208,206,0
2014-03-28,15:00:00,15.296,15.296,15.296,15.296,1081,0
2014-03-28,16:00:00,15.451,15.451,15.451,15.451,309,0
2014-03-31,17:00:00,15.529,15.529,15.529,15.529,6507,0
2014-03-31,20:00:00,15.577,15.577,15.577,15.577,206,0
2014-03-31,21:00:00,15.606,15.606,15.587,15.587,2161,0
2014-03-31,22:00:00,15.577,15.577,15.577,15.577,1029,0
2014-04-01,19:00:00,15.49,15.49,15.441,15.441,1834,0
2014-04-01,22:00:00,15.48,15.48,15.48,15.48,120,0
2014-04-02,18:00:00,15.568,15.636,15.568,15.636,4734,0
2014-04-02,19:00:00,15.645,15.645,15.645,15.645,309,0
2014-04-03,16:00:00,15.713,15.713,15.713,15.713,216,0
2014-04-03,18:00:00,15.587,15.597,15.587,15.597,3195,0
2014-04-03,21:00:00,15.558,15.577,15.548,15.577,617,0
2014-04-04,17:00:00,16.073,16.131,16.073,16.102,866,0
2014-04-04,18:00:00,16.024,16.024,16.024,16.024,1544,0
2014-04-04,21:00:00,16.073,16.073,15.898,15.927,2032,0
2014-04-04,22:00:00,15.917,15.937,15.869,15.869,3190,0
2014-04-07,16:00:00,16.151,16.151,16.073,16.073,1858,0
2014-04-07,18:00:00,16.209,16.209,16.209,16.209,206,0
2014-04-07,20:00:00,16.122,16.122,16.122,16.122,617,0
2014-04-08,17:00:00,16.316,16.364,16.316,16.335,1416,0
2014-04-08,20:00:00,16.326,16.326,16.326,16.326,103,0
2014-04-08,21:00:00,16.277,16.326,16.248,16.326,2975,0
2014-04-09,16:00:00,16.17,16.18,16.17,16.18,1564,0
2014-04-09,21:00:00,16.199,16.258,16.199,16.248,2058,0
2014-04-09,22:00:00,16.199,16.199,16.18,16.19,1029,0
2014-04-10,16:00:00,16.16,16.355,16.131,16.219,2386,0
2014-04-11,18:00:00,16.228,16.228,16.228,16.228,103,0
2014-04-11,21:00:00,16.258,16.258,16.258,16.258,309,0
2014-04-11,22:00:00,16.209,16.209,16.19,16.19,242,0
2014-04-14,17:00:00,16.267,16.267,16.258,16.258,515,0
2014-04-14,20:00:00,16.403,16.403,16.403,16.403,1034,0
2014-04-15,16:00:00,16.345,16.345,16.345,16.345,309,0
2014-04-15,20:00:00,15.733,15.752,15.733,15.743,7038,0
2014-04-15,21:00:00,15.791,15.791,15.791,15.791,103,0
2014-04-16,18:00:00,16.102,16.102,16.102,16.102,477,0
2014-04-17,21:00:00,16.131,16.131,16.122,16.131,1500,0
2014-04-22,18:00:00,16.102,16.17,16.102,16.17,1646,0
2014-04-22,19:00:00,16.18,16.209,16.17,16.209,4007,0
2014-04-22,21:00:00,16.112,16.199,16.112,16.112,939,0
2014-04-22,22:00:00,16.131,16.131,16.131,16.131,103,0
2014-04-23,17:00:00,15.947,15.947,15.947,15.947,309,0
2014-04-23,19:00:00,16.083,16.083,16.044,16.044,206,0
2014-04-23,22:00:00,16.053,16.053,16.053,16.053,103,0
2014-04-24,17:00:00,15.869,15.869,15.869,15.869,103,0
2014-04-24,18:00:00,15.995,15.995,15.937,15.937,490,0
2014-04-24,21:00:00,15.966,15.966,15.966,15.966,823,0
2014-04-25,16:00:00,15.937,15.937,15.937,15.937,6174,0
2014-04-25,20:00:00,15.801,15.801,15.694,15.694,7996,0
