Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-15,16:00:00,86.2,86.7,83.7,84.3,7097,0
2015-01-15,17:00:00,84.3,85.6,84,84,2430,0
2015-01-15,18:00:00,84,84,81.9,82.1,5793,0
2015-01-15,19:00:00,82.6,83,81,81.2,1682,0
2015-01-15,20:00:00,81.3,81.9,80.6,81.1,2280,0
2015-01-15,21:00:00,81.4,81.4,80.4,80.6,297,0
2015-01-15,22:00:00,81,81.3,79.9,80.1,2555,0
2015-01-16,16:00:00,84.5,86.7,84.3,85.5,3635,0
2015-01-16,17:00:00,86.1,87.6,85.3,87.5,7749,0
2015-01-16,18:00:00,86.5,87.2,85.3,85.6,2443,0
2015-01-16,19:00:00,85.8,86.5,85.7,86.3,1610,0
2015-01-16,20:00:00,87,87.5,86.2,86.6,1467,0
2015-01-16,21:00:00,86,86.1,85.8,86,786,0
2015-01-16,22:00:00,86.1,87.7,86.1,87.4,2896,0
2015-01-20,16:00:00,82.7,84.1,82.7,83.3,2005,0
2015-01-20,17:00:00,84,84,82.7,82.7,2715,0
2015-01-20,18:00:00,83.4,83.4,81.8,81.9,9868,0
2015-01-20,19:00:00,82.2,82.3,80.7,80.7,1992,0
2015-01-20,20:00:00,80.6,81.8,80.1,81.2,2315,0
2015-01-20,21:00:00,81.1,83,81.1,82.9,6010,0
2015-01-20,22:00:00,83.2,83.8,83,83.3,2736,0
2015-01-21,16:00:00,85.1,88.4,85,87.7,3887,0
2015-01-21,17:00:00,88.5,90.3,88.5,90,5657,0
2015-01-21,18:00:00,90,90.6,89.2,89.8,3378,0
2015-01-21,19:00:00,89.9,89.9,88.6,89.1,1180,0
2015-01-21,20:00:00,88.8,89.5,88.8,88.8,1130,0
2015-01-21,21:00:00,89,90.6,88.9,90.4,993,0
2015-01-21,22:00:00,90.3,93.1,90.2,91.6,4675,0
2015-01-22,16:00:00,96.5,96.9,93.2,94.3,7204,0
2015-01-22,17:00:00,95.2,98.2,95.2,97.5,6006,0
2015-01-22,18:00:00,96.8,96.8,94.2,94.4,4059,0
2015-01-22,19:00:00,94.1,95.4,93.4,95,1964,0
2015-01-22,20:00:00,94.8,94.8,92.8,93.2,2542,0
