Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-08,16:00:00,20.657,20.657,20.587,20.587,2640,0
2015-01-08,17:00:00,20.647,20.667,20.597,20.597,1963,0
2015-01-08,19:00:00,20.647,20.657,20.647,20.657,507,0
2015-01-08,20:00:00,20.647,20.647,20.597,20.647,1660,0
2015-01-08,21:00:00,20.617,20.657,20.597,20.657,15783,0
2015-01-08,22:00:00,20.647,20.657,20.607,20.657,5475,0
2015-01-09,16:00:00,20.637,20.637,20.637,20.637,1215,0
2015-01-09,17:00:00,20.647,20.647,20.597,20.597,1152,0
2015-01-09,18:00:00,20.627,20.677,20.627,20.637,867,0
2015-01-09,19:00:00,20.647,20.687,20.647,20.687,1936,0
2015-01-09,20:00:00,20.687,20.687,20.647,20.667,2720,0
2015-01-09,21:00:00,20.637,20.677,20.637,20.657,8042,0
2015-01-09,22:00:00,20.657,20.667,20.637,20.667,6060,0
2015-01-12,16:00:00,20.637,20.637,20.637,20.637,627,0
2015-01-12,17:00:00,20.687,20.726,20.687,20.726,1520,0
2015-01-12,18:00:00,20.726,20.726,20.716,20.726,811,0
2015-01-12,19:00:00,20.726,20.726,20.726,20.726,306,0
2015-01-12,20:00:00,20.726,20.744,20.667,20.735,2249,0
2015-01-12,21:00:00,20.744,20.744,20.677,20.707,15647,0
2015-01-12,22:00:00,20.677,20.753,20.677,20.753,32839,0
2015-01-13,16:00:00,20.716,20.726,20.716,20.726,1267,0
2015-01-13,17:00:00,20.726,20.735,20.726,20.726,8770,0
2015-01-13,18:00:00,20.716,20.726,20.687,20.726,6474,0
2015-01-13,19:00:00,20.726,20.726,20.726,20.726,252,0
2015-01-13,20:00:00,20.726,20.744,20.667,20.744,4255,0
2015-01-13,21:00:00,20.744,20.753,20.726,20.726,8618,0
2015-01-13,22:00:00,20.753,20.753,20.726,20.744,12917,0
2015-01-14,16:00:00,20.833,20.843,20.833,20.843,2127,0
2015-01-14,17:00:00,20.843,20.843,20.793,20.813,9317,0
2015-01-14,18:00:00,20.793,20.823,20.793,20.823,2505,0
2015-01-14,19:00:00,20.813,20.823,20.813,20.823,883,0
2015-01-14,20:00:00,20.823,20.833,20.783,20.803,3555,0
2015-01-14,21:00:00,20.803,20.813,20.773,20.773,5525,0
2015-01-14,22:00:00,20.763,20.803,20.753,20.793,13107,0
2015-01-15,16:00:00,20.823,20.823,20.823,20.823,3583,0
2015-01-15,17:00:00,20.783,20.853,20.773,20.853,2866,0
2015-01-15,18:00:00,20.853,20.853,20.843,20.853,4357,0
2015-01-15,19:00:00,20.853,20.922,20.853,20.922,4408,0
2015-01-15,20:00:00,20.843,20.902,20.843,20.883,13047,0
2015-01-15,21:00:00,20.873,20.873,20.853,20.853,5415,0
2015-01-15,22:00:00,20.912,20.932,20.893,20.893,12896,0
2015-01-16,16:00:00,20.803,20.813,20.783,20.803,5053,0
2015-01-16,17:00:00,20.735,20.744,20.726,20.744,2533,0
2015-01-16,18:00:00,20.744,20.783,20.744,20.783,3467,0
2015-01-16,19:00:00,20.803,20.813,20.803,20.813,898,0
2015-01-16,20:00:00,20.803,20.823,20.716,20.753,15166,0
2015-01-16,21:00:00,20.753,20.753,20.726,20.735,2417,0
2015-01-16,22:00:00,20.735,20.744,20.716,20.726,5048,0
2015-01-20,16:00:00,20.833,20.843,20.833,20.843,959,0
2015-01-20,17:00:00,20.833,20.863,20.833,20.863,1319,0
2015-01-20,18:00:00,20.863,20.863,20.863,20.863,4336,0
2015-01-20,19:00:00,20.863,20.863,20.853,20.863,2966,0
2015-01-20,20:00:00,20.863,20.863,20.783,20.823,8697,0
2015-01-20,21:00:00,20.833,20.833,20.744,20.813,10755,0
2015-01-20,22:00:00,20.803,20.813,20.753,20.813,9197,0
2015-01-21,16:00:00,20.813,20.813,20.803,20.803,405,0
2015-01-21,17:00:00,20.843,20.843,20.773,20.833,7254,0
2015-01-21,18:00:00,20.813,20.813,20.744,20.773,2417,0
2015-01-21,19:00:00,20.783,20.783,20.716,20.773,3414,0
2015-01-21,20:00:00,20.744,20.753,20.687,20.753,1460,0
2015-01-21,21:00:00,20.783,20.783,20.744,20.773,2590,0
2015-01-21,22:00:00,20.773,20.773,20.735,20.744,2578,0
2015-01-22,16:00:00,20.863,20.863,20.773,20.773,3123,0
2015-01-22,17:00:00,20.773,20.803,20.753,20.803,18731,0
2015-01-22,18:00:00,20.813,20.813,20.753,20.793,2119,0
2015-01-22,19:00:00,20.783,20.783,20.783,20.783,2303,0
