Date,Time,Open,High,Low,Close,Volume,OpenInt
2013-03-11,16:00:00,25.36,25.36,25.36,25.36,929,0
2013-03-13,20:00:00,25.64,25.64,25.64,25.64,300,0
2013-03-13,21:00:00,25.62,25.62,25.62,25.62,165,0
2013-03-14,15:00:00,25.59,25.65,25.59,25.65,665,0
2013-03-21,19:00:00,25.72,25.72,25.72,25.72,300,0
2013-03-21,20:00:00,25.73,25.73,25.73,25.73,100,0
2013-03-21,21:00:00,25.72,25.73,25.72,25.72,1100,0
2013-03-22,21:00:00,25.82,25.82,25.82,25.82,500,0
2013-03-26,20:00:00,25.91,25.91,25.91,25.91,500,0
2013-04-01,17:00:00,25.63,25.65,25.63,25.64,6400,0
2013-04-01,21:00:00,25.67,25.67,25.67,25.67,245,0
2013-04-01,22:00:00,25.92,25.92,25.92,25.92,300,0
2013-04-03,18:00:00,25.84,25.84,25.84,25.84,1715,0
2013-04-10,18:00:00,25.89,25.89,25.89,25.89,116,0
2013-04-10,19:00:00,25.75,25.75,25.75,25.75,780,0
2013-04-10,20:00:00,25.7,25.7,25.69,25.69,800,0
2013-04-11,17:00:00,25.75,25.75,25.75,25.75,213,0
2013-04-17,19:00:00,25.47,25.47,25.47,25.47,123,0
2013-04-17,20:00:00,25.33,25.33,25.33,25.33,400,0
2013-04-23,17:00:00,25.38,25.38,25.38,25.38,100,0
2013-04-29,21:00:00,25.72,25.76,25.72,25.76,500,0
2013-04-29,22:00:00,25.72,25.72,25.67,25.67,400,0
2013-04-30,17:00:00,25.77,25.77,25.72,25.75,1000,0
2013-05-01,16:00:00,25.79,25.79,25.78,25.78,1100,0
2013-05-01,18:00:00,25.73,25.73,25.73,25.73,200,0
2013-05-01,22:00:00,25.69,25.69,25.69,25.69,100,0
2013-05-07,17:00:00,25.87,25.94,25.87,25.9,800,0
2013-05-07,18:00:00,26.12,26.12,26.12,26.12,440,0
2013-05-09,18:00:00,26.02,26.02,26.02,26.02,450,0
2013-05-10,22:00:00,26.01,26.01,26.01,26.01,787,0
2013-05-14,17:00:00,25.78,25.78,25.78,25.78,2058,0
2013-05-14,18:00:00,25.79,25.85,25.79,25.83,3100,0
2013-05-15,20:00:00,25.8,25.8,25.8,25.8,100,0
2013-05-16,19:00:00,25.98,26.1,25.98,26.06,1900,0
2013-05-16,20:00:00,26.1,26.1,26.02,26.06,1200,0
2013-05-16,21:00:00,25.95,26.05,25.94,26.0,4800,0
2013-05-17,22:00:00,26.07,26.16,25.98,25.98,2900,0
2013-05-20,19:00:00,26.31,26.31,26.31,26.31,1000,0
2013-05-21,21:00:00,26.08,26.14,26.08,26.13,3108,0
2013-05-22,21:00:00,26.41,26.41,26.41,26.41,100,0
2013-05-23,20:00:00,26.3,26.3,26.28,26.28,200,0
2013-05-23,22:00:00,26.15,26.15,26.15,26.15,200,0
2013-05-28,19:00:00,26.46,26.46,26.46,26.46,500,0
2013-05-29,22:00:00,26.48,26.6,26.47,26.6,2300,0
2013-05-30,17:00:00,26.65,26.65,26.53,26.6,2900,0
2013-05-30,20:00:00,26.8,26.8,26.8,26.8,600,0
2013-05-31,17:00:00,26.95,26.95,26.95,26.95,1000,0
2013-06-03,16:00:00,26.94,26.96,26.93,26.95,1169,0
2013-06-03,17:00:00,26.95,26.95,26.95,26.95,500,0
2013-06-03,18:00:00,26.95,26.96,26.95,26.96,1900,0
2013-06-04,19:00:00,27.11,27.11,27.11,27.11,867,0
2013-06-05,22:00:00,27.11,27.12,27.11,27.12,1000,0
2013-06-06,16:00:00,27.08,27.08,27.08,27.08,1100,0
2013-06-06,17:00:00,27.09,27.09,27.03,27.03,1250,0
2013-06-06,20:00:00,27.04,27.04,26.99,26.99,1157,0
2013-06-07,19:00:00,27.12,27.23,27.12,27.22,3705,0
2013-06-07,20:00:00,27.12,27.12,27.12,27.12,100,0
2013-06-07,22:00:00,26.99,27.08,26.99,27.08,500,0
2013-06-10,16:00:00,27.21,28.0,27.07,27.07,6528,0
2013-06-10,17:00:00,27.18,27.18,27.18,27.18,516,0
2013-06-10,18:00:00,27.19,27.19,27.19,27.19,100,0
2013-06-10,22:00:00,27.21,27.21,27.1,27.1,3300,0
2013-06-11,19:00:00,27.14,27.14,27.14,27.14,3690,0
2013-06-11,20:00:00,27.08,27.08,27.02,27.04,1100,0
2013-06-11,21:00:00,27.04,27.07,27.04,27.07,500,0
2013-06-12,19:00:00,27.12,27.12,27.12,27.12,200,0
2013-06-12,20:00:00,27.1,27.1,27.03,27.05,1000,0
2013-06-12,22:00:00,27.05,27.15,27.05,27.15,400,0
2013-06-13,18:00:00,27.18,27.18,27.1,27.1,900,0
2013-06-13,19:00:00,27.1,27.14,27.1,27.14,900,0
2013-06-13,20:00:00,27.26,27.27,27.11,27.21,7202,0
2013-06-13,21:00:00,27.19,27.21,27.08,27.15,11000,0
2013-06-13,22:00:00,27.19,27.32,27.13,27.32,2800,0
2013-06-14,16:00:00,27.05,27.05,27.04,27.04,600,0
2013-06-14,17:00:00,27.02,27.02,27.02,27.02,100,0
2013-06-14,18:00:00,27.01,27.01,27.01,27.01,200,0
2013-06-14,21:00:00,27.15,27.18,27.15,27.18,1160,0
2013-06-14,22:00:00,27.15,27.16,27.15,27.16,600,0
2013-06-17,17:00:00,27.12,27.12,27.12,27.12,1000,0
2013-06-17,22:00:00,27.06,27.06,27.06,27.06,800,0
2013-06-18,16:00:00,26.69,26.8,26.69,26.79,4100,0
2013-06-18,17:00:00,26.79,26.79,26.79,26.79,5800,0
2013-06-19,16:00:00,26.77,26.77,26.77,26.77,1500,0
2013-06-19,21:00:00,26.95,26.95,26.95,26.95,100,0
2013-06-19,22:00:00,27.09,27.09,27.09,27.09,150,0
2013-06-20,16:00:00,27.0,27.35,27.0,27.2,1000,0
2013-06-20,17:00:00,27.21,27.21,27.2,27.2,200,0
2013-06-20,18:00:00,27.26,27.26,27.26,27.26,100,0
2013-06-20,20:00:00,27.27,27.27,27.27,27.27,350,0
2013-06-20,22:00:00,27.22,27.34,27.22,27.34,900,0
