Date,Time,Open,High,Low,Close,Volume,OpenInt
2012-12-31,16:00:00,13.895,13.895,13.895,13.895,1357,0
2013-01-02,16:00:00,14.422,14.422,14.422,14.422,1566,0
2013-01-02,20:00:00,14.709,14.709,14.632,14.709,3052,0
2013-01-02,21:00:00,14.565,14.632,14.546,14.604,4488,0
2013-01-02,22:00:00,14.69,14.69,14.69,14.69,522,0
2013-01-03,21:00:00,14.527,14.527,14.527,14.527,104,0
2013-01-03,22:00:00,14.7,14.709,14.69,14.709,991,0
2013-01-04,18:00:00,14.661,14.661,14.661,14.661,110,0
2013-01-07,16:00:00,14.652,14.652,14.652,14.652,104,0
2013-01-07,17:00:00,14.652,14.652,14.652,14.652,209,0
2013-01-07,18:00:00,14.652,14.652,14.652,14.652,209,0
2013-01-08,16:00:00,14.326,14.355,14.326,14.355,593,0
2013-01-08,19:00:00,14.441,14.441,14.441,14.441,939,0
2013-01-08,22:00:00,14.47,14.47,14.45,14.45,418,0
2013-01-09,21:00:00,14.652,14.652,14.652,14.652,261,0
2013-01-09,22:00:00,14.517,14.575,14.47,14.565,46105,0
2013-01-10,17:00:00,14.747,14.747,14.747,14.747,104,0
2013-01-10,19:00:00,14.661,14.661,14.661,14.661,2087,0
2013-01-11,20:00:00,14.556,14.556,14.355,14.355,410,0
2013-01-11,21:00:00,14.556,14.556,14.556,14.556,344,0
2013-01-14,18:00:00,14.489,14.489,14.489,14.489,1044,0
2013-01-15,16:00:00,14.489,14.489,14.489,14.489,407,0
2013-01-15,17:00:00,14.441,14.441,14.441,14.441,104,0
2013-01-16,19:00:00,14.326,14.326,14.153,14.153,7504,0
2013-01-16,20:00:00,14.278,14.278,14.278,14.278,313,0
2013-01-17,18:00:00,14.335,14.335,14.335,14.335,626,0
2013-01-22,16:00:00,14.585,14.585,14.585,14.585,125,0
2013-01-22,21:00:00,14.585,14.585,14.585,14.585,162,0
2013-01-23,18:00:00,14.623,14.623,14.623,14.623,418,0
2013-01-24,16:00:00,14.757,14.757,14.757,14.757,363,0
2013-01-24,17:00:00,14.815,14.815,14.815,14.815,104,0
2013-01-24,19:00:00,14.747,14.747,14.747,14.747,851,0
2013-01-25,17:00:00,14.747,14.747,14.68,14.68,939,0
2013-01-25,19:00:00,14.623,14.632,14.623,14.632,522,0
2013-01-28,17:00:00,14.642,14.642,14.642,14.642,1148,0
2013-01-28,18:00:00,14.623,14.642,14.623,14.642,1044,0
2013-01-28,19:00:00,14.671,14.671,14.671,14.671,183,0
2013-01-28,21:00:00,14.671,14.671,14.661,14.661,1005,0
2013-01-29,21:00:00,14.939,14.939,14.939,14.939,626,0
2013-01-29,22:00:00,14.901,14.901,14.901,14.901,2087,0
2013-01-30,17:00:00,14.901,14.901,14.901,14.901,1566,0
2013-01-30,18:00:00,14.815,14.815,14.815,14.815,418,0
2013-01-31,16:00:00,14.757,14.757,14.757,14.757,1044,0
2013-01-31,21:00:00,14.786,14.843,14.786,14.843,835,0
2013-02-01,17:00:00,14.901,14.901,14.901,14.901,184,0
2013-02-01,20:00:00,14.968,14.968,14.92,14.92,209,0
2013-02-04,17:00:00,14.747,14.795,14.575,14.575,8870,0
2013-02-04,18:00:00,14.585,14.585,14.498,14.498,1044,0
2013-02-05,18:00:00,14.517,14.517,14.517,14.517,109,0
2013-02-06,21:00:00,14.613,14.613,14.613,14.613,1044,0
2013-02-07,17:00:00,14.498,14.498,14.498,14.498,730,0
2013-02-07,18:00:00,14.479,14.479,14.479,14.479,104,0
2013-02-08,21:00:00,14.508,14.508,14.508,14.508,209,0
2013-02-12,20:00:00,14.623,14.623,14.623,14.623,334,0
2013-02-15,21:00:00,14.709,14.709,14.709,14.709,506,0
2013-02-19,18:00:00,14.489,14.498,14.46,14.489,2505,0
2013-02-25,17:00:00,14.345,14.345,14.345,14.345,522,0
2013-02-25,19:00:00,14.192,14.192,14.192,14.192,157,0
2013-02-28,21:00:00,14.431,14.431,14.431,14.431,1044,0
2013-03-01,21:00:00,14.412,14.412,14.412,14.412,522,0
2013-03-05,16:00:00,14.613,14.613,14.613,14.613,209,0
2013-03-05,17:00:00,14.565,14.575,14.565,14.575,1044,0
2013-03-05,19:00:00,14.661,14.661,14.661,14.661,104,0
2013-03-05,22:00:00,14.556,14.594,14.556,14.594,2192,0
2013-03-06,16:00:00,14.517,14.537,14.489,14.498,2171,0
2013-03-06,18:00:00,14.498,14.498,14.498,14.498,1044,0
2013-03-06,21:00:00,14.517,14.517,14.517,14.517,313,0
2013-03-08,16:00:00,14.613,14.613,14.613,14.613,108,0
2013-03-08,17:00:00,14.546,14.546,14.546,14.546,108,0
2013-03-11,15:00:00,14.412,14.431,14.412,14.431,210,0
