Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-06,16:00:00,12.63,12.63,12.63,12.63,2500,0
2015-01-06,17:00:00,12.62,12.65,12.58,12.58,700,0
2015-01-06,18:00:00,12.57,12.57,12.49,12.49,21345,0
2015-01-06,19:00:00,12.47,12.47,12.47,12.47,600,0
2015-01-06,20:00:00,12.44,12.44,12.44,12.44,1137,0
2015-01-06,21:00:00,12.45,12.52,12.44,12.51,7100,0
2015-01-06,22:00:00,12.55,12.56,12.51,12.53,14325,0
2015-01-07,16:00:00,12.66,12.67,12.61,12.67,1600,0
2015-01-07,17:00:00,12.67,12.69,12.65,12.65,1400,0
2015-01-07,18:00:00,12.6,12.63,12.58,12.63,1100,0
2015-01-07,19:00:00,12.65,12.65,12.65,12.65,200,0
2015-01-07,20:00:00,12.65,12.65,12.65,12.65,370,0
2015-01-07,21:00:00,12.64,12.64,12.63,12.63,500,0
2015-01-07,22:00:00,12.63,12.65,12.61,12.65,17792,0
2015-01-08,16:00:00,12.73,12.77,12.73,12.76,3800,0
2015-01-08,17:00:00,12.79,12.79,12.78,12.78,990,0
2015-01-08,18:00:00,12.79,12.81,12.76,12.76,5544,0
2015-01-08,19:00:00,12.76,12.76,12.75,12.76,400,0
2015-01-08,20:00:00,12.77,12.78,12.76,12.76,2590,0
2015-01-08,21:00:00,12.76,12.77,12.76,12.77,3000,0
2015-01-08,22:00:00,12.78,12.79,12.76,12.76,3301,0
2015-01-09,16:00:00,12.79,12.79,12.79,12.79,4200,0
2015-01-09,17:00:00,12.77,12.77,12.76,12.77,9628,0
2015-01-09,18:00:00,12.75,12.75,12.71,12.75,9600,0
2015-01-09,19:00:00,12.75,12.75,12.73,12.73,6700,0
2015-01-09,20:00:00,12.73,12.73,12.73,12.73,500,0
2015-01-09,22:00:00,12.75,12.76,12.75,12.76,3274,0
2015-01-12,16:00:00,12.75,12.76,12.7,12.7,22268,0
2015-01-12,17:00:00,12.7,12.72,12.68,12.68,16388,0
2015-01-12,18:00:00,12.7,12.71,12.67,12.67,7077,0
2015-01-12,19:00:00,12.67,12.68,12.67,12.67,1504,0
2015-01-12,20:00:00,12.66,12.67,12.65,12.66,1943,0
2015-01-12,21:00:00,12.66,12.66,12.62,12.63,3400,0
2015-01-12,22:00:00,12.64,12.67,12.64,12.67,6588,0
2015-01-13,16:00:00,12.83,12.89,12.83,12.87,5014,0
2015-01-13,17:00:00,12.87,12.88,12.86,12.86,5500,0
2015-01-13,18:00:00,12.85,12.85,12.83,12.84,3125,0
2015-01-13,19:00:00,12.84,12.84,12.8,12.81,1400,0
2015-01-13,20:00:00,12.81,12.81,12.69,12.7,2900,0
2015-01-13,21:00:00,12.69,12.72,12.65,12.71,10410,0
2015-01-13,22:00:00,12.68,12.76,12.67,12.75,4700,0
2015-01-14,16:00:00,12.68,12.68,12.63,12.66,3630,0
2015-01-14,17:00:00,12.64,12.72,12.64,12.68,4400,0
2015-01-14,18:00:00,12.67,12.67,12.63,12.63,6500,0
2015-01-14,19:00:00,12.62,12.63,12.6,12.62,8994,0
2015-01-14,20:00:00,12.62,12.62,12.59,12.6,3000,0
2015-01-14,21:00:00,12.6,12.67,12.6,12.65,3615,0
2015-01-14,22:00:00,12.63,12.66,12.61,12.61,14520,0
2015-01-15,16:00:00,12.72,12.72,12.66,12.66,11556,0
2015-01-15,17:00:00,12.66,12.7,12.64,12.64,3200,0
2015-01-15,18:00:00,12.63,12.63,12.59,12.6,3200,0
2015-01-15,19:00:00,12.6,12.61,12.55,12.55,3500,0
2015-01-15,20:00:00,12.57,12.59,12.54,12.56,1700,0
2015-01-15,21:00:00,12.55,12.56,12.55,12.56,1700,0
2015-01-15,22:00:00,12.58,12.58,12.53,12.54,6658,0
2015-01-16,16:00:00,12.33,12.46,12.33,12.44,10230,0
2015-01-16,17:00:00,12.41,12.46,12.4,12.46,4000,0
2015-01-16,18:00:00,12.46,12.49,12.46,12.46,2700,0
2015-01-16,19:00:00,12.46,12.47,12.42,12.46,2000,0
2015-01-16,20:00:00,12.46,12.46,12.43,12.44,1926,0
2015-01-16,21:00:00,12.44,12.47,12.43,12.45,8250,0
2015-01-16,22:00:00,12.45,12.49,12.43,12.49,5248,0
2015-01-20,16:00:00,12.49,12.49,12.45,12.45,3200,0
2015-01-20,17:00:00,12.45,12.47,12.45,12.45,3861,0
2015-01-20,18:00:00,12.46,12.47,12.44,12.44,1463,0
