Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-06-03,17:00:00,25.694,25.694,25.694,25.694,876,0
2015-06-03,21:00:00,25.792,25.792,25.739,25.739,483,0
2015-06-03,22:00:00,25.701,25.701,25.701,25.701,207,0
2015-06-04,17:00:00,25.694,25.694,25.667,25.667,719,0
2015-06-04,18:00:00,25.604,25.702,25.604,25.702,499,0
2015-06-04,21:00:00,25.604,25.604,25.604,25.604,238,0
2015-06-04,22:00:00,25.604,25.703,25.604,25.703,1104,0
2015-06-05,20:00:00,25.63,25.63,25.63,25.63,422,0
2015-06-05,21:00:00,25.614,25.614,25.614,25.614,213,0
2015-06-05,22:00:00,25.653,25.672,25.632,25.672,5345,0
2015-06-08,18:00:00,25.663,25.663,25.663,25.663,111,0
2015-06-08,21:00:00,25.524,25.633,25.524,25.633,1790,0
2015-06-09,18:00:00,25.534,25.534,25.514,25.514,2272,0
2015-06-09,21:00:00,25.514,25.554,25.514,25.545,1167,0
2015-06-10,17:00:00,25.493,25.493,25.493,25.493,108,0
2015-06-10,18:00:00,25.564,25.564,25.564,25.564,1007,0
2015-06-10,19:00:00,25.488,25.488,25.488,25.488,197,0
2015-06-10,20:00:00,25.496,25.564,25.455,25.455,597,0
2015-06-10,21:00:00,25.564,25.564,25.564,25.564,168,0
2015-06-10,22:00:00,25.498,25.498,25.498,25.498,206,0
2015-06-11,18:00:00,25.48,25.524,25.48,25.524,499,0
2015-06-11,20:00:00,25.514,25.524,25.514,25.524,1928,0
2015-06-11,21:00:00,25.49,25.49,25.445,25.445,890,0
2015-06-11,22:00:00,25.445,25.445,25.445,25.445,100,0
2015-06-12,18:00:00,25.505,25.505,25.505,25.505,38897,0
2015-06-12,19:00:00,25.514,25.604,25.514,25.604,202,0
2015-06-12,21:00:00,25.505,25.531,25.505,25.531,593,0
2015-06-15,16:00:00,25.495,25.495,25.495,25.495,631,0
2015-06-15,17:00:00,25.505,25.505,25.505,25.505,355,0
2015-06-15,18:00:00,25.505,25.505,25.505,25.505,202,0
2015-06-15,19:00:00,25.508,25.508,25.508,25.508,644,0
2015-06-15,20:00:00,25.508,25.508,25.508,25.508,100,0
2015-06-15,21:00:00,25.505,25.549,25.505,25.519,2930,0
2015-06-15,22:00:00,25.505,25.544,25.495,25.495,626,0
2015-06-16,16:00:00,25.574,25.574,25.574,25.574,396,0
2015-06-16,17:00:00,25.544,25.544,25.544,25.544,100,0
2015-06-16,18:00:00,25.545,25.545,25.476,25.476,479,0
2015-06-16,21:00:00,25.524,25.524,25.475,25.475,1360,0
2015-06-16,22:00:00,25.564,25.564,25.564,25.564,100,0
2015-06-17,16:00:00,25.587,25.587,25.587,25.587,202,0
2015-06-17,17:00:00,25.604,25.604,25.604,25.604,302,0
2015-06-17,19:00:00,25.505,25.505,25.494,25.494,1256,0
2015-06-17,21:00:00,25.726,25.726,25.726,25.726,624,0
2015-06-17,22:00:00,25.495,25.594,25.495,25.594,678,0
2015-06-18,16:00:00,25.564,25.564,25.564,25.564,100,0
2015-06-18,17:00:00,25.614,25.614,25.564,25.572,4560,0
2015-06-18,18:00:00,25.565,25.572,25.544,25.572,2077,0
2015-06-18,19:00:00,25.614,25.614,25.614,25.614,202,0
2015-06-18,21:00:00,25.545,25.588,25.545,25.588,2386,0
2015-06-18,22:00:00,25.554,25.579,25.554,25.558,1694,0
2015-06-19,16:00:00,25.514,25.634,25.514,25.634,419,0
2015-06-19,18:00:00,25.608,25.613,25.514,25.613,4968,0
2015-06-19,19:00:00,25.575,25.575,25.514,25.564,684,0
2015-06-19,20:00:00,25.604,25.604,25.564,25.564,724,0
2015-06-19,21:00:00,25.515,25.622,25.515,25.622,1608,0
2015-06-19,22:00:00,25.584,25.633,25.514,25.514,1260,0
2015-06-22,19:00:00,25.629,25.663,25.629,25.663,312,0
2015-06-22,20:00:00,25.614,25.653,25.614,25.614,1392,0
2015-06-22,21:00:00,25.614,25.653,25.614,25.614,2000,0
2015-06-22,22:00:00,25.663,25.663,25.614,25.653,410,0
2015-06-23,17:00:00,25.524,25.551,25.524,25.551,2014,0
2015-06-23,18:00:00,25.574,25.574,25.574,25.574,312,0
2015-06-23,19:00:00,25.524,25.608,25.524,25.604,2689,0
2015-06-23,21:00:00,25.603,25.603,25.559,25.559,968,0
2015-06-23,22:00:00,25.525,25.525,25.525,25.525,207,0
2015-06-24,18:00:00,25.475,25.505,25.475,25.505,567,0
2015-06-24,19:00:00,25.475,25.475,25.475,25.475,229,0
2015-06-24,21:00:00,25.506,25.514,25.506,25.514,919,0
2015-06-24,22:00:00,25.475,25.475,25.475,25.475,1812,0
2015-06-25,18:00:00,25.505,25.51,25.505,25.506,532,0
