Date,Time,Open,High,Low,Close,Volume,OpenInt
2013-03-27,19:00:00,24.0,24.0,24.0,24.0,100,0
2013-04-03,18:00:00,23.25,23.25,23.25,23.25,100,0
2013-04-04,16:00:00,22.9,23.09,22.89,23.09,689,0
2013-04-04,17:00:00,23.22,23.22,23.22,23.22,100,0
2013-04-04,18:00:00,23.39,23.39,23.39,23.39,100,0
2013-04-05,16:00:00,23.27,23.27,23.27,23.27,100,0
2013-04-05,20:00:00,23.31,23.31,23.31,23.31,250,0
2013-04-05,21:00:00,23.26,23.26,23.26,23.26,1900,0
2013-04-05,22:00:00,23.26,23.26,23.24,23.24,1800,0
2013-04-08,22:00:00,23.51,23.51,23.51,23.51,128,0
2013-04-10,17:00:00,23.86,23.86,23.85,23.85,1071,0
2013-04-10,19:00:00,23.76,23.76,23.76,23.76,250,0
2013-04-11,16:00:00,23.76,23.77,23.76,23.77,400,0
2013-04-11,18:00:00,23.68,23.68,23.68,23.68,100,0
2013-04-12,16:00:00,23.54,23.54,23.54,23.54,300,0
2013-04-12,17:00:00,23.45,23.45,23.29,23.29,700,0
2013-04-12,22:00:00,23.32,23.32,23.2,23.21,650,0
2013-04-15,16:00:00,22.56,22.56,22.56,22.56,210,0
2013-04-15,17:00:00,22.53,22.53,22.53,22.53,100,0
2013-04-15,20:00:00,22.82,22.82,22.82,22.82,1566,0
2013-04-15,21:00:00,22.77,22.84,22.77,22.84,350,0
2013-04-16,19:00:00,22.96,22.96,22.96,22.96,220,0
2013-04-16,21:00:00,22.98,22.98,22.98,22.98,6000,0
2013-04-17,18:00:00,22.25,22.25,22.22,22.22,775,0
2013-04-17,20:00:00,22.12,22.13,22.12,22.13,450,0
2013-04-18,17:00:00,21.83,21.83,21.83,21.83,100,0
2013-04-18,19:00:00,22.26,22.26,22.25,22.25,590,0
2013-04-19,21:00:00,21.86,21.87,21.86,21.87,4000,0
2013-04-22,16:00:00,21.7,21.7,21.7,21.7,200,0
2013-04-22,17:00:00,21.62,21.62,21.62,21.62,400,0
2013-04-22,20:00:00,21.69,21.69,21.68,21.68,4000,0
2013-04-22,21:00:00,21.74,21.74,21.74,21.74,500,0
2013-04-22,22:00:00,21.73,21.73,21.73,21.73,1550,0
2013-04-23,16:00:00,21.67,21.67,21.67,21.67,800,0
2013-04-23,17:00:00,21.67,21.67,21.54,21.56,911,0
2013-04-23,21:00:00,21.37,21.37,21.37,21.37,128,0
2013-04-24,22:00:00,21.89,21.89,21.89,21.89,100,0
2013-04-25,18:00:00,22.47,22.49,22.47,22.49,4650,0
2013-04-26,16:00:00,22.22,22.22,22.22,22.22,100,0
2013-04-26,17:00:00,22.26,22.26,22.23,22.23,300,0
2013-04-26,20:00:00,21.98,21.98,21.98,21.98,100,0
2013-04-26,22:00:00,21.99,21.99,21.97,21.97,1500,0
2013-04-29,16:00:00,23.01,23.01,22.27,22.27,328,0
2013-04-29,17:00:00,22.28,22.28,22.25,22.25,300,0
2013-04-29,18:00:00,22.24,22.24,22.24,22.24,2300,0
2013-04-29,21:00:00,22.21,22.21,22.21,22.21,370,0
2013-04-30,16:00:00,22.35,22.35,22.0,22.0,1151,0
2013-04-30,17:00:00,21.96,21.96,21.96,21.96,100,0
2013-04-30,21:00:00,22.0,22.0,22.0,22.0,400,0
2013-05-01,16:00:00,21.19,21.27,21.19,21.27,500,0
2013-05-01,18:00:00,21.3,21.3,21.3,21.3,200,0
2013-05-01,22:00:00,21.17,21.17,21.17,21.17,100,0
2013-05-03,16:00:00,22.58,22.61,22.57,22.57,1227,0
2013-05-03,17:00:00,22.56,22.7,22.56,22.65,4890,0
2013-05-03,18:00:00,22.75,22.75,22.75,22.75,100,0
2013-05-03,19:00:00,22.79,22.82,22.78,22.82,1000,0
2013-05-03,21:00:00,22.83,22.83,22.78,22.78,732,0
2013-05-03,22:00:00,22.82,22.84,22.8,22.84,700,0
2013-05-06,16:00:00,22.72,22.72,22.72,22.72,175,0
2013-05-06,17:00:00,22.75,22.75,22.75,22.75,2200,0
2013-05-06,19:00:00,22.85,22.85,22.78,22.79,13769,0
2013-05-06,20:00:00,22.79,22.79,22.72,22.72,6716,0
2013-05-07,17:00:00,22.62,22.62,22.53,22.53,500,0
2013-05-07,18:00:00,22.63,22.63,22.63,22.63,1000,0
2013-05-07,19:00:00,22.67,22.67,22.67,22.67,100,0
2013-05-07,20:00:00,22.78,22.78,22.78,22.78,500,0
2013-05-08,16:00:00,23.24,23.24,23.24,23.24,1000,0
2013-05-08,17:00:00,23.39,23.39,23.39,23.39,405,0
2013-05-08,18:00:00,23.27,23.27,23.27,23.27,200,0
2013-05-08,20:00:00,23.18,23.18,23.18,23.18,400,0
2013-05-08,22:00:00,23.08,23.08,23.08,23.08,100,0
2013-05-09,16:00:00,23.3,23.3,22.93,22.93,225,0
2013-05-09,17:00:00,22.99,23.01,22.99,23.01,300,0
2013-05-09,18:00:00,23.0,23.0,23.0,23.0,1100,0
2013-05-09,21:00:00,23.04,23.04,23.03,23.03,600,0
2013-05-10,17:00:00,23.03,23.03,23.03,23.03,200,0
2013-05-10,21:00:00,23.23,23.23,23.23,23.23,200,0
2013-05-13,18:00:00,23.19,23.19,23.19,23.19,135,0
2013-05-14,17:00:00,22.73,22.73,22.63,22.63,240,0
2013-05-14,18:00:00,22.62,22.62,22.62,22.62,356,0
2013-05-14,20:00:00,22.62,22.62,22.58,22.59,1320,0
2013-05-14,22:00:00,22.6,22.6,22.58,22.58,200,0
2013-05-15,17:00:00,22.55,22.55,22.22,22.33,1700,0
2013-05-16,16:00:00,22.47,22.47,22.47,22.47,200,0
2013-05-16,21:00:00,22.66,22.66,22.62,22.62,2000,0
2013-05-16,22:00:00,22.62,22.62,22.62,22.62,100,0
2013-05-17,21:00:00,22.83,22.83,22.83,22.83,500,0
2013-05-17,22:00:00,22.79,22.79,22.79,22.79,300,0
2013-05-21,18:00:00,22.95,22.95,22.95,22.95,100,0
2013-05-22,19:00:00,23.34,23.34,23.34,23.34,700,0
2013-05-24,22:00:00,22.67,22.67,22.67,22.67,800,0
2013-05-28,17:00:00,23.04,23.04,23.04,23.04,150,0
2013-05-28,19:00:00,22.8,22.81,22.8,22.81,500,0
2013-05-29,17:00:00,22.57,22.57,22.57,22.57,230,0
2013-05-30,18:00:00,22.94,22.94,22.94,22.94,140,0
2013-05-31,20:00:00,22.69,22.69,22.69,22.69,100,0
2013-06-03,20:00:00,22.82,22.82,22.82,22.82,499,0
2013-06-05,17:00:00,23.44,23.44,23.44,23.44,100,0
2013-06-06,16:00:00,22.73,23.0,22.73,22.95,950,0
2013-06-06,17:00:00,22.74,22.75,22.74,22.74,500,0
2013-06-07,16:00:00,22.46,22.46,22.46,22.46,100,0
2013-06-11,19:00:00,21.93,21.93,21.93,21.93,272,0
2013-06-11,21:00:00,21.93,21.93,21.93,21.93,100,0
2013-06-11,22:00:00,22.04,22.04,22.04,22.04,300,0
2013-06-12,19:00:00,22.2,22.2,22.2,22.2,100,0
2013-06-13,19:00:00,21.89,21.89,21.89,21.89,200,0
2013-06-13,21:00:00,21.88,21.88,21.88,21.88,100,0
2013-06-14,18:00:00,22.06,22.06,22.06,22.06,200,0
2013-06-14,19:00:00,21.68,21.68,21.68,21.68,200,0
2013-06-20,16:00:00,21.5,21.5,21.06,21.06,4300,0
2013-06-20,19:00:00,20.95,20.99,20.95,20.99,1700,0
2013-06-20,20:00:00,21.03,21.03,21.03,21.03,255,0
2013-06-20,22:00:00,20.92,20.93,20.92,20.93,300,0
2013-06-21,16:00:00,21.8,21.85,21.45,21.46,400,0
2013-06-24,16:00:00,21.18,21.18,20.74,20.74,1200,0
2013-06-24,17:00:00,20.66,20.66,20.66,20.66,1900,0
2013-06-24,21:00:00,20.86,20.86,20.86,20.86,100,0
2013-06-24,22:00:00,20.84,20.84,20.84,20.84,100,0
