Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-15,16:00:00,33.253,33.47,32.36,32.393,143244,0
2015-01-15,17:00:00,32.283,33.153,32.268,32.86,76728,0
2015-01-15,18:00:00,32.6,32.728,32.45,32.45,24936,0
2015-01-15,19:00:00,32.538,32.538,31.923,32.038,89480,0
2015-01-15,20:00:00,32.025,32.333,31.968,32.233,111208,0
2015-01-15,21:00:00,32.11,32.375,32.11,32.375,56244,0
2015-01-15,22:00:00,32.348,32.348,31.82,31.895,108852,0
2015-01-16,16:00:00,31.675,32.39,31.675,31.805,102064,0
2015-01-16,17:00:00,32.148,32.563,31.703,32.498,100640,0
2015-01-16,18:00:00,32.495,32.75,32.453,32.47,44188,0
2015-01-16,19:00:00,32.613,33.115,32.598,32.975,68016,0
2015-01-16,20:00:00,33.005,33.06,32.778,33.06,94988,0
2015-01-16,21:00:00,33.1,33.103,32.888,33.083,60472,0
2015-01-16,22:00:00,33.033,33.798,33.033,33.58,251568,0
2015-01-20,16:00:00,33.735,34.053,32.808,32.808,208988,0
2015-01-20,17:00:00,32.808,33.313,32.675,32.858,108928,0
2015-01-20,18:00:00,32.818,33,32.465,32.535,125480,0
2015-01-20,19:00:00,32.565,33.063,32.565,33,47120,0
2015-01-20,20:00:00,33.028,33.338,33.003,33.278,59816,0
2015-01-20,21:00:00,33.423,33.748,33.31,33.633,42332,0
2015-01-20,22:00:00,33.7,33.76,33.45,33.645,135848,0
2015-01-21,16:00:00,33.4,33.818,33.07,33.55,55080,0
2015-01-21,17:00:00,33.675,34.178,33.55,34.11,116640,0
2015-01-21,18:00:00,34.168,34.228,33.998,34.113,65884,0
2015-01-21,19:00:00,34.023,34.113,33.745,33.833,51436,0
2015-01-21,20:00:00,33.83,33.9,33.593,33.63,53580,0
2015-01-21,21:00:00,33.5,33.738,33.445,33.725,78060,0
2015-01-21,22:00:00,33.72,33.875,33.713,33.75,93296,0
2015-01-22,16:00:00,34.375,34.435,32.875,33.168,204024,0
2015-01-22,17:00:00,33.203,34.345,33.203,34.295,184708,0
2015-01-22,18:00:00,34.338,34.355,33.983,34.088,91532,0
2015-01-22,19:00:00,34.1,34.208,34.045,34.153,34880,0
2015-01-22,20:00:00,34.135,34.2,34.048,34.118,50904,0
2015-01-22,21:00:00,34.225,34.795,34.118,34.795,204528,0
2015-01-22,22:00:00,34.785,35.02,34.783,35.01,248664,0
2015-01-23,16:00:00,34.79,34.91,34.625,34.755,159280,0
2015-01-23,17:00:00,34.758,34.908,34.42,34.793,119852,0
2015-01-23,18:00:00,34.698,34.948,34.548,34.808,92748,0
2015-01-23,19:00:00,34.838,34.885,34.783,34.865,146468,0
2015-01-23,20:00:00,34.815,34.955,34.808,34.903,52968,0
2015-01-23,21:00:00,34.955,34.975,34.598,34.67,115560,0
2015-01-23,22:00:00,34.563,34.66,34.363,34.49,322320,0
2015-01-26,16:00:00,34.328,34.328,33.91,34.038,112844,0
2015-01-26,17:00:00,34.168,34.745,34.143,34.743,143520,0
2015-01-26,18:00:00,34.7,34.943,34.655,34.925,95080,0
2015-01-26,19:00:00,34.873,34.873,34.635,34.695,85072,0
2015-01-26,20:00:00,34.68,34.94,34.678,34.94,76636,0
2015-01-26,21:00:00,34.93,34.983,34.75,34.75,38536,0
2015-01-26,22:00:00,34.805,35.008,34.705,34.96,99628,0
2015-01-27,16:00:00,34,34.605,33.9,34.49,177512,0
2015-01-27,17:00:00,34.5,34.67,33.825,34.05,192388,0
2015-01-27,18:00:00,34.083,34.33,33.993,34.243,134760,0
2015-01-27,19:00:00,34.185,34.45,34.185,34.45,96048,0
2015-01-27,20:00:00,34.6,34.755,34.443,34.613,68284,0
2015-01-27,21:00:00,34.66,34.933,34.595,34.595,53724,0
2015-01-27,22:00:00,34.61,34.643,34.15,34.238,142764,0
2015-01-28,16:00:00,34.533,34.75,34.375,34.475,97660,0
2015-01-28,17:00:00,34.513,34.513,33.51,33.568,223584,0
2015-01-28,18:00:00,33.55,34.02,33.53,33.915,127888,0
2015-01-28,19:00:00,33.965,34.208,33.938,34.053,68600,0
2015-01-28,20:00:00,33.973,34.228,33.923,33.925,32400,0
2015-01-28,21:00:00,34.15,34.25,33.365,33.808,187792,0
2015-01-28,22:00:00,33.745,33.9,32.58,32.733,338148,0
2015-01-29,16:00:00,32.73,32.73,32,32.353,305952,0
2015-01-29,17:00:00,32.313,32.573,31.97,32.19,221524,0
2015-01-29,18:00:00,32.055,32.58,32.015,32.443,72040,0
2015-01-29,19:00:00,32.453,32.62,32.305,32.38,58056,0
2015-01-29,20:00:00,32.41,33,32.39,32.918,92612,0
2015-01-29,21:00:00,32.883,33.17,32.77,32.923,75200,0
2015-01-29,22:00:00,33.035,33.623,33.035,33.528,228600,0
2015-01-30,16:00:00,33.185,33.75,33.038,33.4,89972,0
2015-01-30,17:00:00,33.265,33.418,32.368,32.503,177092,0
2015-01-30,18:00:00,32.618,32.835,32.29,32.835,120504,0
2015-01-30,19:00:00,33.083,33.375,32.955,33.035,32020,0
2015-01-30,20:00:00,32.958,33.098,32.645,33.098,34396,0
2015-01-30,21:00:00,33.048,33.448,32.733,32.753,136580,0
2015-01-30,22:00:00,32.788,32.823,31.865,32.048,262100,0
