Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-15,16:00:00,24.49,24.49,24.38,24.4,27104,0
2015-01-15,17:00:00,24.38,24.44,24.35,24.37,34802,0
2015-01-15,18:00:00,24.37,24.39,24.34,24.34,38257,0
2015-01-15,19:00:00,24.33,24.34,24.2,24.2,63804,0
2015-01-15,20:00:00,24.2,24.22,24.17,24.22,28169,0
2015-01-15,21:00:00,24.21,24.26,24.21,24.24,24093,0
2015-01-15,22:00:00,24.25,24.25,24.23,24.24,67685,0
2015-01-16,16:00:00,24.13,24.18,24.1,24.18,26955,0
2015-01-16,17:00:00,24.19,24.24,24.15,24.24,78107,0
2015-01-16,18:00:00,24.24,24.24,24.16,24.19,26475,0
2015-01-16,19:00:00,24.2,24.21,24.17,24.17,29172,0
2015-01-16,20:00:00,24.16,24.22,24.16,24.22,22268,0
2015-01-16,21:00:00,24.21,24.22,24.14,24.16,48863,0
2015-01-16,22:00:00,24.17,24.17,24.16,24.16,57090,0
2015-01-20,16:00:00,24.1,24.1,24.02,24.02,23888,0
2015-01-20,17:00:00,24.01,24.02,23.86,23.88,156845,0
2015-01-20,18:00:00,23.87,23.89,23.83,23.83,28603,0
2015-01-20,19:00:00,23.84,24.0,23.84,23.97,35407,0
2015-01-20,20:00:00,23.98,24.01,23.96,24.01,19919,0
2015-01-20,21:00:00,24.0,24.0,23.97,23.98,13897,0
2015-01-20,22:00:00,23.98,24.0,23.98,23.98,47867,0
2015-01-21,16:00:00,23.98,24.0,23.96,23.98,33179,0
2015-01-21,17:00:00,23.99,24.0,23.87,23.89,40391,0
2015-01-21,18:00:00,23.9,23.9,23.87,23.88,22684,0
2015-01-21,19:00:00,23.89,23.93,23.89,23.89,30923,0
2015-01-21,20:00:00,23.89,23.89,23.82,23.85,49932,0
2015-01-21,21:00:00,23.85,23.88,23.83,23.84,23898,0
2015-01-21,22:00:00,23.84,23.85,23.84,23.84,51580,0
2015-01-22,16:00:00,23.89,23.92,23.81,23.81,25450,0
2015-01-22,17:00:00,23.82,23.88,23.81,23.84,33698,0
2015-01-22,18:00:00,23.84,23.9,23.81,23.89,40834,0
2015-01-22,19:00:00,23.9,23.9,23.8,23.8,23717,0
2015-01-22,20:00:00,23.8,23.8,23.72,23.75,37104,0
2015-01-22,21:00:00,23.74,23.76,23.72,23.74,47318,0
2015-01-22,22:00:00,23.73,23.75,23.72,23.73,47752,0
2015-01-23,16:00:00,23.52,23.55,23.5,23.53,25456,0
2015-01-23,17:00:00,23.53,23.55,23.5,23.5,50922,0
2015-01-23,18:00:00,23.51,23.51,23.46,23.46,165024,0
2015-01-23,19:00:00,23.46,23.48,23.43,23.47,24820,0
2015-01-23,20:00:00,23.47,23.51,23.46,23.49,250507,0
2015-01-23,21:00:00,23.49,23.49,23.46,23.46,112268,0
2015-01-23,22:00:00,23.46,23.48,23.46,23.46,161075,0
2015-01-26,16:00:00,23.53,23.58,23.49,23.53,130912,0
2015-01-26,17:00:00,23.54,23.56,23.45,23.45,70339,0
2015-01-26,18:00:00,23.45,23.46,23.4,23.43,35819,0
2015-01-26,19:00:00,23.42,23.55,23.42,23.53,96539,0
2015-01-26,20:00:00,23.52,23.59,23.51,23.51,135093,0
2015-01-26,21:00:00,23.52,23.54,23.5,23.5,105356,0
2015-01-26,22:00:00,23.51,23.52,23.5,23.5,69098,0
2015-01-27,16:00:00,23.54,23.56,23.48,23.5,33512,0
2015-01-27,17:00:00,23.48,23.49,23.44,23.48,35519,0
2015-01-27,18:00:00,23.47,23.56,23.47,23.55,195802,0
2015-01-27,19:00:00,23.57,23.59,23.52,23.58,240714,0
2015-01-27,20:00:00,23.58,23.61,23.56,23.6,286698,0
2015-01-27,21:00:00,23.59,23.6,23.52,23.52,269636,0
2015-01-27,22:00:00,23.52,23.53,23.51,23.52,683502,0
2015-01-28,16:00:00,23.54,23.55,23.39,23.41,89911,0
2015-01-28,17:00:00,23.4,23.46,23.36,23.45,207239,0
2015-01-28,18:00:00,23.46,23.53,23.44,23.46,182810,0
2015-01-28,19:00:00,23.47,23.52,23.45,23.48,177940,0
2015-01-28,20:00:00,23.48,23.5,23.45,23.45,159637,0
2015-01-28,21:00:00,23.46,23.46,23.4,23.42,338603,0
2015-01-28,22:00:00,23.42,23.43,23.4,23.4,382608,0
2015-01-29,16:00:00,23.3,23.37,23.3,23.33,26303,0
2015-01-29,17:00:00,23.32,23.33,23.27,23.27,37802,0
2015-01-29,18:00:00,23.27,23.28,23.23,23.26,26264,0
2015-01-29,19:00:00,23.25,23.25,23.14,23.19,45135,0
2015-01-29,20:00:00,23.19,23.23,23.15,23.21,37098,0
2015-01-29,21:00:00,23.22,23.22,23.18,23.21,28290,0
2015-01-29,22:00:00,23.21,23.23,23.19,23.2,41894,0
2015-01-30,16:00:00,23.22,23.23,23.08,23.14,36938,0
2015-01-30,17:00:00,23.13,23.13,23.02,23.06,70111,0
2015-01-30,18:00:00,23.04,23.07,23.01,23.04,77846,0
2015-01-30,19:00:00,23.05,23.1,23.04,23.08,85718,0
2015-01-30,20:00:00,23.08,23.15,23.04,23.14,25873,0
2015-01-30,21:00:00,23.14,23.17,23.1,23.17,13820,0
2015-01-30,22:00:00,23.16,23.17,23.14,23.14,56174,0
2015-02-02,16:00:00,23.08,23.08,23.0,23.04,85747,0
2015-02-02,17:00:00,23.04,23.19,23.01,23.14,86916,0
2015-02-02,18:00:00,23.13,23.13,23.01,23.03,13984,0
2015-02-02,19:00:00,23.02,23.02,22.93,22.96,35216,0
2015-02-02,20:00:00,22.96,22.96,22.9,22.9,15729,0
2015-02-02,21:00:00,22.9,22.92,22.88,22.89,34926,0
2015-02-02,22:00:00,22.89,22.91,22.88,22.91,85606,0
2015-02-03,16:00:00,23.03,23.08,23.02,23.05,153249,0
2015-02-03,17:00:00,23.03,23.13,23.03,23.09,64222,0
2015-02-03,18:00:00,23.1,23.2,23.07,23.17,1948070,0
2015-02-03,19:00:00,23.17,23.26,23.15,23.24,54504,0
2015-02-03,20:00:00,23.27,23.37,23.27,23.3,341503,0
2015-02-03,21:00:00,23.3,23.31,23.25,23.25,50156,0
2015-02-03,22:00:00,23.25,23.27,23.23,23.24,73657,0
2015-02-04,16:00:00,23.5,23.5,23.2,23.23,15740,0
2015-02-04,17:00:00,23.22,23.3,23.2,23.26,49247,0
2015-02-04,18:00:00,23.26,23.28,23.21,23.28,234418,0
2015-02-04,19:00:00,23.28,23.28,23.18,23.19,66837,0
2015-02-04,20:00:00,23.16,23.19,23.13,23.13,17649,0
2015-02-04,21:00:00,23.13,23.19,23.12,23.15,18283,0
2015-02-04,22:00:00,23.15,23.17,23.14,23.14,30906,0
2015-02-05,16:00:00,23.13,23.23,23.12,23.18,32367,0
2015-02-05,17:00:00,23.19,23.24,23.13,23.14,41528,0
2015-02-05,18:00:00,23.12,23.19,23.11,23.15,19021,0
2015-02-05,19:00:00,23.14,23.16,23.11,23.14,9361,0
2015-02-05,20:00:00,23.14,23.2,23.14,23.17,17944,0
2015-02-05,21:00:00,23.17,23.21,23.16,23.19,53101,0
2015-02-05,22:00:00,23.2,23.22,23.2,23.22,47563,0
