Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-05-06,17:00:00,22.782,22.782,22.782,22.782,442,0
2014-05-06,18:00:00,22.809,22.819,22.764,22.764,2432,0
2014-05-06,21:00:00,22.809,22.809,22.755,22.782,6192,0
2014-05-06,22:00:00,22.773,22.773,22.728,22.755,2546,0
2014-05-07,19:00:00,22.845,22.845,22.792,22.792,1548,0
2014-05-09,17:00:00,22.828,22.855,22.819,22.845,6081,0
2014-05-09,18:00:00,22.845,22.864,22.845,22.864,664,0
2014-05-09,19:00:00,22.864,22.872,22.864,22.872,221,0
2014-05-12,18:00:00,23.035,23.044,22.999,23.035,16806,0
2014-05-12,19:00:00,23.026,23.026,23.026,23.026,111,0
2014-05-12,20:00:00,23.062,23.062,23.017,23.017,4423,0
2014-05-12,21:00:00,23.044,23.071,23.035,23.035,10836,0
2014-05-12,22:00:00,23.054,23.071,23.035,23.054,1105,0
2014-05-13,16:00:00,23.126,23.126,23.08,23.098,2101,0
2014-05-13,17:00:00,23.107,23.126,23.107,23.126,3095,0
2014-05-13,18:00:00,23.098,23.098,23.098,23.098,111,0
2014-05-13,21:00:00,23.153,23.153,23.153,23.153,111,0
2014-05-14,19:00:00,23.198,23.198,23.162,23.162,775,0
2014-05-14,22:00:00,23.162,23.162,23.117,23.117,221,0
2014-05-19,19:00:00,23.044,23.044,23.008,23.008,664,0
2014-05-22,20:00:00,23.198,23.207,23.153,23.207,16586,0
2014-05-22,21:00:00,23.18,23.18,23.18,23.18,442,0
2014-05-22,22:00:00,23.162,23.17,23.162,23.162,554,0
2014-05-23,17:00:00,23.225,23.225,23.189,23.198,2543,0
2014-05-23,19:00:00,23.216,23.216,23.216,23.216,442,0
2014-05-23,20:00:00,23.235,23.235,23.235,23.235,111,0
2014-05-23,22:00:00,23.235,23.235,23.225,23.225,332,0
2014-06-04,20:00:00,23.479,23.479,23.433,23.433,664,0
2014-06-09,20:00:00,23.714,23.714,23.669,23.669,3317,0
2014-06-18,21:00:00,23.569,23.569,23.569,23.569,221,0
2014-06-23,17:00:00,23.641,23.641,23.641,23.641,111,0
2014-06-27,22:00:00,23.494,23.504,23.486,23.486,332,0
2014-07-01,22:00:00,23.703,23.703,23.649,23.649,1546,0
2014-07-02,17:00:00,23.757,23.757,23.73,23.74,1436,0
2014-07-02,22:00:00,23.74,23.74,23.74,23.74,111,0
2014-07-09,16:00:00,23.54,23.54,23.54,23.54,111,0
2014-07-11,18:00:00,23.395,23.414,23.386,23.395,1436,0
2014-07-11,22:00:00,23.395,23.395,23.395,23.395,221,0
2014-07-17,19:00:00,23.54,23.54,23.54,23.54,425,0
2014-07-17,22:00:00,23.54,23.54,23.54,23.54,425,0
2014-08-14,20:00:00,23.504,23.504,23.458,23.458,1546,0
2014-08-26,17:00:00,23.993,24.002,23.947,23.957,5412,0
2014-08-26,18:00:00,24.02,24.065,24.02,24.065,11376,0
