Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-09,16:00:00,15.85,15.85,15.73,15.75,18257,0
2015-01-09,17:00:00,15.71,15.73,15.71,15.73,642,0
2015-01-09,18:00:00,15.64,15.64,15.48,15.56,8332,0
2015-01-09,19:00:00,15.62,15.66,15.56,15.57,17213,0
2015-01-09,20:00:00,15.58,15.76,15.58,15.76,6711,0
2015-01-09,21:00:00,15.73,15.89,15.73,15.83,9972,0
2015-01-09,22:00:00,15.83,15.83,15.8,15.81,5697,0
2015-01-12,16:00:00,15.43,15.43,15.28,15.29,17916,0
2015-01-12,17:00:00,15.26,15.29,15.12,15.19,33587,0
2015-01-12,18:00:00,15.2,15.24,15.15,15.21,34591,0
2015-01-12,19:00:00,15.22,15.22,15.15,15.15,6495,0
2015-01-12,20:00:00,15.19,15.22,15.18,15.18,2565,0
2015-01-12,21:00:00,15.18,15.2,15.13,15.14,9793,0
2015-01-12,22:00:00,15.13,15.16,15.12,15.15,16656,0
2015-01-13,16:00:00,14.97,15.0,14.9,14.96,8193,0
2015-01-13,17:00:00,15.0,15.0,14.87,14.93,12660,0
2015-01-13,18:00:00,14.9,14.93,14.82,14.93,5807,0
2015-01-13,19:00:00,14.92,14.92,14.89,14.91,5295,0
2015-01-13,20:00:00,14.92,14.97,14.86,14.96,7058,0
2015-01-13,21:00:00,14.95,15.17,14.9,15.11,14839,0
2015-01-13,22:00:00,15.2,15.27,15.17,15.23,11458,0
2015-01-14,16:00:00,15.14,15.29,15.14,15.29,16592,0
2015-01-14,17:00:00,15.22,15.28,15.12,15.12,13687,0
2015-01-14,18:00:00,15.09,15.13,15.05,15.05,9466,0
2015-01-14,19:00:00,15.01,15.15,15.01,15.15,2368,0
2015-01-14,20:00:00,15.07,15.17,15.07,15.17,4959,0
2015-01-14,21:00:00,15.25,15.81,15.25,15.66,23797,0
2015-01-14,22:00:00,15.72,15.75,15.64,15.73,16644,0
2015-01-15,16:00:00,15.84,15.89,15.61,15.62,26091,0
2015-01-15,17:00:00,15.62,15.68,15.55,15.55,39957,0
2015-01-15,18:00:00,15.45,15.63,15.41,15.55,8599,0
2015-01-15,19:00:00,15.52,15.52,15.41,15.45,13878,0
2015-01-15,20:00:00,15.44,15.45,15.21,15.29,9024,0
2015-01-15,21:00:00,15.29,15.4,15.2,15.28,46544,0
2015-01-15,22:00:00,15.28,15.28,15.17,15.17,4391,0
2015-01-16,16:00:00,15.35,15.39,15.35,15.38,6316,0
2015-01-16,17:00:00,15.36,15.56,15.36,15.53,31838,0
2015-01-16,18:00:00,15.48,15.48,15.29,15.37,44392,0
2015-01-16,19:00:00,15.36,15.44,15.33,15.44,3057,0
2015-01-16,20:00:00,15.48,15.56,15.39,15.39,3082,0
2015-01-16,21:00:00,15.51,15.62,15.51,15.6,6954,0
2015-01-16,22:00:00,15.58,15.6,15.56,15.6,19127,0
2015-01-20,16:00:00,15.08,15.1,14.99,15.02,20071,0
2015-01-20,17:00:00,15.01,15.11,15.01,15.08,6060,0
