Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-06-03,20:00:00,24.066,24.066,24.051,24.051,3518,0
2015-06-03,21:00:00,24.085,24.085,24.085,24.085,201,0
2015-06-05,17:00:00,23.807,23.807,23.807,23.807,302,0
2015-06-08,16:00:00,23.658,23.658,23.658,23.658,754,0
2015-06-08,19:00:00,23.558,23.558,23.558,23.558,151,0
2015-06-08,20:00:00,23.528,23.528,23.528,23.528,101,0
2015-06-10,22:00:00,23.807,23.807,23.807,23.807,704,0
2015-06-11,17:00:00,23.996,23.996,23.996,23.996,101,0
2015-06-11,19:00:00,23.926,23.926,23.926,23.926,101,0
2015-06-11,20:00:00,23.946,23.946,23.946,23.946,201,0
2015-06-16,17:00:00,23.727,23.727,23.727,23.727,198,0
2015-06-17,19:00:00,23.528,23.528,23.528,23.528,302,0
2015-07-09,21:00:00,23.1978,23.21,23.1978,23.21,600,0
2015-07-29,16:00:00,24.03,24.03,24.03,24.03,830,0
2015-08-04,18:00:00,24.25,24.25,24.25,24.25,200,0
