Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-21,17:00:00,23.187,23.187,23.019,23.019,3964,0
2014-02-24,16:00:00,23.204,23.231,23.187,23.231,1246,0
2014-02-24,17:00:00,23.213,23.266,23.213,23.258,679,0
2014-02-24,18:00:00,23.248,23.31,23.248,23.31,340,0
2014-02-24,22:00:00,23.425,23.425,23.407,23.407,226,0
2014-02-25,16:00:00,23.195,23.195,23.195,23.195,162,0
2014-02-25,17:00:00,23.117,23.117,23.117,23.117,340,0
2014-03-12,17:00:00,22.578,22.604,22.56,22.56,1359,0
2014-03-12,20:00:00,22.614,22.614,22.614,22.614,453,0
2014-03-17,20:00:00,22.286,22.286,22.286,22.286,226,0
2014-03-19,21:00:00,22.392,22.392,22.392,22.392,226,0
2014-03-27,15:00:00,22.277,22.277,22.277,22.277,340,0
2014-03-28,17:00:00,22.489,22.489,22.489,22.489,226,0
2014-04-08,20:00:00,22.41,22.41,22.356,22.356,3511,0
2014-04-22,19:00:00,22.833,22.833,22.789,22.789,679,0
2014-04-25,20:00:00,22.86,22.86,22.825,22.825,340,0
2014-04-25,21:00:00,22.86,22.878,22.816,22.816,3397,0
2014-04-28,19:00:00,22.896,22.896,22.851,22.878,1699,0
2014-04-28,20:00:00,22.763,22.763,22.763,22.763,226,0
2014-05-09,18:00:00,23.363,23.363,23.284,23.284,679,0
2014-05-13,17:00:00,23.487,23.487,23.452,23.452,226,0
2014-05-19,22:00:00,23.522,23.522,23.425,23.487,5323,0
2014-05-21,18:00:00,23.417,23.417,23.39,23.399,1585,0
2014-05-28,17:00:00,23.532,23.532,23.452,23.478,10646,0
2014-05-28,18:00:00,23.54,23.54,23.478,23.505,7239,0
2014-05-28,22:00:00,23.487,23.487,23.487,23.487,453,0
2014-05-29,20:00:00,23.62,23.62,23.558,23.558,340,0
2014-06-03,20:00:00,23.505,23.505,23.505,23.505,138,0
2014-06-23,17:00:00,23.355,23.355,23.355,23.355,453,0
2014-06-23,18:00:00,23.363,23.363,23.363,23.363,114,0
2014-07-01,20:00:00,23.349,23.349,23.349,23.349,226,0
2014-07-14,16:00:00,23.27,23.27,23.27,23.27,1243,0
2014-07-14,22:00:00,23.27,23.27,23.27,23.27,114,0
2014-08-07,19:00:00,22.73,22.73,22.73,22.73,114,0
2014-09-04,19:00:00,24.075,24.075,24.075,24.075,114,0
2014-09-04,21:00:00,23.809,23.809,23.809,23.809,226,0
2014-09-18,16:00:00,23.588,23.588,23.588,23.588,340,0
2014-09-22,16:00:00,23.455,23.455,23.455,23.455,226,0
2014-09-24,17:00:00,23.084,23.084,23.084,23.084,114,0
