Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-15,16:00:00,42.379,42.458,42.012,42.061,46306,0
2015-01-15,17:00:00,42.051,42.25,42.042,42.111,111552,0
2015-01-15,18:00:00,42.111,42.131,41.903,41.932,167213,0
2015-01-15,19:00:00,41.952,41.992,41.804,41.833,247798,0
2015-01-15,20:00:00,41.833,41.942,41.784,41.813,234663,0
2015-01-15,21:00:00,41.823,41.893,41.754,41.873,123351,0
2015-01-15,22:00:00,41.843,41.883,41.625,41.635,160241,0
2015-01-16,16:00:00,41.833,42.012,41.734,41.962,170404,0
2015-01-16,17:00:00,41.932,42.121,41.893,42.111,87194,0
2015-01-16,18:00:00,42.091,42.091,41.982,42.032,51616,0
2015-01-16,19:00:00,42.051,42.161,42.002,42.131,85722,0
2015-01-16,20:00:00,42.141,42.19,42.081,42.141,46054,0
2015-01-16,21:00:00,42.131,42.141,42.042,42.101,55644,0
2015-01-16,22:00:00,42.071,42.23,42.042,42.22,84528,0
2015-01-20,16:00:00,41.823,41.823,41.585,41.655,30126,0
2015-01-20,17:00:00,41.595,41.724,41.575,41.625,127637,0
2015-01-20,18:00:00,41.635,41.764,41.585,41.615,97688,0
2015-01-20,19:00:00,41.645,41.704,41.605,41.645,75222,0
2015-01-20,20:00:00,41.655,41.685,41.585,41.635,83144,0
2015-01-20,21:00:00,41.635,41.764,41.595,41.754,180409,0
2015-01-20,22:00:00,41.754,41.774,41.675,41.744,120463,0
2015-01-21,16:00:00,42.111,42.369,42.111,42.299,125352,0
2015-01-21,17:00:00,42.26,42.577,42.26,42.577,68890,0
2015-01-21,18:00:00,42.567,42.617,42.428,42.488,66541,0
2015-01-21,19:00:00,42.488,42.518,42.349,42.399,65099,0
2015-01-21,20:00:00,42.389,42.428,42.309,42.319,61181,0
2015-01-21,21:00:00,42.319,42.528,42.29,42.508,80249,0
2015-01-21,22:00:00,42.508,42.607,42.399,42.587,113124,0
2015-01-22,16:00:00,43.093,43.113,42.974,43.093,29027,0
2015-01-22,17:00:00,43.103,43.42,43.093,43.41,95751,0
2015-01-22,18:00:00,43.4,43.4,43.252,43.311,101074,0
2015-01-22,19:00:00,43.311,43.371,43.232,43.301,194104,0
2015-01-22,20:00:00,43.331,43.351,43.261,43.291,170486,0
2015-01-22,21:00:00,43.311,43.549,43.271,43.539,186644,0
2015-01-22,22:00:00,43.529,43.688,43.529,43.668,202156,0
2015-01-23,16:00:00,43.361,43.49,43.351,43.42,83466,0
2015-01-23,17:00:00,43.41,43.49,43.361,43.45,80618,0
2015-01-23,18:00:00,43.46,43.499,43.371,43.44,91466,0
2015-01-23,19:00:00,43.42,43.46,43.371,43.42,59178,0
