Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-12-03,16:00:00,44.569,44.569,44.569,44.569,309,0
2014-12-03,18:00:00,44.569,44.569,44.55,44.55,1569,0
2014-12-03,19:00:00,44.579,44.627,44.579,44.609,1751,0
2014-12-03,20:00:00,44.579,44.609,44.579,44.609,515,0
2014-12-03,21:00:00,44.559,44.559,44.559,44.559,205,0
2014-12-03,22:00:00,44.569,44.579,44.569,44.579,412,0
2014-12-04,16:00:00,44.414,44.433,44.414,44.433,663,0
2014-12-04,17:00:00,44.336,44.336,44.336,44.336,206,0
2014-12-04,18:00:00,44.345,44.463,44.345,44.463,1667,0
2014-12-04,19:00:00,44.463,44.54,44.463,44.54,1004,0
2014-12-04,20:00:00,44.53,44.53,44.53,44.53,1773,0
2014-12-04,22:00:00,44.453,44.453,44.414,44.414,2693,0
2014-12-05,16:00:00,44.51,44.51,44.277,44.277,3057,0
2014-12-05,17:00:00,44.287,44.365,44.287,44.365,1175,0
2014-12-05,18:00:00,44.414,44.414,44.414,44.414,1068,0
2014-12-05,20:00:00,44.395,44.404,44.395,44.404,515,0
2014-12-05,21:00:00,44.423,44.423,44.423,44.423,5142,0
2014-12-05,22:00:00,44.385,44.433,44.385,44.433,2772,0
2014-12-08,16:00:00,44.122,44.122,44.122,44.122,206,0
2014-12-08,18:00:00,44.132,44.132,44.132,44.132,988,0
2014-12-08,19:00:00,44.102,44.102,43.995,44.045,5992,0
2014-12-08,20:00:00,43.967,43.967,43.967,43.967,318,0
2014-12-08,21:00:00,43.888,43.888,43.888,43.888,618,0
2014-12-08,22:00:00,44.015,44.015,43.947,43.947,1346,0
2014-12-09,16:00:00,43.423,43.49,43.373,43.481,10532,0
2014-12-09,17:00:00,43.577,43.607,43.568,43.597,10617,0
2014-12-09,19:00:00,43.383,43.383,43.383,43.383,1613,0
2014-12-09,20:00:00,43.509,43.509,43.481,43.481,729,0
2014-12-09,21:00:00,43.509,43.509,43.423,43.423,3632,0
2014-12-09,22:00:00,43.471,43.558,43.461,43.549,11714,0
2014-12-10,17:00:00,43.237,43.237,43.237,43.237,618,0
2014-12-10,18:00:00,43.305,43.305,43.305,43.305,1863,0
2014-12-10,19:00:00,43.218,43.257,43.218,43.247,1204,0
2014-12-10,20:00:00,43.267,43.305,43.218,43.218,6109,0
2014-12-10,21:00:00,43.082,43.082,43.043,43.043,5579,0
2014-12-10,22:00:00,43.082,43.169,43.014,43.014,4365,0
2014-12-11,16:00:00,43.403,43.403,43.403,43.403,412,0
2014-12-11,17:00:00,43.179,43.237,43.179,43.237,2709,0
2014-12-11,20:00:00,43.209,43.209,43.209,43.209,436,0
2014-12-12,16:00:00,42.731,42.741,42.722,42.741,40382,0
2014-12-12,17:00:00,42.684,42.684,42.567,42.567,1146,0
2014-12-12,18:00:00,42.567,42.567,42.372,42.372,15188,0
2014-12-12,19:00:00,42.285,42.333,42.276,42.333,1751,0
2014-12-12,20:00:00,42.372,42.46,42.372,42.45,2056,0
2014-12-12,22:00:00,42.333,42.363,42.119,42.129,4677,0
2014-12-15,16:00:00,42.168,42.168,42.168,42.168,618,0
2014-12-15,17:00:00,41.925,41.993,41.808,41.808,7627,0
2014-12-15,18:00:00,41.4,41.449,41.4,41.449,2731,0
2014-12-15,19:00:00,41.536,41.545,41.478,41.545,3932,0
2014-12-15,21:00:00,41.585,41.595,41.478,41.518,2305,0
2014-12-15,22:00:00,41.545,41.545,41.536,41.536,4428,0
2014-12-16,16:00:00,41.341,41.381,41.341,41.381,2483,0
2014-12-16,18:00:00,41.877,42.207,41.877,42.177,4931,0
2014-12-16,19:00:00,42.129,42.129,42.062,42.129,4154,0
2014-12-16,20:00:00,41.858,41.858,41.858,41.858,206,0
2014-12-16,21:00:00,41.945,41.945,41.945,41.945,331,0
2014-12-16,22:00:00,41.838,41.896,41.712,41.712,5164,0
2014-12-17,16:00:00,42.062,42.062,42.062,42.062,412,0
