Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-12-08,16:00:00,39.52,39.52,39.52,39.52,172,0
2014-12-08,17:00:00,39.58,39.58,39.53,39.53,7814,0
2014-12-08,18:00:00,39.51,39.51,39.48,39.48,2900,0
2014-12-08,20:00:00,39.56,39.64,39.55,39.64,1500,0
2014-12-08,21:00:00,39.94,39.97,39.86,39.87,107166,0
2014-12-08,22:00:00,39.85,39.93,39.85,39.89,19166,0
2014-12-09,16:00:00,40.36,40.5,40.36,40.5,2617,0
2014-12-09,17:00:00,40.67,40.85,40.67,40.83,7600,0
2014-12-09,18:00:00,40.85,40.85,40.8,40.8,500,0
2014-12-09,19:00:00,40.77,40.77,40.76,40.76,10300,0
2014-12-09,20:00:00,40.77,40.85,40.77,40.85,5328,0
2014-12-09,21:00:00,40.8,40.8,40.8,40.8,100,0
2014-12-09,22:00:00,40.75,40.79,40.72,40.79,78334,0
2014-12-10,16:00:00,40.79,40.79,40.72,40.79,3200,0
2014-12-10,17:00:00,40.83,40.83,40.81,40.81,3046,0
2014-12-10,18:00:00,40.71,40.72,40.7,40.7,6470,0
2014-12-10,19:00:00,40.74,40.74,40.74,40.74,100,0
2014-12-10,20:00:00,40.75,40.75,40.75,40.75,200,0
2014-12-10,22:00:00,40.73,40.73,40.66,40.72,15869,0
2014-12-11,16:00:00,40.39,40.39,40.35,40.36,1700,0
2014-12-11,17:00:00,40.37,40.61,40.37,40.61,1351,0
2014-12-11,18:00:00,40.55,40.67,40.55,40.67,420,0
2014-12-11,19:00:00,40.65,40.83,40.65,40.83,1253,0
2014-12-11,21:00:00,40.69,40.69,40.69,40.69,1700,0
2014-12-11,22:00:00,40.6,40.63,40.6,40.6,23578,0
2014-12-12,16:00:00,40.51,40.51,40.51,40.51,4300,0
2014-12-12,17:00:00,40.36,40.56,40.36,40.56,5210,0
2014-12-12,18:00:00,40.54,40.61,40.54,40.58,1100,0
2014-12-12,19:00:00,40.59,40.59,40.55,40.58,1450,0
2014-12-12,20:00:00,40.52,40.52,40.52,40.52,200,0
2014-12-12,21:00:00,40.51,40.53,40.51,40.53,1187,0
2014-12-12,22:00:00,40.49,40.53,40.48,40.48,8400,0
2014-12-15,16:00:00,40.1,40.14,40.05,40.14,13400,0
2014-12-15,17:00:00,40.08,40.2,40.06,40.2,900,0
2014-12-15,18:00:00,40.21,40.32,40.21,40.32,5740,0
2014-12-15,19:00:00,40.25,40.26,39.99,40.0,8900,0
2014-12-15,20:00:00,40.02,40.02,39.97,40.0,3908,0
2014-12-15,21:00:00,39.96,39.98,39.59,39.67,6948,0
2014-12-15,22:00:00,39.68,39.68,39.45,39.45,21678,0
2014-12-16,16:00:00,40.12,40.16,39.81,39.81,3949,0
2014-12-16,17:00:00,39.85,39.85,39.44,39.46,2200,0
2014-12-16,18:00:00,39.44,39.63,39.44,39.62,900,0
2014-12-16,19:00:00,39.63,39.63,39.62,39.62,1300,0
2014-12-16,20:00:00,39.55,39.56,39.54,39.56,1700,0
2014-12-16,21:00:00,39.53,39.56,39.53,39.56,891,0
2014-12-16,22:00:00,39.53,39.63,39.52,39.62,119334,0
2014-12-17,17:00:00,39.54,39.54,39.45,39.45,1100,0
2014-12-17,18:00:00,39.56,39.56,39.53,39.53,1650,0
2014-12-17,19:00:00,39.51,39.53,39.51,39.53,2100,0
2014-12-17,20:00:00,39.56,39.56,39.52,39.53,4418,0
2014-12-17,21:00:00,39.6,39.77,39.21,39.37,4290,0
2014-12-17,22:00:00,39.33,39.4,39.17,39.37,44950,0
2014-12-18,17:00:00,39.82,39.82,39.54,39.54,8700,0
2014-12-18,18:00:00,39.53,39.59,39.53,39.59,15900,0
2014-12-18,19:00:00,39.54,39.57,39.54,39.55,1000,0
2014-12-18,20:00:00,39.56,39.58,39.56,39.58,1026,0
2014-12-18,21:00:00,39.59,39.59,39.59,39.59,200,0
2014-12-18,22:00:00,39.6,39.69,39.6,39.65,30755,0
2014-12-19,16:00:00,39.62,39.62,39.62,39.62,1300,0
2014-12-19,17:00:00,39.64,39.64,39.64,39.64,3400,0
2014-12-19,18:00:00,39.62,39.63,39.61,39.63,1400,0
2014-12-19,19:00:00,39.63,39.63,39.63,39.63,400,0
2014-12-19,20:00:00,39.61,39.61,39.55,39.6,3023,0
2014-12-19,21:00:00,39.58,39.6,39.58,39.6,1100,0
2014-12-19,22:00:00,39.58,39.58,39.57,39.57,2370,0
2014-12-22,17:00:00,39.56,39.56,39.3,39.33,4900,0
2014-12-22,18:00:00,39.21,39.28,39.09,39.11,2500,0
2014-12-22,19:00:00,38.96,38.96,38.96,38.96,140,0
2014-12-22,20:00:00,39.03,39.06,38.82,38.86,4455,0
2014-12-22,21:00:00,38.9,38.93,38.84,38.84,97287,0
2014-12-22,22:00:00,38.78,38.82,38.74,38.79,4738,0
2014-12-23,16:00:00,38.87,38.95,38.87,38.95,1115,0
2014-12-23,17:00:00,38.95,38.99,38.95,38.98,4500,0
2014-12-23,18:00:00,38.95,38.99,38.95,38.99,15638,0
