Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-11-13,18:00:00,55.638,55.638,55.531,55.531,1939,0
2014-11-13,19:00:00,55.511,55.511,55.511,55.511,577,0
2014-11-13,20:00:00,55.403,55.403,55.315,55.315,409,0
2014-11-13,21:00:00,55.442,55.442,55.442,55.442,714,0
2014-11-13,22:00:00,55.383,55.561,55.383,55.531,3504,0
2014-11-14,17:00:00,55.432,55.472,55.432,55.432,473,0
2014-11-14,18:00:00,55.609,55.609,55.609,55.609,529,0
2014-11-14,19:00:00,55.736,55.736,55.667,55.726,974,0
2014-11-14,20:00:00,55.756,55.756,55.687,55.687,2286,0
2014-11-14,22:00:00,55.736,55.756,55.717,55.746,2114,0
2014-11-17,20:00:00,55.413,55.413,55.413,55.413,220,0
2014-11-17,21:00:00,55.393,55.393,55.383,55.393,3755,0
2014-11-17,22:00:00,55.432,55.502,55.423,55.452,4615,0
2014-11-18,16:00:00,55.628,55.648,55.628,55.648,391,0
2014-11-18,17:00:00,55.726,55.804,55.687,55.785,4171,0
2014-11-18,18:00:00,55.844,55.873,55.834,55.834,2306,0
2014-11-18,20:00:00,55.913,55.923,55.883,55.883,1530,0
2014-11-18,21:00:00,55.972,55.972,55.942,55.942,918,0
2014-11-18,22:00:00,55.991,55.991,55.991,55.991,305,0
2014-11-19,16:00:00,55.736,55.736,55.736,55.736,409,0
2014-11-19,17:00:00,55.638,55.638,55.551,55.551,1649,0
2014-11-19,20:00:00,55.648,55.648,55.648,55.648,1690,0
2014-11-19,21:00:00,55.814,55.824,55.648,55.648,1029,0
2014-11-19,22:00:00,55.657,55.726,55.657,55.726,3874,0
2014-11-20,17:00:00,55.452,55.452,55.452,55.452,1377,0
2014-11-20,18:00:00,55.364,55.364,55.364,55.364,1377,0
2014-11-20,19:00:00,55.393,55.432,55.393,55.432,3532,0
2014-11-20,21:00:00,55.531,55.531,55.531,55.531,3673,0
2014-11-20,22:00:00,55.492,55.521,55.423,55.521,2985,0
2014-11-21,16:00:00,56.07,56.07,56.07,56.07,1250,0
2014-11-21,18:00:00,55.942,55.942,55.923,55.923,1429,0
2014-11-21,20:00:00,55.687,55.687,55.657,55.657,765,0
2014-11-21,21:00:00,55.707,55.707,55.707,55.707,2347,0
2014-11-21,22:00:00,55.717,55.844,55.677,55.766,4605,0
2014-11-24,17:00:00,55.903,55.903,55.903,55.903,828,0
2014-11-24,20:00:00,55.942,55.972,55.923,55.972,1816,0
2014-11-24,21:00:00,55.972,55.972,55.903,55.903,1785,0
2014-11-24,22:00:00,55.991,56.02,55.913,56.02,1550,0
2014-11-25,18:00:00,56.06,56.08,56.05,56.08,2245,0
2014-11-25,19:00:00,55.942,55.942,55.942,55.942,607,0
2014-11-25,20:00:00,56.197,56.197,56.06,56.06,3870,0
2014-11-25,21:00:00,56.207,56.217,56.207,56.217,1036,0
2014-11-25,22:00:00,56.188,56.188,56.109,56.119,3305,0
2014-11-26,16:00:00,56.03,56.03,56.03,56.03,204,0
2014-11-26,17:00:00,56.314,56.314,56.275,56.314,3438,0
2014-11-26,18:00:00,56.275,56.275,56.275,56.275,254,0
2014-11-26,19:00:00,56.364,56.364,56.285,56.285,872,0
2014-11-26,20:00:00,56.275,56.275,56.275,56.275,101,0
2014-11-26,21:00:00,56.275,56.344,56.275,56.344,1250,0
2014-11-26,22:00:00,56.393,56.393,56.393,56.393,549,0
2014-11-28,17:00:00,55.962,55.962,55.962,55.962,413,0
2014-11-28,18:00:00,55.972,55.972,55.972,55.972,2138,0
2014-11-28,19:00:00,55.776,55.776,55.776,55.776,991,0
2014-12-01,17:00:00,55.766,55.766,55.707,55.707,1660,0
2014-12-01,18:00:00,55.893,55.893,55.893,55.893,1179,0
2014-12-01,19:00:00,55.824,55.824,55.794,55.794,918,0
2014-12-01,22:00:00,55.933,55.933,55.864,55.864,1666,0
2014-12-02,16:00:00,55.991,55.991,55.991,55.991,101,0
2014-12-02,17:00:00,55.873,55.972,55.864,55.864,2993,0
2014-12-02,18:00:00,55.952,55.952,55.952,55.952,407,0
2014-12-02,19:00:00,55.844,55.844,55.844,55.844,2041,0
2014-12-02,21:00:00,55.923,55.923,55.903,55.903,1636,0
2014-12-02,22:00:00,55.913,55.913,55.854,55.854,1219,0
2014-12-03,17:00:00,55.962,55.962,55.962,55.962,2447,0
2014-12-03,18:00:00,56.001,56.001,55.942,55.962,2457,0
2014-12-03,19:00:00,55.923,55.923,55.903,55.903,1659,0
2014-12-03,22:00:00,56.02,56.08,56.02,56.08,2485,0
2014-12-04,17:00:00,55.972,55.991,55.972,55.991,3053,0
2014-12-04,19:00:00,56.139,56.149,56.139,56.149,1013,0
2014-12-04,20:00:00,56.168,56.168,56.168,56.168,203,0
2014-12-04,21:00:00,56.178,56.178,56.149,56.149,1011,0
2014-12-04,22:00:00,56.099,56.099,56.06,56.06,4377,0
2014-12-05,16:00:00,55.982,55.982,55.982,55.982,307,0
2014-12-05,17:00:00,56.07,56.07,55.864,55.923,4507,0
2014-12-05,18:00:00,55.962,55.991,55.962,55.991,524,0
2014-12-05,19:00:00,56.099,56.207,56.099,56.207,2437,0
2014-12-05,20:00:00,56.08,56.08,56.08,56.08,913,0
2014-12-05,21:00:00,55.982,56.139,55.982,56.089,1598,0
2014-12-05,22:00:00,56.05,56.05,56.05,56.05,522,0
