Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-11-26,16:00:00,23.95,23.95,23.95,23.95,888,0
2014-11-26,18:00:00,23.98,23.98,23.97,23.97,333,0
2014-11-26,19:00:00,23.97,24.076,23.97,24.076,4555,0
2014-11-26,21:00:00,24.076,24.105,24.076,24.105,556,0
2014-11-26,22:00:00,24.086,24.086,24.068,24.068,915,0
2014-11-28,16:00:00,23.807,23.807,23.683,23.683,998,0
2014-11-28,17:00:00,23.664,23.683,23.529,23.529,4171,0
2014-11-28,18:00:00,23.538,23.538,23.538,23.538,2336,0
2014-11-28,19:00:00,23.529,23.529,23.448,23.457,2110,0
2014-12-01,16:00:00,23.233,23.267,23.233,23.267,18120,0
2014-12-01,17:00:00,22.971,23.233,22.729,22.729,41568,0
2014-12-01,18:00:00,22.729,22.819,22.729,22.819,7099,0
2014-12-01,19:00:00,22.709,22.764,22.639,22.739,1990,0
2014-12-01,21:00:00,22.709,22.729,22.709,22.729,1620,0
2014-12-01,22:00:00,22.8,22.8,22.749,22.749,1104,0
2014-12-02,16:00:00,22.739,22.909,22.566,22.739,50477,0
2014-12-02,17:00:00,22.836,22.845,22.836,22.845,4891,0
2014-12-02,18:00:00,22.944,22.98,22.883,22.918,3021,0
2014-12-02,19:00:00,22.935,22.935,22.935,22.935,557,0
2014-12-02,20:00:00,22.98,22.98,22.935,22.963,1619,0
2014-12-02,21:00:00,22.944,22.944,22.944,22.944,333,0
2014-12-02,22:00:00,22.918,22.925,22.854,22.864,1638,0
2014-12-03,18:00:00,23.115,23.115,23.115,23.115,3778,0
2014-12-03,19:00:00,23.188,23.188,23.106,23.106,1666,0
2014-12-03,20:00:00,23.224,23.224,23.197,23.197,2112,0
2014-12-03,21:00:00,23.141,23.141,23.134,23.134,1315,0
2014-12-03,22:00:00,23.15,23.206,23.15,23.206,2556,0
2014-12-04,16:00:00,23.206,23.206,23.043,23.043,1451,0
2014-12-04,17:00:00,23.071,23.071,22.909,22.909,1835,0
2014-12-04,18:00:00,23.016,23.016,22.918,22.918,778,0
2014-12-04,19:00:00,23.034,23.034,22.971,22.971,1221,0
2014-12-04,21:00:00,23.016,23.071,23.016,23.034,889,0
2014-12-04,22:00:00,23.034,23.034,22.925,22.954,15583,0
2014-12-05,16:00:00,22.845,23.008,22.8,22.8,372,0
2014-12-05,17:00:00,22.918,22.935,22.845,22.935,1402,0
2014-12-05,18:00:00,22.845,22.864,22.828,22.845,7418,0
2014-12-05,19:00:00,22.893,22.893,22.854,22.854,2692,0
2014-12-05,20:00:00,22.819,22.893,22.819,22.819,3373,0
2014-12-05,21:00:00,22.764,22.772,22.749,22.772,2872,0
2014-12-05,22:00:00,22.719,22.719,22.719,22.719,3110,0
2014-12-08,16:00:00,22.757,22.757,22.557,22.557,4666,0
2014-12-08,17:00:00,22.514,22.514,22.325,22.333,5005,0
2014-12-08,18:00:00,22.36,22.36,22.189,22.218,10666,0
2014-12-08,19:00:00,22.115,22.115,21.955,22.036,3949,0
2014-12-08,20:00:00,22.027,22.027,21.865,21.865,6302,0
