Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-15,16:00:00,37.624,37.624,37.318,37.318,132664,0
2015-01-15,17:00:00,37.338,37.466,37.318,37.348,54416,0
2015-01-15,18:00:00,37.427,37.427,37.151,37.23,33044,0
2015-01-15,19:00:00,37.23,37.358,37.19,37.289,3754,0
2015-01-15,20:00:00,37.269,37.338,37.22,37.328,5480,0
2015-01-15,21:00:00,37.328,37.328,37.072,37.111,55158,0
2015-01-15,22:00:00,37.121,37.19,36.944,36.983,59415,0
2015-01-16,16:00:00,37.023,37.18,37.023,37.111,31081,0
2015-01-16,17:00:00,37.111,37.131,36.983,37.062,45708,0
2015-01-16,18:00:00,37.033,37.151,36.964,37.072,39511,0
2015-01-16,19:00:00,37.033,37.082,37.033,37.082,2086,0
2015-01-16,20:00:00,37.111,37.111,37.082,37.092,16388,0
2015-01-16,21:00:00,37.121,37.121,36.954,36.954,25589,0
2015-01-16,22:00:00,36.954,37.161,36.914,37.111,36791,0
2015-01-20,16:00:00,37.22,37.387,37.18,37.24,13092,0
2015-01-20,17:00:00,37.259,37.259,37.111,37.141,64912,0
2015-01-20,18:00:00,37.141,37.2,37.102,37.131,12083,0
2015-01-20,19:00:00,37.121,37.2,37.111,37.141,3025,0
2015-01-20,20:00:00,37.141,37.21,37.131,37.18,34567,0
2015-01-20,21:00:00,37.18,37.309,37.161,37.259,29282,0
2015-01-20,22:00:00,37.249,37.279,37.161,37.269,38726,0
2015-01-21,16:00:00,37.21,37.575,37.21,37.397,15397,0
2015-01-21,17:00:00,37.456,37.772,37.447,37.772,65956,0
2015-01-21,18:00:00,37.772,37.831,37.693,37.792,57497,0
2015-01-21,19:00:00,37.782,37.821,37.732,37.782,38874,0
2015-01-21,20:00:00,37.811,37.88,37.772,37.801,50195,0
2015-01-21,21:00:00,37.821,37.959,37.782,37.959,28118,0
2015-01-21,22:00:00,37.969,38.097,37.91,38.008,80883,0
2015-01-22,16:00:00,38.245,38.501,38.245,38.393,12103,0
2015-01-22,17:00:00,38.472,38.748,38.442,38.718,113632,0
2015-01-22,18:00:00,38.718,38.787,38.61,38.688,41081,0
2015-01-22,19:00:00,38.688,38.767,38.659,38.718,42041,0
2015-01-22,20:00:00,38.698,38.826,38.679,38.817,43847,0
2015-01-22,21:00:00,38.817,38.955,38.777,38.945,69574,0
2015-01-22,22:00:00,38.935,39.201,38.935,39.033,95612,0
2015-01-23,16:00:00,39.063,39.122,38.994,38.994,4752,0
2015-01-23,17:00:00,38.846,38.846,38.422,38.531,16636,0
2015-01-23,18:00:00,38.541,38.748,38.511,38.619,23898,0
2015-01-23,19:00:00,38.61,38.669,38.55,38.56,17555,0
2015-01-23,20:00:00,38.6,38.619,38.472,38.511,10680,0
2015-01-23,21:00:00,38.531,38.679,38.462,38.679,44909,0
2015-01-23,22:00:00,38.659,38.659,38.521,38.61,41566,0
2015-01-26,16:00:00,38.511,38.55,38.284,38.462,2797,0
2015-01-26,17:00:00,38.452,38.452,38.334,38.432,4732,0
2015-01-26,18:00:00,38.403,38.481,38.363,38.472,4620,0
2015-01-26,19:00:00,38.403,38.481,38.393,38.462,3219,0
2015-01-26,20:00:00,38.472,38.472,38.442,38.462,3070,0
2015-01-26,21:00:00,38.462,38.56,38.403,38.403,25501,0
2015-01-26,22:00:00,38.403,38.6,38.403,38.58,15176,0
2015-01-27,16:00:00,38.334,38.422,38.245,38.314,19989,0
