Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-15,16:00:00,23.38,23.62,22.99,23.04,263583,0
2015-01-15,17:00:00,22.99,23.37,22.97,23.14,322251,0
2015-01-15,18:00:00,23.15,23.16,22.86,22.91,166347,0
2015-01-15,19:00:00,22.94,23.02,22.74,22.85,97984,0
2015-01-15,20:00:00,22.83,23.0,22.77,22.82,151272,0
2015-01-15,21:00:00,22.82,22.96,22.78,22.94,195592,0
2015-01-15,22:00:00,22.92,22.93,22.54,22.62,270076,0
2015-01-16,16:00:00,22.56,22.79,22.49,22.63,164987,0
2015-01-16,17:00:00,22.64,22.91,22.55,22.87,264953,0
2015-01-16,18:00:00,22.86,22.92,22.74,22.83,142591,0
2015-01-16,19:00:00,22.84,22.95,22.68,22.9,101657,0
2015-01-16,20:00:00,22.91,22.99,22.8,22.96,129117,0
2015-01-16,21:00:00,22.95,22.97,22.79,22.84,87518,0
2015-01-16,22:00:00,22.83,23.28,22.79,23.2,288204,0
2015-01-20,16:00:00,23.04,23.08,22.73,22.78,147994,0
2015-01-20,17:00:00,22.79,22.96,22.77,22.87,394680,0
2015-01-20,18:00:00,22.86,22.94,22.76,22.85,333303,0
2015-01-20,19:00:00,22.85,22.95,22.82,22.85,192202,0
2015-01-20,20:00:00,22.84,22.93,22.76,22.84,212077,0
2015-01-20,21:00:00,22.84,23.13,22.83,23.11,239755,0
2015-01-20,22:00:00,23.12,23.12,22.96,23.11,378390,0
2015-01-21,16:00:00,23.68,24.1,23.66,23.98,301772,0
2015-01-21,17:00:00,23.97,24.46,23.96,24.44,362329,0
2015-01-21,18:00:00,24.44,24.51,24.22,24.32,500751,0
2015-01-21,19:00:00,24.31,24.34,24.13,24.21,253769,0
2015-01-21,20:00:00,24.22,24.31,24.11,24.14,309079,0
2015-01-21,21:00:00,24.13,24.43,24.09,24.42,288984,0
2015-01-21,22:00:00,24.42,24.69,24.26,24.56,642850,0
2015-01-22,16:00:00,24.97,25.07,24.66,24.88,187379,0
2015-01-22,17:00:00,24.91,25.48,24.9,25.43,340808,0
2015-01-22,18:00:00,25.45,25.45,25.23,25.31,163239,0
2015-01-22,19:00:00,25.33,25.54,25.25,25.41,186830,0
2015-01-22,20:00:00,25.42,25.47,25.34,25.43,117204,0
2015-01-22,21:00:00,25.42,25.85,25.39,25.85,273136,0
2015-01-22,22:00:00,25.84,26.08,25.84,26.0,452352,0
2015-01-23,16:00:00,25.56,25.79,25.51,25.69,148075,0
2015-01-23,17:00:00,25.69,25.79,25.57,25.73,293124,0
2015-01-23,18:00:00,25.73,25.8,25.61,25.71,275190,0
2015-01-23,19:00:00,25.7,25.78,25.66,25.76,152242,0
2015-01-23,20:00:00,25.75,25.76,25.59,25.63,184700,0
2015-01-23,21:00:00,25.61,25.64,25.46,25.46,156091,0
2015-01-23,22:00:00,25.45,25.53,25.38,25.42,370354,0
2015-01-26,16:00:00,25.17,25.25,25.09,25.21,81594,0
2015-01-26,17:00:00,25.23,25.47,25.22,25.46,76489,0
2015-01-26,18:00:00,25.46,25.62,25.44,25.61,75610,0
2015-01-26,19:00:00,25.64,25.71,25.61,25.63,109661,0
2015-01-26,20:00:00,25.62,25.62,25.49,25.57,77622,0
2015-01-26,21:00:00,25.56,25.56,25.34,25.35,77324,0
2015-01-26,22:00:00,25.33,25.49,25.22,25.47,419779,0
2015-01-27,16:00:00,24.55,24.86,24.53,24.82,96318,0
2015-01-27,17:00:00,24.81,24.94,24.7,24.76,156441,0
2015-01-27,18:00:00,24.76,24.96,24.72,24.88,157520,0
2015-01-27,19:00:00,24.89,25.03,24.82,25.02,133063,0
2015-01-27,20:00:00,25.03,25.12,24.95,25.01,92227,0
2015-01-27,21:00:00,25.0,25.24,25.0,25.05,93619,0
2015-01-27,22:00:00,25.05,25.13,24.98,25.03,241815,0
2015-01-28,16:00:00,24.88,24.89,24.67,24.67,88099,0
2015-01-28,17:00:00,24.66,24.8,24.64,24.65,154834,0
2015-01-28,18:00:00,24.65,24.81,24.6,24.68,95525,0
2015-01-28,19:00:00,24.69,24.8,24.68,24.68,69183,0
2015-01-28,20:00:00,24.66,24.74,24.6,24.69,101402,0
2015-01-28,21:00:00,24.71,24.91,24.37,24.65,174622,0
2015-01-28,22:00:00,24.58,24.64,24.04,24.23,360535,0
2015-01-29,16:00:00,24.15,24.28,23.99,24.12,302500,0
2015-01-29,17:00:00,24.12,24.13,23.64,23.7,952907,0
2015-01-29,18:00:00,23.71,23.74,23.51,23.59,645867,0
2015-01-29,19:00:00,23.58,23.73,23.52,23.69,433355,0
2015-01-29,20:00:00,23.69,24.02,23.62,23.93,361477,0
2015-01-29,21:00:00,23.93,24.08,23.88,24.03,317152,0
2015-01-29,22:00:00,24.03,24.27,24.01,24.25,759859,0
2015-01-30,16:00:00,22.76,23.1,22.75,23.06,217068,0
2015-01-30,17:00:00,23.05,23.07,22.67,22.78,470214,0
2015-01-30,18:00:00,22.78,22.84,22.41,22.55,490151,0
2015-01-30,19:00:00,22.56,22.75,22.54,22.6,258479,0
2015-01-30,20:00:00,22.59,22.84,22.54,22.84,205028,0
2015-01-30,21:00:00,22.83,23.2,22.77,22.79,253752,0
2015-01-30,22:00:00,22.8,22.9,22.22,22.29,833922,0
2015-02-02,16:00:00,23.13,23.27,23.05,23.11,172956,0
2015-02-02,17:00:00,23.11,23.14,22.94,23.09,314603,0
2015-02-02,18:00:00,23.09,23.41,23.09,23.32,348070,0
2015-02-02,19:00:00,23.32,23.33,23.13,23.16,187797,0
2015-02-02,20:00:00,23.16,23.3,23.05,23.11,126531,0
2015-02-02,21:00:00,23.09,23.32,23.07,23.2,173509,0
2015-02-02,22:00:00,23.2,23.67,23.16,23.45,472695,0
2015-02-03,16:00:00,24.19,24.35,24.12,24.35,223181,0
2015-02-03,17:00:00,24.35,24.47,24.21,24.35,379690,0
2015-02-03,18:00:00,24.35,24.59,24.34,24.47,267162,0
2015-02-03,19:00:00,24.46,24.47,24.34,24.36,185702,0
2015-02-03,20:00:00,24.35,24.67,24.31,24.59,272902,0
2015-02-03,21:00:00,24.6,24.67,24.39,24.67,200504,0
2015-02-03,22:00:00,24.68,24.83,24.64,24.74,416224,0
2015-02-04,16:00:00,24.68,24.8,24.56,24.79,102080,0
2015-02-04,17:00:00,24.81,24.91,24.7,24.87,216759,0
2015-02-04,18:00:00,24.85,25.05,24.82,24.88,199635,0
2015-02-04,19:00:00,24.89,24.9,24.62,24.68,89403,0
2015-02-04,20:00:00,24.67,24.71,24.6,24.63,147833,0
2015-02-04,21:00:00,24.63,24.67,24.45,24.55,124721,0
2015-02-04,22:00:00,24.52,24.75,24.28,24.33,260654,0
2015-02-05,16:00:00,24.17,24.4,24.17,24.2,146693,0
2015-02-05,17:00:00,24.21,24.72,24.21,24.69,263869,0
2015-02-05,18:00:00,24.68,24.75,24.59,24.73,213904,0
2015-02-05,19:00:00,24.72,24.75,24.59,24.66,151273,0
2015-02-05,20:00:00,24.65,24.8,24.64,24.67,111429,0
2015-02-05,21:00:00,24.66,24.73,24.57,24.66,178470,0
2015-02-05,22:00:00,24.67,24.86,24.61,24.83,130638,0
2015-02-06,16:00:00,23.76,23.99,23.71,23.89,148603,0
2015-02-06,17:00:00,23.88,24.07,23.88,23.94,98704,0
2015-02-06,18:00:00,23.98,23.98,23.82,23.84,163149,0
2015-02-06,19:00:00,23.83,23.86,23.49,23.61,233068,0
2015-02-06,20:00:00,23.62,23.67,23.4,23.59,159138,0
2015-02-06,21:00:00,23.57,23.6,23.43,23.48,138745,0
2015-02-06,22:00:00,23.47,23.58,23.35,23.56,351570,0
2015-02-09,16:00:00,23.29,23.52,23.29,23.5,181196,0
2015-02-09,17:00:00,23.48,23.67,23.37,23.38,241519,0
2015-02-09,18:00:00,23.39,23.59,23.39,23.41,134398,0
2015-02-09,19:00:00,23.41,23.51,23.37,23.43,170352,0
2015-02-09,20:00:00,23.43,23.52,23.4,23.49,132053,0
2015-02-09,21:00:00,23.48,23.57,23.42,23.42,130792,0
2015-02-09,22:00:00,23.42,23.47,23.33,23.46,238746,0
2015-02-10,16:00:00,23.21,23.25,23.03,23.03,199321,0
2015-02-10,17:00:00,23.02,23.19,22.98,23.13,257119,0
2015-02-10,18:00:00,23.12,23.2,23.07,23.14,226406,0
2015-02-10,19:00:00,23.14,23.23,23.08,23.15,178671,0
2015-02-10,20:00:00,23.16,23.18,22.99,22.99,196761,0
2015-02-10,21:00:00,23.0,23.34,22.99,23.34,229889,0
2015-02-10,22:00:00,23.34,23.35,23.15,23.26,404087,0
2015-02-11,16:00:00,22.7,22.72,22.54,22.61,292594,0
2015-02-11,17:00:00,22.6,22.64,22.28,22.38,393574,0
2015-02-11,18:00:00,22.39,22.57,22.39,22.54,152274,0
2015-02-11,19:00:00,22.52,22.57,22.41,22.46,179534,0
2015-02-11,20:00:00,22.45,22.63,22.33,22.6,300808,0
2015-02-11,21:00:00,22.59,22.83,22.56,22.8,344645,0
2015-02-11,22:00:00,22.79,22.96,22.71,22.78,455318,0
2015-02-12,16:00:00,23.51,23.78,23.44,23.77,258531,0
2015-02-12,17:00:00,23.76,23.77,23.59,23.65,384882,0
2015-02-12,18:00:00,23.65,23.98,23.63,23.98,347641,0
2015-02-12,19:00:00,23.99,24.03,23.89,23.9,303012,0
2015-02-12,20:00:00,23.91,24.03,23.91,24.02,225100,0
2015-02-12,21:00:00,24.01,24.2,23.92,24.2,280814,0
2015-02-12,22:00:00,24.2,24.3,24.17,24.22,460818,0
2015-02-13,16:00:00,24.62,24.78,24.6,24.78,158930,0
2015-02-13,17:00:00,24.74,24.95,24.72,24.94,313723,0
2015-02-13,18:00:00,24.95,25.02,24.88,24.96,210616,0
2015-02-13,19:00:00,24.97,25.0,24.87,25.0,182237,0
2015-02-13,20:00:00,25.0,25.04,24.85,24.91,216395,0
2015-02-13,21:00:00,24.91,25.05,24.91,24.99,244214,0
2015-02-13,22:00:00,24.99,25.05,24.93,25.03,279034,0
2015-02-17,16:00:00,24.82,24.82,24.44,24.46,84023,0
2015-02-17,17:00:00,24.45,24.51,24.24,24.26,223703,0
2015-02-17,18:00:00,24.29,24.57,24.27,24.57,80930,0
2015-02-17,19:00:00,24.58,24.8,24.58,24.77,80166,0
2015-02-17,20:00:00,24.78,24.87,24.75,24.87,73543,0
2015-02-17,21:00:00,24.87,24.88,24.76,24.78,70499,0
2015-02-17,22:00:00,24.79,24.86,24.72,24.85,136979,0
2015-02-18,16:00:00,24.47,24.58,24.38,24.42,97448,0
2015-02-18,17:00:00,24.43,24.58,24.32,24.58,144852,0
2015-02-18,18:00:00,24.57,24.62,24.48,24.5,87960,0
2015-02-18,19:00:00,24.49,24.5,24.38,24.38,50950,0
2015-02-18,20:00:00,24.38,24.4,24.31,24.31,116619,0
2015-02-18,21:00:00,24.33,24.95,24.33,24.62,238527,0
2015-02-18,22:00:00,24.63,24.83,24.63,24.82,164769,0
2015-02-19,16:00:00,24.25,24.39,24.17,24.39,56926,0
