Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-09-29,16:00:00,67.311,69.561,66.844,68.264,5120,0
2014-09-29,17:00:00,68.96,68.96,68.96,68.96,525,0
2014-09-29,18:00:00,69.151,69.351,69.151,69.351,3147,0
2014-09-29,19:00:00,69.494,69.494,69.494,69.494,2349,0
2014-09-29,20:00:00,69.494,69.589,68.855,68.855,2334,0
2014-09-29,21:00:00,68.789,68.789,68.789,68.789,2360,0
2014-09-29,22:00:00,69.532,69.589,68.827,69.065,847,0
2014-09-30,16:00:00,68.789,69.589,68.789,69.589,3141,0
2014-09-30,18:00:00,68.941,69.189,68.941,69.189,1227,0
2014-09-30,19:00:00,69.122,69.122,69.103,69.103,262,0
2014-09-30,20:00:00,69.122,69.122,69.122,69.122,392,0
2014-09-30,21:00:00,69.027,69.027,69.027,69.027,629,0
2014-09-30,22:00:00,68.912,69.151,68.903,68.903,8526,0
2014-10-01,16:00:00,68.321,68.388,68.312,68.388,3279,0
2014-10-01,17:00:00,68.607,68.636,67.969,68.35,1574,0
2014-10-01,18:00:00,68.388,68.798,68.131,68.474,8634,0
2014-10-01,19:00:00,68.464,68.464,67.997,68.312,682,0
2014-10-01,20:00:00,68.064,68.236,68.035,68.226,629,0
2014-10-01,21:00:00,68.083,68.188,67.807,68.188,2043,0
2014-10-01,22:00:00,68.188,68.55,67.683,67.759,56786,0
2014-10-02,16:00:00,67.778,67.778,67.778,67.778,650,0
2014-10-02,17:00:00,67.778,67.778,67.778,67.778,420,0
2014-10-02,18:00:00,67.74,67.74,67.73,67.73,1783,0
2014-10-02,21:00:00,67.921,67.95,67.921,67.95,629,0
2014-10-02,22:00:00,68.15,68.15,67.912,67.912,420,0
2014-10-03,17:00:00,68.817,68.836,68.817,68.836,3462,0
2014-10-03,18:00:00,68.636,68.636,68.636,68.636,112,0
2014-10-03,20:00:00,68.159,68.159,68.159,68.159,315,0
2014-10-03,21:00:00,68.226,68.493,68.178,68.417,839,0
2014-10-03,22:00:00,68.617,68.617,68.579,68.579,1343,0
2014-10-06,16:00:00,68.398,68.398,66.853,67.854,764,0
2014-10-06,17:00:00,66.977,68.159,66.977,68.093,1574,0
2014-10-06,18:00:00,67.549,67.959,67.549,67.959,2129,0
2014-10-06,19:00:00,68.121,68.436,67.902,68.264,4091,0
2014-10-06,20:00:00,67.902,68.684,67.902,68.588,13027,0
2014-10-06,21:00:00,68.598,69.046,68.398,68.588,5824,0
2014-10-06,22:00:00,68.588,68.779,68.035,68.055,4353,0
2014-10-07,16:00:00,68.112,68.731,68.112,68.731,954,0
2014-10-07,17:00:00,69.532,69.532,69.532,69.532,4196,0
2014-10-07,18:00:00,68.827,69.208,68.779,68.874,2308,0
2014-10-07,20:00:00,69.351,69.351,69.027,69.351,4792,0
2014-10-07,21:00:00,69.351,69.351,68.445,69.036,2864,0
2014-10-07,22:00:00,69.303,69.303,68.064,68.074,3534,0
2014-10-08,17:00:00,67.807,67.807,67.235,67.244,488,0
2014-10-08,18:00:00,67.502,68.417,67.502,68.293,1322,0
2014-10-08,20:00:00,67.778,67.778,67.778,67.778,525,0
2014-10-08,21:00:00,67.807,68.951,67.807,68.588,3042,0
2014-10-08,22:00:00,68.817,69.589,67.854,67.854,3026,0
2014-10-09,17:00:00,67.311,68.159,67.263,67.788,94471,0
2014-10-09,19:00:00,67.425,67.788,67.397,67.788,420,0
2014-10-09,20:00:00,66.739,66.739,66.739,66.739,1086,0
2014-10-09,21:00:00,67.254,67.359,67.254,67.254,4209,0
2014-10-09,22:00:00,66.749,67.34,66.749,67.34,3108,0
2014-10-10,16:00:00,67.835,67.835,67.444,67.444,448,0
2014-10-10,17:00:00,67.425,67.835,67.425,67.835,525,0
2014-10-10,21:00:00,67.187,67.206,67.178,67.206,6430,0
2014-10-10,22:00:00,67.225,67.225,66.825,67.015,7323,0
2014-10-13,16:00:00,65.757,65.757,63.908,64.146,10219,0
2014-10-13,17:00:00,64.832,65.3,64.823,65.08,17576,0
2014-10-13,18:00:00,65.08,65.185,64.775,64.823,76964,0
2014-10-13,19:00:00,64.013,64.346,64.013,64.346,1164,0
2014-10-13,20:00:00,64.356,65.195,64.346,65.195,3048,0
2014-10-13,21:00:00,65.147,65.147,64.365,64.365,747,0
2014-10-13,22:00:00,64.451,65.118,64.346,64.346,3458,0
2014-10-14,16:00:00,61.696,64.775,61.687,63.87,13404,0
2014-10-14,17:00:00,63.87,63.87,62.916,63.831,2086,0
2014-10-14,18:00:00,63.393,63.412,63.393,63.393,5931,0
2014-10-14,19:00:00,63.345,63.345,63.298,63.298,629,0
2014-10-14,20:00:00,63.107,63.117,63.012,63.012,2305,0
2014-10-14,21:00:00,63.021,63.727,63.021,63.727,1004,0
2014-10-14,22:00:00,62.916,62.916,62.916,62.916,80366,0
2014-10-15,16:00:00,62.259,62.468,62.259,62.468,662,0
2014-10-15,17:00:00,63.04,63.05,62.468,62.468,1463,0
2014-10-15,18:00:00,63.917,63.917,63.603,63.603,1597,0
2014-10-15,20:00:00,62.516,62.526,62.44,62.487,1259,0
2014-10-15,21:00:00,63.536,63.536,62.668,62.668,999,0
2014-10-16,17:00:00,61.134,61.21,61.134,61.143,944,0
2014-10-16,18:00:00,61.048,61.048,60.571,60.953,4034,0
2014-10-16,19:00:00,60.381,60.562,60.381,60.562,932,0
2014-10-16,20:00:00,60.819,60.838,60.819,60.838,1154,0
2014-10-16,21:00:00,60.686,60.686,60.686,60.686,587,0
2014-10-16,22:00:00,60.752,61.305,60.447,60.447,3747,0
2014-10-17,16:00:00,60.8,61.753,60.533,61.753,1588,0
2014-10-17,17:00:00,61.753,61.954,61.277,61.629,20557,0
2014-10-17,19:00:00,61.772,61.877,61.772,61.877,1259,0
2014-10-17,20:00:00,61.744,61.744,61.744,61.744,420,0
2014-10-17,21:00:00,61.486,61.486,60.914,60.914,839,0
2014-10-17,22:00:00,60.552,60.552,60.552,60.552,210,0
2014-10-20,16:00:00,61.467,61.467,61.467,61.467,210,0
2014-10-20,17:00:00,60.886,61.467,60.886,61.467,2146,0
2014-10-20,18:00:00,61.486,61.534,61.21,61.21,797,0
2014-10-20,19:00:00,61.486,61.486,61.486,61.486,168,0
2014-10-20,20:00:00,61.486,61.486,60.943,60.943,629,0
2014-10-20,21:00:00,61.153,61.963,60.867,61.057,53747,0
2014-10-20,22:00:00,60.934,61.077,60.876,60.876,1522,0
2014-10-21,16:00:00,61.715,63.689,61.715,63.555,1985,0
2014-10-21,18:00:00,63.536,63.536,63.221,63.221,1678,0
2014-10-21,19:00:00,62.783,62.916,62.554,62.916,1574,0
2014-10-21,21:00:00,62.697,62.697,62.678,62.678,257,0
2014-10-21,22:00:00,62.697,62.697,62.688,62.688,51427,0
2014-10-22,16:00:00,64.127,64.747,63.87,64.747,2832,0
2014-10-22,17:00:00,64.861,64.861,64.06,64.832,3081,0
2014-10-22,18:00:00,64.346,64.823,64.346,64.575,1943,0
2014-10-22,19:00:00,64.346,64.346,63.87,63.87,1290,0
2014-10-22,20:00:00,64.604,64.604,63.526,63.631,5728,0
2014-10-22,22:00:00,63.155,63.498,63.155,63.498,529,0
2014-10-23,17:00:00,63.803,63.803,63.727,63.727,4320,0
2014-10-23,18:00:00,63.631,63.87,63.631,63.841,1888,0
2014-10-23,22:00:00,63.441,63.441,63.441,63.441,1133,0
2014-10-24,17:00:00,63.488,63.87,63.488,63.86,916,0
2014-10-24,18:00:00,62.916,62.916,62.916,62.916,420,0
2014-10-24,19:00:00,62.916,63.059,62.897,62.897,8812,0
2014-10-24,21:00:00,62.716,62.84,62.716,62.783,4070,0
2014-10-24,22:00:00,62.783,62.821,62.773,62.773,1049,0
2014-10-27,15:00:00,60.876,61.715,60.571,60.571,2759,0
2014-10-27,16:00:00,60.543,61.105,60.533,60.628,10910,0
2014-10-27,17:00:00,61.725,61.725,61.725,61.725,105,0
2014-10-27,19:00:00,61.61,61.61,61.61,61.61,105,0
2014-10-27,20:00:00,60.676,60.676,60.676,60.676,1049,0
2014-10-27,21:00:00,60.962,60.962,60.934,60.934,629,0
2014-10-28,15:00:00,61.868,64.451,61.591,62.449,8138,0
2014-10-28,16:00:00,62.468,62.811,61.849,61.849,9126,0
2014-10-28,17:00:00,62.22,62.526,62.211,62.22,5979,0
2014-10-28,18:00:00,62.297,62.44,62.297,62.44,2727,0
2014-10-28,19:00:00,62.268,62.535,62.249,62.44,3462,0
2014-10-28,20:00:00,62.259,62.468,61.944,62.468,5979,0
2014-10-28,21:00:00,62.468,62.735,61.896,62.068,16097,0
2014-10-29,16:00:00,63.917,64.194,63.117,63.117,2518,0
2014-10-29,17:00:00,63.26,63.26,63.26,63.26,105,0
2014-10-29,18:00:00,63.393,63.536,63.383,63.536,3785,0
2014-10-29,19:00:00,63.393,63.393,63.107,63.107,629,0
2014-10-29,20:00:00,62.44,62.621,61.934,62.43,20974,0
2014-10-30,15:00:00,62.993,63.002,62.993,63.002,629,0
2014-10-30,17:00:00,63.87,63.87,63.87,63.87,315,0
2014-10-30,18:00:00,63.927,63.927,63.631,63.631,7133,0
2014-10-30,19:00:00,63.631,63.87,63.631,63.87,1674,0
2014-10-30,20:00:00,63.87,63.87,63.326,63.326,5551,0
2014-10-30,21:00:00,63.793,63.87,63.793,63.86,1259,0
2014-10-31,16:00:00,63.689,63.689,63.689,63.689,105,0
2014-10-31,17:00:00,64.289,64.289,63.879,63.917,2452,0
2014-10-31,21:00:00,64.508,65.042,64.461,65.004,4196,0
2014-11-03,16:00:00,65.9,66.539,65.9,66.539,2392,0
2014-11-03,17:00:00,66.596,67.587,66.596,67.587,9196,0
2014-11-03,19:00:00,66.729,66.729,66.729,66.729,315,0
2014-11-03,21:00:00,66.768,66.787,66.405,66.405,1888,0
2014-11-03,22:00:00,66.148,66.567,65.9,66.567,4511,0
2014-11-04,16:00:00,66.548,66.548,66.539,66.539,1364,0
2014-11-04,20:00:00,66.443,66.51,66.3,66.51,1574,0
2014-11-04,21:00:00,66.52,66.625,66.491,66.625,1364,0
2014-11-04,22:00:00,66.52,66.52,66.386,66.386,525,0
2014-11-05,16:00:00,66.138,66.138,66.138,66.138,551,0
2014-11-05,17:00:00,66.377,66.377,66.377,66.377,94096,0
2014-11-05,18:00:00,66.377,66.377,66.377,66.377,9126,0
2014-11-05,19:00:00,66.377,66.377,66.377,66.377,1154,0
2014-11-05,20:00:00,66.377,66.396,66.377,66.396,11854,0
2014-11-05,21:00:00,66.405,66.405,66.377,66.377,10490,0
2014-11-05,22:00:00,66.768,66.768,66.377,66.377,15840,0
2014-11-06,16:00:00,65.767,66.253,65.748,65.776,2255,0
2014-11-06,18:00:00,65.776,65.776,65.776,65.776,105,0
2014-11-06,19:00:00,65.757,65.757,65.757,65.757,210,0
2014-11-06,20:00:00,65.862,65.881,65.843,65.843,1049,0
2014-11-06,21:00:00,65.843,65.843,65.843,65.843,525,0
2014-11-06,22:00:00,65.872,65.986,65.757,65.9,3032,0
2014-11-07,16:00:00,65.547,65.948,65.547,65.948,1747,0
2014-11-07,18:00:00,66.186,66.186,66.157,66.157,420,0
2014-11-07,19:00:00,66.062,66.062,66.062,66.062,210,0
2014-11-07,21:00:00,66.062,66.062,66.062,66.062,210,0
2014-11-07,22:00:00,66.024,66.1,65.976,66.024,1783,0
2014-11-10,16:00:00,66.062,66.367,66.062,66.367,734,0
2014-11-10,18:00:00,66.367,66.367,66.367,66.367,2308,0
2014-11-10,21:00:00,66.167,66.167,66.167,66.167,420,0
2014-11-10,22:00:00,66.167,66.205,66.157,66.157,1484,0
2014-11-11,16:00:00,66.053,66.053,66.053,66.053,105,0
2014-11-11,17:00:00,66.367,66.367,66.11,66.11,1448,0
2014-11-11,18:00:00,66.11,66.11,66.11,66.11,420,0
2014-11-11,19:00:00,66.081,66.081,66.081,66.081,124,0
2014-11-11,21:00:00,66.129,66.129,66.129,66.129,136,0
2014-11-11,22:00:00,66.367,66.377,66.091,66.091,2098,0
2014-11-12,17:00:00,65.538,65.891,65.223,65.891,3253,0
2014-11-12,19:00:00,66.034,66.034,66.034,66.034,1127,0
2014-11-12,21:00:00,65.509,65.509,65.509,65.509,111,0
2014-11-12,22:00:00,65.538,65.538,65.49,65.49,525,0
2014-11-13,16:00:00,65.328,65.347,65.3,65.347,6294,0
2014-11-13,18:00:00,65.3,65.3,65.3,65.3,420,0
2014-11-13,19:00:00,65.3,65.3,65.3,65.3,10700,0
2014-11-13,21:00:00,64.975,64.975,64.871,64.871,930,0
2014-11-13,22:00:00,65.347,65.347,64.775,64.775,798,0
2014-11-14,17:00:00,64.451,64.632,64.451,64.623,69107,0
2014-11-14,18:00:00,64.804,64.804,64.804,64.804,315,0
2014-11-14,20:00:00,64.518,64.546,64.451,64.451,4511,0
2014-11-14,22:00:00,64.442,64.461,64.413,64.413,17309,0
2014-11-17,17:00:00,63.66,63.66,63.66,63.66,337,0
2014-11-17,18:00:00,63.65,63.689,63.65,63.689,734,0
2014-11-17,19:00:00,64.232,64.232,63.584,63.584,734,0
2014-11-17,21:00:00,63.565,63.565,63.565,63.565,734,0
2014-11-17,22:00:00,63.65,64.651,63.403,63.422,8365,0
2014-11-18,17:00:00,63.927,64.518,63.565,64.518,2979,0
2014-11-18,21:00:00,64.013,64.013,64.013,64.013,420,0
2014-11-18,22:00:00,63.86,63.889,63.841,63.841,4653,0
2014-11-19,16:00:00,63.908,63.917,63.889,63.889,525,0
2014-11-19,17:00:00,63.755,63.765,63.669,63.669,5665,0
2014-11-19,18:00:00,63.565,63.736,63.565,63.727,1049,0
2014-11-19,19:00:00,63.727,63.774,63.727,63.755,10805,0
2014-11-19,20:00:00,63.755,63.765,63.708,63.708,1364,0
2014-11-19,21:00:00,63.708,63.965,63.708,63.727,839,0
2014-11-19,22:00:00,63.727,63.727,63.727,63.727,829,0
2014-11-20,16:00:00,63.917,63.917,63.87,63.87,315,0
2014-11-20,17:00:00,63.984,64.489,63.984,64.489,1494,0
2014-11-20,19:00:00,64.48,64.48,64.48,64.48,105,0
2014-11-20,22:00:00,64.489,64.489,64.251,64.251,525,0
2014-11-21,16:00:00,64.537,64.537,64.537,64.537,210,0
2014-11-21,17:00:00,65.014,65.014,65.014,65.014,944,0
2014-11-21,18:00:00,64.956,64.956,64.956,64.956,152,0
2014-11-21,20:00:00,64.728,64.89,64.728,64.89,656,0
2014-11-21,22:00:00,65.157,65.28,65.157,65.28,4926,0
2014-11-25,16:00:00,63.879,63.879,63.879,63.879,525,0
2014-11-25,17:00:00,63.679,63.784,63.679,63.727,6323,0
2014-11-25,18:00:00,63.736,63.784,63.65,63.727,1678,0
2014-11-25,20:00:00,63.774,63.774,63.774,63.774,525,0
2014-11-25,21:00:00,63.822,63.822,63.822,63.822,300,0
2014-11-25,22:00:00,63.87,63.87,63.736,63.736,629,0
2014-11-26,17:00:00,64.537,64.537,64.537,64.537,489,0
2014-11-26,20:00:00,64.165,64.165,64.165,64.165,315,0
2014-11-28,19:00:00,64.585,64.585,64.585,64.585,1993,0
2014-12-01,16:00:00,63.155,63.155,63.002,63.002,944,0
2014-12-01,17:00:00,63.088,63.097,62.535,62.535,3128,0
