Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-15,16:00:00,20.727,20.727,20.621,20.621,38874,0
2015-01-15,17:00:00,20.67,20.688,20.65,20.68,52524,0
2015-01-15,18:00:00,20.66,20.66,20.581,20.631,144507,0
2015-01-15,19:00:00,20.621,20.64,20.571,20.581,60326,0
2015-01-15,20:00:00,20.591,20.621,20.552,20.601,107825,0
2015-01-15,21:00:00,20.611,20.611,20.552,20.611,50947,0
2015-01-15,22:00:00,20.611,20.621,20.552,20.611,144306,0
2015-01-16,16:00:00,20.631,20.67,20.581,20.64,25828,0
2015-01-16,17:00:00,20.65,20.65,20.591,20.631,25093,0
2015-01-16,18:00:00,20.631,20.67,20.621,20.65,33896,0
2015-01-16,19:00:00,20.65,20.688,20.64,20.67,22960,0
2015-01-16,20:00:00,20.688,20.688,20.67,20.68,15966,0
2015-01-16,21:00:00,20.688,20.757,20.67,20.727,1798728,0
2015-01-16,22:00:00,20.717,20.747,20.688,20.698,133618,0
2015-01-20,16:00:00,20.64,20.66,20.621,20.621,24076,0
2015-01-20,17:00:00,20.631,20.631,20.571,20.621,78818,0
2015-01-20,18:00:00,20.621,20.698,20.591,20.688,465435,0
2015-01-20,19:00:00,20.688,20.707,20.68,20.688,510327,0
2015-01-20,20:00:00,20.688,20.717,20.68,20.707,430971,0
2015-01-20,21:00:00,20.707,20.737,20.698,20.737,469190,0
2015-01-20,22:00:00,20.737,20.747,20.67,20.698,760268,0
2015-01-21,16:00:00,20.707,20.825,20.707,20.765,29355,0
2015-01-21,17:00:00,20.757,20.805,20.727,20.727,105384,0
2015-01-21,18:00:00,20.727,20.747,20.66,20.67,118535,0
2015-01-21,19:00:00,20.68,20.688,20.64,20.65,58054,0
2015-01-21,20:00:00,20.65,20.68,20.631,20.66,440441,0
2015-01-21,21:00:00,20.66,20.68,20.621,20.68,193209,0
2015-01-21,22:00:00,20.67,20.698,20.66,20.66,141782,0
2015-01-22,16:00:00,20.67,20.825,20.67,20.737,79538,0
2015-01-22,17:00:00,20.737,20.884,20.737,20.854,64735,0
2015-01-22,18:00:00,20.884,20.884,20.815,20.864,82915,0
2015-01-22,19:00:00,20.864,20.864,20.805,20.835,53719,0
2015-01-22,20:00:00,20.835,20.854,20.815,20.854,76202,0
2015-01-22,21:00:00,20.854,20.874,20.845,20.864,65554,0
2015-01-22,22:00:00,20.864,20.864,20.795,20.815,211435,0
2015-01-23,16:00:00,20.805,20.854,20.765,20.854,71547,0
2015-01-23,17:00:00,20.845,20.893,20.845,20.874,204875,0
2015-01-23,18:00:00,20.864,20.912,20.864,20.893,171103,0
2015-01-23,19:00:00,20.884,20.903,20.864,20.903,161554,0
2015-01-23,20:00:00,20.903,20.912,20.893,20.903,192844,0
2015-01-23,21:00:00,20.912,20.932,20.884,20.922,242075,0
2015-01-23,22:00:00,20.932,20.932,20.884,20.893,268245,0
2015-01-26,16:00:00,20.854,20.893,20.775,20.825,16738,0
2015-01-26,17:00:00,20.825,20.864,20.815,20.845,72990,0
2015-01-26,18:00:00,20.854,20.884,20.825,20.874,54516,0
2015-01-26,19:00:00,20.884,20.893,20.825,20.874,78888,0
2015-01-26,20:00:00,20.874,20.874,20.825,20.835,72817,0
2015-01-26,21:00:00,20.825,20.854,20.815,20.825,87363,0
2015-01-26,22:00:00,20.835,20.845,20.785,20.845,139614,0
2015-01-27,16:00:00,20.815,20.922,20.815,20.884,22777,0
2015-01-27,17:00:00,20.893,20.922,20.835,20.884,284309,0
2015-01-27,18:00:00,20.903,20.912,20.884,20.903,42141,0
