Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-12-04,16:00:00,56.4,56.4,56.382,56.382,2408,0
2014-12-04,17:00:00,56.362,56.372,56.332,56.332,2849,0
2014-12-04,19:00:00,56.362,56.382,56.362,56.362,1055,0
2014-12-04,20:00:00,56.489,56.489,56.419,56.439,1118,0
2014-12-04,21:00:00,56.39,56.39,56.39,56.39,101,0
2014-12-04,22:00:00,56.362,56.362,56.302,56.362,915,0
2014-12-05,16:00:00,56.382,56.41,56.382,56.41,6551,0
2014-12-05,17:00:00,56.469,56.469,56.372,56.372,1430,0
2014-12-05,18:00:00,56.372,56.489,56.372,56.489,4684,0
2014-12-05,19:00:00,56.499,56.499,56.439,56.469,1003,0
2014-12-05,20:00:00,56.469,56.469,56.439,56.439,408,0
2014-12-05,21:00:00,56.419,56.419,56.419,56.419,1342,0
2014-12-05,22:00:00,56.352,56.39,56.332,56.372,1913,0
2014-12-08,17:00:00,56.382,56.39,56.372,56.372,1014,0
2014-12-08,18:00:00,56.362,56.362,56.352,56.352,3479,0
2014-12-08,19:00:00,56.342,56.352,56.125,56.125,4264,0
2014-12-08,20:00:00,55.957,55.957,55.937,55.937,204,0
2014-12-08,21:00:00,55.927,55.927,55.907,55.907,3151,0
2014-12-08,22:00:00,55.957,55.957,55.957,55.957,101,0
2014-12-09,16:00:00,55.563,55.651,55.444,55.651,8072,0
2014-12-09,17:00:00,55.661,55.671,55.651,55.651,1434,0
2014-12-09,18:00:00,55.681,55.681,55.671,55.681,1120,0
2014-12-09,20:00:00,55.977,55.977,55.977,55.977,101,0
2014-12-09,21:00:00,55.937,55.937,55.887,55.887,6824,0
2014-12-09,22:00:00,55.967,56.016,55.927,56.016,4377,0
2014-12-10,16:00:00,55.839,55.839,55.839,55.839,287,0
2014-12-10,17:00:00,55.71,55.77,55.563,55.641,1977,0
2014-12-10,18:00:00,55.72,55.72,55.593,55.69,2130,0
2014-12-10,20:00:00,55.573,55.583,55.533,55.553,2923,0
2014-12-10,21:00:00,55.227,55.227,55.197,55.197,1060,0
2014-12-10,22:00:00,55.168,55.317,55.11,55.11,4321,0
2014-12-11,17:00:00,55.78,55.839,55.78,55.839,595,0
2014-12-11,18:00:00,55.829,55.937,55.829,55.937,4010,0
2014-12-11,19:00:00,55.897,55.927,55.849,55.877,2953,0
2014-12-11,20:00:00,55.849,55.849,55.77,55.77,830,0
2014-12-11,22:00:00,55.543,55.553,55.523,55.523,305,0
2014-12-12,16:00:00,55.168,55.168,55.168,55.168,101,0
2014-12-12,17:00:00,55.119,55.139,54.952,54.952,980,0
2014-12-12,18:00:00,54.872,54.892,54.823,54.823,668,0
2014-12-12,19:00:00,54.823,55.01,54.823,55.01,1074,0
2014-12-12,20:00:00,54.882,55.06,54.823,55.06,2971,0
2014-12-12,21:00:00,54.952,54.972,54.872,54.872,4372,0
2014-12-12,22:00:00,55,55,54.587,54.587,4177,0
2014-12-15,16:00:00,54.833,54.833,54.794,54.794,1421,0
2014-12-15,17:00:00,54.685,54.685,54.449,54.449,2402,0
2014-12-15,18:00:00,54.282,54.291,54.182,54.182,1318,0
2014-12-15,19:00:00,54.212,54.222,54.143,54.222,2719,0
2014-12-15,20:00:00,54.35,54.36,54.262,54.262,1656,0
2014-12-15,21:00:00,54.301,54.301,54.222,54.222,456,0
2014-12-15,22:00:00,54.301,54.301,54.301,54.301,272,0
2014-12-16,16:00:00,53.867,54.055,53.867,54.035,1628,0
2014-12-16,17:00:00,54.35,54.35,54.162,54.162,1115,0
2014-12-16,18:00:00,54.932,54.932,54.162,54.162,408,0
2014-12-16,19:00:00,54.695,54.695,54.587,54.587,627,0
2014-12-16,20:00:00,54.232,54.232,54.232,54.232,336,0
2014-12-16,21:00:00,54.389,54.429,54.389,54.429,3349,0
2014-12-16,22:00:00,54.331,54.331,53.808,53.808,3274,0
2014-12-17,16:00:00,54.075,54.182,54.075,54.162,3991,0
2014-12-17,17:00:00,54.095,54.212,54.065,54.212,993,0
2014-12-17,18:00:00,54.222,54.369,54.222,54.369,2342,0
2014-12-17,19:00:00,54.439,54.468,54.429,54.429,12548,0
2014-12-17,20:00:00,54.439,54.439,54.439,54.439,101,0
2014-12-17,21:00:00,54.784,54.912,54.468,54.468,2748,0
2014-12-17,22:00:00,54.833,54.981,54.794,54.972,6358,0
2014-12-18,16:00:00,55.553,55.553,55.553,55.553,204,0
2014-12-18,17:00:00,55.661,55.73,55.631,55.671,2217,0
2014-12-18,18:00:00,55.563,55.573,55.494,55.494,2587,0
2014-12-18,19:00:00,55.641,55.73,55.641,55.73,1015,0
2014-12-18,20:00:00,55.78,55.829,55.7,55.79,2334,0
2014-12-18,21:00:00,55.72,55.73,55.72,55.73,1624,0
2014-12-18,22:00:00,55.829,55.868,55.829,55.858,985,0
2014-12-19,16:00:00,56.618,56.618,56.045,56.045,16188,0
2014-12-19,17:00:00,56.479,56.588,56.302,56.332,3542,0
2014-12-19,18:00:00,56.352,56.352,56.342,56.342,2445,0
2014-12-19,19:00:00,56.262,56.292,56.212,56.292,5213,0
2014-12-19,20:00:00,56.342,56.382,56.332,56.372,4210,0
2014-12-19,22:00:00,56.578,56.676,56.499,56.539,7082,0
2014-12-22,16:00:00,56.419,56.439,56.419,56.439,1320,0
2014-12-22,17:00:00,56.4,56.479,56.4,56.479,12461,0
2014-12-22,18:00:00,56.4,56.4,56.352,56.372,2541,0
2014-12-22,19:00:00,56.372,56.419,56.362,56.41,4111,0
2014-12-22,20:00:00,56.479,56.479,56.479,56.479,101,0
2014-12-22,21:00:00,56.519,56.519,56.509,56.509,407,0
2014-12-22,22:00:00,56.578,56.608,56.549,56.608,7531,0
2014-12-23,17:00:00,56.824,56.824,56.824,56.824,133,0
2014-12-23,18:00:00,56.815,56.815,56.815,56.815,3450,0
2014-12-23,19:00:00,56.805,56.864,56.795,56.864,6408,0
2014-12-23,20:00:00,56.864,56.894,56.824,56.864,4654,0
2014-12-23,21:00:00,56.864,56.932,56.864,56.884,1152,0
2014-12-23,22:00:00,56.864,56.894,56.824,56.824,4324,0
2014-12-24,16:00:00,56.948,56.948,56.948,56.948,404,0
2014-12-24,17:00:00,56.898,56.918,56.898,56.898,1668,0
2014-12-24,18:00:00,56.958,56.958,56.948,56.948,1211,0
2014-12-24,19:00:00,56.928,56.968,56.898,56.898,3715,0
2014-12-26,17:00:00,57.097,57.186,57.097,57.137,4073,0
2014-12-26,18:00:00,57.186,57.186,57.097,57.176,3732,0
2014-12-26,19:00:00,57.176,57.176,57.127,57.156,3531,0
2014-12-26,20:00:00,57.137,57.186,57.137,57.156,6143,0
2014-12-26,21:00:00,57.156,57.186,57.156,57.186,3480,0
2014-12-26,22:00:00,57.176,57.196,57.137,57.176,5065,0
2014-12-29,16:00:00,57.037,57.216,57.037,57.216,7551,0
2014-12-29,17:00:00,57.235,57.265,57.226,57.226,2850,0
2014-12-29,18:00:00,57.216,57.216,57.206,57.216,2018,0
2014-12-29,19:00:00,57.226,57.226,57.226,57.226,262,0
2014-12-29,20:00:00,57.216,57.216,57.206,57.206,2324,0
2014-12-29,21:00:00,57.265,57.265,57.265,57.265,172,0
2014-12-29,22:00:00,57.245,57.285,57.206,57.216,23182,0
2014-12-30,16:00:00,57.097,57.117,57.018,57.117,1289,0
2014-12-30,17:00:00,56.988,56.988,56.988,56.988,202,0
2014-12-30,18:00:00,56.978,57.028,56.918,56.918,6713,0
2014-12-30,19:00:00,56.998,56.998,56.938,56.938,580,0
2014-12-30,20:00:00,56.908,56.908,56.908,56.908,504,0
2014-12-30,21:00:00,56.849,56.849,56.849,56.849,137,0
2014-12-30,22:00:00,56.898,56.898,56.898,56.898,782,0
2014-12-31,16:00:00,56.79,56.79,56.79,56.79,908,0
2014-12-31,17:00:00,56.869,56.928,56.869,56.928,2885,0
2014-12-31,18:00:00,56.928,56.928,56.889,56.918,3964,0
2014-12-31,19:00:00,56.69,56.69,56.69,56.69,353,0
2014-12-31,21:00:00,56.572,56.572,56.462,56.492,1191,0
