Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-15,16:00:00,58.007,58.126,57.331,57.431,229536,0
2015-01-15,17:00:00,57.421,57.798,57.351,57.54,263271,0
2015-01-15,18:00:00,57.54,57.61,57.073,57.292,319807,0
2015-01-15,19:00:00,57.292,57.341,56.924,57.034,260179,0
2015-01-15,20:00:00,57.044,57.143,56.905,57.034,177009,0
2015-01-15,21:00:00,57.024,57.272,56.994,57.222,205705,0
2015-01-15,22:00:00,57.212,57.242,56.974,57.053,625352,0
2015-01-16,16:00:00,57.053,57.341,56.984,57.123,264303,0
2015-01-16,17:00:00,57.103,57.431,56.934,57.421,436523,0
2015-01-16,18:00:00,57.411,57.421,57.212,57.322,263423,0
2015-01-16,19:00:00,57.341,57.53,57.272,57.48,183290,0
2015-01-16,20:00:00,57.48,57.5,57.351,57.441,200392,0
2015-01-16,21:00:00,57.451,57.59,57.421,57.59,201897,0
2015-01-16,22:00:00,57.58,57.907,57.54,57.758,801853,0
2015-01-20,16:00:00,57.858,57.858,57.212,57.262,246870,0
2015-01-20,17:00:00,57.262,57.629,57.252,57.51,368363,0
2015-01-20,18:00:00,57.5,57.659,57.47,57.61,330279,0
2015-01-20,19:00:00,57.6,57.818,57.6,57.739,236218,0
2015-01-20,20:00:00,57.739,58.007,57.709,57.937,242183,0
2015-01-20,21:00:00,57.917,58.305,57.917,58.185,224887,0
2015-01-20,22:00:00,58.195,58.245,57.868,57.937,607243,0
2015-01-21,16:00:00,58.126,58.493,57.828,58.166,221494,0
2015-01-21,17:00:00,58.126,58.632,58.096,58.533,432424,0
2015-01-21,18:00:00,58.553,58.612,58.046,58.166,730326,0
2015-01-21,19:00:00,58.156,58.215,58.007,58.175,329462,0
2015-01-21,20:00:00,58.185,58.235,57.977,58.056,200904,0
2015-01-21,21:00:00,58.036,58.314,58.007,58.156,316083,0
2015-01-21,22:00:00,58.156,58.573,58.066,58.463,732335,0
2015-01-22,16:00:00,58.89,59.178,58.851,59.109,283942,0
2015-01-22,17:00:00,59.119,59.804,59.119,59.734,721899,0
2015-01-22,18:00:00,59.734,59.754,59.566,59.715,476791,0
2015-01-22,19:00:00,59.724,59.923,59.645,59.863,452158,0
2015-01-22,20:00:00,59.863,59.883,59.655,59.744,260381,0
2015-01-22,21:00:00,59.754,59.923,59.635,59.784,493413,0
2015-01-22,22:00:00,59.804,59.973,59.764,59.844,1278287,0
2015-01-23,16:00:00,59.655,59.814,59.417,59.526,324811,0
2015-01-23,17:00:00,59.526,59.695,59.367,59.615,512693,0
2015-01-23,18:00:00,59.595,59.615,59.466,59.486,222674,0
2015-01-23,19:00:00,59.486,59.705,59.486,59.635,134370,0
2015-01-23,20:00:00,59.655,59.695,59.526,59.536,131057,0
2015-01-23,21:00:00,59.536,59.575,59.238,59.238,163192,0
2015-01-23,22:00:00,59.228,59.377,59.168,59.278,626183,0
2015-01-26,16:00:00,59.238,59.407,58.94,59.069,158855,0
2015-01-26,17:00:00,59.059,59.347,59.029,59.317,189658,0
2015-01-26,18:00:00,59.297,59.635,59.288,59.595,189835,0
2015-01-26,19:00:00,59.605,59.804,59.575,59.764,176212,0
2015-01-26,20:00:00,59.754,59.754,59.575,59.615,134106,0
2015-01-26,21:00:00,59.605,59.625,59.476,59.516,193058,0
2015-01-26,22:00:00,59.506,59.556,59.297,59.506,358014,0
2015-01-27,16:00:00,59.069,59.168,58.771,59.129,319888,0
2015-01-27,17:00:00,59.089,59.158,58.95,59.109,298259,0
2015-01-27,18:00:00,59.109,59.297,59.109,59.158,183058,0
2015-01-27,19:00:00,59.158,59.297,59.089,59.297,107549,0
2015-01-27,20:00:00,59.307,59.357,59.139,59.168,86310,0
2015-01-27,21:00:00,59.158,59.377,59.089,59.109,125631,0
2015-01-27,22:00:00,59.079,59.258,59.039,59.238,561011,0
2015-01-28,16:00:00,58.9,59.317,58.9,59.089,116524,0
2015-01-28,17:00:00,59.089,59.099,58.761,58.781,210005,0
2015-01-28,18:00:00,58.751,58.94,58.732,58.88,132912,0
2015-01-28,19:00:00,58.88,58.91,58.622,58.622,374887,0
2015-01-28,20:00:00,58.622,58.662,58.374,58.424,376603,0
2015-01-28,21:00:00,58.463,58.861,58.414,58.573,399563,0
2015-01-28,22:00:00,58.573,58.573,57.957,58.156,1106743,0
