Date,Time,Open,High,Low,Close,Volume,OpenInt
2013-11-21,19:00:00,22.568,22.568,22.568,22.568,103,0
2013-11-22,22:00:00,22.617,22.617,22.617,22.617,168,0
2013-11-25,18:00:00,22.376,22.376,22.376,22.376,103,0
2013-11-25,22:00:00,22.28,22.28,22.26,22.26,416,0
2013-11-27,17:00:00,22.674,22.674,22.674,22.674,208,0
2013-11-27,20:00:00,22.8,22.819,22.8,22.819,259,0
2013-11-27,22:00:00,22.877,22.877,22.877,22.877,716,0
2013-12-02,16:00:00,23.049,23.049,23.049,23.049,1299,0
2013-12-02,17:00:00,22.953,22.953,22.857,22.857,3117,0
2013-12-02,18:00:00,22.857,22.886,22.819,22.867,39608,0
2013-12-02,19:00:00,22.944,22.944,22.934,22.944,4156,0
2013-12-02,21:00:00,22.684,22.684,22.684,22.684,675,0
2013-12-02,22:00:00,22.877,22.877,22.838,22.838,208,0
2013-12-03,20:00:00,22.617,22.617,22.617,22.617,5497,0
2013-12-06,21:00:00,23.03,23.03,23.03,23.03,311,0
2013-12-06,22:00:00,23.03,23.03,23.03,23.03,208,0
2013-12-09,17:00:00,23.012,23.012,23.012,23.012,2078,0
2013-12-09,21:00:00,23.069,23.069,23.069,23.069,103,0
2013-12-10,19:00:00,22.693,22.693,22.693,22.693,103,0
2013-12-10,21:00:00,22.895,22.895,22.838,22.847,2597,0
2013-12-11,20:00:00,22.732,22.732,22.732,22.732,462,0
2013-12-13,18:00:00,22.646,22.646,22.646,22.646,1806,0
2013-12-13,19:00:00,22.655,22.655,22.646,22.655,10909,0
2013-12-13,21:00:00,22.674,22.674,22.674,22.674,4820,0
2013-12-13,22:00:00,22.732,22.732,22.732,22.732,302,0
2013-12-16,20:00:00,22.53,22.53,22.433,22.433,1443,0
2013-12-16,21:00:00,22.693,22.693,22.684,22.684,1249,0
2013-12-18,21:00:00,22.769,22.769,22.595,22.595,574,0
2013-12-18,22:00:00,22.914,22.914,22.778,22.778,519,0
2013-12-19,21:00:00,22.508,22.508,22.508,22.508,1556,0
2013-12-19,22:00:00,22.548,22.558,22.471,22.471,726,0
2013-12-20,18:00:00,22.267,22.267,22.267,22.267,276,0
2013-12-20,20:00:00,22.017,22.017,22.017,22.017,623,0
2013-12-20,21:00:00,22.123,22.123,22.123,22.123,26142,0
2013-12-27,16:00:00,22.548,22.548,22.548,22.548,156,0
2013-12-27,20:00:00,22.567,22.567,22.567,22.567,208,0
2013-12-30,22:00:00,22.692,22.788,22.692,22.788,3361,0
2013-12-31,17:00:00,22.653,22.692,22.625,22.653,26971,0
2013-12-31,18:00:00,22.634,22.682,22.634,22.634,24690,0
2013-12-31,19:00:00,22.644,22.653,22.575,22.585,23549,0
2013-12-31,20:00:00,22.585,22.585,22.575,22.575,1670,0
2014-01-02,16:00:00,22.75,22.75,22.721,22.721,726,0
