Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-15,16:00:00,24.54,24.579,24.442,24.442,4946,0
2015-01-15,17:00:00,24.462,24.559,24.462,24.52,9157,0
2015-01-15,18:00:00,24.501,24.52,24.423,24.52,9155,0
2015-01-15,19:00:00,24.51,24.51,24.413,24.433,16140,0
2015-01-15,20:00:00,24.442,24.51,24.442,24.482,15392,0
2015-01-15,21:00:00,24.482,24.53,24.462,24.53,30548,0
2015-01-15,22:00:00,24.53,24.53,24.442,24.442,19069,0
2015-01-16,16:00:00,24.442,24.569,24.442,24.54,17724,0
2015-01-16,17:00:00,24.549,24.618,24.52,24.618,7470,0
2015-01-16,18:00:00,24.598,24.638,24.598,24.608,9918,0
2015-01-16,19:00:00,24.628,24.736,24.628,24.726,12311,0
2015-01-16,20:00:00,24.726,24.756,24.706,24.746,14150,0
2015-01-16,21:00:00,24.716,24.756,24.697,24.746,26394,0
2015-01-16,22:00:00,24.764,24.833,24.726,24.813,20325,0
2015-01-20,16:00:00,24.931,24.941,24.784,24.823,24804,0
2015-01-20,17:00:00,24.843,24.853,24.794,24.823,11881,0
2015-01-20,18:00:00,24.804,24.823,24.764,24.764,10447,0
2015-01-20,19:00:00,24.764,24.784,24.764,24.784,7935,0
2015-01-20,20:00:00,24.784,24.813,24.726,24.804,108736,0
2015-01-20,21:00:00,24.784,24.872,24.774,24.843,15746,0
2015-01-20,22:00:00,24.872,24.882,24.823,24.853,30443,0
2015-01-21,16:00:00,24.823,24.99,24.813,24.99,9019,0
2015-01-21,17:00:00,24.912,24.99,24.912,24.961,37992,0
2015-01-21,18:00:00,24.951,24.99,24.931,24.961,25082,0
2015-01-21,19:00:00,24.98,24.98,24.902,24.902,14155,0
2015-01-21,20:00:00,24.902,24.951,24.872,24.902,25792,0
2015-01-21,21:00:00,24.853,24.971,24.853,24.941,21259,0
2015-01-21,22:00:00,24.971,24.98,24.912,24.98,22349,0
2015-01-22,16:00:00,24.941,25,24.931,24.941,4967,0
2015-01-22,17:00:00,24.961,25.068,24.961,25.068,12574,0
2015-01-22,18:00:00,25.068,25.068,24.961,24.99,7288,0
2015-01-22,19:00:00,24.98,25.02,24.971,25,10863,0
2015-01-22,20:00:00,24.971,25.068,24.971,25.068,27768,0
2015-01-22,21:00:00,25.058,25.127,25.02,25.107,62953,0
2015-01-22,22:00:00,25.117,25.156,25.058,25.068,15889,0
2015-01-23,16:00:00,25.02,25.048,25,25.048,24513,0
2015-01-23,17:00:00,25.038,25.058,25.01,25.038,16555,0
2015-01-23,18:00:00,25.078,25.097,25.048,25.068,26112,0
2015-01-23,19:00:00,25.068,25.107,25.038,25.068,153911,0
2015-01-23,20:00:00,25.058,25.058,24.99,25,19515,0
2015-01-23,21:00:00,25.02,25.028,25,25.02,21973,0
2015-01-23,22:00:00,24.98,25,24.941,24.941,9620,0
2015-01-26,16:00:00,25.028,25.097,25.02,25.097,9979,0
2015-01-26,17:00:00,25.078,25.136,25.078,25.117,41200,0
2015-01-26,18:00:00,25.127,25.215,25.117,25.205,16825,0
2015-01-26,19:00:00,25.215,25.225,25.176,25.186,18091,0
2015-01-26,20:00:00,25.186,25.235,25.166,25.235,20254,0
2015-01-26,21:00:00,25.235,25.235,25.176,25.195,29646,0
2015-01-26,22:00:00,25.195,25.195,25.146,25.186,18534,0
2015-01-27,16:00:00,25.146,25.235,25.136,25.186,7427,0
2015-01-27,17:00:00,25.176,25.205,25.127,25.166,9172,0
2015-01-27,18:00:00,25.176,25.205,25.156,25.205,19715,0
2015-01-27,19:00:00,25.215,25.235,25.176,25.235,5796,0
2015-01-27,20:00:00,25.235,25.302,25.225,25.264,19338,0
2015-01-27,21:00:00,25.264,25.322,25.235,25.284,16345,0
2015-01-27,22:00:00,25.264,25.284,25.215,25.244,25094,0
2015-01-28,16:00:00,25.244,25.284,25.244,25.264,15643,0
2015-01-28,17:00:00,25.264,25.264,25.146,25.156,18952,0
2015-01-28,18:00:00,25.166,25.274,25.166,25.264,22317,0
2015-01-28,19:00:00,25.244,25.322,25.244,25.312,19154,0
2015-01-28,20:00:00,25.293,25.293,25.235,25.244,11902,0
2015-01-28,21:00:00,25.235,25.244,25.097,25.136,8683,0
2015-01-28,22:00:00,25.127,25.127,24.912,24.912,17873,0
2015-01-29,16:00:00,25.068,25.068,24.98,25.028,3809,0
2015-01-29,17:00:00,25.038,25.038,24.951,24.971,12493,0
2015-01-29,18:00:00,24.971,25.01,24.941,25.01,15465,0
2015-01-29,19:00:00,25.01,25.028,24.961,24.99,18399,0
2015-01-29,20:00:00,24.99,25.117,24.99,25.117,23010,0
2015-01-29,21:00:00,25.107,25.146,25.097,25.117,12946,0
2015-01-29,22:00:00,25.117,25.195,25.107,25.176,34409,0
2015-01-30,16:00:00,25.02,25.02,24.971,24.99,3609,0
2015-01-30,17:00:00,24.98,25,24.902,24.931,10496,0
2015-01-30,18:00:00,24.931,24.951,24.853,24.902,18004,0
2015-01-30,19:00:00,24.951,25,24.921,24.921,16793,0
2015-01-30,20:00:00,24.931,25,24.931,25,11281,0
2015-01-30,21:00:00,25,25.068,24.971,24.99,18124,0
2015-01-30,22:00:00,24.971,24.971,24.833,24.853,14289,0
2015-02-02,16:00:00,25.097,25.097,25,25.01,5831,0
2015-02-02,17:00:00,25.01,25.048,24.961,25.038,4642,0
2015-02-02,18:00:00,25.028,25.166,25.02,25.117,18651,0
2015-02-02,19:00:00,25.117,25.127,25.038,25.038,10841,0
2015-02-02,20:00:00,25.028,25.058,25,25,9705,0
2015-02-02,21:00:00,24.99,25.087,24.99,25.058,56308,0
2015-02-02,22:00:00,25.078,25.225,25.078,25.176,13363,0
2015-02-03,16:00:00,25.43,25.548,25.43,25.548,6564,0
2015-02-03,17:00:00,25.548,25.548,25.479,25.518,21303,0
2015-02-03,18:00:00,25.509,25.616,25.509,25.557,29478,0
2015-02-03,19:00:00,25.548,25.645,25.548,25.635,24553,0
2015-02-03,20:00:00,25.635,25.792,25.635,25.743,120507,0
2015-02-03,21:00:00,25.743,25.743,25.674,25.704,25569,0
2015-02-03,22:00:00,25.714,25.773,25.714,25.763,26538,0
2015-02-04,16:00:00,25.557,25.645,25.499,25.557,19670,0
2015-02-04,17:00:00,25.616,25.616,25.548,25.576,13562,0
2015-02-04,18:00:00,25.596,25.655,25.566,25.635,15407,0
2015-02-04,19:00:00,25.625,25.625,25.528,25.566,6060,0
2015-02-04,20:00:00,25.538,25.576,25.499,25.509,12804,0
2015-02-04,21:00:00,25.518,25.548,25.479,25.548,14831,0
2015-02-04,22:00:00,25.528,25.596,25.42,25.45,20343,0
2015-02-05,16:00:00,25.625,25.724,25.616,25.645,8218,0
2015-02-05,17:00:00,25.655,25.733,25.635,25.733,18288,0
2015-02-05,18:00:00,25.694,25.743,25.674,25.714,15341,0
2015-02-05,19:00:00,25.763,25.763,25.714,25.724,4648,0
2015-02-05,20:00:00,25.763,25.831,25.763,25.792,11100,0
2015-02-05,21:00:00,25.753,25.782,25.733,25.773,10586,0
2015-02-05,22:00:00,25.743,25.802,25.743,25.802,17624,0
2015-02-06,16:00:00,25.528,25.635,25.528,25.566,2541,0
2015-02-06,17:00:00,25.586,25.635,25.566,25.606,4888,0
2015-02-06,18:00:00,25.616,25.616,25.548,25.557,15340,0
2015-02-06,19:00:00,25.518,25.586,25.479,25.479,7625,0
2015-02-06,20:00:00,25.499,25.499,25.42,25.45,14360,0
2015-02-06,21:00:00,25.43,25.499,25.42,25.45,21997,0
2015-02-06,22:00:00,25.42,25.42,25.342,25.391,16066,0
2015-02-09,16:00:00,25.284,25.371,25.284,25.371,4349,0
2015-02-09,17:00:00,25.351,25.401,25.312,25.312,6444,0
2015-02-09,18:00:00,25.342,25.43,25.342,25.41,5943,0
2015-02-09,19:00:00,25.401,25.42,25.371,25.391,4710,0
2015-02-09,20:00:00,25.371,25.391,25.322,25.361,6279,0
2015-02-09,21:00:00,25.351,25.361,25.312,25.312,11021,0
2015-02-09,22:00:00,25.322,25.332,25.264,25.322,14633,0
2015-02-10,16:00:00,25.479,25.479,25.45,25.45,7794,0
2015-02-10,17:00:00,25.469,25.489,25.361,25.401,38263,0
2015-02-10,18:00:00,25.401,25.489,25.381,25.459,44139,0
2015-02-10,19:00:00,25.459,25.518,25.45,25.489,50977,0
2015-02-10,20:00:00,25.469,25.489,25.42,25.469,60500,0
2015-02-10,21:00:00,25.45,25.557,25.45,25.528,57635,0
2015-02-10,22:00:00,25.528,25.576,25.509,25.548,77866,0
2015-02-11,16:00:00,25.41,25.41,25.322,25.332,9385,0
2015-02-11,17:00:00,25.302,25.322,25.254,25.284,10411,0
2015-02-11,18:00:00,25.302,25.332,25.254,25.274,9608,0
2015-02-11,19:00:00,25.293,25.293,25.235,25.235,8058,0
2015-02-11,20:00:00,25.264,25.312,25.225,25.312,3815,0
2015-02-11,21:00:00,25.322,25.351,25.264,25.302,22377,0
2015-02-11,22:00:00,25.332,25.381,25.302,25.322,42811,0
2015-02-12,16:00:00,25.499,25.548,25.499,25.548,1841,0
2015-02-12,17:00:00,25.528,25.528,25.479,25.489,16371,0
2015-02-12,18:00:00,25.518,25.596,25.518,25.596,7990,0
2015-02-12,19:00:00,25.596,25.606,25.538,25.538,10510,0
2015-02-12,20:00:00,25.557,25.596,25.548,25.596,20446,0
2015-02-12,21:00:00,25.576,25.645,25.576,25.645,9993,0
2015-02-12,22:00:00,25.625,25.674,25.625,25.674,18608,0
2015-02-13,16:00:00,25.743,25.763,25.714,25.724,5995,0
2015-02-13,17:00:00,25.724,25.753,25.704,25.743,24669,0
2015-02-13,18:00:00,25.733,25.753,25.714,25.724,27802,0
2015-02-13,19:00:00,25.714,25.733,25.704,25.714,13640,0
2015-02-13,20:00:00,25.714,25.714,25.645,25.665,18406,0
2015-02-13,21:00:00,25.674,25.704,25.645,25.704,21588,0
2015-02-13,22:00:00,25.704,25.773,25.665,25.743,49351,0
2015-02-17,16:00:00,25.724,25.724,25.606,25.665,2147,0
2015-02-17,17:00:00,25.665,25.694,25.655,25.665,8727,0
2015-02-17,18:00:00,25.655,25.733,25.655,25.714,10959,0
