Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-12,16:00:00,45.39,45.48,45.39,45.48,7355,0
2014-02-12,17:00:00,45.32,45.34,45.32,45.34,2020,0
2014-02-12,20:00:00,45.44,45.45,45.44,45.44,1345,0
2014-02-12,22:00:00,45.3,45.3,45.27,45.27,2150,0
2014-02-13,16:00:00,45.25,45.25,45.24,45.24,704,0
2014-02-13,17:00:00,45.42,45.49,45.42,45.49,3491,0
2014-02-13,18:00:00,45.64,45.64,45.64,45.64,400,0
2014-02-13,20:00:00,45.83,45.83,45.83,45.83,1154,0
2014-02-13,22:00:00,45.87,45.87,45.85,45.85,1600,0
2014-02-14,16:00:00,45.76,45.78,45.76,45.77,1460,0
2014-02-14,18:00:00,45.89,45.89,45.89,45.89,1610,0
2014-02-14,20:00:00,46.01,46.01,46.01,46.01,1750,0
2014-02-14,21:00:00,46.09,46.1,46.09,46.1,1790,0
2014-02-14,22:00:00,46.07,46.07,46.06,46.06,1437,0
2014-02-18,16:00:00,46.22,46.22,46.19,46.19,1145,0
2014-02-18,17:00:00,46.1,46.1,46.1,46.1,300,0
2014-02-18,20:00:00,46.23,46.23,46.23,46.23,1100,0
2014-02-18,22:00:00,46.28,46.28,46.28,46.28,1650,0
2014-02-19,16:00:00,46.21,46.21,46.17,46.2,4560,0
2014-02-19,17:00:00,46.39,46.4,46.39,46.4,2500,0
2014-02-19,18:00:00,46.33,46.37,46.33,46.34,8759,0
2014-02-19,19:00:00,46.14,46.17,45.99,46.07,11954,0
2014-02-19,20:00:00,46.15,46.17,46.12,46.12,6300,0
2014-02-19,21:00:00,46.08,46.08,46.02,46.04,4200,0
2014-02-19,22:00:00,45.84,45.85,45.75,45.77,7998,0
2014-02-20,16:00:00,45.87,45.87,45.85,45.87,660,0
2014-02-20,17:00:00,45.69,45.69,45.68,45.69,8000,0
2014-02-20,19:00:00,46.04,46.04,46.04,46.04,958,0
2014-02-20,20:00:00,46.26,46.27,46.26,46.27,784,0
2014-02-20,22:00:00,46.35,46.4,46.34,46.35,2143,0
2014-02-21,17:00:00,46.51,46.53,46.51,46.52,1679,0
2014-02-21,20:00:00,46.48,46.5,46.47,46.47,2799,0
2014-02-21,21:00:00,46.26,46.35,46.26,46.27,2827,0
2014-02-21,22:00:00,46.38,46.38,46.35,46.35,1800,0
2014-02-24,17:00:00,46.64,46.64,46.64,46.64,530,0
2014-02-24,18:00:00,46.79,46.79,46.79,46.79,530,0
2014-02-24,19:00:00,46.93,46.94,46.93,46.94,536,0
2014-02-24,20:00:00,46.77,46.77,46.77,46.77,200,0
2014-02-24,21:00:00,46.82,46.9,46.75,46.79,1200,0
2014-02-24,22:00:00,46.68,46.77,46.61,46.61,1850,0
2014-02-25,17:00:00,46.46,46.46,46.42,46.42,2245,0
2014-02-25,18:00:00,46.64,46.64,46.63,46.63,1000,0
2014-02-25,20:00:00,46.71,46.71,46.69,46.69,2955,0
2014-02-25,22:00:00,46.56,46.57,46.56,46.56,3215,0
2014-02-26,16:00:00,46.82,46.82,46.72,46.72,2100,0
2014-02-26,17:00:00,46.82,46.97,46.81,46.97,13437,0
2014-02-26,18:00:00,46.99,47.0,46.99,47.0,2698,0
2014-02-26,19:00:00,46.94,46.96,46.94,46.94,5851,0
2014-02-26,20:00:00,46.93,47.0,46.93,47.0,2333,0
2014-02-26,21:00:00,46.65,46.66,46.49,46.6,21950,0
2014-02-26,22:00:00,46.59,46.66,46.59,46.66,16800,0
2014-02-27,16:00:00,46.67,46.67,46.62,46.62,1200,0
2014-02-27,17:00:00,46.74,46.74,46.71,46.71,1242,0
2014-02-27,18:00:00,46.96,46.96,46.96,46.96,2198,0
2014-02-27,20:00:00,47.01,47.02,47.0,47.0,3200,0
2014-02-27,22:00:00,47.1,47.1,47.09,47.09,2872,0
2014-02-28,16:00:00,47.37,47.4,47.37,47.4,500,0
2014-02-28,20:00:00,47.58,47.58,47.58,47.58,900,0
2014-02-28,22:00:00,46.84,47.2,46.84,47.2,1976,0
2014-03-03,16:00:00,46.67,46.85,46.52,46.68,15083,0
2014-03-03,17:00:00,46.49,46.49,46.49,46.49,546,0
2014-03-03,18:00:00,46.46,46.46,46.46,46.46,4000,0
2014-03-03,19:00:00,46.2,46.47,46.2,46.47,5000,0
2014-03-03,20:00:00,46.51,46.58,46.51,46.56,5367,0
2014-03-03,21:00:00,46.81,46.81,46.8,46.8,869,0
2014-03-03,22:00:00,46.72,46.72,46.52,46.62,9358,0
2014-03-04,16:00:00,47.25,47.64,47.25,47.64,10531,0
2014-03-04,19:00:00,47.81,47.81,47.81,47.81,711,0
2014-03-04,20:00:00,47.75,47.75,47.75,47.75,5100,0
2014-03-04,21:00:00,47.62,47.62,47.62,47.62,3200,0
2014-03-04,22:00:00,47.81,47.83,47.81,47.82,726,0
2014-03-05,16:00:00,47.82,47.84,47.82,47.84,11335,0
2014-03-05,18:00:00,47.77,47.78,47.76,47.78,10400,0
2014-03-05,19:00:00,47.82,47.82,47.82,47.82,1920,0
2014-03-05,20:00:00,47.84,47.85,47.84,47.85,23195,0
2014-03-05,21:00:00,47.76,47.77,47.76,47.77,10440,0
2014-03-05,22:00:00,47.75,47.79,47.74,47.74,11441,0
2014-03-06,16:00:00,47.93,48.04,47.93,48.04,5556,0
2014-03-06,19:00:00,48.04,48.04,48.04,48.04,270,0
2014-03-06,20:00:00,47.92,47.92,47.92,47.92,1650,0
2014-03-06,22:00:00,47.92,47.92,47.91,47.91,1309,0
2014-03-07,16:00:00,48.03,48.03,47.65,47.65,6055,0
2014-03-07,17:00:00,47.6,47.71,47.6,47.71,6500,0
2014-03-07,19:00:00,47.66,47.66,47.65,47.65,1800,0
2014-03-07,21:00:00,47.47,47.47,47.47,47.47,1112,0
2014-03-07,22:00:00,47.61,47.61,47.61,47.61,1512,0
2014-03-10,15:00:00,47.56,47.56,47.55,47.55,9700,0
2014-03-10,16:00:00,47.44,47.44,47.3,47.3,757,0
2014-03-10,19:00:00,47.53,47.53,47.53,47.53,900,0
2014-03-10,21:00:00,47.56,47.57,47.56,47.56,1639,0
2014-03-11,16:00:00,47.62,47.67,47.6,47.67,1710,0
2014-03-11,17:00:00,47.87,47.88,47.71,47.72,1515,0
2014-03-11,18:00:00,47.63,47.63,47.62,47.62,2070,0
2014-03-11,20:00:00,47.34,47.34,47.34,47.34,1980,0
2014-03-11,21:00:00,47.34,47.34,47.19,47.19,1034,0
2014-03-12,16:00:00,47.0,47.0,47.0,47.0,7103,0
2014-03-12,17:00:00,47.18,47.18,47.18,47.18,400,0
2014-03-12,18:00:00,47.25,47.28,47.25,47.28,11006,0
2014-03-12,21:00:00,47.27,47.4,47.27,47.36,13798,0
2014-03-13,15:00:00,47.52,47.52,47.51,47.51,526,0
2014-03-13,18:00:00,46.99,46.99,46.99,46.99,2000,0
2014-03-13,19:00:00,46.51,46.58,46.49,46.56,6825,0
2014-03-13,20:00:00,46.39,46.41,46.39,46.41,1015,0
2014-03-13,21:00:00,46.29,46.3,46.29,46.29,525,0
2014-03-14,15:00:00,46.38,46.38,46.38,46.38,4000,0
2014-03-14,16:00:00,46.44,46.47,46.44,46.45,2200,0
2014-03-14,17:00:00,46.35,46.45,46.35,46.45,6000,0
2014-03-14,18:00:00,46.43,46.43,46.43,46.43,4000,0
2014-03-14,19:00:00,46.43,46.44,46.43,46.44,1350,0
2014-03-14,21:00:00,46.29,46.29,46.16,46.16,3250,0
2014-03-17,15:00:00,46.22,46.95,46.22,46.93,5074,0
2014-03-17,17:00:00,46.79,46.79,46.79,46.79,125,0
2014-03-17,19:00:00,46.96,46.96,46.96,46.96,2550,0
2014-03-17,21:00:00,46.94,46.94,46.87,46.88,3550,0
2014-03-18,16:00:00,47.24,47.36,47.24,47.33,1674,0
2014-03-18,18:00:00,47.35,47.36,47.35,47.35,2538,0
2014-03-18,19:00:00,47.46,47.46,47.46,47.46,1000,0
2014-03-18,21:00:00,47.46,47.48,47.44,47.44,2000,0
2014-03-19,16:00:00,47.52,47.58,47.5,47.58,7099,0
2014-03-19,18:00:00,47.45,47.45,47.45,47.45,1377,0
2014-03-19,19:00:00,47.45,47.45,47.45,47.45,5435,0
2014-03-19,20:00:00,47.31,47.35,47.12,47.17,21767,0
2014-03-19,21:00:00,46.92,47.0,46.9,46.94,12082,0
2014-03-20,15:00:00,46.83,46.83,46.62,46.66,3131,0
2014-03-20,16:00:00,47.02,47.02,47.02,47.02,854,0
2014-03-20,17:00:00,47.01,47.02,46.98,46.98,1955,0
2014-03-20,19:00:00,47.2,47.2,47.2,47.2,300,0
2014-03-20,20:00:00,47.25,47.25,47.21,47.23,2340,0
2014-03-20,21:00:00,47.18,47.18,47.14,47.15,4076,0
2014-03-21,15:00:00,47.37,47.57,47.37,47.56,20122,0
2014-03-21,16:00:00,47.25,47.25,47.25,47.25,3760,0
2014-03-21,17:00:00,47.39,47.39,47.39,47.39,1129,0
2014-03-21,19:00:00,46.97,46.97,46.97,46.97,100,0
2014-03-21,20:00:00,46.96,46.97,46.96,46.97,2041,0
2014-03-21,21:00:00,46.74,46.79,46.67,46.67,5590,0
2014-03-24,15:00:00,46.91,46.98,46.58,46.58,9400,0
2014-03-24,16:00:00,46.03,46.1,46.03,46.1,2298,0
2014-03-24,18:00:00,45.85,45.86,45.85,45.85,2237,0
2014-03-24,20:00:00,46.26,46.3,46.26,46.3,2817,0
2014-03-24,21:00:00,46.32,46.32,46.19,46.19,2415,0
2014-03-26,15:00:00,46.73,46.82,46.69,46.7,10580,0
2014-03-26,16:00:00,46.62,46.62,46.62,46.62,2353,0
2014-03-26,18:00:00,46.39,46.41,46.38,46.38,6708,0
2014-03-26,19:00:00,46.15,46.2,46.1,46.13,6550,0
2014-03-26,20:00:00,45.99,46.08,45.99,46.08,6750,0
2014-03-26,21:00:00,45.91,45.92,45.73,45.79,7108,0
2014-03-27,15:00:00,45.34,45.35,45.32,45.32,5691,0
2014-03-27,16:00:00,45.78,45.82,45.78,45.82,1200,0
2014-03-27,17:00:00,45.52,45.52,45.49,45.49,2018,0
2014-03-27,19:00:00,45.59,45.6,45.59,45.59,3061,0
2014-03-27,20:00:00,45.55,45.55,45.53,45.54,2187,0
2014-03-27,21:00:00,45.64,45.65,45.5,45.5,2986,0
2014-03-28,15:00:00,45.57,46.11,45.57,46.1,2900,0
2014-03-28,16:00:00,46.22,46.22,46.22,46.22,634,0
2014-03-28,18:00:00,46.14,46.14,46.14,46.14,1800,0
2014-03-28,21:00:00,45.75,45.81,45.71,45.81,2584,0
2014-03-31,17:00:00,46.23,46.48,46.23,46.43,4204,0
2014-03-31,21:00:00,46.4,46.4,46.4,46.4,3000,0
2014-03-31,22:00:00,46.51,46.51,46.49,46.49,3000,0
2014-04-01,16:00:00,47.04,47.04,46.89,46.96,2600,0
2014-04-01,17:00:00,47.06,47.07,47.06,47.07,1349,0
2014-04-01,18:00:00,46.88,46.88,46.88,46.88,100,0
2014-04-01,19:00:00,46.84,46.84,46.84,46.84,1299,0
2014-04-01,20:00:00,46.84,46.9,46.84,46.9,1340,0
2014-04-01,21:00:00,47.03,47.03,47.03,47.03,2280,0
2014-04-01,22:00:00,47.09,47.2,47.09,47.2,1770,0
2014-04-02,16:00:00,47.39,47.41,47.34,47.34,11497,0
2014-04-02,17:00:00,47.29,47.29,47.29,47.29,116,0
2014-04-02,19:00:00,47.38,47.38,47.35,47.35,6033,0
2014-04-02,21:00:00,47.28,47.3,47.28,47.3,11826,0
2014-04-02,22:00:00,47.41,47.45,47.41,47.44,13061,0
2014-04-03,16:00:00,47.41,47.45,47.41,47.43,2147,0
2014-04-03,17:00:00,47.36,47.36,47.36,47.36,200,0
2014-04-03,18:00:00,47.28,47.28,47.28,47.28,1449,0
2014-04-03,19:00:00,47.02,47.02,47.02,47.02,1763,0
2014-04-03,20:00:00,47.04,47.04,47.04,47.04,100,0
2014-04-03,21:00:00,47.06,47.08,47.06,47.08,1526,0
2014-04-03,22:00:00,47.02,47.14,47.02,47.14,1905,0
2014-04-04,17:00:00,47.1,47.19,47.1,47.18,1787,0
2014-04-04,18:00:00,46.77,46.8,46.73,46.73,1680,0
2014-04-04,19:00:00,46.35,46.37,46.35,46.36,891,0
2014-04-04,20:00:00,46.08,46.08,46.08,46.08,1365,0
2014-04-04,21:00:00,46.07,46.07,46.05,46.06,740,0
2014-04-04,22:00:00,45.9,45.9,45.85,45.85,896,0
2014-04-07,16:00:00,45.41,45.55,45.41,45.55,3320,0
2014-04-07,17:00:00,45.61,45.74,45.44,45.45,14495,0
2014-04-07,18:00:00,45.4,45.4,45.4,45.4,553,0
2014-04-07,19:00:00,45.01,45.05,45.01,45.05,610,0
2014-04-07,20:00:00,45.05,45.05,45.01,45.01,1444,0
2014-04-07,21:00:00,44.83,44.83,44.82,44.82,1637,0
2014-04-07,22:00:00,45.17,45.17,45.01,45.01,1637,0
2014-04-08,16:00:00,45.0,45.13,44.94,44.94,12000,0
2014-04-08,17:00:00,45.01,45.13,44.79,44.79,7834,0
2014-04-08,18:00:00,45.21,45.21,45.21,45.21,300,0
2014-04-08,19:00:00,45.31,45.31,45.28,45.28,2612,0
2014-04-08,20:00:00,45.32,45.48,45.32,45.48,3338,0
2014-04-08,22:00:00,45.34,45.47,45.34,45.36,3442,0
2014-04-09,16:00:00,45.64,45.68,45.56,45.56,7980,0
2014-04-09,18:00:00,45.63,45.65,45.63,45.64,7227,0
2014-04-09,20:00:00,45.79,45.8,45.78,45.78,6349,0
2014-04-09,22:00:00,46.35,46.4,46.34,46.39,13132,0
2014-04-10,16:00:00,46.32,46.33,46.19,46.19,6948,0
2014-04-10,17:00:00,46.13,46.14,46.07,46.07,6000,0
2014-04-10,18:00:00,45.71,45.78,45.71,45.78,5750,0
2014-04-10,19:00:00,45.35,45.35,45.2,45.2,4500,0
2014-04-10,20:00:00,45.1,45.1,45.04,45.04,2200,0
2014-04-10,21:00:00,45.21,45.21,44.89,44.93,9589,0
2014-04-10,22:00:00,44.78,44.83,44.63,44.71,6127,0
2014-04-11,16:00:00,44.61,44.61,44.11,44.53,14767,0
2014-04-11,17:00:00,44.39,44.39,44.39,44.39,600,0
2014-04-11,18:00:00,44.57,44.57,44.57,44.57,100,0
2014-04-11,20:00:00,44.16,44.23,44.16,44.21,2301,0
2014-04-11,21:00:00,44.0,44.0,44.0,44.0,100,0
2014-04-11,22:00:00,44.02,44.11,43.89,43.9,3600,0
2014-04-14,16:00:00,44.21,44.21,44.21,44.21,1140,0
2014-04-14,17:00:00,44.13,44.55,44.13,44.55,4040,0
2014-04-14,18:00:00,44.63,44.63,44.63,44.63,2100,0
2014-04-14,19:00:00,44.65,44.65,44.65,44.65,1200,0
2014-04-14,20:00:00,44.59,44.59,44.46,44.46,3976,0
2014-04-14,21:00:00,44.22,44.22,44.14,44.14,1226,0
2014-04-14,22:00:00,44.06,44.27,44.06,44.27,2378,0
2014-04-15,16:00:00,44.74,44.97,44.74,44.97,5400,0
2014-04-15,17:00:00,44.53,44.53,44.27,44.27,2728,0
2014-04-15,18:00:00,44.19,44.19,44.0,44.0,8340,0
2014-04-15,19:00:00,43.87,43.89,43.87,43.89,1640,0
2014-04-15,21:00:00,44.42,44.65,44.42,44.65,2594,0
2014-04-15,22:00:00,44.81,44.81,44.66,44.68,2930,0
2014-04-16,16:00:00,45.14,45.41,45.14,45.33,15846,0
2014-04-16,17:00:00,45.19,45.19,45.19,45.19,1354,0
2014-04-16,20:00:00,45.37,45.45,45.37,45.44,14179,0
2014-04-16,22:00:00,45.64,45.81,45.54,45.81,17525,0
2014-04-17,16:00:00,45.62,45.62,45.62,45.62,700,0
2014-04-17,17:00:00,45.45,45.72,45.45,45.72,7710,0
2014-04-17,20:00:00,45.73,45.74,45.73,45.74,1362,0
2014-04-17,22:00:00,45.88,45.92,45.75,45.76,3072,0
2014-04-21,16:00:00,45.91,45.91,45.86,45.86,950,0
2014-04-21,18:00:00,45.97,45.97,45.97,45.97,500,0
2014-04-21,19:00:00,45.97,45.97,45.97,45.97,462,0
