Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-05,16:00:00,37.824,37.824,37.784,37.794,1830,0
2015-01-05,17:00:00,37.735,38.041,37.735,37.952,31331,0
2015-01-05,18:00:00,37.932,37.932,37.854,37.894,14094,0
2015-01-05,21:00:00,37.745,37.854,37.745,37.854,1302,0
2015-01-05,22:00:00,37.665,37.962,37.665,37.962,5480,0
2015-01-06,16:00:00,37.596,37.596,37.496,37.496,428,0
2015-01-06,17:00:00,37.467,37.467,37.467,37.467,882,0
2015-01-06,19:00:00,37.09,37.269,37.07,37.16,48858,0
2015-01-06,20:00:00,37.239,37.239,37.021,37.17,20302,0
2015-01-06,21:00:00,37.17,37.319,37.17,37.18,13750,0
2015-01-06,22:00:00,37.279,37.309,37.16,37.16,9075,0
2015-01-07,16:00:00,37.556,37.556,37.556,37.556,460,0
2015-01-07,17:00:00,37.418,37.418,37.418,37.418,614,0
2015-01-07,18:00:00,37.408,37.408,37.299,37.358,4268,0
2015-01-07,20:00:00,37.566,37.566,37.427,37.427,1389,0
2015-01-07,21:00:00,37.437,37.437,37.437,37.437,495,0
2015-01-07,22:00:00,37.486,37.486,37.418,37.418,3278,0
2015-01-08,18:00:00,37.903,38.161,37.903,37.923,981,0
2015-01-08,19:00:00,38.121,38.18,38.111,38.18,605,0
2015-01-08,20:00:00,38.21,38.21,38.2,38.2,438,0
2015-01-08,22:00:00,38.111,38.161,38.111,38.151,1682,0
2015-01-09,17:00:00,38.131,38.131,37.982,37.982,219,0
2015-01-09,18:00:00,38.032,38.032,38.032,38.032,706,0
2015-01-09,19:00:00,38.141,38.141,38.071,38.071,1908,0
2015-01-09,20:00:00,38.121,38.121,38.121,38.121,882,0
2015-01-09,21:00:00,38.121,38.121,38.121,38.121,191,0
2015-01-09,22:00:00,38.101,38.2,38.101,38.121,1352,0
2015-01-12,18:00:00,37.923,37.952,37.923,37.952,2228,0
2015-01-12,20:00:00,37.942,38.012,37.913,38.012,486,0
2015-01-12,21:00:00,37.952,37.992,37.894,37.913,3947,0
2015-01-12,22:00:00,37.864,37.894,37.824,37.894,5803,0
2015-01-13,16:00:00,38.3,38.359,38.29,38.359,1275,0
2015-01-13,17:00:00,38.369,38.369,38.339,38.369,1180,0
2015-01-13,18:00:00,38.379,38.467,38.319,38.419,1816,0
2015-01-13,19:00:00,38.467,38.467,38.467,38.467,404,0
2015-01-13,20:00:00,38.19,38.19,38.19,38.19,321,0
2015-01-13,21:00:00,37.972,37.972,37.972,37.972,1011,0
2015-01-13,22:00:00,38.022,38.081,38.022,38.032,1313,0
2015-01-14,16:00:00,37.755,37.755,37.755,37.755,252,0
2015-01-14,17:00:00,37.784,37.804,37.745,37.755,30619,0
2015-01-14,18:00:00,37.824,37.824,37.814,37.814,1597,0
2015-01-14,20:00:00,37.764,37.764,37.715,37.715,1332,0
2015-01-14,21:00:00,37.814,37.923,37.745,37.745,2502,0
2015-01-14,22:00:00,37.814,38.041,37.814,38.041,3162,0
2015-01-15,17:00:00,37.675,37.705,37.675,37.705,1812,0
2015-01-15,18:00:00,37.804,37.804,37.804,37.804,400,0
2015-01-15,19:00:00,37.804,37.804,37.804,37.804,101,0
2015-01-15,20:00:00,37.675,37.784,37.675,37.784,13542,0
2015-01-15,21:00:00,37.804,37.854,37.804,37.824,2031,0
2015-01-15,22:00:00,37.844,37.844,37.844,37.844,605,0
2015-01-16,17:00:00,37.764,37.764,37.556,37.556,1038,0
2015-01-16,21:00:00,38.111,38.111,38.111,38.111,179,0
2015-01-16,22:00:00,37.952,38.061,37.884,37.972,3672,0
2015-01-20,16:00:00,38.597,38.597,38.597,38.597,478,0
2015-01-20,17:00:00,38.597,38.597,38.597,38.597,505,0
2015-01-20,18:00:00,38.587,38.587,38.359,38.359,5175,0
2015-01-20,19:00:00,38.587,38.587,38.369,38.547,1077,0
2015-01-20,20:00:00,38.656,38.716,38.626,38.716,8463,0
2015-01-20,21:00:00,38.696,38.825,38.696,38.825,808,0
2015-01-20,22:00:00,38.686,38.686,38.666,38.666,808,0
2015-01-21,17:00:00,38.547,38.547,38.547,38.547,434,0
2015-01-21,18:00:00,38.745,38.745,38.745,38.745,19545,0
2015-01-21,21:00:00,38.696,38.696,38.696,38.696,613,0
2015-01-21,22:00:00,38.726,38.785,38.726,38.785,471,0
2015-01-22,16:00:00,39.201,39.201,39.201,39.201,117,0
2015-01-22,17:00:00,39.191,39.191,38.993,39.072,1245,0
