Date,Time,Open,High,Low,Close,Volume,OpenInt
2013-05-01,17:00:00,40.886,40.886,40.886,40.886,244,0
2013-05-01,18:00:00,40.741,40.741,40.741,40.741,209,0
2013-05-01,20:00:00,40.607,40.607,40.54,40.54,627,0
2013-05-02,16:00:00,40.349,40.664,40.349,40.664,4272,0
2013-05-02,21:00:00,40.837,40.847,40.837,40.847,523,0
2013-05-02,22:00:00,40.789,40.789,40.789,40.789,104,0
2013-05-03,17:00:00,41.506,41.506,41.497,41.497,846,0
2013-05-06,20:00:00,41.516,41.516,41.516,41.516,251,0
2013-05-07,19:00:00,41.679,41.687,41.679,41.687,209,0
2013-05-07,21:00:00,41.783,41.783,41.783,41.783,183,0
2013-05-08,18:00:00,42.309,42.309,42.309,42.309,122,0
2013-05-09,18:00:00,42.213,42.213,42.213,42.213,209,0
2013-05-09,20:00:00,42.309,42.309,42.309,42.309,231,0
2013-05-09,21:00:00,42.29,42.29,42.166,42.166,523,0
2013-05-09,22:00:00,42.176,42.176,42.176,42.176,314,0
2013-05-10,17:00:00,41.754,41.774,41.754,41.774,640,0
2013-05-10,20:00:00,41.879,41.879,41.879,41.879,262,0
2013-05-10,22:00:00,42.023,42.023,42.023,42.023,506,0
2013-05-14,16:00:00,42.148,42.148,42.148,42.148,104,0
2013-05-14,18:00:00,42.395,42.395,42.395,42.395,192,0
2013-05-15,20:00:00,42.222,42.222,42.222,42.222,104,0
2013-05-15,21:00:00,42.232,42.232,42.213,42.213,314,0
2013-05-16,17:00:00,42.052,42.052,42.052,42.052,209,0
2013-05-16,18:00:00,42.023,42.023,42.023,42.023,418,0
2013-05-17,21:00:00,42.558,42.605,42.558,42.605,627,0
2013-05-20,17:00:00,43.065,43.065,43.065,43.065,523,0
2013-05-20,19:00:00,43.419,43.419,43.419,43.419,418,0
2013-05-20,20:00:00,43.323,43.323,43.323,43.323,418,0
2013-05-20,21:00:00,43.467,43.467,43.467,43.467,209,0
2013-05-21,19:00:00,43.343,43.343,43.343,43.343,104,0
2013-05-21,21:00:00,43.4,43.4,43.4,43.4,1255,0
2013-05-22,16:00:00,43.514,43.514,43.514,43.514,104,0
2013-05-22,18:00:00,43.619,43.619,43.619,43.619,104,0
2013-05-22,20:00:00,43.571,43.591,43.571,43.591,209,0
2013-05-22,22:00:00,43.026,43.026,43.026,43.026,104,0
2013-05-23,16:00:00,41.812,41.812,41.812,41.812,104,0
2013-05-23,22:00:00,42.395,42.395,42.395,42.395,104,0
2013-05-24,16:00:00,42.138,42.138,42.042,42.042,10561,0
2013-05-24,18:00:00,41.965,41.965,41.965,41.965,104,0
2013-05-24,20:00:00,42.032,42.032,42.032,42.032,209,0
2013-05-28,16:00:00,42.672,42.672,42.672,42.672,141,0
2013-05-28,20:00:00,42.444,42.444,42.271,42.271,3347,0
2013-05-28,21:00:00,42.271,42.347,42.213,42.337,7529,0
2013-05-28,22:00:00,42.337,42.376,42.28,42.337,9514,0
2013-05-29,16:00:00,42.052,42.052,42.052,42.052,627,0
2013-05-29,18:00:00,42.052,42.052,42.052,42.052,480,0
2013-05-30,17:00:00,42.319,42.366,42.309,42.357,7529,0
2013-05-30,20:00:00,42.53,42.53,42.53,42.53,603,0
2013-05-30,22:00:00,42.53,42.53,42.53,42.53,1411,0
2013-05-31,17:00:00,41.994,42.119,41.994,42.119,610,0
2013-05-31,18:00:00,42.138,42.138,42.138,42.138,209,0
2013-05-31,20:00:00,42.032,42.089,42.032,42.089,209,0
2013-05-31,21:00:00,41.965,41.965,41.965,41.965,680,0
2013-05-31,22:00:00,41.945,41.945,41.945,41.945,627,0
2013-06-03,16:00:00,41.85,41.85,41.85,41.85,104,0
2013-06-03,17:00:00,41.726,41.726,41.726,41.726,104,0
2013-06-03,18:00:00,41.707,41.707,41.707,41.707,523,0
2013-06-03,22:00:00,42.119,42.119,42.119,42.119,523,0
2013-06-04,18:00:00,41.812,41.812,41.812,41.812,209,0
2013-06-04,22:00:00,41.545,41.545,41.545,41.545,242,0
2013-06-05,19:00:00,40.931,40.931,40.931,40.931,155,0
