Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-06-16,16:00:00,23.076,23.076,23.028,23.028,1542,0
2014-06-16,17:00:00,23.085,23.273,23.085,23.273,45841,0
2014-06-16,21:00:00,23.121,23.121,23.121,23.121,105,0
2014-06-17,17:00:00,23.291,23.291,23.291,23.291,2131,0
2014-06-17,18:00:00,23.31,23.357,23.31,23.357,2240,0
2014-06-17,19:00:00,23.347,23.526,23.347,23.357,55436,0
2014-06-17,20:00:00,23.395,23.395,23.395,23.395,5011,0
2014-06-17,21:00:00,23.395,23.481,23.385,23.481,5171,0
2014-06-17,22:00:00,23.414,23.481,23.376,23.385,10128,0
2014-06-18,16:00:00,23.376,23.395,23.329,23.329,23667,0
2014-06-18,17:00:00,23.337,23.376,23.337,23.376,9701,0
2014-06-18,18:00:00,23.337,23.423,23.337,23.423,9916,0
2014-06-18,20:00:00,23.395,23.526,23.385,23.385,10767,0
2014-06-18,21:00:00,23.376,24.211,23.366,23.442,5820,0
2014-06-18,22:00:00,23.452,23.526,23.452,23.526,4371,0
2014-06-19,16:00:00,23.667,23.667,23.667,23.667,1066,0
2014-06-19,18:00:00,23.59,23.59,23.59,23.59,2346,0
2014-06-19,19:00:00,23.59,23.59,23.59,23.59,1174,0
2014-06-19,20:00:00,23.58,23.58,23.572,23.572,4052,0
2014-06-19,21:00:00,23.572,23.572,23.572,23.572,533,0
2014-06-19,22:00:00,23.545,23.545,23.526,23.526,427,0
2014-06-20,16:00:00,23.62,23.62,23.526,23.572,853,0
2014-06-20,17:00:00,23.563,23.572,23.517,23.572,853,0
2014-06-20,18:00:00,23.58,23.667,23.572,23.58,49642,0
2014-06-20,19:00:00,23.58,23.58,23.498,23.507,15350,0
2014-06-20,20:00:00,23.488,23.639,23.488,23.545,27762,0
2014-06-20,21:00:00,23.545,23.554,23.545,23.554,906,0
2014-06-20,22:00:00,23.545,23.554,23.545,23.554,2026,0
2014-06-23,17:00:00,23.423,23.572,23.423,23.572,18229,0
2014-06-23,18:00:00,23.452,23.452,23.452,23.452,105,0
2014-06-23,19:00:00,23.433,23.433,23.433,23.433,960,0
2014-06-23,21:00:00,23.462,23.462,23.462,23.462,2240,0
2014-06-23,22:00:00,23.471,23.471,23.462,23.462,8271,0
2014-06-24,16:00:00,23.423,23.423,23.423,23.423,1066,0
2014-06-24,18:00:00,23.423,23.423,23.423,23.423,36139,0
2014-06-24,20:00:00,23.347,23.347,23.347,23.347,2131,0
