Date,Time,Open,High,Low,Close,Volume,OpenInt
2011-05-18,21:00:00,46.37,46.37,46.37,46.37,800,0
2011-05-31,22:00:00,48.24,48.24,48.24,48.24,600,0
2011-07-05,16:00:00,46.6,46.6,46.6,46.6,200,0
2011-08-11,16:00:00,43.6,43.6,43.6,43.6,300,0
2011-09-01,22:00:00,44.62,44.62,44.62,44.62,100,0
2011-09-23,16:00:00,40.0,40.09,40.0,40.09,500,0
2011-09-30,17:00:00,39.6,39.6,39.6,39.6,100,0
2011-09-30,22:00:00,38.51,38.51,38.51,38.51,600,0
2011-10-17,20:00:00,39.46,39.46,39.46,39.46,100,0
2011-11-01,17:00:00,37.93,37.93,37.93,37.93,100,0
2011-11-08,17:00:00,37.79,37.79,37.79,37.79,200,0
2011-11-08,18:00:00,38.02,38.23,38.02,38.23,300,0
2011-11-09,16:00:00,37.86,37.86,37.86,37.86,100,0
2011-11-11,16:00:00,38.25,38.25,38.25,38.25,100,0
2011-11-15,19:00:00,38.02,38.02,38.02,38.02,400,0
2011-11-17,18:00:00,37.61,37.61,37.61,37.61,100,0
2011-11-28,22:00:00,36.23,36.23,36.23,36.23,100,0
2012-05-01,19:00:00,36.72,36.95,36.72,36.93,3100,0
2012-05-01,20:00:00,36.73,36.94,36.73,36.94,3800,0
2012-05-01,22:00:00,36.7,36.89,36.7,36.87,2300,0
2012-05-02,16:00:00,36.5,36.5,36.5,36.5,300,0
2012-05-02,18:00:00,36.48,36.48,36.48,36.48,100,0
2012-05-11,16:00:00,35.48,35.48,35.48,35.48,150,0
2012-05-16,18:00:00,35.17,35.43,35.1,35.39,2400,0
2012-05-16,19:00:00,35.36,35.37,35.3,35.3,2300,0
2012-05-17,18:00:00,35.41,35.45,35.32,35.4,3700,0
2012-05-17,19:00:00,35.44,35.68,35.42,35.64,2570,0
2012-06-22,17:00:00,32.11,32.11,32.11,32.11,500,0
2012-07-02,21:00:00,32.98,32.98,32.98,32.98,300,0
2012-08-17,21:00:00,31.81,31.81,31.81,31.81,280,0
2012-08-31,21:00:00,32.4,32.4,32.4,32.4,300,0
2012-09-11,17:00:00,34.89,34.89,34.89,34.89,300,0
2012-09-26,17:00:00,35.0,35.0,35.0,35.0,2000,0
2012-10-02,18:00:00,35.6,35.6,35.6,35.6,300,0
2012-10-10,21:00:00,33.99,33.99,33.99,33.99,275,0
2012-10-22,20:00:00,33.24,33.24,33.24,33.24,350,0
2012-12-05,21:00:00,35.09,35.09,35.09,35.09,1781,0
2012-12-05,22:00:00,35.08,35.08,35.08,35.08,500,0
2012-12-07,17:00:00,34.88,34.88,34.88,34.88,179,0
2012-12-07,21:00:00,34.82,34.88,34.82,34.88,700,0
2012-12-07,22:00:00,34.84,34.84,34.78,34.78,1700,0
2012-12-10,20:00:00,35.4,35.4,35.4,35.4,346,0
2012-12-13,17:00:00,35.4,35.4,35.4,35.4,163,0
2012-12-14,18:00:00,35.45,35.45,35.45,35.45,133,0
2012-12-18,20:00:00,35.05,35.05,35.05,35.05,277,0
2012-12-19,20:00:00,34.75,34.79,34.73,34.79,3200,0
