Date,Time,Open,High,Low,Close,Volume,OpenInt
2013-08-12,17:00:00,47.3,47.3,47.3,47.3,100,0
2013-08-12,18:00:00,47.32,47.35,47.32,47.35,200,0
2013-08-12,21:00:00,47.37,47.37,47.37,47.37,105,0
2013-08-13,19:00:00,47.01,47.21,47.0,47.21,600,0
2013-08-14,18:00:00,47.01,47.06,47.01,47.06,300,0
2013-08-14,19:00:00,47.04,47.18,47.04,47.1,1363,0
2013-08-14,20:00:00,47.12,47.12,47.12,47.12,211,0
2013-08-14,21:00:00,47.1,47.12,47.1,47.1,860,0
2013-08-15,19:00:00,47.02,47.02,47.02,47.02,488,0
2013-08-15,22:00:00,47.03,47.03,47.03,47.03,240,0
2013-08-16,18:00:00,47.31,47.35,47.29,47.31,600,0
2013-08-16,19:00:00,47.0,47.0,47.0,47.0,200,0
2013-08-16,22:00:00,47.11,47.25,47.09,47.2,1100,0
2013-08-19,17:00:00,46.85,46.85,46.85,46.85,200,0
2013-08-19,18:00:00,46.79,46.79,46.79,46.79,460,0
2013-08-19,20:00:00,46.7,46.7,46.64,46.64,300,0
2013-08-19,21:00:00,46.63,46.63,46.62,46.62,362,0
2013-08-19,22:00:00,46.58,46.58,46.54,46.54,200,0
2013-08-20,20:00:00,46.6,46.6,46.6,46.6,1445,0
2013-08-21,17:00:00,46.18,46.18,46.18,46.18,200,0
2013-08-21,21:00:00,46.24,46.24,46.24,46.24,135,0
2013-08-22,18:00:00,46.1,46.19,46.1,46.19,1300,0
2013-08-22,22:00:00,46.01,46.05,46.01,46.05,600,0
2013-08-23,16:00:00,46.64,46.64,46.22,46.31,500,0
2013-08-23,22:00:00,46.48,46.48,46.4,46.4,200,0
2013-08-26,16:00:00,46.36,46.36,46.36,46.36,100,0
2013-08-26,20:00:00,46.42,46.42,46.38,46.38,900,0
2013-08-26,21:00:00,46.36,46.36,46.36,46.36,100,0
2013-08-26,22:00:00,46.23,46.23,46.23,46.23,300,0
2013-08-27,16:00:00,46.23,46.23,46.23,46.23,300,0
2013-08-27,19:00:00,46.11,46.11,46.11,46.11,300,0
2013-08-27,20:00:00,46.16,46.16,46.16,46.16,1000,0
2013-08-27,22:00:00,46.22,46.22,46.22,46.22,1015,0
2013-08-28,16:00:00,46.71,46.71,46.23,46.28,425,0
2013-08-28,18:00:00,46.24,46.24,46.19,46.19,400,0
2013-08-28,19:00:00,46.2,46.2,46.08,46.08,864,0
2013-08-28,21:00:00,46.18,46.18,46.13,46.13,660,0
2013-08-29,20:00:00,46.01,46.01,46.01,46.01,408,0
2013-08-29,21:00:00,46.06,46.08,46.06,46.08,508,0
2013-08-30,17:00:00,46.15,46.15,46.05,46.05,2357,0
2013-08-30,18:00:00,45.91,45.91,45.91,45.91,996,0
2013-08-30,19:00:00,45.91,45.91,45.91,45.91,500,0
2013-09-03,17:00:00,45.68,45.77,45.68,45.77,2410,0
2013-09-03,19:00:00,46.02,46.02,46.02,46.02,100,0
2013-09-03,21:00:00,45.92,46.06,45.85,45.9,10300,0
2013-09-03,22:00:00,45.89,46.17,45.81,45.81,9800,0
2013-09-04,17:00:00,46.06,46.22,45.92,46.22,1009,0
2013-09-04,18:00:00,46.12,46.12,46.06,46.06,200,0
2013-09-04,19:00:00,46.33,46.33,46.33,46.33,195,0
2013-09-04,21:00:00,46.02,46.19,45.76,45.92,15700,0
