Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-06,16:00:00,20.76,21.02,20.75,20.97,600,0
2015-01-06,17:00:00,20.97,20.98,20.78,20.78,4875,0
2015-01-06,18:00:00,20.59,20.59,20.44,20.51,3150,0
2015-01-06,19:00:00,20.42,20.6,20.42,20.6,506,0
2015-01-06,20:00:00,20.44,20.44,20.36,20.42,2795,0
2015-01-06,21:00:00,20.38,20.51,20.38,20.51,2936,0
2015-01-06,22:00:00,20.6,20.64,20.54,20.54,3232,0
2015-01-07,17:00:00,20.92,20.93,20.71,20.72,1828,0
2015-01-07,18:00:00,20.65,20.69,20.64,20.69,1800,0
2015-01-07,19:00:00,20.74,20.74,20.57,20.57,5307,0
2015-01-07,20:00:00,20.42,20.42,20.4,20.41,2050,0
2015-01-07,21:00:00,20.64,20.64,20.49,20.49,2150,0
2015-01-07,22:00:00,20.51,20.53,20.46,20.51,3563,0
2015-01-08,16:00:00,20.58,20.78,20.58,20.73,3335,0
2015-01-08,17:00:00,20.93,20.93,20.89,20.9,1238,0
2015-01-08,18:00:00,20.93,21.03,20.93,20.94,3814,0
2015-01-08,19:00:00,21.04,21.08,20.98,21.03,3974,0
2015-01-08,20:00:00,21.11,21.11,21.0,21.02,15135,0
2015-01-08,21:00:00,20.83,21.05,20.82,21.02,5955,0
2015-01-08,22:00:00,20.98,21.04,20.96,20.97,2880,0
2015-01-09,16:00:00,21.07,21.11,20.89,20.89,2600,0
2015-01-09,17:00:00,20.93,20.99,20.88,20.91,1674,0
2015-01-09,18:00:00,20.91,20.91,20.83,20.83,4460,0
2015-01-09,19:00:00,20.9,21.0,20.9,20.92,2637,0
2015-01-09,20:00:00,20.89,20.99,20.89,20.96,1300,0
2015-01-09,21:00:00,21.2,21.23,21.13,21.13,2514,0
2015-01-09,22:00:00,21.32,21.32,21.2,21.2,4900,0
2015-01-12,16:00:00,20.74,20.74,20.25,20.25,9730,0
2015-01-12,17:00:00,20.2,20.3,20.13,20.21,9100,0
2015-01-12,18:00:00,20.3,20.38,20.24,20.29,12762,0
2015-01-12,19:00:00,20.31,20.31,20.17,20.25,6716,0
2015-01-12,20:00:00,20.24,20.26,20.16,20.2,4782,0
2015-01-12,21:00:00,20.23,20.23,20.07,20.11,5946,0
2015-01-12,22:00:00,20.13,20.2,20.1,20.16,13320,0
2015-01-13,16:00:00,20.23,20.27,20.23,20.27,5247,0
2015-01-13,17:00:00,20.33,20.45,20.21,20.41,3982,0
2015-01-13,18:00:00,20.35,20.41,20.23,20.28,3300,0
2015-01-13,19:00:00,20.28,20.28,20.18,20.27,1298,0
2015-01-13,20:00:00,20.12,20.12,20.04,20.11,4718,0
2015-01-13,21:00:00,20.02,20.13,20.01,20.01,2525,0
2015-01-13,22:00:00,20.02,20.26,20.02,20.26,2045,0
2015-01-14,16:00:00,20.03,20.04,19.98,19.98,3500,0
2015-01-14,17:00:00,19.96,20.25,19.95,20.06,6144,0
2015-01-14,18:00:00,20.0,20.05,19.99,20.05,8204,0
2015-01-14,19:00:00,19.93,19.94,19.93,19.94,245,0
2015-01-14,20:00:00,19.85,19.85,19.8,19.85,5853,0
2015-01-14,21:00:00,19.96,20.47,19.92,20.4,2875,0
2015-01-14,22:00:00,20.29,20.68,20.29,20.67,4340,0
2015-01-15,16:00:00,20.98,21.06,20.59,20.66,44512,0
2015-01-15,17:00:00,20.6,20.72,20.58,20.58,13536,0
2015-01-15,18:00:00,20.66,20.68,20.66,20.68,200,0
2015-01-15,19:00:00,20.7,20.7,20.64,20.64,7736,0
2015-01-15,20:00:00,20.64,20.68,20.46,20.46,7251,0
2015-01-15,21:00:00,20.47,20.47,20.36,20.36,2188,0
2015-01-15,22:00:00,20.38,20.38,20.31,20.31,667,0
2015-01-16,16:00:00,20.54,20.72,20.54,20.72,700,0
2015-01-16,17:00:00,20.95,20.95,20.94,20.95,446,0
2015-01-16,18:00:00,21.05,21.16,20.94,21.06,4176,0
2015-01-16,19:00:00,21.01,21.22,21.01,21.22,2184,0
2015-01-16,20:00:00,21.21,21.21,21.21,21.21,1100,0
2015-01-16,21:00:00,21.24,21.27,21.17,21.27,4693,0
2015-01-16,22:00:00,21.22,21.24,21.21,21.24,1670,0
2015-01-20,16:00:00,21.1,21.1,20.57,20.58,4905,0
2015-01-20,17:00:00,20.65,20.72,20.57,20.72,1400,0
2015-01-20,19:00:00,20.69,20.73,20.67,20.68,4301,0
2015-01-20,20:00:00,20.68,20.69,20.66,20.66,1834,0
2015-01-20,21:00:00,20.68,20.74,20.68,20.74,235,0
2015-01-20,22:00:00,20.78,20.82,20.75,20.75,5844,0
2015-01-21,16:00:00,20.88,21.23,20.88,21.23,1869,0
2015-01-21,17:00:00,21.23,21.31,21.22,21.25,19116,0
2015-01-21,18:00:00,21.32,21.43,21.32,21.43,1800,0
2015-01-21,19:00:00,21.33,21.44,21.32,21.36,1500,0
2015-01-21,20:00:00,21.34,21.34,21.23,21.23,1300,0
2015-01-21,21:00:00,21.13,21.27,21.13,21.27,8029,0
2015-01-21,22:00:00,21.27,21.34,21.27,21.29,7073,0
2015-01-22,16:00:00,21.34,21.34,21.2,21.2,7800,0
2015-01-22,17:00:00,21.2,21.24,21.2,21.24,5410,0
2015-01-22,18:00:00,20.96,21.02,20.96,21.02,5227,0
2015-01-22,19:00:00,20.89,21.18,20.89,21.18,1320,0
2015-01-22,20:00:00,20.97,21.0,20.93,20.93,2103,0
2015-01-22,22:00:00,21.25,21.25,21.24,21.25,2900,0
2015-01-23,16:00:00,21.2,21.34,21.2,21.27,500,0
2015-01-23,17:00:00,21.48,21.52,21.38,21.49,1124,0
2015-01-23,18:00:00,21.53,21.55,21.53,21.55,2100,0
2015-01-23,20:00:00,21.3,21.34,21.3,21.34,1465,0
2015-01-23,21:00:00,21.37,21.41,21.37,21.4,3220,0
2015-01-23,22:00:00,21.42,21.42,21.28,21.29,2300,0
2015-01-26,16:00:00,21.25,21.25,21.09,21.09,1300,0
2015-01-26,17:00:00,21.34,21.41,21.33,21.41,1055,0
2015-01-26,18:00:00,21.49,21.58,21.46,21.51,3071,0
2015-01-26,19:00:00,21.64,21.72,21.64,21.64,1608,0
2015-01-26,20:00:00,21.64,21.71,21.56,21.71,3858,0
2015-01-26,21:00:00,21.66,21.68,21.59,21.61,3893,0
2015-01-26,22:00:00,21.61,21.61,21.54,21.61,2778,0
2015-01-27,16:00:00,21.65,21.67,21.54,21.54,1833,0
2015-01-27,17:00:00,21.48,21.61,21.46,21.61,4280,0
2015-01-27,18:00:00,21.67,21.9,21.67,21.85,36898,0
2015-01-27,19:00:00,21.84,21.93,21.78,21.89,40224,0
2015-01-27,20:00:00,21.69,21.71,21.68,21.68,8078,0
2015-01-27,21:00:00,21.76,21.85,21.76,21.83,8700,0
2015-01-27,22:00:00,21.84,21.84,21.73,21.83,6450,0
2015-01-28,16:00:00,21.26,21.26,21.18,21.18,1400,0
2015-01-28,17:00:00,21.13,21.13,21.06,21.11,550,0
2015-01-28,18:00:00,21.14,21.25,20.92,20.99,8289,0
2015-01-28,19:00:00,21.1,21.1,21.1,21.1,486,0
2015-01-28,20:00:00,21.01,21.04,20.94,20.98,22759,0
2015-01-28,21:00:00,20.98,20.98,20.85,20.85,3355,0
2015-01-28,22:00:00,20.85,20.85,20.51,20.59,4614,0
2015-01-29,16:00:00,20.5,20.51,20.5,20.51,2200,0
2015-01-29,17:00:00,20.47,20.47,20.47,20.47,300,0
2015-01-29,18:00:00,20.41,20.41,20.26,20.26,10166,0
2015-01-29,20:00:00,20.38,20.38,20.38,20.38,1900,0
2015-01-29,21:00:00,20.49,20.49,20.45,20.45,830,0
2015-01-29,22:00:00,20.52,20.65,20.49,20.61,3080,0
2015-01-30,16:00:00,20.5,20.5,20.5,20.5,300,0
2015-01-30,17:00:00,20.67,20.78,20.65,20.67,3158,0
2015-01-30,18:00:00,20.59,20.64,20.45,20.55,2859,0
2015-01-30,19:00:00,20.55,20.55,20.55,20.55,400,0
2015-01-30,20:00:00,20.64,21.01,20.64,21.01,3100,0
2015-01-30,21:00:00,21.06,21.33,21.06,21.07,8706,0
2015-01-30,22:00:00,21.18,21.24,21.15,21.15,1474,0
2015-02-02,16:00:00,21.52,21.78,21.52,21.73,1624,0
2015-02-02,17:00:00,21.66,21.66,21.49,21.55,1597,0
2015-02-02,18:00:00,21.55,21.77,21.47,21.71,1400,0
2015-02-02,19:00:00,21.73,21.73,21.69,21.69,400,0
2015-02-02,20:00:00,21.6,21.6,21.5,21.5,300,0
2015-02-02,21:00:00,21.56,21.74,21.55,21.7,7313,0
2015-02-02,22:00:00,21.72,22.02,21.66,22.0,3469,0
2015-02-03,16:00:00,22.7,22.92,22.65,22.9,5884,0
2015-02-03,17:00:00,22.81,22.89,22.65,22.71,3398,0
2015-02-03,18:00:00,22.72,22.82,22.55,22.68,10519,0
2015-02-03,19:00:00,22.66,22.87,22.66,22.87,3460,0
2015-02-03,20:00:00,22.89,23.15,22.88,23.15,11746,0
2015-02-03,21:00:00,23.14,23.23,22.79,22.93,14167,0
2015-02-03,22:00:00,22.95,23.02,22.9,22.97,6403,0
2015-02-04,16:00:00,22.84,22.84,22.2,22.41,10348,0
2015-02-04,17:00:00,22.48,22.55,22.16,22.52,3505,0
2015-02-04,18:00:00,22.52,22.53,22.45,22.53,1767,0
2015-02-04,19:00:00,22.47,22.52,22.33,22.33,4033,0
2015-02-04,20:00:00,22.4,22.46,22.32,22.33,3744,0
2015-02-04,21:00:00,22.21,22.37,22.17,22.32,6350,0
2015-02-04,22:00:00,22.24,22.49,22.21,22.37,5302,0
2015-02-05,16:00:00,22.52,22.95,22.52,22.91,2175,0
2015-02-05,17:00:00,22.97,22.97,22.9,22.96,2600,0
2015-02-05,18:00:00,22.88,23.05,22.84,22.99,5333,0
2015-02-05,19:00:00,22.89,23.0,22.89,23.0,1860,0
2015-02-05,20:00:00,22.94,22.94,22.83,22.91,7709,0
2015-02-05,21:00:00,22.77,22.82,22.66,22.73,2160,0
2015-02-05,22:00:00,22.85,22.86,22.8,22.84,2965,0
2015-02-06,16:00:00,23.14,23.16,23.03,23.03,3400,0
2015-02-06,17:00:00,23.03,23.03,22.88,22.9,5200,0
2015-02-06,18:00:00,22.84,22.84,22.69,22.8,3026,0
2015-02-06,19:00:00,22.9,22.91,22.85,22.85,1300,0
2015-02-06,20:00:00,22.95,22.95,22.73,22.78,4250,0
2015-02-06,21:00:00,22.8,22.8,22.75,22.75,600,0
2015-02-06,22:00:00,22.79,22.81,22.66,22.81,1200,0
2015-02-09,17:00:00,23.07,23.22,23.07,23.13,2115,0
2015-02-09,18:00:00,23.12,23.13,23.0,23.13,2687,0
2015-02-09,19:00:00,23.1,23.1,22.95,22.95,2000,0
2015-02-09,20:00:00,22.96,23.02,22.96,23.02,2230,0
2015-02-09,21:00:00,23.06,23.15,23.0,23.0,1850,0
2015-02-09,22:00:00,22.95,22.95,22.85,22.9,2800,0
2015-02-10,16:00:00,22.56,22.56,22.18,22.18,8324,0
2015-02-10,17:00:00,22.2,22.37,22.2,22.35,900,0
2015-02-10,18:00:00,22.33,22.33,22.22,22.29,4284,0
2015-02-10,19:00:00,22.36,22.53,22.34,22.5,750,0
2015-02-10,20:00:00,22.53,22.61,22.39,22.57,6342,0
2015-02-10,21:00:00,22.44,22.5,22.34,22.49,5724,0
2015-02-10,22:00:00,22.47,22.67,22.47,22.64,7475,0
2015-02-11,16:00:00,22.17,22.18,22.07,22.16,1600,0
2015-02-11,17:00:00,22.12,22.23,22.06,22.22,3725,0
2015-02-11,18:00:00,22.33,22.43,22.23,22.38,2200,0
2015-02-11,19:00:00,22.51,22.58,22.43,22.46,1700,0
2015-02-11,20:00:00,22.51,22.51,22.19,22.24,9200,0
2015-02-11,21:00:00,22.3,22.4,22.26,22.32,5535,0
2015-02-11,22:00:00,22.33,22.49,22.33,22.48,8217,0
2015-02-12,16:00:00,22.88,23.07,22.88,23.01,1740,0
2015-02-12,17:00:00,22.79,22.79,22.79,22.79,100,0
2015-02-12,18:00:00,22.85,22.93,22.82,22.83,4700,0
2015-02-12,19:00:00,22.93,22.93,22.79,22.79,2400,0
2015-02-12,20:00:00,22.85,22.99,22.85,22.95,9141,0
2015-02-12,21:00:00,22.95,23.05,22.92,22.94,7950,0
2015-02-12,22:00:00,23.01,23.02,22.92,22.94,6500,0
2015-02-13,16:00:00,23.28,23.29,23.28,23.29,2200,0
2015-02-13,17:00:00,23.38,23.38,23.22,23.22,3800,0
2015-02-13,18:00:00,23.31,23.38,23.24,23.34,98492,0
2015-02-13,19:00:00,23.32,23.45,23.32,23.45,12000,0
2015-02-13,20:00:00,23.44,23.45,23.15,23.25,5350,0
2015-02-13,21:00:00,23.3,23.42,23.29,23.4,4800,0
2015-02-13,22:00:00,23.4,23.45,23.34,23.39,11950,0
2015-02-17,16:00:00,23.34,23.36,23.1,23.13,6317,0
2015-02-17,17:00:00,23.24,23.32,23.11,23.32,3404,0
2015-02-17,18:00:00,23.29,23.39,23.29,23.34,3122,0
2015-02-17,19:00:00,23.33,23.35,23.27,23.33,3560,0
2015-02-17,20:00:00,23.35,23.39,23.32,23.39,3646,0
2015-02-17,21:00:00,23.44,23.62,23.44,23.62,3012,0
2015-02-17,22:00:00,23.44,23.59,23.44,23.49,1207,0
2015-02-18,16:00:00,23.34,23.49,23.34,23.44,1000,0
