Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-14,16:00:00,23.125,23.194,23.115,23.194,1647,0
2015-01-14,17:00:00,23.274,23.284,23.254,23.284,34114,0
2015-01-14,18:00:00,23.284,23.412,23.284,23.412,13013,0
2015-01-14,19:00:00,23.392,23.402,23.304,23.304,8476,0
2015-01-14,20:00:00,23.314,23.333,23.254,23.294,28251,0
2015-01-14,21:00:00,23.294,23.333,23.284,23.314,186358,0
2015-01-14,22:00:00,23.343,23.442,23.343,23.422,16954,0
2015-01-15,16:00:00,23.511,23.511,23.501,23.511,8748,0
2015-01-15,17:00:00,23.432,23.481,23.373,23.461,15526,0
2015-01-15,18:00:00,23.471,23.491,23.412,23.461,16591,0
2015-01-15,19:00:00,23.461,23.511,23.412,23.412,11308,0
2015-01-15,20:00:00,23.422,23.452,23.412,23.432,16699,0
2015-01-15,21:00:00,23.432,23.471,23.432,23.471,42638,0
2015-01-15,22:00:00,23.452,23.511,23.422,23.511,47065,0
2015-01-16,16:00:00,23.521,23.521,23.422,23.471,3565,0
2015-01-16,17:00:00,23.511,23.551,23.461,23.481,27579,0
2015-01-16,18:00:00,23.511,23.511,23.432,23.491,34051,0
2015-01-16,19:00:00,23.521,23.541,23.481,23.521,15048,0
2015-01-16,20:00:00,23.511,23.541,23.501,23.541,14477,0
2015-01-16,21:00:00,23.531,23.551,23.521,23.531,15538,0
2015-01-16,22:00:00,23.541,23.71,23.521,23.7,48515,0
2015-01-20,16:00:00,23.818,23.828,23.738,23.738,5240,0
2015-01-20,17:00:00,23.719,23.729,23.62,23.729,18374,0
2015-01-20,18:00:00,23.719,23.719,23.61,23.62,16063,0
2015-01-20,19:00:00,23.62,23.62,23.551,23.551,20696,0
2015-01-20,20:00:00,23.551,23.561,23.511,23.531,17813,0
2015-01-20,21:00:00,23.471,23.581,23.471,23.531,139649,0
2015-01-20,22:00:00,23.521,23.541,23.471,23.531,34261,0
2015-01-21,16:00:00,23.531,23.531,23.432,23.442,3920,0
2015-01-21,17:00:00,23.461,23.511,23.422,23.491,42709,0
2015-01-21,18:00:00,23.501,23.521,23.461,23.461,34914,0
2015-01-21,19:00:00,23.471,23.511,23.432,23.452,195436,0
2015-01-21,20:00:00,23.452,23.511,23.452,23.461,32390,0
2015-01-21,21:00:00,23.452,23.501,23.452,23.501,24282,0
2015-01-21,22:00:00,23.481,23.501,23.452,23.481,100074,0
2015-01-22,16:00:00,23.581,23.6,23.521,23.6,7836,0
2015-01-22,17:00:00,23.64,23.798,23.62,23.778,29872,0
2015-01-22,18:00:00,23.778,23.798,23.71,23.729,13173,0
2015-01-22,19:00:00,23.758,23.778,23.748,23.748,16102,0
2015-01-22,20:00:00,23.758,23.838,23.758,23.838,48822,0
2015-01-22,21:00:00,23.838,23.907,23.828,23.907,212812,0
2015-01-22,22:00:00,23.907,23.927,23.897,23.927,30903,0
2015-01-23,16:00:00,23.897,23.976,23.897,23.947,15041,0
2015-01-23,17:00:00,23.947,23.947,23.917,23.937,8345,0
2015-01-23,18:00:00,23.927,23.947,23.847,23.847,29357,0
2015-01-23,19:00:00,23.867,23.877,23.838,23.877,15328,0
