Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-15,16:00:00,45.934,45.934,45.485,45.485,1864,0
2015-01-15,17:00:00,45.435,45.794,45.435,45.604,14721,0
2015-01-15,18:00:00,45.634,45.674,45.415,45.524,8380,0
2015-01-15,19:00:00,45.514,45.594,45.335,45.395,9407,0
2015-01-15,20:00:00,45.435,45.495,45.365,45.435,4794,0
2015-01-15,21:00:00,45.455,45.505,45.395,45.455,13320,0
2015-01-15,22:00:00,45.514,45.514,45.275,45.305,12448,0
2015-01-16,16:00:00,45.305,45.395,45.215,45.235,9414,0
2015-01-16,17:00:00,45.225,45.455,45.136,45.455,8822,0
2015-01-16,18:00:00,45.524,45.524,45.395,45.475,7452,0
2015-01-16,19:00:00,45.505,45.654,45.485,45.654,13333,0
2015-01-16,20:00:00,45.614,45.664,45.534,45.664,15165,0
2015-01-16,21:00:00,45.644,45.684,45.594,45.684,15124,0
2015-01-16,22:00:00,45.654,45.954,45.634,45.944,34319,0
2015-01-20,16:00:00,46.063,46.063,45.704,45.784,21910,0
2015-01-20,17:00:00,45.794,45.874,45.674,45.694,9626,0
2015-01-20,18:00:00,45.714,45.744,45.524,45.524,6529,0
2015-01-20,19:00:00,45.574,45.734,45.574,45.694,20076,0
2015-01-20,20:00:00,45.704,45.794,45.704,45.764,6229,0
2015-01-20,21:00:00,45.794,46.004,45.784,45.974,12547,0
2015-01-20,22:00:00,45.964,46.024,45.874,45.914,22290,0
2015-01-21,16:00:00,45.784,46.083,45.734,45.954,5336,0
2015-01-21,17:00:00,45.944,46.243,45.924,46.243,17195,0
2015-01-21,18:00:00,46.173,46.183,46.113,46.183,3453,0
2015-01-21,19:00:00,46.163,46.163,46.054,46.054,4182,0
2015-01-21,20:00:00,46.093,46.143,45.974,45.974,5675,0
2015-01-21,21:00:00,45.954,46.113,45.914,46.103,16194,0
2015-01-21,22:00:00,46.063,46.153,46.044,46.123,14080,0
2015-01-22,16:00:00,46.263,46.383,45.944,46.093,2034,0
2015-01-22,17:00:00,46.133,46.542,46.133,46.542,10115,0
2015-01-22,18:00:00,46.473,46.513,46.383,46.403,9694,0
2015-01-22,19:00:00,46.423,46.473,46.383,46.383,8829,0
2015-01-22,20:00:00,46.433,46.552,46.403,46.532,18946,0
2015-01-22,21:00:00,46.523,46.752,46.503,46.752,13477,0
2015-01-22,22:00:00,46.792,46.852,46.752,46.772,18559,0
2015-01-23,16:00:00,46.822,46.902,46.772,46.812,6642,0
2015-01-23,17:00:00,46.822,46.842,46.652,46.722,16916,0
2015-01-23,18:00:00,46.822,46.822,46.722,46.752,10569,0
2015-01-23,19:00:00,46.812,46.842,46.742,46.842,3511,0
2015-01-23,20:00:00,46.852,46.892,46.822,46.862,9556,0
2015-01-23,21:00:00,46.832,46.862,46.732,46.762,11777,0
2015-01-23,22:00:00,46.722,46.752,46.672,46.672,5713,0
2015-01-26,16:00:00,46.662,46.662,46.423,46.542,102239,0
2015-01-26,17:00:00,46.572,46.652,46.552,46.652,8549,0
2015-01-26,18:00:00,46.632,46.722,46.602,46.722,14215,0
2015-01-26,19:00:00,46.722,46.762,46.652,46.692,10065,0
2015-01-26,20:00:00,46.702,46.862,46.692,46.852,12322,0
2015-01-26,21:00:00,46.842,46.852,46.762,46.782,9127,0
2015-01-26,22:00:00,46.812,46.882,46.742,46.882,37203,0
2015-01-27,16:00:00,46.363,46.552,46.343,46.413,21429,0
2015-01-27,17:00:00,46.532,46.532,46.203,46.313,9854,0
2015-01-27,18:00:00,46.353,46.473,46.293,46.433,8689,0
2015-01-27,19:00:00,46.393,46.523,46.393,46.483,9938,0
2015-01-27,20:00:00,46.523,46.632,46.483,46.532,8248,0
2015-01-27,21:00:00,46.582,46.762,46.562,46.612,12590,0
2015-01-27,22:00:00,46.562,46.622,46.463,46.473,30792,0
2015-01-28,16:00:00,46.812,46.942,46.802,46.882,3821,0
2015-01-28,17:00:00,46.862,46.902,46.453,46.453,10777,0
2015-01-28,18:00:00,46.493,46.632,46.413,46.632,8150,0
2015-01-28,19:00:00,46.662,46.742,46.662,46.682,24087,0
2015-01-28,20:00:00,46.632,46.712,46.602,46.712,2830,0
2015-01-28,21:00:00,46.662,46.712,46.403,46.582,10159,0
2015-01-28,22:00:00,46.562,46.602,46.073,46.103,16569,0
2015-01-29,16:00:00,46.243,46.243,45.904,46.004,3703,0
2015-01-29,17:00:00,46.143,46.213,45.964,46.034,5673,0
2015-01-29,18:00:00,45.944,46.173,45.924,46.173,7022,0
2015-01-29,19:00:00,46.143,46.173,46.063,46.063,10005,0
2015-01-29,20:00:00,46.133,46.363,46.093,46.363,4775,0
2015-01-29,21:00:00,46.373,46.453,46.333,46.383,17276,0
2015-01-29,22:00:00,46.413,46.652,46.413,46.552,16952,0
2015-01-30,16:00:00,46.323,46.433,46.243,46.283,2860,0
2015-01-30,17:00:00,46.213,46.213,45.904,46.004,8047,0
2015-01-30,18:00:00,46.073,46.073,45.904,46.044,8543,0
