Date,Time,Open,High,Low,Close,Volume,OpenInt
2011-09-27,17:00:00,11.2,11.2,11.2,11.2,911,0
2011-09-27,19:00:00,11.09,11.09,11.09,11.09,150,0
2011-09-27,20:00:00,11.07,11.07,11.07,11.07,550,0
2011-09-27,21:00:00,11.05,11.05,11.05,11.05,445,0
2011-09-27,22:00:00,11.15,11.15,11.01,11.01,1100,0
2011-09-28,17:00:00,10.95,10.95,10.95,10.95,700,0
2011-09-28,18:00:00,11.05,11.08,11.05,11.08,1688,0
2011-09-28,19:00:00,10.99,10.99,10.99,10.99,514,0
2011-09-28,21:00:00,10.83,10.83,10.83,10.83,100,0
2011-09-28,22:00:00,10.76,10.76,10.76,10.76,100,0
2011-09-29,16:00:00,10.82,10.9,10.81,10.9,200658,0
2011-09-29,17:00:00,10.84,10.92,10.79,10.92,532857,0
2011-09-29,18:00:00,10.92,10.96,10.92,10.96,308201,0
2011-09-29,19:00:00,10.92,10.92,10.92,10.92,208,0
2011-09-29,20:00:00,10.86,10.93,10.86,10.93,1900,0
2011-09-29,21:00:00,10.84,10.99,10.84,10.88,2978,0
2011-09-29,22:00:00,10.91,10.99,10.91,10.94,2800,0
2011-09-30,17:00:00,10.65,10.65,10.48,10.65,446,0
2011-09-30,18:00:00,10.6,10.6,10.47,10.47,3547,0
2011-09-30,20:00:00,10.48,10.48,10.47,10.47,984,0
2011-09-30,21:00:00,10.51,10.51,10.51,10.51,29177,0
2011-09-30,22:00:00,10.49,10.49,10.39,10.39,11750,0
2011-10-03,16:00:00,10.17,10.17,10.17,10.17,100,0
2011-10-03,17:00:00,10.3,10.32,10.3,10.32,300,0
2011-10-03,18:00:00,10.41,10.41,10.34,10.34,22761,0
2011-10-03,19:00:00,10.36,10.38,10.15,10.15,2753,0
2011-10-03,20:00:00,10.43,10.43,10.35,10.35,300,0
2011-10-03,22:00:00,10.29,10.45,10.29,10.34,9070,0
2011-10-04,16:00:00,10.23,10.3,10.23,10.3,2910,0
2011-10-04,17:00:00,10.27,10.31,10.16,10.16,3975,0
2011-10-04,18:00:00,10.21,10.28,10.21,10.25,7400,0
2011-10-04,19:00:00,10.11,10.11,10.11,10.11,200,0
2011-10-04,20:00:00,10.24,10.29,10.13,10.19,32261,0
2011-10-04,21:00:00,10.19,10.32,9.98,10.18,61300,0
2011-10-04,22:00:00,10.19,10.35,10.17,10.35,4600,0
2011-10-05,16:00:00,10.55,10.55,10.39,10.44,1300,0
2011-10-05,18:00:00,10.43,10.44,10.43,10.43,1100,0
2011-10-05,19:00:00,10.44,10.44,10.4,10.44,2800,0
2011-10-05,21:00:00,10.45,10.49,10.45,10.48,6820,0
2011-10-05,22:00:00,10.43,10.48,10.43,10.45,600,0
2011-10-06,16:00:00,10.45,10.49,10.45,10.45,935,0
2011-10-06,17:00:00,10.5,10.5,10.5,10.5,23102,0
2011-10-06,19:00:00,10.41,10.43,10.41,10.43,200,0
2011-10-06,20:00:00,10.4,10.42,10.4,10.42,200,0
2011-10-06,21:00:00,10.41,10.41,10.41,10.41,200,0
2011-10-07,17:00:00,10.48,10.57,10.48,10.57,2160,0
2011-10-07,19:00:00,10.39,10.4,10.39,10.4,4600,0
2011-10-07,21:00:00,10.41,10.41,10.41,10.41,1000,0
2011-10-10,16:00:00,10.67,10.69,10.67,10.69,1200,0
2011-10-10,19:00:00,10.69,10.69,10.69,10.69,206,0
2011-10-10,21:00:00,10.57,10.57,10.57,10.57,465,0
2011-10-11,18:00:00,10.73,10.87,10.73,10.87,700,0
2011-10-11,19:00:00,11.0,11.0,10.92,10.92,1340,0
2011-10-11,20:00:00,11.0,11.01,10.97,10.97,6050,0
2011-10-11,21:00:00,11.04,11.09,10.93,11.09,7437,0
2011-10-11,22:00:00,11.15,11.15,11.15,11.15,600,0
2011-10-12,16:00:00,10.95,11.02,10.95,11.02,950,0
2011-10-12,17:00:00,10.96,11.0,10.96,11.0,1000,0
2011-10-12,20:00:00,10.97,10.97,10.97,10.97,975,0
2011-10-12,21:00:00,10.98,10.98,10.98,10.98,800,0
2011-10-13,17:00:00,10.99,10.99,10.99,10.99,1400,0
2011-10-13,18:00:00,10.99,10.99,10.99,10.99,400,0
2011-10-13,19:00:00,11.06,11.06,11.06,11.06,200,0
2011-10-13,20:00:00,11.15,11.16,11.15,11.16,400,0
2011-10-13,22:00:00,11.11,11.11,11.11,11.11,600,0
2011-10-14,17:00:00,11.48,11.48,11.48,11.48,200,0
2011-10-17,16:00:00,11.29,11.29,11.27,11.27,400,0
2011-10-18,21:00:00,11.36,11.36,11.24,11.24,320,0
2011-10-18,22:00:00,11.27,11.35,11.27,11.35,900,0
2011-10-19,20:00:00,11.23,11.23,11.23,11.23,100,0
2011-10-20,17:00:00,11.11,11.11,11.11,11.11,600,0
2011-10-24,20:00:00,11.18,11.19,11.18,11.19,2900,0
2011-10-24,22:00:00,11.25,11.25,11.25,11.25,100,0
2011-10-25,19:00:00,11.13,11.13,11.13,11.13,2716,0
2011-10-25,21:00:00,11.13,11.16,11.13,11.16,700,0
2011-10-25,22:00:00,11.16,11.17,11.11,11.11,1575,0
2011-10-26,17:00:00,10.95,10.95,10.95,10.95,500,0
2011-10-26,18:00:00,10.98,10.98,10.98,10.98,450,0
2011-10-26,20:00:00,10.95,11.03,10.95,11.03,679,0
2011-10-26,22:00:00,11.03,11.03,10.95,10.95,200,0
2011-10-27,17:00:00,11.1,11.1,11.1,11.1,225,0
2011-10-27,19:00:00,11.19,11.19,11.19,11.19,200,0
2011-10-27,21:00:00,11.26,11.26,11.26,11.26,300,0
2011-10-27,22:00:00,11.27,11.27,11.22,11.27,600,0
2011-10-28,22:00:00,11.1,11.1,11.1,11.1,389,0
2011-11-01,18:00:00,10.79,10.94,10.79,10.94,800,0
2011-11-02,17:00:00,11.01,11.01,11.01,11.01,100,0
