Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-10-09,16:00:00,19.7,19.7,19.7,19.7,1300,0
2014-10-09,17:00:00,19.61,19.61,19.53,19.53,3000,0
2014-10-09,18:00:00,19.5,19.53,19.5,19.53,850,0
2014-10-09,22:00:00,19.65,19.7,19.6,19.6,2350,0
2014-10-10,16:00:00,19.64,19.64,19.64,19.64,700,0
2014-10-10,17:00:00,19.8,19.8,19.76,19.78,1200,0
2014-10-10,18:00:00,19.76,19.76,19.76,19.76,250,0
2014-10-10,21:00:00,19.78,19.78,19.78,19.78,451,0
2014-10-13,18:00:00,19.8,19.8,19.8,19.8,176,0
2014-10-13,20:00:00,19.8,19.8,19.8,19.8,700,0
2014-10-14,19:00:00,19.69,19.69,19.69,19.69,200,0
2014-10-17,18:00:00,19.6,19.6,19.6,19.6,600,0
2014-10-17,20:00:00,19.58,19.58,19.57,19.57,2000,0
2014-10-17,21:00:00,19.54,19.54,19.54,19.54,1000,0
2014-10-20,16:00:00,19.61,19.61,19.61,19.61,3000,0
2014-10-20,22:00:00,19.77,19.77,19.63,19.63,900,0
2014-10-24,17:00:00,19.73,19.75,19.73,19.75,200,0
2014-10-28,18:00:00,20.05,20.05,20.05,20.05,500,0
2014-10-29,21:00:00,19.99,20.02,19.99,20.02,600,0
2014-11-05,20:00:00,20.33,20.37,20.33,20.37,200,0
2014-11-05,22:00:00,20.39,20.39,20.39,20.39,229,0
2014-11-06,18:00:00,20.4,20.4,20.4,20.4,200,0
2014-11-10,16:00:00,20.28,20.5,20.28,20.5,3300,0
2014-11-10,17:00:00,20.36,20.36,20.36,20.36,340,0
2014-11-10,20:00:00,20.45,20.45,20.32,20.36,9000,0
2014-11-10,21:00:00,20.3,20.3,20.3,20.3,3000,0
2014-11-10,22:00:00,20.39,20.39,20.32,20.32,3800,0
2014-11-12,19:00:00,20.18,20.18,20.18,20.18,3000,0
2014-11-14,18:00:00,20.27,20.29,20.27,20.29,850,0
2014-11-14,19:00:00,20.21,20.21,20.21,20.21,3000,0
2014-11-14,21:00:00,20.19,20.29,20.19,20.29,3808,0
2014-11-17,19:00:00,20.31,20.31,20.31,20.31,100,0
2014-11-17,22:00:00,20.28,20.3,20.28,20.28,951,0
2014-11-18,18:00:00,20.29,20.29,20.29,20.29,100,0
2014-11-18,21:00:00,20.33,20.33,20.33,20.33,2960,0
2014-11-18,22:00:00,20.39,20.45,20.39,20.45,800,0
2014-11-19,20:00:00,20.31,20.31,20.31,20.31,250,0
2014-11-20,18:00:00,20.33,20.33,20.33,20.33,3000,0
2014-11-20,20:00:00,20.28,20.33,20.28,20.33,3100,0
2014-11-25,20:00:00,20.24,20.24,20.23,20.23,3000,0
2014-11-26,21:00:00,20.23,20.3,20.23,20.3,1110,0
2014-12-01,16:00:00,20.53,20.53,20.43,20.43,7000,0
2014-12-02,18:00:00,20.4,20.4,20.39,20.39,3000,0
2014-12-02,19:00:00,20.47,20.47,20.47,20.47,100,0
2014-12-02,22:00:00,20.49,20.49,20.49,20.49,400,0
2014-12-03,18:00:00,20.39,20.39,20.38,20.38,3000,0
2014-12-03,19:00:00,20.5,20.51,20.39,20.39,8500,0
2014-12-03,20:00:00,20.48,20.48,20.4,20.4,3100,0
2014-12-03,22:00:00,20.5,20.5,20.5,20.5,100,0
2014-12-04,16:00:00,20.45,20.45,20.45,20.45,200,0
2014-12-05,17:00:00,20.5,20.5,20.5,20.5,490,0
2014-12-05,18:00:00,20.47,20.52,20.46,20.48,1500,0
2014-12-05,22:00:00,20.56,20.56,20.56,20.56,100,0
2014-12-08,16:00:00,20.58,20.58,20.58,20.58,500,0
2014-12-08,17:00:00,20.57,20.57,20.52,20.52,15200,0
2014-12-08,19:00:00,20.75,20.75,20.74,20.74,6000,0
2014-12-09,16:00:00,20.79,20.79,20.64,20.64,6100,0
2014-12-09,17:00:00,20.59,20.59,20.53,20.53,5600,0
2014-12-09,20:00:00,20.57,20.7,20.57,20.7,3300,0
2014-12-09,22:00:00,20.7,20.8,20.7,20.79,3000,0
2014-12-10,18:00:00,20.77,20.77,20.77,20.77,100,0
2014-12-10,20:00:00,20.76,20.79,20.73,20.78,2370,0
2014-12-10,21:00:00,20.81,20.81,20.8,20.8,500,0
2014-12-10,22:00:00,20.86,20.86,20.85,20.85,200,0
2014-12-11,18:00:00,20.85,20.85,20.85,20.85,100,0
2014-12-11,19:00:00,20.88,20.88,20.82,20.82,500,0
2014-12-12,20:00:00,20.96,20.96,20.96,20.96,100,0
2014-12-12,21:00:00,20.99,20.99,20.99,20.99,464,0
2014-12-15,17:00:00,21.08,21.08,21.02,21.02,1500,0
2014-12-16,16:00:00,21.11,21.11,21.11,21.11,100,0
2014-12-16,17:00:00,21.1,21.11,21.02,21.02,1000,0
2014-12-16,22:00:00,21.11,21.11,21.11,21.11,300,0
2014-12-17,16:00:00,21.15,21.15,21.15,21.15,600,0
2014-12-17,17:00:00,21.13,21.13,21.13,21.13,100,0
2014-12-17,18:00:00,21.12,21.12,21.12,21.12,100,0
2014-12-17,20:00:00,21.09,21.09,21.09,21.09,286,0
2014-12-17,22:00:00,21.14,21.14,21.14,21.14,200,0
2014-12-18,16:00:00,22.15,22.15,21.26,21.26,1700,0
2014-12-18,17:00:00,21.1,21.1,20.98,20.98,900,0
2014-12-18,18:00:00,21.07,21.07,21.07,21.07,100,0
2014-12-19,16:00:00,21.09,21.09,21.09,21.09,200,0
2014-12-19,21:00:00,20.97,20.97,20.97,20.97,1000,0
2014-12-19,22:00:00,21.1,21.1,21.1,21.1,1000,0
2014-12-22,17:00:00,21.11,21.11,21.11,21.11,200,0
2014-12-22,18:00:00,21.15,21.15,21.15,21.15,100,0
2014-12-22,20:00:00,21.15,21.18,21.15,21.18,4200,0
2014-12-22,21:00:00,21.13,21.19,21.13,21.19,300,0
2014-12-22,22:00:00,21.22,21.22,21.22,21.22,700,0
2014-12-23,21:00:00,21.24,21.24,21.24,21.24,200,0
2014-12-24,18:00:00,21.19,21.19,21.19,21.19,200,0
2014-12-29,16:00:00,21.26,21.27,21.26,21.27,500,0
2014-12-29,17:00:00,21.29,21.29,21.28,21.29,400,0
2014-12-29,18:00:00,21.3,21.3,21.29,21.29,999,0
2014-12-29,19:00:00,21.31,21.33,21.31,21.33,200,0
2014-12-29,20:00:00,21.34,21.34,21.34,21.34,100,0
2014-12-29,21:00:00,21.35,21.35,21.35,21.35,100,0
2014-12-30,21:00:00,21.2,21.2,21.2,21.2,100,0
2014-12-31,17:00:00,21.28,21.28,21.28,21.28,100,0
2015-01-02,17:00:00,21.44,21.44,21.44,21.44,100,0
2015-01-02,18:00:00,21.43,21.43,21.43,21.43,100,0
2015-01-02,20:00:00,21.34,21.34,21.34,21.34,100,0
2015-01-02,22:00:00,21.32,21.32,21.32,21.32,100,0
2015-01-05,16:00:00,21.43,21.43,21.43,21.43,200,0
2015-01-05,20:00:00,21.53,21.53,21.53,21.53,100,0
2015-01-06,16:00:00,21.6,21.6,21.6,21.6,100,0
2015-01-06,21:00:00,21.64,21.64,21.63,21.63,300,0
2015-01-07,17:00:00,21.62,21.62,21.62,21.62,500,0
