Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-15,16:00:00,28.42,28.72,28.21,28.61,2333695,0
2015-01-15,17:00:00,28.61,28.71,28.29,28.53,2728539,0
2015-01-15,18:00:00,28.53,28.92,28.44,28.72,2595652,0
2015-01-15,19:00:00,28.72,28.96,28.6,28.82,2264277,0
2015-01-15,20:00:00,28.82,28.87,28.58,28.64,2006674,0
2015-01-15,21:00:00,28.62,28.79,28.5,28.75,1676859,0
2015-01-15,22:00:00,28.76,28.78,28.24,28.58,4505474,0
2015-01-16,16:00:00,28.8,29.1,28.61,29.05,1409477,0
2015-01-16,17:00:00,29.05,29.49,28.94,29.01,2699114,0
2015-01-16,18:00:00,29.02,29.37,28.83,29.08,2014700,0
2015-01-16,19:00:00,29.08,29.29,28.9,29.0,1046652,0
2015-01-16,20:00:00,29.0,29.06,28.69,28.9,1159957,0
2015-01-16,21:00:00,28.89,29.18,28.81,28.99,1262779,0
2015-01-16,22:00:00,29.03,29.13,28.83,28.89,2766255,0
2015-01-20,16:00:00,29.67,30.0,29.43,29.8,1992505,0
2015-01-20,17:00:00,29.8,30.06,29.67,29.97,1539215,0
2015-01-20,18:00:00,29.97,30.17,29.72,30.13,1614629,0
2015-01-20,19:00:00,30.13,30.2,30.04,30.1,1218487,0
2015-01-20,20:00:00,30.11,30.21,29.88,30.15,1204238,0
2015-01-20,21:00:00,30.14,30.16,29.62,29.79,1539228,0
2015-01-20,22:00:00,29.78,30.16,29.77,30.1,3633951,0
2015-01-21,16:00:00,30.58,30.74,29.54,29.8,3031643,0
2015-01-21,17:00:00,29.8,29.8,28.94,29.33,3590894,0
2015-01-21,18:00:00,29.33,29.55,29.15,29.33,1517874,0
2015-01-21,19:00:00,29.33,29.39,29.16,29.3,1153783,0
2015-01-21,20:00:00,29.3,29.46,29.17,29.33,1337766,0
2015-01-21,21:00:00,29.33,29.63,29.22,29.57,1418722,0
2015-01-21,22:00:00,29.56,29.72,29.4,29.65,2568259,0
2015-01-22,16:00:00,30.05,30.09,29.18,29.46,1730747,0
2015-01-22,17:00:00,29.45,29.83,29.27,29.61,2051811,0
2015-01-22,18:00:00,29.58,30.14,29.55,30.0,1592516,0
2015-01-22,19:00:00,29.98,30.14,29.78,29.87,1143445,0
2015-01-22,20:00:00,29.86,29.9,29.56,29.72,896942,0
2015-01-22,21:00:00,29.71,29.71,29.33,29.41,1312794,0
2015-01-22,22:00:00,29.4,29.56,29.01,29.07,82715276,0
2015-01-23,16:00:00,28.88,28.91,28.44,28.6,1169096,0
2015-01-23,17:00:00,28.63,28.73,27.96,28.29,3059778,0
2015-01-23,18:00:00,28.29,28.46,28.18,28.25,1144925,0
2015-01-23,19:00:00,28.26,28.27,28.05,28.09,1012110,0
2015-01-23,20:00:00,28.1,28.21,27.91,27.99,1413403,0
2015-01-23,21:00:00,27.99,28.0,27.64,27.83,2049317,0
2015-01-23,22:00:00,27.83,28.04,27.53,27.62,4589545,0
2015-01-26,16:00:00,27.13,27.36,26.84,27.3,1098795,0
2015-01-26,17:00:00,27.29,27.61,26.87,27.45,1610552,0
2015-01-26,18:00:00,27.43,27.46,27.15,27.22,1022913,0
2015-01-26,19:00:00,27.22,27.6,27.21,27.53,785476,0
2015-01-26,20:00:00,27.53,27.59,27.33,27.43,613399,0
2015-01-26,21:00:00,27.43,28.05,27.33,28.02,1090064,0
2015-01-26,22:00:00,28.02,28.38,27.95,28.36,3517690,0
2015-01-27,16:00:00,28.57,28.91,28.38,28.87,1153143,0
2015-01-27,17:00:00,28.87,29.2,28.64,29.15,1883328,0
2015-01-27,18:00:00,29.15,29.17,28.96,29.03,1204966,0
2015-01-27,19:00:00,29.02,29.08,28.86,29.0,1105882,0
2015-01-27,20:00:00,28.99,29.26,28.9,29.25,1016522,0
2015-01-27,21:00:00,29.25,29.39,29.1,29.29,1568154,0
2015-01-27,22:00:00,29.28,29.5,29.18,29.42,48304401,0
2015-01-28,16:00:00,28.83,29.11,28.65,28.9,924681,0
2015-01-28,17:00:00,28.89,29.04,28.74,28.75,1361847,0
2015-01-28,18:00:00,28.75,28.98,28.63,28.87,936963,0
2015-01-28,19:00:00,28.87,28.89,28.67,28.87,802835,0
2015-01-28,20:00:00,28.88,28.93,28.76,28.9,611147,0
2015-01-28,21:00:00,28.91,29.0,28.02,28.05,3189155,0
2015-01-28,22:00:00,28.06,28.1,27.41,27.63,1424528096,0
2015-01-29,16:00:00,26.95,27.29,26.71,27.11,1483222,0
2015-01-29,17:00:00,27.12,27.16,26.5,26.55,2827008,0
2015-01-29,18:00:00,26.55,26.66,26.13,26.34,3167416,0
2015-01-29,19:00:00,26.35,26.38,26.06,26.14,2828923,0
2015-01-29,20:00:00,26.14,26.34,25.95,26.24,2251888,0
2015-01-29,21:00:00,26.24,27.05,26.15,26.63,2321661,0
2015-01-29,22:00:00,26.63,26.81,26.48,26.59,3347953,0
2015-01-30,16:00:00,26.91,26.92,26.46,26.74,1147646,0
2015-01-30,17:00:00,26.73,27.5,26.51,27.47,2254084,0
2015-01-30,18:00:00,27.47,27.58,27.27,27.31,2341947,0
2015-01-30,19:00:00,27.32,27.45,27.07,27.11,1420136,0
2015-01-30,20:00:00,27.11,27.52,27.07,27.41,1462046,0
2015-01-30,21:00:00,27.43,27.81,27.43,27.71,2173679,0
2015-01-30,22:00:00,27.71,27.83,27.55,27.74,4642210,0
2015-02-02,16:00:00,26.98,27.6,26.98,27.49,1032337,0
2015-02-02,17:00:00,27.51,27.85,27.18,27.21,1765234,0
2015-02-02,18:00:00,27.21,27.37,26.89,27.36,2227227,0
2015-02-02,19:00:00,27.37,27.78,27.27,27.74,2033829,0
2015-02-02,20:00:00,27.74,28.03,27.46,27.96,1304089,0
2015-02-02,21:00:00,27.94,28.04,27.81,28.01,1087401,0
2015-02-02,22:00:00,28.01,28.23,27.52,27.55,3783236,0
2015-02-03,16:00:00,27.34,27.43,27.05,27.19,1369322,0
2015-02-03,17:00:00,27.17,27.36,26.77,26.81,2288652,0
2015-02-03,18:00:00,26.83,27.12,26.59,27.03,2947943,0
2015-02-03,19:00:00,27.04,27.06,26.81,26.98,1153863,0
2015-02-03,20:00:00,26.98,27.64,26.97,27.5,1265101,0
2015-02-03,21:00:00,27.51,27.68,27.23,27.33,1286755,0
2015-02-03,22:00:00,27.33,27.41,26.75,26.83,8352017,0
2015-02-04,16:00:00,27.25,27.39,27.09,27.35,695280,0
2015-02-04,17:00:00,27.37,27.56,26.95,27.22,1283524,0
2015-02-04,18:00:00,27.21,27.44,27.17,27.39,1087889,0
2015-02-04,19:00:00,27.4,27.5,27.29,27.34,858449,0
2015-02-04,20:00:00,27.34,27.5,27.3,27.46,902505,0
2015-02-04,21:00:00,27.47,27.73,27.44,27.67,1606128,0
2015-02-04,22:00:00,27.67,27.82,27.49,27.5,3049322,0
2015-02-05,16:00:00,27.34,27.64,27.21,27.46,994874,0
2015-02-05,17:00:00,27.47,28.02,27.38,27.86,1400762,0
2015-02-05,18:00:00,27.86,27.95,27.49,27.81,1183300,0
2015-02-05,19:00:00,27.8,27.85,27.62,27.8,548514,0
2015-02-05,20:00:00,27.78,27.98,27.69,27.96,560457,0
2015-02-05,21:00:00,27.97,28.13,27.72,28.09,1486440,0
2015-02-05,22:00:00,28.1,28.31,27.99,28.11,31504986,0
2015-02-06,16:00:00,26.92,27.53,26.84,27.27,1417660,0
