Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-11-25,16:00:00,24.747,24.767,24.747,24.767,2447,0
2014-11-25,17:00:00,24.757,24.757,24.737,24.737,663,0
2014-11-25,18:00:00,24.747,24.747,24.737,24.737,1020,0
2014-11-25,19:00:00,24.757,24.767,24.757,24.767,9995,0
2014-11-25,20:00:00,24.767,24.787,24.767,24.777,10053,0
2014-11-25,21:00:00,24.797,24.797,24.797,24.797,306,0
2014-11-25,22:00:00,24.817,24.817,24.787,24.797,3672,0
2014-11-26,16:00:00,24.875,24.885,24.836,24.885,3804,0
2014-11-26,17:00:00,24.885,24.885,24.855,24.855,4590,0
2014-11-26,18:00:00,24.875,24.875,24.855,24.875,1015,0
2014-11-26,19:00:00,24.875,24.875,24.875,24.875,1734,0
2014-11-26,20:00:00,24.895,24.915,24.895,24.915,15973,0
2014-11-26,21:00:00,24.915,24.915,24.905,24.915,3873,0
2014-11-26,22:00:00,24.905,24.924,24.905,24.924,6135,0
2014-11-28,16:00:00,24.964,24.974,24.964,24.974,1020,0
2014-11-28,17:00:00,24.994,25.003,24.964,24.984,8272,0
2014-11-28,19:00:00,24.994,24.994,24.915,24.924,10546,0
2014-12-01,16:00:00,25.012,25.012,24.807,24.865,15241,0
2014-12-01,17:00:00,24.865,24.885,24.836,24.836,1938,0
2014-12-01,18:00:00,24.855,24.865,24.855,24.855,10286,0
2014-12-01,19:00:00,24.855,24.855,24.855,24.855,1631,0
2014-12-01,20:00:00,24.855,24.855,24.855,24.855,204,0
2014-12-01,21:00:00,24.845,24.845,24.827,24.827,3619,0
2014-12-01,22:00:00,24.827,24.836,24.827,24.827,6301,0
2014-12-02,16:00:00,24.807,24.807,24.777,24.787,4539,0
2014-12-02,17:00:00,24.797,24.807,24.777,24.797,844,0
2014-12-02,19:00:00,24.827,24.827,24.817,24.817,2447,0
2014-12-02,20:00:00,24.827,24.827,24.827,24.827,766,0
2014-12-02,21:00:00,24.836,24.836,24.836,24.836,612,0
2014-12-02,22:00:00,24.845,24.845,24.836,24.836,11550,0
2014-12-03,16:00:00,24.836,24.836,24.827,24.827,7140,0
2014-12-03,17:00:00,24.836,24.855,24.836,24.855,1836,0
2014-12-03,18:00:00,24.875,24.875,24.855,24.855,3852,0
