Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-15,16:00:00,22.924,22.924,22.924,22.924,6863,0
2015-01-15,17:00:00,22.934,23.06,22.934,23.06,3365,0
2015-01-15,18:00:00,22.963,23.01,22.885,22.924,8773,0
2015-01-15,19:00:00,22.934,22.934,22.934,22.934,919,0
2015-01-15,20:00:00,22.924,22.934,22.924,22.924,1403,0
2015-01-15,21:00:00,22.905,22.934,22.905,22.934,3190,0
2015-01-15,22:00:00,22.885,22.934,22.885,22.895,9926,0
2015-01-16,16:00:00,22.883,22.922,22.883,22.903,3233,0
2015-01-16,17:00:00,22.913,22.961,22.873,22.942,6156,0
2015-01-16,18:00:00,22.942,22.951,22.853,22.951,8786,0
2015-01-16,19:00:00,22.873,22.961,22.873,22.961,4808,0
2015-01-16,20:00:00,22.951,22.971,22.903,22.922,8007,0
2015-01-16,21:00:00,22.961,22.971,22.942,22.971,1618,0
2015-01-16,22:00:00,22.961,22.98,22.913,22.942,4219,0
2015-01-20,17:00:00,22.883,22.903,22.883,22.883,2801,0
2015-01-20,18:00:00,22.844,22.903,22.844,22.903,4033,0
2015-01-20,19:00:00,22.903,22.903,22.844,22.873,4278,0
2015-01-20,20:00:00,22.844,22.844,22.835,22.835,9122,0
2015-01-20,21:00:00,22.844,22.844,22.835,22.844,8567,0
2015-01-20,22:00:00,22.863,22.893,22.863,22.883,5076,0
2015-01-21,16:00:00,22.922,23.183,22.922,23.144,9106,0
2015-01-21,17:00:00,23.134,23.259,23.077,23.203,21212,0
2015-01-21,18:00:00,23.203,23.259,23.144,23.24,10693,0
2015-01-21,19:00:00,23.24,23.249,23.173,23.203,16239,0
2015-01-21,20:00:00,23.203,23.203,23.124,23.183,7200,0
2015-01-21,21:00:00,23.183,23.193,23.134,23.173,23386,0
2015-01-21,22:00:00,23.183,23.193,23.144,23.173,9029,0
2015-01-22,16:00:00,23.289,23.356,23.249,23.269,27118,0
2015-01-22,17:00:00,23.269,23.356,23.269,23.346,10767,0
2015-01-22,18:00:00,23.356,23.356,23.279,23.336,25641,0
2015-01-22,19:00:00,23.336,23.404,23.279,23.376,13682,0
2015-01-22,20:00:00,23.404,23.414,23.309,23.414,7935,0
2015-01-22,21:00:00,23.414,23.434,23.299,23.434,19001,0
2015-01-22,22:00:00,23.52,23.53,23.414,23.424,16861,0
2015-01-23,17:00:00,23.472,23.539,23.404,23.501,3973,0
