Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-12,21:00:00,99.162,99.162,99.162,99.162,943,0
2014-02-13,18:00:00,99.182,99.182,99.182,99.182,3770,0
2014-02-13,19:00:00,99.182,99.182,99.182,99.182,300,0
2014-02-13,20:00:00,99.182,99.182,99.182,99.182,401,0
2014-02-13,21:00:00,99.182,99.182,99.182,99.182,401,0
2014-02-13,22:00:00,99.182,99.182,99.182,99.182,401,0
2014-02-18,17:00:00,99.222,99.222,99.222,99.222,756,0
2014-02-19,16:00:00,99.222,99.222,99.222,99.222,756,0
2014-02-20,18:00:00,99.182,99.182,99.182,99.182,300,0
2014-02-20,19:00:00,99.192,99.192,99.192,99.192,200,0
2014-02-20,20:00:00,99.192,99.192,99.192,99.192,401,0
2014-02-20,21:00:00,99.192,99.192,99.192,99.192,100,0
2014-02-20,22:00:00,99.192,99.192,99.192,99.192,200,0
2014-02-21,17:00:00,99.192,99.192,99.192,99.192,604,0
2014-02-21,18:00:00,99.202,99.202,99.202,99.202,256,0
2014-02-21,20:00:00,99.202,99.202,99.202,99.202,6989,0
2014-02-21,21:00:00,99.202,99.202,99.202,99.202,2353,0
2014-02-21,22:00:00,99.202,99.202,99.202,99.202,246,0
2014-02-24,17:00:00,99.172,99.172,99.172,99.172,100,0
2014-02-24,18:00:00,99.182,99.182,99.182,99.182,200,0
2014-02-24,19:00:00,99.172,99.172,99.172,99.172,100,0
2014-02-24,20:00:00,99.172,99.172,99.172,99.172,401,0
2014-02-25,16:00:00,99.202,99.202,99.182,99.182,6388,0
2014-02-26,17:00:00,99.235,99.235,99.212,99.212,1108,0
2014-02-26,18:00:00,99.202,99.202,99.202,99.202,200,0
2014-02-26,19:00:00,99.202,99.202,99.202,99.202,100,0
2014-02-26,20:00:00,99.202,99.202,99.202,99.202,100,0
2014-02-26,21:00:00,99.202,99.202,99.202,99.202,300,0
2014-02-26,22:00:00,99.202,99.202,99.152,99.152,5515,0
2014-02-28,22:00:00,99.192,99.192,99.192,99.192,501,0
2014-03-03,17:00:00,99.235,99.235,99.235,99.235,113,0
2014-03-03,18:00:00,99.235,99.235,99.235,99.235,1814,0
2014-03-04,16:00:00,99.202,99.202,99.202,99.202,2517,0
2014-03-07,18:00:00,99.222,99.222,99.222,99.222,705,0
2014-03-13,17:00:00,99.202,99.202,99.202,99.202,100,0
2014-03-13,19:00:00,99.202,99.202,99.202,99.202,200,0
2014-03-13,20:00:00,99.202,99.202,99.202,99.202,300,0
2014-03-13,21:00:00,99.235,99.235,99.235,99.235,585,0
2014-03-18,16:00:00,99.235,99.235,99.235,99.235,150,0
2014-03-19,21:00:00,99.248,99.248,99.248,99.248,199,0
2014-03-20,16:00:00,99.212,99.212,99.202,99.202,2014,0
2014-03-26,15:00:00,99.296,99.296,99.296,99.296,50,0
2014-03-26,19:00:00,99.296,99.296,99.296,99.296,14,0
2014-03-26,20:00:00,99.256,99.256,99.256,99.256,1,0
2014-03-27,16:00:00,99.296,99.296,99.296,99.296,100,0
2014-03-27,17:00:00,99.296,99.296,99.296,99.296,300,0
2014-03-27,18:00:00,99.296,99.296,99.296,99.296,341,0
2014-03-27,19:00:00,99.296,99.296,99.296,99.296,200,0
2014-03-27,20:00:00,99.296,99.296,99.248,99.296,1834,0
2014-03-28,17:00:00,99.286,99.296,99.286,99.296,40678,0
2014-03-28,19:00:00,99.296,99.296,99.296,99.296,200,0
2014-03-28,20:00:00,99.296,99.296,99.296,99.296,200,0
2014-03-28,21:00:00,99.296,99.296,99.296,99.296,501,0
2014-03-31,17:00:00,99.316,99.316,99.316,99.316,604,0
2014-03-31,18:00:00,99.316,99.316,99.316,99.316,604,0
2014-03-31,19:00:00,99.316,99.316,99.316,99.316,401,0
2014-03-31,20:00:00,99.316,99.316,99.316,99.316,705,0
2014-03-31,21:00:00,99.316,99.316,99.316,99.316,501,0
2014-03-31,22:00:00,99.316,99.316,99.316,99.316,122,0
2014-04-01,16:00:00,99.316,99.316,99.316,99.316,5738,0
2014-04-01,22:00:00,99.306,99.376,99.306,99.376,3321,0
2014-04-02,17:00:00,99.276,99.276,99.266,99.266,501,0
2014-04-02,18:00:00,99.266,99.266,99.266,99.266,300,0
2014-04-02,19:00:00,99.266,99.266,99.266,99.266,100,0
2014-04-02,20:00:00,99.266,99.266,99.266,99.266,100,0
2014-04-02,21:00:00,99.266,99.266,99.266,99.266,100,0
2014-04-03,16:00:00,99.266,99.266,99.266,99.266,100,0
