Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-06-12,21:00:00,24.852,24.852,24.852,24.852,400,0
2014-07-21,17:00:00,24.779,24.782,24.779,24.782,4443,0
2014-07-21,22:00:00,24.779,24.779,24.779,24.779,1203,0
2014-08-01,19:00:00,24.917,24.917,24.917,24.917,400,0
2014-08-11,20:00:00,24.892,24.892,24.892,24.892,7640,0
2014-08-12,21:00:00,24.865,24.865,24.865,24.865,400,0
2014-08-13,19:00:00,24.882,24.882,24.882,24.882,400,0
2014-08-13,21:00:00,24.887,24.887,24.887,24.887,400,0
2014-08-18,21:00:00,24.897,24.897,24.897,24.897,800,0
2014-08-19,17:00:00,24.895,24.895,24.895,24.895,1203,0
2014-08-21,21:00:00,24.877,24.877,24.877,24.877,468,0
2014-08-26,21:00:00,24.877,24.877,24.877,24.877,800,0
2014-08-27,21:00:00,24.877,24.877,24.877,24.877,740,0
2014-09-03,20:00:00,24.877,24.877,24.877,24.877,400,0
2014-09-11,20:00:00,24.852,24.852,24.852,24.852,400,0
2014-09-12,17:00:00,24.855,24.855,24.855,24.855,1239,0
2014-09-18,20:00:00,24.865,24.865,24.865,24.865,1083,0
2014-09-19,21:00:00,24.91,24.91,24.91,24.91,412,0
2014-09-23,22:00:00,24.872,24.872,24.872,24.872,540,0
2014-09-24,16:00:00,24.9,24.9,24.9,24.9,800,0
2014-09-24,17:00:00,24.892,24.892,24.892,24.892,1163,0
2014-09-26,20:00:00,24.915,24.915,24.915,24.915,412,0
2014-10-01,19:00:00,24.885,24.885,24.885,24.885,2003,0
2014-10-01,20:00:00,24.897,24.912,24.895,24.9,17000,0
2014-10-01,21:00:00,24.912,24.912,24.912,24.912,8639,0
2014-10-01,22:00:00,24.912,24.912,24.9,24.9,4391,0
2014-10-02,17:00:00,24.902,24.93,24.872,24.93,5129,0
2014-10-02,19:00:00,24.927,24.927,24.915,24.915,3370,0
2014-10-02,21:00:00,24.922,24.922,24.915,24.915,2806,0
2014-10-02,22:00:00,24.91,24.91,24.91,24.91,3898,0
2014-10-03,16:00:00,24.892,24.892,24.892,24.892,400,0
2014-10-03,17:00:00,24.892,24.892,24.892,24.892,800,0
2014-10-03,18:00:00,24.892,24.892,24.885,24.885,8539,0
2014-10-03,19:00:00,24.892,24.895,24.892,24.895,8439,0
2014-10-03,20:00:00,24.88,24.882,24.88,24.882,6788,0
2014-10-06,18:00:00,24.865,24.865,24.865,24.865,3206,0
2014-10-08,20:00:00,24.91,24.932,24.91,24.927,2435,0
2014-10-09,21:00:00,24.927,24.927,24.927,24.927,800,0
2014-10-20,16:00:00,24.962,24.962,24.962,24.962,2343,0
2014-10-24,22:00:00,24.975,24.975,24.975,24.975,800,0
2014-10-27,20:00:00,24.982,24.982,24.982,24.982,800,0
2014-10-30,15:00:00,24.927,24.927,24.927,24.927,800,0
2014-11-03,16:00:00,24.927,24.927,24.927,24.927,2403,0
2014-11-03,22:00:00,24.95,24.95,24.95,24.95,484,0
2014-11-10,22:00:00,24.94,24.94,24.94,24.94,1603,0
2014-11-12,18:00:00,24.91,24.91,24.91,24.91,800,0
2014-11-13,16:00:00,24.967,24.967,24.967,24.967,5209,0
2014-11-13,21:00:00,24.942,24.942,24.942,24.942,800,0
2014-11-19,20:00:00,24.91,24.91,24.91,24.91,608,0
2014-11-19,22:00:00,24.917,24.917,24.917,24.917,3614,0
2014-11-20,18:00:00,24.917,24.917,24.917,24.917,800,0
2014-11-20,21:00:00,24.92,24.92,24.92,24.92,1203,0
2014-11-20,22:00:00,24.92,24.977,24.92,24.977,2403,0
2014-11-21,19:00:00,24.927,24.927,24.927,24.927,2003,0
2014-11-24,16:00:00,24.927,24.927,24.927,24.927,800,0
2014-11-26,22:00:00,24.935,25.027,24.935,25.027,2403,0
2014-12-01,18:00:00,25,25,25,25,400,0
2014-12-01,19:00:00,25.037,25.037,25.037,25.037,400,0
2014-12-01,20:00:00,25.032,25.032,25.032,25.032,400,0
2014-12-01,22:00:00,25.03,25.03,25.03,25.03,800,0
2014-12-08,17:00:00,24.902,24.902,24.9,24.9,1203,0
2014-12-08,20:00:00,24.895,24.895,24.895,24.895,4054,0
2014-12-09,20:00:00,24.922,24.922,24.922,24.922,648,0
2014-12-09,22:00:00,24.91,24.922,24.91,24.922,10170,0
2014-12-10,17:00:00,24.902,24.902,24.902,24.902,6424,0
2014-12-11,19:00:00,24.91,24.952,24.91,24.952,19882,0
2014-12-11,21:00:00,24.95,24.95,24.95,24.95,800,0
2014-12-12,17:00:00,24.917,24.917,24.915,24.915,22735,0
2014-12-12,22:00:00,25.047,25.06,25.047,25.047,4014,0
2014-12-15,22:00:00,25.05,25.05,25.05,25.05,456,0
2014-12-16,16:00:00,24.927,24.935,24.927,24.935,10638,0
2014-12-16,17:00:00,25.062,26.742,24.93,24.93,58780,0
2014-12-16,22:00:00,24.88,24.88,24.88,24.88,400,0
2014-12-17,21:00:00,24.895,24.895,24.895,24.895,440,0
2014-12-17,22:00:00,24.89,24.89,24.89,24.89,440,0
2014-12-18,22:00:00,24.837,24.837,24.837,24.837,800,0
2014-12-19,18:00:00,24.892,24.892,24.892,24.892,1203,0
2014-12-19,21:00:00,24.855,24.89,24.855,24.89,1283,0
2014-12-19,22:00:00,24.89,24.89,24.89,24.89,400,0
2014-12-22,20:00:00,24.875,24.885,24.875,24.885,4573,0
2014-12-22,21:00:00,24.887,24.887,24.887,24.887,540,0
2014-12-23,20:00:00,24.877,24.877,24.877,24.877,800,0
