Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-12-15,16:00:00,24.726,24.726,24.726,24.726,403,0
2014-12-15,17:00:00,24.726,24.739,24.721,24.721,1621,0
2014-12-15,18:00:00,24.723,24.749,24.723,24.749,1218,0
2014-12-30,17:00:00,24.734,24.734,24.734,24.734,403,0
2015-01-02,20:00:00,24.754,24.757,24.754,24.757,1621,0
2015-01-05,16:00:00,24.681,24.694,24.681,24.694,6482,0
2015-01-06,20:00:00,24.876,24.876,24.846,24.846,1218,0
2015-01-07,16:00:00,24.782,24.782,24.782,24.782,4052,0
2015-01-07,17:00:00,24.792,24.792,24.792,24.792,403,0
2015-01-08,17:00:00,24.856,24.856,24.856,24.856,1130,0
2015-01-12,17:00:00,24.918,24.918,24.918,24.918,403,0
2015-01-13,16:00:00,24.866,24.891,24.866,24.891,11343,0
2015-01-14,21:00:00,24.961,25.072,24.961,25.072,1218,0
2015-01-16,16:00:00,25.03,25.03,25.03,25.03,1218,0
2015-01-16,21:00:00,25.065,25.085,25.065,25.085,1617,0
2015-01-16,22:00:00,25.087,25.122,25.087,25.105,29074,0
2015-01-21,17:00:00,25.145,25.145,25.145,25.145,403,0
2015-01-21,20:00:00,25.017,25.07,25.017,25.07,1617,0
2015-01-22,21:00:00,25.04,25.04,25.04,25.04,403,0
2015-01-23,22:00:00,25.095,25.095,25.095,25.095,806,0
2015-01-26,21:00:00,25.112,25.112,25.047,25.047,846,0
2015-01-28,21:00:00,25.12,25.12,25.12,25.12,4052,0
2015-02-02,17:00:00,25.225,25.225,25.225,25.225,6466,0
2015-02-03,19:00:00,25.16,25.192,25.16,25.185,511526,0
2015-02-03,20:00:00,25.187,25.187,25.18,25.182,130911,0
2015-02-03,21:00:00,25.182,25.182,25.182,25.182,806,0
2015-02-03,22:00:00,25.185,25.185,25.185,25.185,1617,0
2015-02-04,19:00:00,25.132,25.132,25.13,25.132,5657,0
2015-02-05,17:00:00,25.155,25.155,25.155,25.155,20202,0
2015-02-05,19:00:00,25.16,25.16,25.16,25.16,8083,0
2015-02-05,22:00:00,25.152,25.152,25.152,25.152,595,0
2015-02-06,22:00:00,25.002,25.01,25.002,25.01,1214,0
2015-02-11,16:00:00,25.06,25.06,25.06,25.06,2423,0
2015-02-11,17:00:00,25.06,25.06,25,25,4446,0
2015-02-11,18:00:00,25.052,25.052,24.99,25.052,6060,0
2015-02-11,19:00:00,25.057,25.057,25.02,25.027,4446,0
2015-02-11,20:00:00,25.06,25.06,25.06,25.06,3234,0
2015-02-11,21:00:00,25.06,25.06,25.06,25.06,4446,0
2015-02-11,22:00:00,25.06,25.06,25.047,25.047,6068,0
2015-02-12,19:00:00,25.057,25.057,25.057,25.057,806,0
2015-02-12,20:00:00,25.057,25.057,24.997,24.997,4849,0
2015-02-13,18:00:00,25.035,25.1,25.035,25.087,7713,0
2015-02-13,19:00:00,25.047,25.072,25.047,25.07,5657,0
2015-02-13,21:00:00,25.1,25.1,25.1,25.1,403,0
2015-02-17,18:00:00,25.052,25.052,25.04,25.04,2407,0
2015-02-18,17:00:00,25.027,25.027,25.027,25.027,2020,0
2015-02-23,19:00:00,25.125,25.125,25.125,25.125,403,0
2015-02-24,20:00:00,25.222,25.222,25.172,25.172,806,0
2015-02-25,21:00:00,25.244,25.244,25.244,25.244,403,0
2015-02-26,17:00:00,25.246,25.246,25.246,25.246,4040,0
2015-02-27,16:00:00,25.165,25.165,25.165,25.165,403,0
2015-02-27,17:00:00,25.202,25.21,25.185,25.185,5818,0
2015-03-02,22:00:00,25.19,25.19,25.19,25.19,28,0
2015-03-03,16:00:00,25.127,25.127,25.127,25.127,2016,0
2015-03-05,21:00:00,25.155,25.155,25.155,25.155,1589,0
2015-03-06,16:00:00,25.055,25.055,25.055,25.055,2016,0
2015-03-11,19:00:00,25.167,25.167,25.167,25.167,1006,0
2015-03-11,20:00:00,25.145,25.145,25.145,25.145,403,0
2015-03-12,16:00:00,25.125,25.125,25.125,25.125,1018,0
2015-03-12,21:00:00,25.14,25.14,25.14,25.14,599,0
2015-03-13,16:00:00,25.127,25.127,25.11,25.11,806,0
2015-03-13,17:00:00,25.105,25.105,25.105,25.105,806,0
2015-03-13,18:00:00,25.105,25.105,25.105,25.105,403,0
2015-03-13,19:00:00,25.105,25.105,25.105,25.105,403,0
2015-03-13,20:00:00,25.057,25.105,25.057,25.067,1835,0
2015-03-13,21:00:00,25.027,25.027,25.027,25.027,403,0
2015-03-16,16:00:00,25.107,25.107,25.107,25.107,403,0
2015-03-16,17:00:00,25.105,25.105,25.105,25.105,1433,0
2015-03-16,19:00:00,25.1,25.1,25.1,25.1,17736,0
2015-03-17,17:00:00,25.082,25.095,25.082,25.095,7496,0
2015-03-17,18:00:00,25.102,25.115,25.102,25.11,11286,0
2015-03-17,20:00:00,25.105,25.127,25.105,25.115,14714,0
2015-03-17,21:00:00,25.127,25.13,25.127,25.13,7600,0
2015-03-18,15:00:00,25.097,25.097,25.097,25.097,1210,0
2015-03-18,16:00:00,25.097,25.097,25.097,25.097,11608,0
2015-03-18,20:00:00,25.092,25.142,25.092,25.142,20154,0
2015-03-18,21:00:00,25.142,25.142,25.08,25.08,16127,0
2015-03-19,16:00:00,25.055,25.055,25.055,25.055,403,0
2015-03-19,18:00:00,25.177,25.177,25.177,25.177,483,0
2015-03-19,19:00:00,25.15,25.15,25.15,25.15,92152,0
2015-03-19,21:00:00,25.165,25.165,25.055,25.055,1589,0
2015-03-20,16:00:00,25.236,25.236,25.236,25.236,683,0
