Date,Time,Open,High,Low,Close,Volume,OpenInt
2013-10-31,18:00:00,19.153,19.153,19.153,19.153,173,0
2013-11-01,19:00:00,18.93,18.93,18.93,18.93,573,0
2013-11-01,21:00:00,18.93,18.93,18.93,18.93,542,0
2013-11-04,17:00:00,19.006,19.006,18.881,18.881,544,0
2013-11-04,20:00:00,18.987,18.987,18.987,18.987,332,0
2013-11-04,22:00:00,18.996,18.996,18.996,18.996,362,0
2013-11-05,17:00:00,18.881,18.881,18.881,18.881,926,0
2013-11-06,19:00:00,18.93,19.045,18.93,19.045,1320,0
2013-11-06,21:00:00,19.036,19.036,19.036,19.036,347,0
2013-11-07,18:00:00,18.745,18.871,18.737,18.745,1508,0
2013-11-08,20:00:00,18.813,18.813,18.813,18.813,156,0
2013-11-11,20:00:00,18.765,18.765,18.755,18.755,208,0
2013-11-11,22:00:00,18.891,18.891,18.891,18.891,466,0
2013-11-12,17:00:00,18.727,18.765,18.717,18.765,1136,0
2013-11-12,20:00:00,18.687,18.687,18.687,18.687,627,0
2013-11-12,21:00:00,18.774,18.774,18.755,18.765,3423,0
2013-11-13,18:00:00,18.62,18.737,18.62,18.737,704,0
2013-11-13,19:00:00,18.774,18.774,18.774,18.774,427,0
2013-11-13,20:00:00,18.794,18.794,18.794,18.794,438,0
2013-11-13,21:00:00,18.737,18.737,18.737,18.737,130,0
2013-11-13,22:00:00,18.813,18.813,18.813,18.813,195,0
2013-11-14,17:00:00,18.717,18.717,18.717,18.717,1759,0
2013-11-14,18:00:00,18.94,18.94,18.94,18.94,208,0
2013-11-14,19:00:00,18.687,18.687,18.678,18.687,3950,0
2013-11-15,16:00:00,18.853,18.853,18.853,18.853,104,0
2013-11-15,18:00:00,18.862,18.871,18.862,18.862,2582,0
2013-11-18,16:00:00,18.94,19.153,18.94,19.153,355,0
2013-11-18,19:00:00,18.95,18.96,18.95,18.96,4441,0
2013-11-19,16:00:00,18.996,18.996,18.95,18.95,791,0
2013-11-19,20:00:00,18.891,18.891,18.891,18.891,104,0
2013-11-19,22:00:00,18.891,18.891,18.891,18.891,118,0
2013-11-20,21:00:00,18.823,18.823,18.678,18.678,1652,0
2013-11-21,17:00:00,18.823,18.823,18.823,18.823,113,0
2013-11-21,22:00:00,18.833,18.833,18.833,18.833,517,0
2013-11-22,18:00:00,18.853,18.853,18.853,18.853,284,0
2013-11-22,19:00:00,18.891,18.891,18.784,18.833,517,0
2013-11-22,21:00:00,18.853,18.853,18.853,18.853,208,0
2013-11-22,22:00:00,18.862,18.862,18.794,18.794,208,0
2013-11-25,18:00:00,18.921,18.921,18.784,18.784,684,0
2013-11-26,19:00:00,18.891,18.891,18.891,18.891,221,0
2013-11-27,17:00:00,18.813,18.813,18.813,18.813,208,0
2013-11-27,19:00:00,19.636,19.636,18.803,18.93,18718,0
2013-11-27,20:00:00,18.93,18.94,18.803,18.93,8985,0
2013-11-27,21:00:00,18.871,18.987,18.871,18.978,3109,0
2013-11-29,16:00:00,19.123,19.123,19.075,19.075,1033,0
2013-11-29,17:00:00,19.123,19.123,19.123,19.123,104,0
2013-12-02,21:00:00,18.765,18.765,18.765,18.765,619,0
2013-12-03,16:00:00,18.678,18.833,18.678,18.678,309,0
2013-12-03,17:00:00,18.687,18.687,18.687,18.687,149,0
2013-12-04,18:00:00,18.543,18.543,18.543,18.543,457,0
2013-12-04,20:00:00,18.485,18.485,18.475,18.475,620,0
2013-12-04,21:00:00,18.62,18.62,18.62,18.62,179,0
2013-12-04,22:00:00,18.707,18.727,18.707,18.707,499,0
2013-12-05,18:00:00,18.668,18.668,18.668,18.668,636,0
2013-12-06,19:00:00,18.591,18.591,18.591,18.591,208,0
2013-12-09,18:00:00,18.774,18.774,18.774,18.774,2354,0
2013-12-09,22:00:00,18.727,18.727,18.727,18.727,579,0
2013-12-10,17:00:00,18.717,18.717,18.717,18.717,2736,0
2013-12-11,17:00:00,18.638,18.638,18.638,18.638,728,0
2013-12-11,18:00:00,18.717,18.717,18.717,18.717,348,0
2013-12-11,19:00:00,18.591,18.591,18.591,18.591,1352,0
2013-12-12,16:00:00,18.426,18.426,18.426,18.426,2913,0
2013-12-12,21:00:00,18.445,18.445,18.445,18.445,58062,0
2013-12-13,16:00:00,18.503,18.553,18.503,18.513,13116,0
2013-12-13,17:00:00,18.426,18.426,18.426,18.426,541,0
2013-12-13,18:00:00,18.543,18.553,18.543,18.553,6713,0
2013-12-13,21:00:00,18.562,18.562,18.562,18.562,1455,0
2013-12-16,22:00:00,18.62,18.62,18.62,18.62,208,0
2013-12-17,22:00:00,18.717,18.717,18.717,18.717,1033,0
2013-12-18,18:00:00,18.745,18.745,18.745,18.745,331,0
2013-12-18,19:00:00,18.601,18.629,18.601,18.629,1136,0
2013-12-18,20:00:00,18.658,18.658,18.658,18.658,826,0
2013-12-18,21:00:00,18.658,18.658,18.658,18.658,2168,0
2013-12-18,22:00:00,18.901,18.901,18.901,18.901,154,0
2013-12-19,22:00:00,18.755,18.755,18.755,18.755,1344,0
2013-12-20,18:00:00,18.811,18.831,18.811,18.811,561,0
2013-12-20,20:00:00,18.831,18.831,18.831,18.831,553,0
2013-12-20,21:00:00,18.89,18.89,18.88,18.88,872,0
2013-12-23,17:00:00,19.025,19.025,19.025,19.025,103,0
2013-12-23,18:00:00,19.045,19.045,18.968,18.968,1025,0
2013-12-23,19:00:00,19.025,19.025,18.977,18.977,1947,0
2013-12-23,20:00:00,18.977,18.977,18.977,18.977,1025,0
2013-12-23,21:00:00,18.987,18.987,18.987,18.987,718,0
2013-12-26,17:00:00,19.26,19.26,19.26,19.26,1947,0
2013-12-27,17:00:00,18.47,19.289,17.485,19.25,37758,0
2013-12-27,18:00:00,19.192,19.192,19.192,19.192,718,0
2013-12-27,21:00:00,19.212,19.212,19.123,19.123,206,0
2013-12-27,22:00:00,19.192,19.192,19.192,19.192,184,0
2013-12-30,17:00:00,19.319,19.348,19.319,19.348,2255,0
2013-12-30,18:00:00,19.358,19.358,19.358,19.358,130,0
2013-12-30,19:00:00,19.358,19.358,19.358,19.358,206,0
2013-12-30,22:00:00,19.367,19.367,19.348,19.367,2049,0
2014-01-02,17:00:00,19.143,19.143,19.143,19.143,1640,0
