Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-15,16:00:00,119.26,119.28,118.48,118.48,6333,0
2015-01-15,17:00:00,118.28,119.31,118.28,119.15,4029,0
2015-01-15,18:00:00,119.18,119.48,119.07,119.22,16862,0
2015-01-15,19:00:00,119.09,119.09,118.69,118.69,49331,0
2015-01-15,20:00:00,118.67,118.93,118.41,118.46,5118,0
2015-01-15,21:00:00,118.68,119.02,118.68,119.02,10122,0
2015-01-15,22:00:00,119.05,119.05,118.52,118.58,13257,0
2015-01-16,16:00:00,118.53,118.84,118.03,118.25,4588,0
2015-01-16,17:00:00,118.32,118.59,117.97,118.39,4102,0
2015-01-16,18:00:00,119.04,119.11,118.82,119.02,31944,0
2015-01-16,19:00:00,118.99,119.3,118.96,119.28,3402,0
2015-01-16,20:00:00,119.17,119.23,119.01,119.16,4608,0
2015-01-16,21:00:00,119.21,119.24,119.13,119.24,1902,0
2015-01-16,22:00:00,119.32,120.21,119.24,120.09,17378,0
2015-01-20,16:00:00,120.43,120.43,119.07,119.24,10839,0
2015-01-20,17:00:00,119.21,119.28,118.69,118.7,25673,0
2015-01-20,18:00:00,118.56,118.63,118.48,118.48,6740,0
2015-01-20,19:00:00,118.53,119.12,118.53,119.11,8236,0
2015-01-20,20:00:00,119.13,119.28,118.99,119.19,12231,0
2015-01-20,21:00:00,119.13,119.68,119.13,119.55,12063,0
2015-01-20,22:00:00,119.54,119.62,119.17,119.27,13757,0
2015-01-21,16:00:00,120.08,120.32,120.06,120.06,2502,0
2015-01-21,17:00:00,120.45,121.37,120.37,121.37,18079,0
2015-01-21,18:00:00,121.19,121.19,120.61,120.82,10446,0
2015-01-21,19:00:00,120.73,120.92,120.64,120.64,4661,0
2015-01-21,20:00:00,120.73,120.74,120.34,120.52,5346,0
2015-01-21,21:00:00,120.31,120.75,120.31,120.75,8704,0
2015-01-21,22:00:00,120.75,120.94,120.4,120.9,32100,0
2015-01-22,16:00:00,121.72,121.73,120.59,120.89,12308,0
2015-01-22,17:00:00,121.07,122.15,121,122.15,12594,0
2015-01-22,18:00:00,122.12,122.17,121.58,121.81,16821,0
2015-01-22,19:00:00,121.83,122.01,121.69,121.89,6357,0
2015-01-22,20:00:00,121.91,122.12,121.77,122.12,5811,0
2015-01-22,21:00:00,122.07,123.03,122.07,123.02,12907,0
2015-01-22,22:00:00,123.17,123.49,123.1,123.49,13712,0
2015-01-23,16:00:00,123.54,123.54,123,123.11,41549,0
2015-01-23,17:00:00,123.1,123.19,122.37,122.69,12112,0
2015-01-23,18:00:00,122.66,122.79,122.37,122.37,10155,0
2015-01-23,19:00:00,122.59,122.61,122.3,122.46,12012,0
2015-01-23,20:00:00,122.44,122.44,122.28,122.38,6023,0
2015-01-23,21:00:00,122.35,122.35,122.1,122.1,7733,0
2015-01-23,22:00:00,122.03,122.1,121.84,121.89,15978,0
2015-01-26,16:00:00,121.03,121.35,121.03,121.25,4448,0
2015-01-26,17:00:00,121.02,121.56,120.92,121.56,7541,0
2015-01-26,18:00:00,121.62,121.75,121.47,121.75,11424,0
2015-01-26,19:00:00,121.95,122,121.75,121.75,4402,0
2015-01-26,20:00:00,122.02,122.1,121.91,122,5072,0
2015-01-26,21:00:00,122.04,122.1,121.84,121.84,4855,0
2015-01-26,22:00:00,121.9,122.27,121.9,122.27,10111,0
2015-01-27,16:00:00,121.42,121.75,121.2,121.61,6987,0
2015-01-27,17:00:00,121.44,121.68,120.91,121.17,20476,0
2015-01-27,18:00:00,121.21,121.65,121.21,121.46,5035,0
2015-01-27,19:00:00,121.37,121.76,121.3,121.65,6830,0
2015-01-27,20:00:00,121.77,121.92,121.63,121.66,11015,0
2015-01-27,21:00:00,121.79,122.09,121.71,121.82,8439,0
2015-01-27,22:00:00,121.8,121.89,121.41,121.46,12968,0
2015-01-28,16:00:00,122.42,122.42,121.42,121.92,12725,0
2015-01-28,17:00:00,121.87,121.95,120.45,120.45,40347,0
2015-01-28,18:00:00,121.01,121.01,120.87,120.87,500,0
2015-01-28,19:00:00,121.06,121.17,121.01,121.01,21482,0
2015-01-28,20:00:00,121.1,121.1,120.79,120.89,3198,0
2015-01-28,21:00:00,121.32,121.32,120.44,120.75,7302,0
2015-01-28,22:00:00,120.71,120.71,119.66,119.76,10331,0
2015-01-29,16:00:00,119.88,119.88,119.08,119.55,12422,0
2015-01-29,17:00:00,119.77,119.77,118.84,118.92,10453,0
2015-01-29,18:00:00,119.15,119.35,119,119.27,5974,0
2015-01-29,19:00:00,119.1,119.31,118.96,119.15,57897,0
2015-01-29,20:00:00,119.1,120.11,119.1,120.11,9277,0
