Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-03-20,16:00:00,24.115,24.115,24.115,24.115,5475,0
2014-03-20,18:00:00,24.115,24.115,24.115,24.115,3581,0
2014-03-21,17:00:00,24.154,24.154,24.154,24.154,620,0
2014-03-21,19:00:00,24.134,24.134,24.134,24.134,518,0
2014-03-21,21:00:00,24.144,24.144,24.144,24.144,778,0
2014-03-24,19:00:00,24.134,24.144,24.134,24.144,187998,0
2014-03-24,20:00:00,24.144,24.144,24.144,24.144,309,0
2014-03-26,17:00:00,24.192,24.192,24.192,24.192,208,0
2014-03-26,18:00:00,24.202,24.202,24.202,24.202,517,0
2014-03-27,15:00:00,24.202,24.202,24.202,24.202,453,0
2014-03-27,16:00:00,24.202,24.202,24.202,24.202,2373,0
2014-03-27,17:00:00,24.202,24.202,24.202,24.202,101,0
2014-03-27,18:00:00,24.173,24.173,24.173,24.173,101,0
2014-03-27,20:00:00,24.202,24.202,24.202,24.202,101,0
2014-03-27,21:00:00,24.202,24.202,24.202,24.202,101,0
2014-03-28,16:00:00,24.211,24.211,24.211,24.211,518,0
2014-03-28,18:00:00,24.202,24.202,24.202,24.202,51751,0
2014-03-31,17:00:00,24.24,24.249,24.231,24.231,119096,0
2014-03-31,18:00:00,24.24,24.24,24.24,24.24,28712,0
2014-03-31,19:00:00,24.24,24.24,24.24,24.24,413,0
2014-03-31,22:00:00,24.24,24.24,24.24,24.24,127,0
2014-04-01,17:00:00,24.298,24.298,24.298,24.298,517,0
2014-04-01,19:00:00,24.306,24.306,24.306,24.306,773,0
2014-04-01,20:00:00,24.306,24.316,24.306,24.316,164954,0
2014-04-01,21:00:00,24.306,24.316,24.306,24.316,3711,0
2014-04-01,22:00:00,24.306,24.306,24.306,24.306,738,0
2014-04-02,17:00:00,24.258,24.268,24.258,24.268,3195,0
2014-04-03,16:00:00,24.248,24.248,24.248,24.248,824,0
2014-04-03,20:00:00,24.239,24.239,24.239,24.239,208,0
2014-04-03,21:00:00,24.248,24.248,24.248,24.248,163,0
2014-04-07,20:00:00,24.288,24.288,24.288,24.288,101,0
2014-04-07,22:00:00,24.288,24.288,24.278,24.278,1071,0
2014-04-08,16:00:00,24.366,24.366,24.366,24.366,349,0
2014-04-08,19:00:00,24.366,24.366,24.366,24.366,1134,0
2014-04-08,21:00:00,24.366,24.366,24.366,24.366,101,0
2014-04-08,22:00:00,24.366,24.366,24.366,24.366,101,0
2014-04-09,16:00:00,24.405,24.405,24.405,24.405,412,0
2014-04-09,18:00:00,24.395,24.395,24.395,24.395,517,0
2014-04-09,20:00:00,24.395,24.395,24.395,24.395,517,0
2014-04-09,21:00:00,24.395,24.415,24.395,24.415,26581,0
2014-04-09,22:00:00,24.415,24.442,24.415,24.442,631,0
2014-04-10,17:00:00,24.415,24.415,24.415,24.415,517,0
2014-04-10,18:00:00,24.425,24.425,24.425,24.425,185471,0
2014-04-10,19:00:00,24.434,24.434,24.434,24.434,208,0
2014-04-10,21:00:00,24.425,24.434,24.425,24.434,793,0
2014-04-11,19:00:00,24.434,24.434,24.434,24.434,517,0
2014-04-11,20:00:00,24.425,24.425,24.425,24.425,3493,0
2014-04-14,16:00:00,24.376,24.376,24.376,24.376,6184,0
2014-04-14,21:00:00,24.376,24.376,24.366,24.366,517,0
2014-04-16,18:00:00,24.376,24.376,24.376,24.376,1548,0
2014-04-16,22:00:00,24.395,24.395,24.395,24.395,4124,0
