Date,Time,Open,High,Low,Close,Volume,OpenInt
2011-09-27,19:00:00,38.24,38.24,38.24,38.24,100,0
2011-09-29,16:00:00,38.06,38.06,38.06,38.06,200,0
2011-09-29,17:00:00,38.1,38.1,38.1,38.1,1200,0
2011-09-30,20:00:00,38.21,38.21,38.21,38.21,726,0
2011-10-04,19:00:00,37.76,37.76,37.04,37.24,2700,0
2011-10-04,20:00:00,37.21,37.58,37.21,37.58,2040,0
2011-10-04,22:00:00,38.17,38.17,37.62,37.62,2890,0
2011-10-05,21:00:00,37.99,37.99,37.99,37.99,188,0
2011-10-06,17:00:00,38.22,38.22,38.22,38.22,200,0
2011-10-07,16:00:00,38.25,38.25,38.25,38.25,2200,0
2011-10-11,20:00:00,37.76,37.76,37.76,37.76,100,0
2011-10-12,17:00:00,38.5,38.5,38.5,38.5,100,0
2011-10-13,20:00:00,38.37,38.37,38.37,38.37,100,0
2011-10-14,20:00:00,38.6,38.97,38.6,38.66,1000,0
2011-10-18,22:00:00,38.19,38.19,38.19,38.19,200,0
2011-10-20,16:00:00,37.91,37.91,37.51,37.51,1800,0
2011-10-25,21:00:00,37.01,37.01,37.01,37.01,100,0
2011-10-26,16:00:00,37.0,37.0,37.0,37.0,300,0
2011-10-26,18:00:00,36.97,36.97,36.97,36.97,692,0
2011-10-27,17:00:00,36.98,36.98,36.98,36.98,100,0
2011-10-28,16:00:00,33.87,33.87,33.87,33.87,150,0
2011-10-28,17:00:00,39.8,39.8,39.8,39.8,1000,0
2011-10-28,18:00:00,38.7,38.7,38.7,38.7,300,0
2011-10-28,22:00:00,38.0,38.47,38.0,38.47,300,0
2011-11-03,21:00:00,38.1,38.9,37.2,38.87,1600,0
2011-11-07,21:00:00,38.2,38.2,37.88,37.95,525,0
2011-11-07,22:00:00,38.0,38.0,38.0,38.0,300,0
2011-11-10,19:00:00,36.1,36.1,36.1,36.1,100,0
2011-11-17,18:00:00,36.5,36.5,36.5,36.5,400,0
2011-11-22,19:00:00,35.98,36.05,35.93,36.0,600,0
2011-11-22,20:00:00,36.01,36.01,36.01,36.01,200,0
2011-11-23,17:00:00,36.36,36.36,36.28,36.28,300,0
2011-11-28,17:00:00,36.36,36.54,36.36,36.54,600,0
2011-11-30,22:00:00,36.53,36.53,36.53,36.53,675,0
2011-12-02,16:00:00,36.17,36.17,36.17,36.17,100,0
2011-12-02,20:00:00,36.17,36.36,36.17,36.36,700,0
2011-12-05,22:00:00,36.78,36.82,36.78,36.82,400,0
2011-12-09,17:00:00,36.1,36.1,36.1,36.1,300,0
2011-12-12,16:00:00,35.57,36.54,35.54,35.54,700,0
2011-12-12,17:00:00,35.5,35.5,35.5,35.5,100,0
2011-12-12,18:00:00,35.33,35.33,35.26,35.31,2300,0
2011-12-12,22:00:00,35.37,35.37,35.37,35.37,800,0
2011-12-13,18:00:00,35.16,35.2,35.16,35.2,500,0
2011-12-13,19:00:00,35.2,35.2,35.2,35.2,600,0
2011-12-13,22:00:00,35.2,35.2,35.2,35.2,100,0
2011-12-14,17:00:00,35.15,35.15,35.08,35.08,400,0
2011-12-14,22:00:00,35.0,35.0,35.0,35.0,100,0
2011-12-20,20:00:00,35.1,35.1,35.1,35.1,20875,0
2011-12-21,17:00:00,35.18,35.18,35.09,35.09,300,0
2011-12-22,18:00:00,35.4,35.4,35.4,35.4,500,0
2011-12-22,20:00:00,35.21,35.21,35.21,35.21,400,0
2011-12-22,21:00:00,35.35,35.35,35.35,35.35,20875,0
2011-12-23,22:00:00,35.0,35.0,35.0,35.0,175,0
2011-12-28,16:00:00,35.41,35.41,35.41,35.41,176,0
2011-12-29,18:00:00,34.77,35.41,34.77,35.41,1492,0
2011-12-29,20:00:00,35.45,35.45,35.45,35.45,600,0
2011-12-29,21:00:00,35.6,35.7,35.6,35.7,900,0
2012-01-03,16:00:00,35.83,35.83,35.83,35.83,100,0
2012-01-04,17:00:00,35.2,35.2,35.19,35.19,700,0
2012-01-04,18:00:00,36.0,36.0,36.0,36.0,100,0
2012-01-06,20:00:00,35.48,35.48,35.38,35.38,900,0
2012-01-09,16:00:00,36.41,36.5,36.26,36.5,2800,0
2012-01-09,17:00:00,36.04,36.91,36.04,36.91,16256,0
2012-01-09,18:00:00,36.91,36.91,36.83,36.83,400,0
2012-01-10,16:00:00,37.2,37.2,37.2,37.2,250,0
2012-01-10,19:00:00,36.73,36.73,36.73,36.73,100,0
2012-01-10,22:00:00,37.19,37.24,36.92,37.24,1400,0
2012-01-11,16:00:00,37.19,37.61,37.19,37.36,900,0
2012-01-11,17:00:00,37.82,37.82,37.22,37.22,1400,0
2012-01-12,19:00:00,37.52,37.52,37.52,37.52,200,0
2012-01-12,21:00:00,36.49,36.49,36.49,36.49,600,0
2012-01-12,22:00:00,36.5,36.5,36.08,36.08,2400,0
2012-01-17,21:00:00,38.05,38.05,38.05,38.05,100,0
2012-01-18,17:00:00,38.05,38.1,38.05,38.1,200,0
2012-01-18,20:00:00,38.0,38.0,38.0,38.0,125,0
2012-01-24,19:00:00,38.0,38.0,38.0,38.0,400,0
2012-01-25,19:00:00,38.9,38.9,38.88,38.9,1000,0
2012-01-30,19:00:00,37.1,37.1,37.1,37.1,120,0
2012-01-31,16:00:00,39.0,39.04,39.0,39.04,1000,0
2012-01-31,17:00:00,38.22,38.49,38.22,38.49,325,0
2012-02-02,16:00:00,39.86,39.86,39.86,39.86,200,0
2012-02-02,20:00:00,39.51,39.51,39.22,39.22,592,0
2012-02-06,18:00:00,39.22,39.22,39.22,39.22,125,0
2012-02-06,20:00:00,39.3,39.3,39.3,39.3,200,0
2012-02-07,16:00:00,38.5,38.5,38.5,38.5,375,0
2012-02-07,22:00:00,39.81,39.81,39.81,39.81,519,0
2012-02-13,16:00:00,38.71,38.9,38.71,38.9,250,0
2012-02-13,18:00:00,38.24,38.24,38.24,38.24,200,0
2012-02-13,22:00:00,39.1,39.1,39.09,39.1,600,0
2012-02-14,16:00:00,39.42,39.42,39.42,39.42,100,0
2012-02-14,19:00:00,39.63,39.63,39.63,39.63,100,0
2012-02-14,21:00:00,39.3,39.3,38.99,38.99,400,0
2012-02-22,16:00:00,39.3,39.43,39.3,39.43,363,0
2012-02-23,19:00:00,39.54,39.54,39.44,39.44,800,0
2012-02-23,20:00:00,39.4,39.4,39.4,39.4,4600,0
2012-02-23,21:00:00,39.6,39.6,39.6,39.6,300,0
2012-02-24,19:00:00,39.88,39.88,39.66,39.66,400,0
2012-02-24,20:00:00,39.68,39.68,39.68,39.68,100,0
2012-02-28,20:00:00,39.35,39.35,39.35,39.35,290,0
2012-03-01,18:00:00,38.6,38.6,38.6,38.6,200,0
2012-03-01,22:00:00,39.01,39.01,39.01,39.01,100,0
2012-03-06,18:00:00,38.66,38.85,38.66,38.85,200,0
2012-03-08,16:00:00,38.54,38.81,38.54,38.81,600,0
2012-03-09,22:00:00,39.22,39.22,39.22,39.22,100,0
2012-03-12,20:00:00,37.92,37.96,37.92,37.96,350,0
2012-03-12,21:00:00,38.4,38.4,38.4,38.4,100,0
2012-03-16,15:00:00,39.28,39.28,39.28,39.28,200,0
2012-03-16,18:00:00,39.0,39.0,39.0,39.0,100,0
