Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-21,21:00:00,37.626,37.665,37.626,37.665,1936,0
2014-02-24,16:00:00,38.169,38.169,38.101,38.169,687,0
2014-02-24,17:00:00,38.169,38.169,38.169,38.169,2223,0
2014-02-24,18:00:00,38.12,38.169,38.12,38.169,1137,0
2014-02-24,20:00:00,37.926,37.926,37.926,37.926,362,0
2014-02-24,21:00:00,38.448,38.448,38.061,38.36,1420,0
2014-02-24,22:00:00,38.004,38.004,37.887,37.887,1116,0
2014-02-25,17:00:00,38.448,38.448,38.448,38.448,1116,0
2014-02-25,20:00:00,37.896,37.896,37.896,37.896,1033,0
2014-02-26,16:00:00,38.294,38.37,38.294,38.37,930,0
2014-02-26,19:00:00,37.926,38.14,37.867,37.867,8376,0
2014-02-26,20:00:00,37.81,37.984,37.81,37.839,2792,0
2014-02-27,17:00:00,38.101,38.101,38.101,38.101,1448,0
2014-02-27,19:00:00,38.38,38.38,38.38,38.38,2483,0
2014-02-27,21:00:00,37.82,38.399,37.81,38.399,6063,0
2014-02-27,22:00:00,38.004,38.023,38.004,38.023,310,0
2014-02-28,16:00:00,38.39,38.448,38.101,38.448,1840,0
2014-02-28,17:00:00,37.867,38.37,37.867,38.294,1086,0
2014-02-28,20:00:00,38.254,38.254,38.254,38.254,205,0
2014-02-28,21:00:00,38.061,38.061,38.061,38.061,387,0
2014-02-28,22:00:00,37.82,38.448,37.82,38.448,1043,0
2014-03-03,16:00:00,38.341,38.448,38.341,38.448,922,0
2014-03-03,17:00:00,37.955,37.955,37.896,37.896,1033,0
2014-03-03,18:00:00,37.723,37.723,37.52,37.577,1965,0
2014-03-03,20:00:00,37.81,37.81,37.81,37.81,4395,0
2014-03-03,21:00:00,37.403,37.403,37.403,37.403,305,0
2014-03-03,22:00:00,37.347,37.347,37.347,37.347,157,0
2014-03-04,16:00:00,38.99,39.01,38.99,39.01,725,0
2014-03-04,17:00:00,38.632,38.632,38.496,38.496,1296,0
2014-03-04,18:00:00,38.594,38.594,38.526,38.526,1117,0
2014-03-04,20:00:00,37.994,37.994,37.994,37.994,505,0
2014-03-04,22:00:00,38.536,38.536,38.536,38.536,471,0
2014-03-05,18:00:00,38.399,38.399,37.8,37.829,4377,0
2014-03-05,20:00:00,38.429,38.516,38.197,38.206,1965,0
2014-03-05,21:00:00,37.984,37.984,37.984,37.984,1075,0
2014-03-06,17:00:00,38.486,38.913,38.236,38.913,2742,0
2014-03-06,19:00:00,38.777,38.777,38.777,38.777,2073,0
2014-03-06,20:00:00,38.604,38.604,38.604,38.604,310,0
2014-03-06,21:00:00,38.13,38.65,38.13,38.294,5554,0
2014-03-07,20:00:00,38.36,38.36,38.36,38.36,433,0
2014-03-10,15:00:00,37.655,38.159,37.655,37.771,2697,0
2014-03-10,16:00:00,37.694,37.694,37.597,37.606,725,0
2014-03-10,17:00:00,37.906,37.906,37.684,37.684,483,0
2014-03-10,18:00:00,37.906,37.906,37.906,37.906,200,0
2014-03-10,19:00:00,37.646,37.675,37.646,37.675,958,0
2014-03-10,20:00:00,37.896,37.896,37.896,37.896,365,0
2014-03-10,21:00:00,37.906,37.906,37.906,37.906,715,0
2014-03-11,15:00:00,37.646,37.877,37.606,37.606,1464,0
2014-03-11,19:00:00,37.723,37.723,37.723,37.723,246,0
2014-03-11,20:00:00,37.887,37.887,37.713,37.713,1033,0
2014-03-12,16:00:00,37.357,37.357,37.357,37.357,278,0
2014-03-12,17:00:00,37.422,37.733,37.375,37.375,5697,0
2014-03-12,18:00:00,37.385,37.403,37.385,37.403,2258,0
2014-03-12,19:00:00,37.327,37.385,37.327,37.385,1210,0
2014-03-12,20:00:00,37.684,37.684,37.684,37.684,822,0
2014-03-12,21:00:00,37.357,37.375,37.347,37.347,2551,0
2014-03-13,16:00:00,37.357,37.357,37.347,37.347,517,0
2014-03-13,17:00:00,37.347,37.347,37.347,37.347,1201,0
2014-03-13,19:00:00,37.163,37.163,37.163,37.163,853,0
