Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-12-30,17:00:00,59.54,59.54,59.54,59.54,450,0
2014-12-30,18:00:00,59.53,59.53,59.431,59.51,2767,0
2014-12-30,20:00:00,59.52,59.52,59.451,59.461,1645,0
2014-12-30,21:00:00,59.422,59.51,59.422,59.49,2227,0
2014-12-30,22:00:00,59.422,59.5,59.422,59.5,2288,0
2014-12-31,16:00:00,59.53,59.53,59.461,59.461,780,0
2014-12-31,17:00:00,59.569,59.569,59.52,59.52,7916,0
2014-12-31,18:00:00,59.52,59.559,59.52,59.54,1206,0
2014-12-31,19:00:00,59.569,59.569,59.54,59.559,1206,0
2014-12-31,20:00:00,59.569,59.579,59.5,59.54,4173,0
2014-12-31,21:00:00,59.579,59.579,59.52,59.52,1406,0
2014-12-31,22:00:00,59.55,59.609,59.392,59.609,9815,0
2015-01-02,18:00:00,59.659,59.709,59.569,59.679,8178,0
2015-01-02,19:00:00,59.699,59.699,59.589,59.589,1953,0
2015-01-02,20:00:00,59.689,59.689,59.689,59.689,2079,0
2015-01-02,21:00:00,59.569,59.679,59.569,59.589,8047,0
2015-01-02,22:00:00,59.669,59.669,59.669,59.669,956,0
2015-01-05,16:00:00,59.659,59.659,59.659,59.659,4588,0
2015-01-05,17:00:00,59.599,59.759,59.599,59.759,1246,0
2015-01-05,18:00:00,59.749,59.749,59.749,59.749,5623,0
2015-01-05,19:00:00,59.799,59.799,59.669,59.749,3182,0
2015-01-05,20:00:00,59.759,59.759,59.629,59.629,12221,0
2015-01-05,21:00:00,59.639,59.839,59.639,59.839,10380,0
2015-01-05,22:00:00,59.769,59.799,59.749,59.799,1206,0
2015-01-06,16:00:00,59.839,59.889,59.759,59.869,2595,0
2015-01-06,17:00:00,59.849,59.909,59.829,59.879,7132,0
2015-01-06,18:00:00,59.919,60.009,59.889,60.009,11062,0
2015-01-06,19:00:00,60.039,60.078,59.859,59.859,2626,0
2015-01-06,20:00:00,59.979,60.019,59.849,59.889,5573,0
2015-01-06,21:00:00,59.939,59.949,59.849,59.889,7069,0
2015-01-06,22:00:00,59.919,59.919,59.799,59.909,2668,0
2015-01-07,16:00:00,59.759,59.839,59.759,59.839,726,0
2015-01-07,17:00:00,59.859,59.909,59.769,59.769,4661,0
2015-01-07,18:00:00,59.809,59.809,59.809,59.809,2014,0
2015-01-07,19:00:00,59.829,59.829,59.829,59.829,420,0
2015-01-07,20:00:00,59.909,59.989,59.889,59.989,2316,0
2015-01-07,21:00:00,59.949,59.949,59.829,59.829,3174,0
2015-01-07,22:00:00,59.979,59.979,59.859,59.869,4354,0
2015-01-08,17:00:00,59.899,59.919,59.779,59.919,4282,0
2015-01-08,18:00:00,59.819,59.819,59.819,59.819,7352,0
2015-01-08,19:00:00,59.889,59.889,59.869,59.869,3118,0
2015-01-08,20:00:00,59.849,59.869,59.809,59.869,6722,0
2015-01-08,21:00:00,59.879,59.879,59.759,59.869,5322,0
2015-01-08,22:00:00,59.769,59.859,59.769,59.859,1116,0
2015-01-09,18:00:00,60.029,60.048,60.029,60.048,7995,0
2015-01-09,20:00:00,60.009,60.048,59.919,59.919,1032,0
2015-01-09,21:00:00,60.039,60.039,59.889,59.889,4586,0
2015-01-09,22:00:00,59.889,59.889,59.889,59.889,547,0
2015-01-12,17:00:00,60.068,60.068,60.029,60.029,6075,0
2015-01-12,18:00:00,60.058,60.058,60.058,60.058,400,0
2015-01-12,19:00:00,60.068,60.068,60.068,60.068,653,0
2015-01-12,20:00:00,60.039,60.138,60.009,60.098,4096,0
2015-01-12,21:00:00,60.078,60.148,60.078,60.098,7027,0
2015-01-12,22:00:00,60.138,60.138,60.009,60.009,820,0
2015-01-13,16:00:00,60.098,60.098,60.048,60.048,7140,0
2015-01-13,17:00:00,60.068,60.118,60.068,60.118,1205,0
2015-01-13,18:00:00,60.068,60.118,59.999,60.009,5954,0
2015-01-13,19:00:00,60.088,60.128,60.088,60.128,2130,0
2015-01-13,20:00:00,60.098,60.118,60.019,60.078,6173,0
2015-01-13,21:00:00,60.098,60.108,60.078,60.078,2812,0
2015-01-13,22:00:00,60.168,60.207,60.158,60.198,15647,0
2015-01-14,17:00:00,60.296,60.326,60.296,60.326,2046,0
2015-01-14,18:00:00,60.316,60.316,60.316,60.316,3839,0
2015-01-14,20:00:00,60.276,60.326,60.276,60.306,18221,0
2015-01-14,21:00:00,60.266,60.296,60.266,60.296,1147,0
2015-01-14,22:00:00,60.207,60.286,60.188,60.266,4640,0
2015-01-15,16:00:00,60.326,60.336,60.326,60.336,300,0
2015-01-15,17:00:00,60.346,60.416,60.316,60.346,2012,0
2015-01-15,18:00:00,60.356,60.406,60.276,60.406,5455,0
2015-01-15,19:00:00,60.406,60.456,60.386,60.416,2674,0
2015-01-15,20:00:00,60.426,60.476,60.386,60.386,3431,0
2015-01-15,21:00:00,60.436,60.446,60.396,60.446,6434,0
2015-01-15,22:00:00,60.466,60.466,60.396,60.416,8411,0
2015-01-16,17:00:00,60.316,60.316,60.316,60.316,1136783,0
2015-01-16,18:00:00,60.326,60.336,60.326,60.336,905,0
2015-01-16,19:00:00,60.376,60.386,60.346,60.346,9946,0
2015-01-16,20:00:00,60.246,60.326,60.226,60.326,1845,0
2015-01-16,21:00:00,60.336,60.366,60.226,60.346,4374,0
2015-01-16,22:00:00,60.346,60.356,60.216,60.286,13083,0
2015-01-20,16:00:00,60.356,60.376,60.356,60.376,2473,0
2015-01-20,17:00:00,60.376,60.436,60.376,60.416,47575,0
2015-01-20,18:00:00,60.426,60.436,60.406,60.406,11004,0
2015-01-20,19:00:00,60.396,60.406,60.296,60.306,2452,0
2015-01-20,20:00:00,60.336,60.336,60.336,60.336,1175,0
2015-01-20,21:00:00,60.286,60.396,60.266,60.396,3132,0
2015-01-20,22:00:00,60.376,60.406,60.306,60.326,138249,0
2015-01-21,16:00:00,60.316,60.316,60.316,60.316,906,0
2015-01-21,17:00:00,60.326,60.346,60.316,60.346,4395,0
2015-01-21,18:00:00,60.326,60.326,60.296,60.306,2384,0
2015-01-21,19:00:00,60.236,60.236,60.207,60.207,2749,0
2015-01-21,20:00:00,60.246,60.256,60.246,60.256,752,0
2015-01-21,21:00:00,60.266,60.266,60.236,60.236,2110,0
2015-01-21,22:00:00,60.207,60.207,60.198,60.207,7708,0
2015-01-22,16:00:00,60.256,60.256,60.256,60.256,256,0
2015-01-22,17:00:00,60.168,60.216,60.168,60.216,938,0
2015-01-22,18:00:00,60.198,60.198,60.178,60.178,3255,0
2015-01-22,20:00:00,60.158,60.168,60.138,60.138,7421,0
2015-01-22,21:00:00,60.118,60.148,60.118,60.148,6655,0
2015-01-22,22:00:00,60.148,60.158,60.128,60.148,8101,0
2015-01-23,17:00:00,60.256,60.256,60.256,60.256,905,0
2015-01-23,19:00:00,60.236,60.286,60.236,60.286,9979,0
2015-01-23,20:00:00,60.236,60.256,60.236,60.256,11083,0
2015-01-23,21:00:00,60.256,60.256,60.246,60.246,1044,0
2015-01-23,22:00:00,60.266,60.276,60.266,60.276,4769,0
2015-01-26,17:00:00,60.246,60.246,60.207,60.207,1557,0
2015-01-26,18:00:00,60.216,60.226,60.216,60.226,3480,0
2015-01-26,19:00:00,60.216,60.256,60.216,60.256,4554,0
2015-01-26,20:00:00,60.236,60.266,60.236,60.246,9884,0
2015-01-26,21:00:00,60.236,60.236,60.198,60.216,4150,0
2015-01-26,22:00:00,60.236,60.236,60.216,60.226,3397,0
2015-01-27,16:00:00,60.346,60.346,60.346,60.346,100,0
2015-01-27,17:00:00,60.386,60.386,60.336,60.356,2454,0
2015-01-27,19:00:00,60.316,60.316,60.296,60.306,1851,0
2015-01-27,20:00:00,60.286,60.296,60.266,60.286,6775,0
2015-01-27,21:00:00,60.246,60.246,60.246,60.246,826,0
2015-01-27,22:00:00,60.226,60.266,60.226,60.266,3007,0
2015-01-28,16:00:00,60.266,60.266,60.266,60.266,905,0
2015-01-28,17:00:00,60.266,60.306,60.256,60.296,3912,0
2015-01-28,18:00:00,60.316,60.316,60.276,60.276,4766,0
2015-01-28,19:00:00,60.286,60.296,60.286,60.296,1441,0
2015-01-28,20:00:00,60.306,60.316,60.306,60.316,427,0
2015-01-28,21:00:00,60.336,60.426,60.336,60.406,7599,0
2015-01-28,22:00:00,60.456,60.456,60.446,60.446,855,0
2015-01-29,16:00:00,60.376,60.386,60.376,60.386,228,0
2015-01-29,17:00:00,60.366,60.366,60.366,60.366,860,0
2015-01-29,18:00:00,60.366,60.366,60.366,60.366,1891,0
2015-01-29,20:00:00,60.316,60.316,60.316,60.316,1185,0
2015-01-29,21:00:00,60.306,60.356,60.306,60.356,3489,0
2015-01-29,22:00:00,60.356,60.356,60.346,60.356,3584,0
2015-01-30,17:00:00,60.524,60.524,60.524,60.524,395,0
