Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-15,16:00:00,34.094,34.094,34.017,34.084,6315,0
2015-01-15,17:00:00,34.066,34.114,34.066,34.114,6822,0
2015-01-15,18:00:00,34.114,34.143,34.084,34.143,9788,0
2015-01-15,19:00:00,34.134,34.134,34.134,34.134,1270,0
2015-01-15,20:00:00,34.134,34.163,34.114,34.163,77391,0
2015-01-15,21:00:00,34.134,34.153,34.134,34.143,12985,0
2015-01-15,22:00:00,34.134,34.183,34.114,34.183,50330,0
2015-01-16,16:00:00,34.143,34.143,34.094,34.104,3645,0
2015-01-16,17:00:00,34.076,34.094,34.027,34.037,5412,0
2015-01-16,18:00:00,34.017,34.076,34.007,34.076,11104,0
2015-01-16,19:00:00,34.066,34.066,34.047,34.047,1588,0
2015-01-16,20:00:00,34.047,34.057,34.047,34.057,5334,0
2015-01-16,21:00:00,34.057,34.057,34.037,34.047,2720,0
2015-01-16,22:00:00,34.057,34.094,34.007,34.094,122390,0
2015-01-20,16:00:00,34.104,34.124,34.104,34.114,15050,0
2015-01-20,17:00:00,34.114,34.143,34.104,34.124,18474,0
2015-01-20,18:00:00,34.124,34.124,34.104,34.124,3911,0
2015-01-20,19:00:00,34.104,34.143,34.076,34.104,17274,0
2015-01-20,20:00:00,34.076,34.104,34.027,34.084,27975,0
2015-01-20,21:00:00,34.084,34.104,34.007,34.047,28945,0
2015-01-20,22:00:00,34.017,34.084,34.017,34.066,10913,0
2015-01-21,16:00:00,34.104,34.124,34.027,34.076,32877,0
2015-01-21,17:00:00,34.084,34.104,34.076,34.094,10374,0
2015-01-21,18:00:00,34.076,34.114,34.037,34.047,15755,0
2015-01-21,19:00:00,34.047,34.047,34.017,34.017,2096,0
2015-01-21,20:00:00,33.997,34.047,33.997,34.037,4729,0
2015-01-21,21:00:00,34.057,34.057,34.027,34.047,7894,0
2015-01-21,22:00:00,34.037,34.057,34.017,34.017,35877,0
2015-01-22,16:00:00,34.094,34.104,34.057,34.057,6798,0
2015-01-22,17:00:00,34.057,34.084,34.037,34.047,25455,0
2015-01-22,18:00:00,34.057,34.057,34.027,34.047,11425,0
2015-01-22,19:00:00,34.047,34.066,34.027,34.027,3013,0
2015-01-22,20:00:00,34.027,34.057,33.987,33.987,11097,0
2015-01-22,21:00:00,34.027,34.047,33.987,34.007,18825,0
2015-01-22,22:00:00,34.027,34.047,34.007,34.047,26331,0
2015-01-23,16:00:00,34.084,34.094,34.084,34.094,8983,0
2015-01-23,17:00:00,34.094,34.134,34.076,34.134,6970,0
2015-01-23,18:00:00,34.104,34.134,34.076,34.124,5998,0
2015-01-23,19:00:00,34.094,34.134,34.094,34.124,4856,0
2015-01-23,20:00:00,34.134,34.134,34.094,34.094,3829,0
2015-01-23,21:00:00,34.124,34.134,34.066,34.124,13218,0
2015-01-23,22:00:00,34.094,34.163,34.084,34.163,21170,0
2015-01-26,16:00:00,34.153,34.153,34.153,34.153,106,0
2015-01-26,17:00:00,34.153,34.163,34.104,34.114,20785,0
2015-01-26,18:00:00,34.084,34.124,34.084,34.114,2615,0
2015-01-26,19:00:00,34.124,34.134,34.104,34.114,2765,0
2015-01-26,20:00:00,34.124,34.153,34.104,34.153,3960,0
2015-01-26,21:00:00,34.124,34.143,34.104,34.143,2661,0
2015-01-26,22:00:00,34.134,34.143,34.084,34.134,26318,0
2015-01-27,16:00:00,34.203,34.203,34.203,34.203,1090,0
2015-01-27,17:00:00,34.153,34.213,34.153,34.203,6492,0
2015-01-27,18:00:00,34.203,34.203,34.163,34.183,10048,0
2015-01-27,19:00:00,34.163,34.193,34.163,34.183,3387,0
2015-01-27,20:00:00,34.173,34.183,34.153,34.153,5056,0
2015-01-27,21:00:00,34.134,34.173,34.134,34.173,42604,0
2015-01-27,22:00:00,34.163,34.183,34.153,34.173,37502,0
2015-01-28,16:00:00,34.143,34.173,34.143,34.143,8895,0
2015-01-28,17:00:00,34.173,34.203,34.134,34.193,13800,0
2015-01-28,18:00:00,34.203,34.203,34.114,34.134,14040,0
2015-01-28,19:00:00,34.143,34.173,34.124,34.143,3828,0
2015-01-28,20:00:00,34.173,34.173,34.153,34.153,3530,0
2015-01-28,21:00:00,34.173,34.252,34.173,34.213,8391,0
2015-01-28,22:00:00,34.252,34.302,34.242,34.292,18145,0
2015-01-29,16:00:00,34.233,34.242,34.213,34.233,17276,0
2015-01-29,17:00:00,34.242,34.252,34.223,34.233,10537,0
2015-01-29,18:00:00,34.233,34.242,34.213,34.213,8612,0
2015-01-29,19:00:00,34.223,34.233,34.203,34.223,12255,0
2015-01-29,20:00:00,34.223,34.233,34.213,34.213,15388,0
2015-01-29,21:00:00,34.193,34.223,34.193,34.223,13397,0
2015-01-29,22:00:00,34.223,34.233,34.193,34.193,15523,0
2015-01-30,16:00:00,34.252,34.312,34.242,34.312,3961,0
2015-01-30,17:00:00,34.322,34.342,34.322,34.322,6758,0
2015-01-30,18:00:00,34.332,34.342,34.292,34.342,3112,0
2015-01-30,19:00:00,34.352,34.352,34.332,34.352,3621,0
2015-01-30,20:00:00,34.332,34.342,34.332,34.332,4294,0
2015-01-30,21:00:00,34.322,34.342,34.322,34.342,4651,0
2015-01-30,22:00:00,34.342,34.362,34.262,34.362,13152,0
2015-02-02,16:00:00,34.325,34.325,34.265,34.325,6682,0
2015-02-02,17:00:00,34.355,34.365,34.305,34.335,7233,0
2015-02-02,18:00:00,34.335,34.335,34.265,34.305,15249,0
2015-02-02,19:00:00,34.335,34.335,34.295,34.295,3166,0
2015-02-02,20:00:00,34.355,34.355,34.325,34.325,2203,0
2015-02-02,21:00:00,34.355,34.365,34.315,34.355,10939,0
2015-02-02,22:00:00,34.355,34.365,34.305,34.355,15734,0
2015-02-03,16:00:00,34.305,34.315,34.295,34.295,4577,0
2015-02-03,17:00:00,34.305,34.305,34.265,34.285,18328,0
2015-02-03,18:00:00,34.285,34.295,34.285,34.295,21946,0
2015-02-03,19:00:00,34.295,34.315,34.285,34.285,25593,0
2015-02-03,20:00:00,34.295,34.315,34.235,34.275,6038,0
2015-02-03,21:00:00,34.285,34.295,34.255,34.275,6670,0
2015-02-03,22:00:00,34.275,34.285,34.255,34.275,15746,0
2015-02-04,16:00:00,34.226,34.235,34.206,34.235,2657,0
2015-02-04,17:00:00,34.235,34.235,34.206,34.226,32367,0
2015-02-04,18:00:00,34.186,34.216,34.186,34.206,2207,0
2015-02-04,19:00:00,34.216,34.216,34.196,34.206,6961,0
2015-02-04,20:00:00,34.226,34.226,34.196,34.216,2863,0
2015-02-04,21:00:00,34.216,34.275,34.216,34.235,26069,0
2015-02-04,22:00:00,34.265,34.295,34.206,34.285,17078,0
2015-02-05,16:00:00,34.255,34.285,34.255,34.255,2807,0
2015-02-05,17:00:00,34.216,34.275,34.216,34.235,4905,0
2015-02-05,18:00:00,34.275,34.275,34.216,34.226,11149,0
2015-02-05,19:00:00,34.265,34.285,34.265,34.275,6830,0
2015-02-05,20:00:00,34.285,34.285,34.226,34.275,8619,0
2015-02-05,21:00:00,34.265,34.295,34.255,34.265,19436,0
2015-02-05,22:00:00,34.265,34.275,34.235,34.275,22592,0
2015-02-06,16:00:00,34.127,34.176,34.117,34.166,22729,0
2015-02-06,17:00:00,34.156,34.166,34.069,34.107,94407,0
2015-02-06,18:00:00,34.107,34.146,34.087,34.137,114324,0
2015-02-06,19:00:00,34.137,34.156,34.107,34.117,59658,0
2015-02-06,20:00:00,34.127,34.146,34.107,34.127,31344,0
2015-02-06,21:00:00,34.127,34.146,34.107,34.137,31393,0
2015-02-06,22:00:00,34.137,34.137,34.097,34.117,43046,0
2015-02-09,16:00:00,34.117,34.137,34.087,34.137,6028,0
2015-02-09,17:00:00,34.127,34.127,34.107,34.107,9473,0
2015-02-09,18:00:00,34.107,34.107,34.107,34.107,13719,0
2015-02-09,19:00:00,34.107,34.107,34.087,34.087,1190,0
2015-02-09,20:00:00,34.087,34.107,34.087,34.097,15060,0
2015-02-09,21:00:00,34.097,34.097,34.059,34.069,60449,0
2015-02-09,22:00:00,34.078,34.087,34.009,34.039,36592,0
2015-02-10,16:00:00,34.049,34.049,33.999,34.049,4772,0
2015-02-10,17:00:00,34.009,34.069,33.989,34.059,13507,0
2015-02-10,18:00:00,34.059,34.059,34.019,34.019,8958,0
2015-02-10,19:00:00,34.029,34.049,33.96,33.999,9405,0
2015-02-10,20:00:00,34.029,34.039,34.029,34.029,5075,0
2015-02-10,21:00:00,34.029,34.059,34.009,34.009,5677,0
2015-02-10,22:00:00,34.009,34.059,34.009,34.039,23582,0
2015-02-11,16:00:00,34.059,34.087,34.049,34.049,1710,0
2015-02-11,17:00:00,34.049,34.069,34.049,34.049,4506,0
2015-02-11,18:00:00,34.049,34.069,34.029,34.069,13784,0
2015-02-11,19:00:00,34.029,34.049,34.029,34.049,19580,0
2015-02-11,20:00:00,34.069,34.069,34.019,34.049,9522,0
2015-02-11,21:00:00,34.049,34.078,34.029,34.059,23750,0
2015-02-11,22:00:00,34.029,34.059,34.029,34.029,25044,0
2015-02-12,16:00:00,33.979,34.087,33.979,34.009,25823,0
2015-02-12,17:00:00,34.009,34.078,33.989,33.999,92741,0
2015-02-12,18:00:00,34.009,34.019,33.989,33.999,20698,0
2015-02-12,19:00:00,34.009,34.019,33.989,33.989,24657,0
2015-02-12,20:00:00,33.989,33.999,33.95,33.95,30046,0
2015-02-12,21:00:00,33.95,33.989,33.95,33.989,23423,0
2015-02-12,22:00:00,33.979,34.069,33.96,33.96,59951,0
2015-02-13,16:00:00,34.029,34.039,33.96,33.96,27987,0
2015-02-13,17:00:00,33.95,33.96,33.93,33.94,39865,0
2015-02-13,18:00:00,33.94,33.95,33.93,33.94,30369,0
2015-02-13,19:00:00,33.94,33.95,33.92,33.92,26757,0
2015-02-13,20:00:00,33.92,33.94,33.92,33.92,29068,0
2015-02-13,21:00:00,33.92,33.94,33.91,33.92,39070,0
2015-02-13,22:00:00,33.92,33.94,33.88,33.88,72639,0
2015-02-17,16:00:00,33.999,33.999,33.88,33.89,35137,0
2015-02-17,17:00:00,33.89,33.9,33.84,33.84,37280,0
2015-02-17,18:00:00,33.84,33.89,33.81,33.85,54924,0
2015-02-17,19:00:00,33.85,33.88,33.83,33.83,63111,0
