Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-12-31,16:00:00,99.46,99.46,99.46,99.46,700,0
2014-12-31,18:00:00,99.63,99.81,99.63,99.81,2658,0
2014-12-31,20:00:00,99.43,99.43,99.37,99.37,985,0
2014-12-31,21:00:00,99.2,99.2,98.75,98.79,7495,0
2014-12-31,22:00:00,98.95,98.95,98.23,98.23,2264,0
2015-01-02,16:00:00,98.61,98.86,98.61,98.61,2950,0
2015-01-02,17:00:00,98.63,98.63,98.02,98.02,2616,0
2015-01-02,18:00:00,97.69,97.69,97.62,97.62,8738,0
2015-01-02,19:00:00,97.77,97.82,97.76,97.76,1612,0
2015-01-02,20:00:00,97.71,97.72,97.48,97.48,5202,0
2015-01-02,21:00:00,97.71,97.98,97.69,97.98,5270,0
2015-01-02,22:00:00,97.84,98.22,97.84,98.16,5888,0
2015-01-05,16:00:00,97.69,97.74,97.52,97.52,2845,0
2015-01-05,17:00:00,97.53,97.73,97.42,97.73,992,0
2015-01-05,18:00:00,97.58,97.69,97.38,97.56,3578,0
2015-01-05,19:00:00,97.62,97.62,97.1,97.1,6128,0
2015-01-05,20:00:00,97.16,97.18,96.93,97.14,4727,0
2015-01-05,21:00:00,97.08,97.09,96.92,96.96,4040,0
2015-01-05,22:00:00,96.98,97.23,96.98,97.11,4117,0
2015-01-06,16:00:00,97.35,97.35,97.35,97.35,41016,0
2015-01-06,17:00:00,97.01,97.01,96.98,96.98,4673,0
2015-01-06,18:00:00,96.83,96.83,96.08,96.08,5132,0
2015-01-06,19:00:00,95.73,95.73,95.73,95.73,4550,0
2015-01-06,20:00:00,95.79,95.98,95.73,95.98,4188,0
2015-01-06,21:00:00,95.88,96.58,95.83,96.58,2828,0
2015-01-06,22:00:00,96.43,96.59,96.22,96.22,3589,0
2015-01-07,16:00:00,96.76,97.0,96.5,97.0,2190,0
2015-01-07,17:00:00,96.97,96.99,96.9,96.9,1992,0
2015-01-07,18:00:00,96.89,96.89,96.63,96.89,2825,0
2015-01-07,19:00:00,97.28,97.32,97.28,97.3,513,0
2015-01-07,20:00:00,97.32,97.34,97.24,97.32,2357,0
2015-01-07,21:00:00,97.36,97.36,97.27,97.33,3390,0
2015-01-07,22:00:00,97.35,97.35,97.28,97.3,1867,0
2015-01-08,16:00:00,98.3,98.3,98.3,98.3,1600,0
2015-01-08,17:00:00,98.64,98.67,98.57,98.67,2317,0
2015-01-08,18:00:00,98.76,98.76,98.76,98.76,1060,0
2015-01-08,19:00:00,98.75,98.79,98.75,98.79,275,0
2015-01-08,20:00:00,98.98,98.98,98.92,98.92,971,0
2015-01-08,21:00:00,98.92,98.96,98.92,98.96,975,0
2015-01-08,22:00:00,98.91,98.91,98.91,98.91,1680,0
2015-01-09,16:00:00,98.85,98.85,98.76,98.82,1425,0
