Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-06-30,17:00:00,133.18,133.18,133.18,133.18,403,0
2014-06-30,18:00:00,132.59,132.89,132.59,132.89,942,0
2014-06-30,19:00:00,133.13,133.37,133.13,133.37,1314,0
2014-06-30,21:00:00,133.33,133.5,133.32,133.32,6657,0
2014-07-01,17:00:00,135.14,135.14,135.14,135.14,326,0
2014-07-01,18:00:00,134.89,135.19,134.89,135.19,2301,0
2014-07-01,20:00:00,135.53,135.75,135.42,135.43,604,0
2014-07-01,21:00:00,135.42,135.42,134.99,134.99,2414,0
2014-07-01,22:00:00,135.24,135.24,135.24,135.24,704,0
2014-07-02,17:00:00,135.12,135.12,135.12,135.12,193,0
2014-07-02,18:00:00,134.63,134.63,134.61,134.63,637,0
2014-07-02,19:00:00,134.68,134.68,134.64,134.64,235,0
2014-07-02,22:00:00,134.18,134.18,134.12,134.12,342,0
2014-07-07,16:00:00,134.15,134.15,134.13,134.13,805,0
2014-07-07,17:00:00,133.2,133.2,133.2,133.2,3723,0
2014-07-07,21:00:00,132.34,132.34,132.34,132.34,805,0
2014-07-08,16:00:00,131.3,131.3,131.3,131.3,2515,0
2014-07-08,21:00:00,129.87,129.87,129.87,129.87,1308,0
2014-07-08,22:00:00,129.81,129.81,129.81,129.81,729,0
2014-07-09,16:00:00,130.61,130.61,130.5,130.5,1811,0
2014-07-09,18:00:00,130.1,130.1,130.1,130.1,463,0
2014-07-09,20:00:00,130.22,130.22,130.22,130.22,504,0
2014-07-09,21:00:00,130.53,130.53,130.53,130.53,1489,0
2014-07-09,22:00:00,130.28,130.28,130.28,130.28,924,0
2014-07-10,16:00:00,127.77,127.87,127.77,127.87,1509,0
2014-07-10,17:00:00,128.17,128.34,128.17,128.33,2615,0
2014-07-10,20:00:00,129.42,129.43,129.42,129.43,604,0
2014-07-10,21:00:00,129.76,129.76,129.76,129.76,704,0
2014-07-10,22:00:00,129.47,129.47,129.44,129.44,308,0
2014-07-11,18:00:00,128.69,128.69,128.69,128.69,301,0
2014-07-11,20:00:00,129.11,129.11,129.11,129.11,1719,0
2014-07-11,21:00:00,129.05,129.27,129.04,129.15,21251,0
2014-07-11,22:00:00,129.11,129.16,129.11,129.16,2683,0
2014-07-14,16:00:00,130.42,130.42,129.83,129.83,1152,0
2014-07-14,17:00:00,129.78,129.78,129.42,129.42,4881,0
2014-07-14,21:00:00,129.65,129.65,129.65,129.65,1007,0
2014-07-14,22:00:00,129.51,129.55,129.51,129.51,1308,0
2014-07-15,16:00:00,129.63,129.63,129.63,129.63,616,0
2014-07-15,17:00:00,129.28,129.28,128.41,128.44,3974,0
2014-07-15,20:00:00,128.29,128.29,128.29,128.29,1207,0
2014-07-15,21:00:00,128.11,128.11,128.04,128.04,1618,0
2014-07-15,22:00:00,127.83,127.88,127.83,127.88,1006,0
2014-07-16,17:00:00,127.73,127.73,127.23,127.23,1533,0
2014-07-16,20:00:00,128.23,128.23,128.19,128.19,6338,0
2014-07-16,21:00:00,127.7,127.7,127.7,127.7,372,0
2014-07-16,22:00:00,127.81,127.81,127.78,127.78,1080,0
2014-07-17,17:00:00,127.7,127.7,127.48,127.48,3098,0
2014-07-17,19:00:00,126.84,126.84,126.84,126.84,604,0
2014-07-17,21:00:00,126.52,126.52,126.52,126.52,6237,0
2014-07-17,22:00:00,126.23,126.23,126.23,126.23,504,0
2014-07-18,16:00:00,126.03,126.24,126.03,126.24,822,0
2014-07-18,17:00:00,126.52,126.56,126.52,126.56,740,0
2014-07-18,18:00:00,127.38,127.38,127.38,127.38,352,0
2014-07-18,19:00:00,127.38,127.43,127.38,127.43,2475,0
2014-07-18,21:00:00,127.51,127.51,127.51,127.51,368,0
2014-07-18,22:00:00,127.52,127.72,127.52,127.72,3081,0
2014-07-21,16:00:00,127.07,127.07,127.07,127.07,301,0
2014-07-21,17:00:00,127.01,127.01,127.01,127.01,604,0
2014-07-21,20:00:00,126.83,126.83,126.83,126.83,967,0
