Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-06-26,18:00:00,50.341,50.341,50.292,50.292,2516,0
2014-06-26,20:00:00,50.421,50.421,50.421,50.421,101,0
2014-06-26,22:00:00,50.441,50.441,50.441,50.441,503,0
2014-06-27,19:00:00,50.411,50.411,50.411,50.411,201,0
2014-06-27,20:00:00,50.371,50.381,50.371,50.381,201,0
2014-06-27,21:00:00,50.411,50.411,50.401,50.401,1208,0
2014-06-27,22:00:00,50.5,50.5,50.5,50.5,503,0
2014-06-30,18:00:00,50.57,50.57,50.57,50.57,148,0
2014-06-30,19:00:00,50.56,50.56,50.56,50.56,201,0
2014-06-30,20:00:00,50.6,50.6,50.6,50.6,1208,0
2014-07-01,17:00:00,50.858,50.888,50.858,50.888,302,0
2014-07-01,18:00:00,50.937,50.977,50.937,50.977,2114,0
2014-07-01,19:00:00,50.987,50.987,50.987,50.987,101,0
2014-07-01,20:00:00,51.057,51.067,51.057,51.067,678,0
2014-07-01,21:00:00,50.987,50.987,50.967,50.967,705,0
2014-07-01,22:00:00,50.957,50.977,50.957,50.957,3020,0
2014-07-02,16:00:00,50.898,50.898,50.898,50.898,50,0
2014-07-02,17:00:00,50.927,50.947,50.927,50.927,1594,0
2014-07-02,18:00:00,50.937,50.937,50.937,50.937,20,0
2014-07-02,21:00:00,50.927,50.927,50.927,50.927,503,0
2014-07-02,22:00:00,50.927,50.927,50.927,50.927,101,0
2014-07-07,17:00:00,50.719,50.719,50.669,50.669,483,0
2014-07-07,19:00:00,50.699,50.709,50.699,50.709,1208,0
2014-07-07,20:00:00,50.689,50.689,50.689,50.689,151,0
2014-07-07,22:00:00,50.669,50.669,50.669,50.669,2416,0
2014-07-08,18:00:00,50.361,50.361,50.361,50.361,197,0
2014-07-08,22:00:00,50.361,50.361,50.361,50.361,197,0
2014-07-11,17:00:00,50.162,50.212,50.162,50.202,12984,0
2014-07-11,22:00:00,50.202,50.202,50.202,50.202,403,0
2014-07-15,17:00:00,50.461,50.461,50.461,50.461,604,0
2014-07-15,21:00:00,50.421,50.421,50.421,50.421,104,0
2014-07-15,22:00:00,50.421,50.421,50.421,50.421,104,0
2014-07-17,21:00:00,50.361,50.371,50.361,50.371,21640,0
2014-07-17,22:00:00,50.371,50.381,50.222,50.222,19705,0
2014-07-21,20:00:00,50.451,50.451,50.451,50.451,201,0
2014-07-21,22:00:00,50.451,50.451,50.451,50.451,201,0
2014-07-22,16:00:00,50.709,50.709,50.709,50.709,201,0
2014-07-22,17:00:00,50.749,50.749,50.719,50.719,604,0
2014-07-22,18:00:00,50.739,50.749,50.739,50.749,302,0
2014-07-22,19:00:00,50.759,50.759,50.749,50.749,503,0
2014-07-22,20:00:00,50.759,50.759,50.759,50.759,499,0
2014-07-22,22:00:00,50.759,50.759,50.759,50.759,199,0
2014-07-23,18:00:00,50.759,50.759,50.759,50.759,201,0
2014-07-23,19:00:00,50.699,50.699,50.699,50.699,403,0
2014-07-24,17:00:00,50.729,50.729,50.729,50.729,201,0
2014-07-25,19:00:00,50.639,50.639,50.639,50.639,101,0
2014-07-25,20:00:00,50.639,50.639,50.639,50.639,101,0
2014-07-28,17:00:00,50.51,50.51,50.51,50.51,403,0
2014-07-30,17:00:00,50.649,50.649,50.639,50.639,1183,0
2014-07-30,18:00:00,50.58,50.58,50.58,50.58,604,0
2014-07-30,22:00:00,50.58,50.58,50.58,50.58,201,0
2014-07-31,21:00:00,49.974,49.974,49.974,49.974,604,0
2014-08-01,18:00:00,49.785,49.785,49.785,49.785,604,0
2014-08-01,21:00:00,49.894,49.914,49.785,49.914,2243,0
2014-08-05,20:00:00,49.576,49.576,49.547,49.547,595,0
2014-08-05,22:00:00,49.447,49.447,49.447,49.447,1007,0
2014-08-07,20:00:00,49.189,49.239,49.179,49.219,3493,0
2014-08-07,21:00:00,49.149,49.149,49.139,49.139,403,0
2014-08-08,17:00:00,49.129,49.149,49.129,49.149,1107,0
2014-08-08,19:00:00,49.109,49.119,49.109,49.109,403,0
2014-08-08,20:00:00,49.298,49.298,49.298,49.298,503,0
2014-08-08,22:00:00,49.368,49.368,49.368,49.368,503,0
2014-08-11,16:00:00,49.636,49.636,49.636,49.636,503,0
2014-08-11,17:00:00,49.666,49.666,49.666,49.666,705,0
2014-08-11,18:00:00,49.696,49.715,49.696,49.715,1007,0
2014-08-11,19:00:00,49.676,49.696,49.676,49.696,1510,0
2014-08-11,20:00:00,49.686,49.686,49.686,49.686,1887,0
2014-08-12,18:00:00,49.576,49.576,49.566,49.566,584,0
2014-08-12,20:00:00,49.636,49.636,49.626,49.626,382,0
2014-08-12,21:00:00,49.566,49.566,49.547,49.547,624,0
2014-08-13,17:00:00,49.864,49.864,49.855,49.855,201,0
2014-08-13,18:00:00,49.904,49.904,49.855,49.855,1007,0
2014-08-15,16:00:00,50.341,50.341,50.331,50.331,1107,0
2014-08-15,17:00:00,50.331,50.331,50.331,50.331,101,0
2014-08-15,21:00:00,50.053,50.053,50.053,50.053,101,0
2014-08-15,22:00:00,50.212,50.212,50.212,50.212,238,0
2014-08-18,18:00:00,50.461,50.461,50.451,50.451,1510,0
2014-08-18,19:00:00,50.47,50.47,50.47,50.47,503,0
2014-08-19,17:00:00,50.58,50.61,50.57,50.57,1812,0
2014-08-20,21:00:00,50.56,50.56,50.56,50.56,503,0
2014-08-20,22:00:00,50.59,50.6,50.59,50.6,1409,0
2014-08-21,22:00:00,50.689,50.699,50.669,50.669,1180,0
2014-08-22,17:00:00,50.53,50.53,50.53,50.53,1007,0
2014-08-22,19:00:00,50.6,50.6,50.6,50.6,1007,0
2014-08-25,21:00:00,50.719,50.719,50.719,50.719,121,0
2014-08-25,22:00:00,50.729,50.729,50.729,50.729,121,0
2014-08-26,17:00:00,50.858,50.858,50.858,50.858,403,0
2014-08-26,18:00:00,50.858,50.858,50.858,50.858,202,0
2014-08-26,19:00:00,50.868,50.868,50.868,50.868,201,0
2014-08-26,22:00:00,50.838,50.838,50.778,50.778,1359,0
2014-08-27,21:00:00,50.888,50.898,50.878,50.898,1232,0
2014-08-28,19:00:00,50.769,50.769,50.769,50.769,201,0
2014-08-28,20:00:00,50.818,50.818,50.818,50.818,101,0
